1,0.0,Glenview,1333 Shermer Road Glenview,2006-08-01 12:00:00 -0500,42.079825,-87.821792
2,0.0,North Side WRP,3500 Howard Street Skokie,2006-08-01 12:00:00 -0500,42.019087,-87.716341
3,0.0,North Branch Pump Station,4840 N. Francisco Avenue Chicago,2006-08-01 12:00:00 -0500,41.970287,-87.701213
4,0.0,Wilmette,613 Sheridan Road Wilmette,2006-08-01 12:00:00 -0500,42.075623,-87.685299
Avg - North Basin  ,0.0,North Basin Average ,nan,2006-08-01 12:00:00 -0500,nan,nan
5,0.0,West Side,6001 W. Pershing Road Cicero,2006-08-01 12:00:00 -0500,41.821587,-87.773094
6,0.0,Springfield,1747 N. Springfield Avenue Chicago,2006-08-01 12:00:00 -0500,41.912744,-87.723944
7,0.0,Racine Avenue Pump Station,3838 S. Racine Chicago,2006-08-01 12:00:00 -0500,41.824857,-87.655586
8,0.0,MOB,100 E. Erie Stree Chicago,2006-08-01 12:00:00 -0500,41.894294,-87.625152
Avg - Central Basin  ,0.0,Central Basin Average ,nan,2006-08-01 12:00:00 -0500,nan,nan
9,0.0,Melvina Ditch,8644 S. Natchez Ave. Burbank,2006-08-01 12:00:00 -0500,41.734139,-87.782139
10,0.0,87th & Western,87th St. & Western Ave. Chicago,2006-08-01 12:00:00 -0500,41.735587,-87.682604
11,0.0,95th Stree P.S. Chicago,9525 S. Baltimore Chicago,2006-08-01 12:00:00 -0500,41.721979,-87.548275
12,0.0,Calumet WRP,400 E. 130th Street Chicago,2006-08-01 12:00:00 -0500,41.659136,-87.612606
Avg - South Basin  ,0.0,South Basin Average ,nan,2006-08-01 12:00:00 -0500,nan,nan
1,0.14,Glenview,1333 Shermer Road Glenview,2006-08-02 12:00:00 -0500,42.079825,-87.821792
2,0.37,North Side WRP,3500 Howard Street Skokie,2006-08-02 12:00:00 -0500,42.019087,-87.716341
3,0.5,North Branch Pump Station,4840 N. Francisco Avenue Chicago,2006-08-02 12:00:00 -0500,41.970287,-87.701213
4,0.38,Wilmette,613 Sheridan Road Wilmette,2006-08-02 12:00:00 -0500,42.075623,-87.685299
Avg - North Basin  ,0.35,North Basin Average ,nan,2006-08-02 12:00:00 -0500,nan,nan
5,0.74,West Side,6001 W. Pershing Road Cicero,2006-08-02 12:00:00 -0500,41.821587,-87.773094
6,1.44,Springfield,1747 N. Springfield Avenue Chicago,2006-08-02 12:00:00 -0500,41.912744,-87.723944
7,0.86,Racine Avenue Pump Station,3838 S. Racine Chicago,2006-08-02 12:00:00 -0500,41.824857,-87.655586
8,1.14,MOB,100 E. Erie Stree Chicago,2006-08-02 12:00:00 -0500,41.894294,-87.625152
Avg - Central Basin  ,1.04,Central Basin Average ,nan,2006-08-02 12:00:00 -0500,nan,nan
9,1.13,Melvina Ditch,8644 S. Natchez Ave. Burbank,2006-08-02 12:00:00 -0500,41.734139,-87.782139
10,1.06,87th & Western,87th St. & Western Ave. Chicago,2006-08-02 12:00:00 -0500,41.735587,-87.682604
11,1.67,95th Stree P.S. Chicago,9525 S. Baltimore Chicago,2006-08-02 12:00:00 -0500,41.721979,-87.548275
12,0.0,Calumet WRP,400 E. 130th Street Chicago,2006-08-02 12:00:00 -0500,41.659136,-87.612606
Avg - South Basin  ,1.29,South Basin Average ,nan,2006-08-02 12:00:00 -0500,nan,nan
1,0.65,Glenview,1333 Shermer Road Glenview,2006-08-03 12:00:00 -0500,42.079825,-87.821792
2,0.52,North Side WRP,3500 Howard Street Skokie,2006-08-03 12:00:00 -0500,42.019087,-87.716341
3,0.7,North Branch Pump Station,4840 N. Francisco Avenue Chicago,2006-08-03 12:00:00 -0500,41.970287,-87.701213
4,0.45,Wilmette,613 Sheridan Road Wilmette,2006-08-03 12:00:00 -0500,42.075623,-87.685299
Avg - North Basin  ,0.58,North Basin Average ,nan,2006-08-03 12:00:00 -0500,nan,nan
5,0.57,West Side,6001 W. Pershing Road Cicero,2006-08-03 12:00:00 -0500,41.821587,-87.773094
6,0.55,Springfield,1747 N. Springfield Avenue Chicago,2006-08-03 12:00:00 -0500,41.912744,-87.723944
7,0.57,Racine Avenue Pump Station,3838 S. Racine Chicago,2006-08-03 12:00:00 -0500,41.824857,-87.655586
8,0.43,MOB,100 E. Erie Stree Chicago,2006-08-03 12:00:00 -0500,41.894294,-87.625152
Avg - Central Basin  ,0.53,Central Basin Average ,nan,2006-08-03 12:00:00 -0500,nan,nan
9,0.71,Melvina Ditch,8644 S. Natchez Ave. Burbank,2006-08-03 12:00:00 -0500,41.734139,-87.782139
10,0.86,87th & Western,87th St. & Western Ave. Chicago,2006-08-03 12:00:00 -0500,41.735587,-87.682604
11,0.69,95th Stree P.S. Chicago,9525 S. Baltimore Chicago,2006-08-03 12:00:00 -0500,41.721979,-87.548275
12,0.0,Calumet WRP,400 E. 130th Street Chicago,2006-08-03 12:00:00 -0500,41.659136,-87.612606
Avg - South Basin  ,0.75,South Basin Average ,nan,2006-08-03 12:00:00 -0500,nan,nan
1,0.0,Glenview,1333 Shermer Road Glenview,2006-08-04 12:00:00 -0500,42.079825,-87.821792
2,0.0,North Side WRP,3500 Howard Street Skokie,2006-08-04 12:00:00 -0500,42.019087,-87.716341
3,0.0,North Branch Pump Station,4840 N. Francisco Avenue Chicago,2006-08-04 12:00:00 -0500,41.970287,-87.701213
4,0.0,Wilmette,613 Sheridan Road Wilmette,2006-08-04 12:00:00 -0500,42.075623,-87.685299
Avg - North Basin  ,0.0,North Basin Average ,nan,2006-08-04 12:00:00 -0500,nan,nan
5,0.0,West Side,6001 W. Pershing Road Cicero,2006-08-04 12:00:00 -0500,41.821587,-87.773094
6,0.0,Springfield,1747 N. Springfield Avenue Chicago,2006-08-04 12:00:00 -0500,41.912744,-87.723944
7,0.0,Racine Avenue Pump Station,3838 S. Racine Chicago,2006-08-04 12:00:00 -0500,41.824857,-87.655586
8,0.0,MOB,100 E. Erie Stree Chicago,2006-08-04 12:00:00 -0500,41.894294,-87.625152
Avg - Central Basin  ,0.0,Central Basin Average ,nan,2006-08-04 12:00:00 -0500,nan,nan
9,0.0,Melvina Ditch,8644 S. Natchez Ave. Burbank,2006-08-04 12:00:00 -0500,41.734139,-87.782139
10,0.0,87th & Western,87th St. & Western Ave. Chicago,2006-08-04 12:00:00 -0500,41.735587,-87.682604
11,0.0,95th Stree P.S. Chicago,9525 S. Baltimore Chicago,2006-08-04 12:00:00 -0500,41.721979,-87.548275
12,0.0,Calumet WRP,400 E. 130th Street Chicago,2006-08-04 12:00:00 -0500,41.659136,-87.612606
Avg - South Basin  ,0.0,South Basin Average ,nan,2006-08-04 12:00:00 -0500,nan,nan
1,0.0,Glenview,1333 Shermer Road Glenview,2006-08-05 12:00:00 -0500,42.079825,-87.821792
2,0.0,North Side WRP,3500 Howard Street Skokie,2006-08-05 12:00:00 -0500,42.019087,-87.716341
