DS-M08,2007-01-04 17:03:00 -0600,2007-01-04 18:37:00 -0600
,41.804722,-87.788611
DS-M08,2007-01-04 19:40:00 -0600,2007-01-04 23:59:00 -0600
,41.804722,-87.788611
DS-M30,2007-01-04 19:40:00 -0600,2007-01-04 22:16:00 -0600
,41.830278,-87.657778
DS-M40,2007-01-04 20:35:00 -0600,2007-01-04 22:39:00 -0600
,41.851111,-87.640833
DS-M41,2007-01-04 19:53:00 -0600,2007-01-04 22:03:00 -0600
,41.854167,-87.638611
DS-M73,2007-01-04 19:41:00 -0600,2007-01-04 20:18:00 -0600
,41.918333,-87.663611
DS-M84,2007-01-04 19:43:00 -0600,2007-01-04 22:56:00 -0600
,41.942778,-87.695556
DS-M88,2007-01-04 19:46:00 -0600,2007-01-04 23:59:00 -0600
,41.9575,-87.694722
DS-N02,2007-01-04 17:04:00 -0600,2007-01-04 23:59:00 -0600
,41.975278,-87.724167
DS-N03,2007-01-04 17:04:00 -0600,2007-01-04 19:09:00 -0600
,41.980556,-87.740833
DS-N05,2007-01-04 19:41:00 -0600,2007-01-04 23:59:00 -0600
,41.983333,-87.750833
DS-N08,2007-01-04 19:40:00 -0600,2007-01-04 23:59:00 -0600
,41.989722,-87.765
CDS-20,2007-01-05 00:07:00 -0600,2007-01-05 04:42:00 -0600
,41.669722,-87.559722
CDS-16,2007-01-05 00:07:00 -0600,2007-01-05 03:20:00 -0600
,nan,nan
CDS-10,2007-01-05 00:21:00 -0600,2007-01-05 00:25:00 -0600
,41.655833,-87.658056
DS-M08,2007-04-12 08:52:00 -0500,2007-04-12 08:55:00 -0500
,41.804722,-87.788611
DS-M08,2007-04-12 08:57:00 -0500,2007-04-12 09:05:00 -0500
,41.804722,-87.788611
DS-M15,2007-04-12 06:41:00 -0500,2007-04-12 06:46:00 -0500
,41.981944,-87.743333
DS-N02,2007-04-12 06:05:00 -0500,2007-04-12 06:08:00 -0500
,41.975278,-87.724167
DS-N05,2007-04-12 06:20:00 -0500,2007-04-12 06:27:00 -0500
,41.983333,-87.750833
CDS-10,2007-04-25 08:57:00 -0500,2007-04-25 20:17:00 -0500
,41.655833,-87.658056
CDS-20,2007-04-25 08:54:00 -0500,2007-04-25 18:24:00 -0500
,41.669722,-87.559722
CDS-20,2007-04-25 08:55:00 -0500,2007-04-25 17:35:00 -0500
,41.669722,-87.559722
CDS-16,2007-04-25 08:49:00 -0500,2007-04-25 16:03:00 -0500
,nan,nan
DS-M15,2007-04-25 06:07:00 -0500,2007-04-25 23:59:00 -0500
,41.981944,-87.743333
DS-M19,2007-04-25 07:03:00 -0500,2007-04-25 08:10:00 -0500
,41.833611,-87.695278
DS-M20,2007-04-25 06:37:00 -0500,2007-04-25 07:52:00 -0500
,41.836667,-87.690278
DS-M30,2007-04-25 06:08:00 -0500,2007-04-25 09:05:00 -0500
,41.830278,-87.657778
DS-M40,2007-04-25 06:32:00 -0500,2007-04-25 23:59:00 -0500
,41.851111,-87.640833
DS-M41,2007-04-25 06:16:00 -0500,2007-04-25 22:24:00 -0500
,41.854167,-87.638611
DS-M61A,2007-04-25 06:58:00 -0500,2007-04-25 07:28:00 -0500
,42.011944,-87.71
DS-M73,2007-04-25 06:09:00 -0500,2007-04-25 08:02:00 -0500
,41.918333,-87.663611
DS-M75,2007-04-25 07:34:00 -0500,2007-04-25 08:32:00 -0500
,41.925556,-87.673611
DS-M76,2007-04-25 06:44:00 -0500,2007-04-25 07:46:00 -0500
,41.925556,-87.674444
DS-M80,2007-04-25 06:58:00 -0500,2007-04-25 09:58:00 -0500
,41.933889,-87.685278
DS-M84,2007-04-25 06:07:00 -0500,2007-04-25 09:45:00 -0500
,41.942778,-87.695556
DS-M86,2007-04-25 06:20:00 -0500,2007-04-25 07:25:00 -0500
,42.011944,-87.71
DS-M88,2007-04-25 06:08:00 -0500,2007-04-25 11:33:00 -0500
,41.9575,-87.694722
DS-N02,2007-04-25 06:53:00 -0500,2007-04-25 23:59:00 -0500
,41.975278,-87.724167
DS-N03,2007-04-25 03:47:00 -0500,2007-04-25 07:15:00 -0500
,41.980556,-87.740833
DS-N05,2007-04-25 06:07:00 -0500,2007-04-25 22:55:00 -0500
,41.983333,-87.750833
