"","x"
"(Intercept)",10.0701203766909
"ag_tot.mg.l.",-216.140292337985
"alk.mg.l.",-0.00286873083264106
"b_sol.mg.l.",-2.23049245769401
"ba_sol.mg.l.",6.93164692447839
"cd_sol.mg.l.",-127.656517561058
"chloroph.yll_a.",-0.00710390862483759
"cn_wad.mg.l.",-160.572578411613
"cr_sol.mg.l.",52.8120753199726
"cr_tot.mg.l.",-23.1239369132681
"cu_sol.mg.l.",-33.8809688609844
"do.mg.l.",-0.119120151367919
"f.mg.l.",0.295590754142566
"fe_sol.mg.l.",5.48160115792848
"fe_tot.mg.l.",0.297754041711207
"hg_tot.ug.l.",1.38776488645411
"mg_sol.mg.l.",-0.0230336387469223
"mn_sol.mg.l.",1.43696921055362
"ni_sol.mg.l.",-99.6947721187325
"ph..",-0.467256489368353
"ss.mg.l.",-0.00912745383899144
"tds.mg.l.",0.000231432801361811
"temp.deg_c.",-0.0163741893778066
"tkn.mg.l.",0.50518125114427
"tot_p.mg.l.",0.25414885874713
"turb.ntu.",0.0152196544769522
"vss.mg.l.",0.0425660370156711
"zn_sol.mg.l.",32.6109134442736
"zn_tot.mg.l.",-2.411826963319
