NBPS,2007-01-04 19:09:00 -0600,2007-01-04 23:11:00 -0600
,nan,nan
002 Lemont WRP,2007-01-04 20:18:00 -0600,2007-01-04 23:59:00 -0600
,nan,nan
CDS-4,2007-01-04 23:49:00 -0600,2007-01-04 23:59:00 -0600
,nan,nan
CDS-21,2007-01-04 23:47:00 -0600,2007-01-04 23:59:00 -0600
,nan,nan
RAPS,2007-01-04 19:30:00 -0600,2007-01-04 23:59:00 -0600
,nan,nan
DS-D39,2007-01-04 17:23:00 -0600,2007-01-04 19:29:00 -0600
,nan,nan
DS-M11,2007-01-04 22:40:00 -0600,2007-01-04 23:59:00 -0600
,nan,nan
TG13A,2007-01-04 15:42:00 -0600,2007-01-04 22:19:00 -0600
,nan,nan
DS-M105W,2007-01-04 16:56:00 -0600,2007-01-04 17:02:00 -0600
,nan,nan
DSM109,2007-01-04 20:37:00 -0600,2007-01-04 21:15:00 -0600
,nan,nan
NB10B,2007-01-04 20:08:00 -0600,2007-01-04 20:44:00 -0600
,nan,nan
NB11,2007-01-04 16:39:00 -0600,2007-01-04 17:31:00 -0600
,nan,nan
002 Lemont WRP,2007-01-05 00:01:00 -0600,2007-01-05 05:12:00 -0600
,nan,nan
CDS-11,2007-01-05 00:10:00 -0600,2007-01-05 00:59:00 -0600
,nan,nan
CDS-18,2007-01-05 00:09:00 -0600,2007-01-05 04:15:00 -0600
,nan,nan
CDS-2,2007-01-05 00:01:00 -0600,2007-01-05 23:59:00 -0600
,nan,nan
CDS-4,2007-01-05 00:01:00 -0600,2007-01-05 23:59:00 -0600
,nan,nan
CDS-6,2007-01-05 00:10:00 -0600,2007-01-05 02:20:00 -0600
,nan,nan
CDS-39,2007-01-05 00:36:00 -0600,2007-01-05 07:12:00 -0600
,nan,nan
CDS-21,2007-01-05 00:01:00 -0600,2007-01-05 13:55:00 -0600
,nan,nan
DS-M11,2007-01-05 00:01:00 -0600,2007-01-05 02:35:00 -0600
,nan,nan
RAPS,2007-01-05 00:01:00 -0600,2007-01-05 02:05:00 -0600
,nan,nan
CDS-2,2007-01-06 00:00:00 -0600,2007-01-06 06:08:00 -0600
,nan,nan
CDS-4,2007-01-06 00:00:00 -0600,2007-01-06 06:08:00 -0600
,nan,nan
RAPS,2007-02-25 16:40:00 -0600,2007-02-25 19:45:00 -0600
,nan,nan
NBPS,2007-03-01 16:43:00 -0600,2007-03-01 22:24:00 -0600
,nan,nan
002 Lemont WRP,2007-03-01 15:12:00 -0600,2007-03-01 20:20:00 -0600
,nan,nan
D8,2007-03-01 15:39:00 -0600,2007-03-01 16:26:00 -0600
,nan,nan
DS-M11,2007-03-01 17:48:00 -0600,2007-03-01 21:37:00 -0600
,nan,nan
MS15,2007-03-01 16:26:00 -0600,2007-03-01 23:16:00 -0600
,nan,nan
WCPS,2007-03-01 08:00:00 -0600,2007-03-01 16:00:00 -0600
,nan,nan
MS104,2007-03-01 16:25:00 -0600,2007-03-01 17:19:00 -0600
,nan,nan
MS105W,2007-03-01 15:37:00 -0600,2007-03-01 15:39:00 -0600
,nan,nan
MS109N,2007-03-01 16:26:00 -0600,2007-03-01 22:50:00 -0600
,nan,nan
MS84,2007-03-01 18:32:00 -0600,2007-03-01 18:56:00 -0600
,nan,nan
MS88,2007-03-01 16:33:00 -0600,2007-03-01 22:29:00 -0600
,nan,nan
NB5,2007-03-01 16:36:00 -0600,2007-03-01 23:12:00 -0600
,nan,nan
NB8,2007-03-01 16:26:00 -0600,2007-03-01 23:10:00 -0600
,nan,nan
NB10A,2007-03-01 16:41:00 -0600,2007-03-01 17:03:00 -0600
,nan,nan
NB10B,2007-03-01 16:36:00 -0600,2007-03-01 20:20:00 -0600
,nan,nan
NB13R,2007-03-01 17:06:00 -0600,2007-03-01 19:15:00 -0600
,nan,nan
NB17,2007-03-01 16:33:00 -0600,2007-03-01 17:49:00 -0600
,nan,nan
NB18,2007-03-01 16:28:00 -0600,2007-03-01 20:44:00 -0600
,nan,nan
RAPS,2007-03-01 16:35:00 -0600,2007-03-01 23:20:00 -0600
,nan,nan
MS3,2007-03-21 03:14:00 -0500,2007-03-21 03:22:00 -0500
,nan,nan
RAPS,2007-03-21 15:30:00 -0500,2007-03-21 18:35:00 -0500
,nan,nan
MS105W,2007-03-21 17:00:00 -0500,2007-03-21 17:37:00 -0500
,nan,nan
NB3,2007-03-21 17:08:00 -0500,2007-03-21 17:50:00 -0500
,nan,nan
NB11,2007-03-21 04:26:00 -0500,2007-03-21 04:41:00 -0500
,nan,nan
CDS-51,2007-03-22 05:15:00 -0500,2007-03-22 05:42:00 -0500
,nan,nan
CDS-55,2007-03-22 05:07:00 -0500,2007-03-22 05:21:00 -0500
,nan,nan
CDS-21,2007-03-28 05:19:00 -0500,2007-03-28 05:22:00 -0500
,nan,nan
D39,2007-03-31 22:04:00 -0500,2007-03-31 22:49:00 -0500
,nan,nan
NB11,2007-03-31 22:17:00 -0500,2007-03-31 22:40:00 -0500
,nan,nan
