collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes(total)(ug/l),o_xylene(ug/l),m__and/or_p_xylenes(ug/l)
2005-04-04 00:00:00,ww_12,11.3,14.6,8.02,0.234,0.04,0.93,0.0,105.69,1012.0,29.0,10.0,22.5,206.0,399.5,0.13,8.0,4.0,0.002,0.0009,,<4.97,6.69,40.0,40.0,32.6,0.0,0.0,0.0521,0.0475,0.086,0.082,0.0008,0.0,90.77,87.35,0.0,0.0008,0.0,0.009,0.0,0.82,0.016,0.006,0.0037,40.17,39.017,0.1375,0.0463,0.0,,0.003,0.0,0.0,0.0,0.0,0.0,0.031,0.0062,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-04 00:00:00,ww_13,10.4,17.1,8.12,3.631,0.1,1.14,0.3,79.5,689.0,24.0,8.0,18.5,214.0,194.0,0.22,9.0,3.0,0.0,0.0004,,<5.34,7.49,370.0,,19.9,0.0,0.0,0.0386,0.0347,0.094,0.095,0.0004,0.0,77.17,75.16,0.0,0.0,0.0,0.009,0.0,0.823,0.018,0.006,0.0031,36.64,36.649,0.0751,0.0375,0.0,,0.002,0.0,0.0,0.005,0.0,0.0,0.023,0.0085,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-04 00:00:00,ww_77,10.4,12.9,7.9,0.272,0.02,0.8,0.0,72.06,1480.0,33.0,9.0,19.1,173.0,801.7,0.27,7.0,9.0,0.003,0.0007,,<10.36,18.67,150.0,90.0,19.2,0.0,0.0,0.0782,0.0761,0.135,0.139,0.0006,0.0,92.41,75.58,0.0,0.0,0.0,0.01,0.0,0.633,0.02,0.006,0.0017,33.09,28.192,0.143,0.0969,0.0,,0.002,0.0,0.01,0.007,0.0,0.0,0.028,0.0101,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-04 00:00:00,ww_78,9.8,17.7,7.74,7.811,0.24,0.84,0.77,92.85,736.0,6.0,0.0,2.56,180.0,295.4,0.51,7.0,7.0,0.003,0.0009,,<5.61,10.21,250.0,150.0,1.9,0.0,0.0,0.0251,0.0249,0.236,0.234,0.0005,0.0,78.46,78.84,0.0,0.0008,0.0,0.009,0.002,0.096,0.04,0.005,0.0038,30.9,31.253,0.0106,0.0097,0.0,,0.006,0.005,0.0,0.006,0.0,0.0,0.053,0.0467,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-04 00:00:00,ww_17,10.3,21.6,8.2,3.378,0.03,0.86,0.32,82.62,732.0,19.0,8.0,13.3,210.0,242.0,0.22,7.0,2.0,0.002,0.0007,,<5.86,5.53,210.0,,30.8,0.0,0.0,0.041,0.0387,0.104,0.1,0.0,0.0,77.72,78.42,0.0,0.0,0.0,0.007,0.0,0.582,0.015,0.006,0.0021,36.52,37.254,0.0821,0.0492,0.0,,0.002,0.0,0.0,0.004,0.0,0.0,0.023,0.0102,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-04 00:00:00,ww_19,10.2,12.5,8.18,3.56,0.04,0.83,0.36,82.36,760.0,22.0,10.0,12.6,210.0,270.5,0.25,7.0,3.0,0.002,0.0005,,<5.99,6.37,190.0,,30.5,0.0,0.0,0.0407,0.0381,0.105,0.109,0.0,0.0,80.29,79.06,0.0,0.0,2.0,0.02,0.0,0.557,0.015,0.005,0.0012,36.92,36.659,0.0774,0.0448,0.0,,0.003,0.0,0.0,0.0,0.0,0.0,0.027,0.0108,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-04 00:00:00,ww_20,10.4,12.6,8.12,3.529,0.01,1.02,0.34,83.78,842.0,19.0,9.0,10.6,204.0,274.4,0.25,7.0,8.0,0.002,0.0009,,<4.81,8.51,140.0,,31.4,0.0,0.0,0.041,0.0394,0.108,0.113,0.0,0.0,80.28,77.58,0.0,0.0,0.0,0.009,0.0,0.51,0.017,0.007,0.004,36.84,36.847,0.0711,0.0398,0.0,,0.003,0.0,0.0,0.0,0.0009,0.0,0.026,0.0119,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-04 00:00:00,ww_24,9.5,11.1,7.2,2.422,0.09,0.84,0.36,95.04,1220.0,44.0,15.0,19.6,175.0,520.3,0.23,7.0,4.0,0.003,0.0007,,<5.60,5.87,2000.0,,33.2,0.0,0.0,0.0515,0.0373,0.093,0.098,0.0007,0.0,88.77,69.31,0.0,0.0012,0.0,0.011,0.0,1.342,0.014,0.008,0.0022,36.49,29.871,0.096,0.0053,0.0,,0.002,0.0,0.0,0.005,0.0,0.0,0.038,0.0096,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-04 00:00:00,ww_109,9.0,10.7,6.98,2.497,0.12,1.01,0.39,97.23,1254.0,22.0,3.0,17.3,182.0,531.1,0.22,6.0,4.0,0.002,0.0001,,<5.58,8.88,2900.0,,30.6,0.0,0.0,0.048,0.0353,0.16,0.166,0.0004,0.0,87.39,67.33,0.0,0.0008,0.0,0.009,0.0,0.765,0.012,0.005,0.0018,36.52,29.04,0.0833,0.0098,0.0,,0.003,0.0,0.003,0.002,0.0,0.0,0.023,0.0085,0.0,0.0,0.0,0.0,0.0,0.0
2005-04-04 00:00:00,ww_22,9.6,11.1,7.09,3.218,0.12,0.9,0.4,90.37,950.0,28.0,10.0,15.3,195.0,393.7,0.25,7.0,4.0,0.002,0.0007,,<4.95,8.04,760.0,,31.9,0.0,0.0,0.0454,0.036,0.147,0.146,0.0,0.0,83.78,69.86,0.0,0.0,0.0,0.016,0.0,0.898,0.013,0.008,0.0,36.64,31.281,0.0806,0.0082,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.027,0.0104,0.0,0.0,0.0,0.0,0.0,0.0
