collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes(total)(ug/l),o_xylene(ug/l),m__and/or_p_xylenes(ug/l)
2005-08-01 00:00:00,ww_13,6.1,26.4,6.83,11.147,0.14,0.96,2.25,84.93,732.0,18.0,0.0,16.7,158.0,201.5,0.76,5.0,4.0,0.002,0.0009,,<6.67,15.08,320.0,,10.5,0.0,0.004,0.0375,0.0313,0.349,0.346,0.0018,0.0013,60.63,57.69,0.0,0.0,2.0,0.007,0.002,0.636,0.012,0.004,0.0,25.04,24.89,0.0735,0.0278,0.0,,0.006,0.005,0.014,0.008,0.0012,0.0,0.047,0.0266,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-01 00:00:00,ww_78,8.6,25.6,7.23,9.912,0.17,1.23,2.1,101.19,676.0,0.0,0.0,2.28,132.0,141.2,0.89,5.4,8.0,0.003,0.0008,,<5.71,19.56,70.0,,5.2,0.006,0.0,0.0134,0.0114,0.45,0.442,0.0009,0.0008,59.5,57.3,0.0,0.0005,2.0,0.008,0.002,0.15,0.037,0.006,0.0014,21.43,21.365,0.0122,0.0065,0.0,,0.009,0.009,0.014,0.0,0.001,0.0004,0.092,0.0747,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-01 00:00:00,ww_17,4.8,26.6,7.14,8.904,0.19,1.11,1.97,85.26,766.0,0.0,0.0,9.3,142.0,222.6,0.68,5.0,7.0,0.002,0.0006,,<6.64,12.84,470.0,,1.7,0.004,0.004,0.0374,0.0327,0.335,0.325,0.0011,0.0011,54.0,50.73,0.0,0.0,2.0,0.007,0.002,0.397,0.015,0.006,0.0,25.99,25.966,0.0734,0.0559,0.0,,0.004,0.004,0.016,0.007,0.0012,0.0005,0.036,0.0229,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-01 00:00:00,ww_19,2.8,27.2,7.24,7.749,0.18,1.06,1.68,89.0,718.0,8.0,0.0,6.89,135.0,214.0,0.7,5.0,10.0,0.002,0.0005,,<6.45,12.06,900.0,,1.0,0.0,0.0,0.032,0.0285,0.339,0.336,0.0012,0.001,51.18,49.0,0.0,0.0,2.0,0.006,0.0,0.347,0.021,0.007,0.0004,24.34,24.123,0.067,0.0553,0.0,,0.006,0.005,0.01,0.007,0.0011,0.0,0.049,0.0304,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-01 00:00:00,ww_20,4.6,27.3,7.39,6.534,0.19,0.95,1.42,85.24,726.0,9.0,0.0,10.6,137.0,226.1,0.66,4.9,10.0,0.002,0.0007,,<6.60,13.06,2100.0,,1.7,0.0,0.0,0.0332,0.0296,0.319,0.322,0.0013,0.0011,51.23,49.98,0.0,0.0,2.0,0.004,0.0,0.376,0.014,0.008,0.0,24.12,24.638,0.0782,0.0633,0.0,,0.006,0.005,0.014,0.006,0.0011,0.0005,0.043,0.0251,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-01 00:00:00,ww_24,6.2,24.8,6.55,9.64,0.16,1.0,2.38,106.4,738.0,11.0,3.0,10.1,120.0,232.6,0.72,6.0,6.0,0.002,0.0005,,<6.67,14.22,480.0,490.0,2.0,0.0,0.0,0.0268,0.0229,0.316,0.319,0.0014,0.0012,57.12,54.49,0.0,0.0,2.0,0.009,0.003,0.549,0.018,0.006,0.0,28.15,27.129,0.0627,0.0409,0.06,,0.006,0.004,0.024,0.003,0.0013,0.0,0.055,0.0308,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-01 00:00:00,ww_109,6.0,24.9,6.82,8.193,0.14,1.08,1.95,93.83,762.0,13.0,0.0,16.5,125.0,242.4,0.69,6.0,8.0,0.002,0.0004,,<6.94,11.24,630.0,410.0,3.7,0.0,0.0,0.0298,0.0253,0.356,0.356,0.0012,0.0011,56.87,55.08,0.0,0.0,2.0,0.006,0.002,0.681,0.016,0.006,0.0,28.06,26.797,0.0604,0.0415,na,,0.006,0.005,0.016,0.0,0.001,0.0,0.043,0.0243,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-01 00:00:00,ww_22,7.5,27.0,7.17,6.816,0.17,1.03,1.57,82.03,728.0,33.0,5.0,17.3,128.0,236.9,0.64,5.8,9.0,0.002,0.0003,,<6.88,13.43,810.0,,5.2,0.006,0.0,0.0335,0.0272,0.322,0.325,0.0013,0.001,51.96,50.74,0.0,0.0,2.0,0.016,0.002,0.599,0.014,0.01,0.0,25.11,24.366,0.0821,0.0482,0.0,,0.006,0.004,0.024,0.002,0.001,0.0004,0.044,0.0225,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-01 00:00:00,ww_23,6.3,27.0,7.39,4.974,0.2,0.98,1.26,91.26,752.0,20.0,0.0,23.3,130.0,247.3,0.57,7.0,10.0,0.002,0.0,,<6.94,10.22,150.0,,7.3,0.0,0.0,0.0346,0.0272,0.314,0.3,0.0013,0.001,55.51,50.16,0.0,0.0,2.0,0.011,0.0,0.756,0.01,0.009,0.0014,27.68,25.628,0.0969,0.0693,0.0,,0.006,0.004,0.018,0.005,0.0009,0.0,0.048,0.0153,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-01 00:00:00,ww_29,8.6,28.8,7.57,4.329,0.15,1.02,1.11,78.66,676.0,26.0,8.0,23.4,129.0,222.3,0.37,5.9,10.0,0.0,0.0004,,<6.67,9.65,40.0,,35.8,0.0,0.0,0.0318,0.0246,0.258,0.259,0.0012,0.0014,53.48,50.15,0.0,0.0,2.0,0.015,0.002,0.855,0.006,0.008,0.0,24.09,23.03,0.0816,0.0176,0.0,,0.005,0.004,0.015,0.0,0.0,0.0,0.041,0.015,0.0,0.0,0.0,0.0,0.0,0.0
2005-08-01 00:00:00,ww_91,8.1,29.5,7.8,7.691,0.2,0.87,1.69,71.76,606.0,45.0,9.0,34.5,124.0,191.1,0.69,5.9,7.0,0.0,0.0,,<6.86,9.0,50.0,,23.6,0.0,0.003,0.0341,0.0231,0.251,0.242,0.0011,0.0008,53.5,46.68,0.0,0.0,3.0,0.009,0.002,0.857,0.005,0.008,0.0,23.65,20.952,0.0976,0.0123,0.0,,0.006,0.004,0.013,0.0,0.0,0.0,0.044,0.0104,0.0,0.0,0.0,0.0,0.0,0.0
