collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes(total)(ug/l),o_xylene(ug/l),m__and/or_p_xylenes(ug/l)
2005-06-06 00:00:00,ww_12,6.2,24.0,7.25,0.157,0.24,1.32,0.07,107.06,1050.0,7.0,0.0,5.35,207.0,346.8,0.24,11.0,9.0,0.0,0.0004,,<4.33,6.18,1000.0,,14.6,0.0,0.0,0.062,0.0536,0.151,0.136,0.0014,0.0009,87.65,75.27,0.0,0.0,2.0,0.024,0.0,0.359,0.022,0.0,0.0,43.27,37.704,0.2219,0.177,0.0,,0.003,0.0,0.014,0.0,0.0,0.0,0.016,0.0036,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-06 00:00:00,ww_13,8.1,22.5,7.9,7.521,0.09,1.45,1.39,89.98,778.0,31.0,8.0,17.9,192.0,212.7,0.56,10.0,8.0,0.002,0.001,,<5.95,8.69,160.0,110.0,70.4,0.0,0.0,0.0402,0.0312,0.264,0.261,0.0012,0.0012,67.05,63.46,0.0,0.0,3.0,0.015,0.0,0.57,0.017,0.0,0.0,32.85,31.369,0.1209,0.0136,0.0,,0.005,0.003,0.005,0.004,0.0,0.0,0.03,0.0163,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-06 00:00:00,ww_78,8.8,20.3,7.75,9.713,0.22,1.2,2.09,121.69,714.0,7.0,0.0,1.5,145.0,168.3,1.01,9.0,10.0,0.003,0.0015,,<4.86,16.59,20.0,,2.6,0.0,0.0,0.0158,0.0142,0.437,0.439,0.0008,0.0012,65.49,63.03,0.0,0.0007,2.0,0.015,0.003,0.127,0.047,0.0,0.0,24.43,23.416,0.0135,0.0105,0.0,,0.014,0.012,0.007,0.01,0.0,0.0,0.077,0.0642,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-06 00:00:00,ww_17,8.5,23.3,8.25,6.125,0.19,2.07,1.23,92.29,836.0,35.0,11.0,16.1,196.0,226.5,0.54,11.0,9.0,0.002,0.001,,<5.89,9.79,380.0,300.0,149.7,0.0,0.0,0.053,0.0319,0.289,0.26,0.0015,0.001,79.64,67.26,0.0,0.0,2.0,0.02,0.0,1.339,0.014,0.004,0.0,39.11,32.386,0.1628,0.0029,0.0,,0.006,0.003,0.0,0.008,0.0,0.0,0.043,0.0121,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-06 00:00:00,ww_19,5.9,24.1,8.09,5.023,0.15,1.34,0.98,90.45,786.0,25.0,6.0,15.7,172.0,234.1,0.55,11.0,10.0,0.002,0.0006,,<5.66,12.39,560.0,620.0,73.7,0.0,0.0,0.0397,0.0324,0.263,0.257,0.0008,0.0006,65.26,60.62,0.0,0.0,3.0,0.025,0.0,0.43,0.019,0.0,0.0,30.39,28.637,0.1091,0.0273,0.0,,0.007,0.004,0.004,0.01,0.0,0.0,0.07,0.0175,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-06 00:00:00,ww_20,5.8,24.4,8.2,4.309,0.04,1.53,0.93,87.0,798.0,36.0,11.0,21.1,168.0,236.8,0.52,10.0,11.0,0.002,0.0007,,<5.59,10.09,1200.0,1100.0,97.6,0.0,0.0,0.0409,0.0327,0.253,0.252,0.0012,0.001,63.13,59.67,0.0,0.0,2.0,0.013,0.0,0.722,0.018,0.0,0.0,28.91,27.463,0.1059,0.012,0.0,,0.005,0.003,0.005,0.008,0.0,0.0,0.039,0.0176,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-06 00:00:00,ww_24,5.4,23.0,7.04,7.619,0.25,1.33,2.0,85.27,668.0,36.0,6.0,6.39,113.0,187.5,0.61,10.0,8.0,0.002,0.0011,,<4.70,12.83,2300.0,,1.7,0.0,0.0,0.0256,0.0222,0.244,0.238,0.0007,0.0009,51.85,48.65,0.0,0.0,2.0,0.021,0.007,0.346,0.036,0.0,0.0,22.52,21.242,0.0551,0.0437,0.0,,0.005,0.003,0.016,0.009,0.0,0.0,0.039,0.0294,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-06 00:00:00,ww_109,3.3,22.8,7.25,6.956,0.31,1.34,1.78,83.51,632.0,11.0,0.0,7.31,110.0,178.4,0.57,9.0,12.0,0.003,0.0013,,<4.54,10.97,2000.0,,3.5,0.0,0.0,0.0268,0.0231,0.256,0.249,0.0008,0.0006,50.89,48.33,0.0,0.0,2.0,0.026,0.004,0.286,0.039,0.0,0.0,22.01,20.875,0.0842,0.0723,0.0,,0.005,0.004,0.012,0.012,0.0,0.0,0.04,0.0259,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-06 00:00:00,ww_22,8.0,24.1,7.54,4.342,0.12,1.74,1.09,71.54,632.0,28.0,8.0,15.1,134.0,190.8,0.47,8.0,14.0,0.003,0.0009,,<4.84,7.75,2100.0,2000.0,68.7,0.003,0.0,0.0328,0.0266,0.215,0.212,0.0012,0.0009,52.78,50.04,0.0,0.0,3.0,0.024,0.002,0.383,0.021,0.0,0.0,23.28,22.235,0.0882,0.004,0.05,,0.004,0.003,0.011,0.011,0.0,0.0,0.035,0.019,0.0,0.0,0.0,0.0,0.0,0.0
2005-06-06 00:00:00,ww_23,10.1,22.1,8.48,6.055,0.06,1.81,1.28,93.77,764.0,34.0,14.0,19.7,160.0,223.9,0.6,10.0,8.0,0.002,0.0003,,<5.54,10.74,460.0,510.0,176.2,0.0,0.0,0.038,0.0291,0.277,0.271,0.0012,0.0006,65.71,59.56,0.0,0.0014,2.0,0.021,0.002,0.651,0.017,0.0,0.0,29.88,27.49,0.0927,0.0009,0.0,,0.006,0.005,0.012,0.0,0.0,0.0,0.043,0.0176,0.0,0.0,0.0,0.0,0.0,0.0
