collect,sampling,do,temp,ph,no2+no3,nh3_n,tkn,tot_p,so4,tds,ss,vss,turb,alk,cl,f,toc,phenol,cn,cn_wad,fog,radiochem,radiochem,fec_col,e_coli,chloroph,as_tot,as_sol,ba_tot,ba_sol,b_tot,b_sol,cd_tot,cd_sol,ca_tot,ca_sol,cr_tot,cr_sol,cr6,cu_tot,cu_sol,fe_tot,fe_sol,pb_tot,pb_sol,mg_tot,mg_sol,mn_tot,mn_sol,hg_tot,hg_sol,ni_tot,ni_sol,se_tot,se_sol,ag_tot,ag_sol,zn_tot,zn_sol,benzene,ethylbenzene,toluene,xylenes(total),o_xylene,m__and/or_p_xylenes
date,point,mg/l,deg_c,,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ntu,mg/l,mg/l,mg/l,mg/l,ug/l,mg/l,mg/l,mg/l,alpha,beta,cts/100ml,cts/100ml,yll_a,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ug/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-03-07 00:00:00,ww_12,10.2,6.2,8.13,0.503,0.06,0.91,0.1,111.97,1152.0,18.0,3.0,19.5,216.0,454.4,0.15,13.0,4.0,0.003,0.0006,,<3.96,4.44,40.0,,20.1,0.0,0.0,0.0508,0.0441,0.071,0.063,0.0,0.0,91.53,88.69,0.0,0.0,0.0,0.016,0.0,0.822,0.013,0.009,0.0039,41.16,40.349,0.1186,0.0903,0.0,,0.003,0.0,0.0,0.007,0.0,0.0,0.047,0.0147,,,,,,
2005-03-07 00:00:00,ww_13,9.4,6.5,8.06,3.749,0.09,1.02,0.41,81.54,761.0,17.0,0.0,21.4,214.0,228.8,0.25,7.0,4.0,0.002,0.0003,,5.13,<4.36,330.0,300.0,7.9,0.0,0.0,0.0399,0.0339,0.109,0.102,0.0,0.0,80.01,76.41,0.0,0.0,0.0,0.022,0.0,0.957,0.02,0.007,0.0031,37.4,36.086,0.0678,0.0412,0.0,,0.002,0.0,0.016,0.018,0.0,0.0,0.026,0.0114,,,,,,
2005-03-07 00:00:00,ww_78,10.0,10.7,7.85,9.817,0.11,1.33,1.22,119.86,944.0,0.0,0.0,3.36,206.0,319.9,0.75,8.0,5.0,0.003,0.0007,,<3.65,11.59,220.0,,3.3,0.0,0.0,0.0333,0.0304,0.327,0.322,0.0,0.0,97.7,90.82,0.0,0.002,0.0,0.027,0.003,0.142,0.035,0.007,0.0038,38.32,36.733,0.0146,0.01,0.06,,0.01,0.008,0.007,0.002,0.0,0.0,0.085,0.0684,,,,,,
2005-03-07 00:00:00,ww_17,10.8,6.2,7.95,3.963,0.1,1.0,0.43,87.14,840.0,12.0,0.0,13.3,223.0,275.5,0.28,7.0,3.0,0.002,0.0004,,<4.45,6.48,260.0,250.0,10.4,0.0,0.0,0.0415,0.0373,0.112,0.112,0.0,0.0,84.65,81.99,0.0,0.0,0.0,0.019,0.0,0.535,0.018,0.007,0.0037,39.31,38.191,0.061,0.0438,0.14,0.08,0.002,0.0,0.011,0.008,0.0,0.0,0.035,0.0114,,,,,,
2005-03-07 00:00:00,ww_19,9.9,6.7,8.04,4.188,0.13,1.06,0.45,92.44,878.0,16.0,0.0,16.3,226.0,313.9,0.3,7.0,7.0,0.003,0.0006,,<4.79,6.68,690.0,430.0,11.7,0.0,0.0,0.0426,0.038,0.127,0.128,0.0,0.0,90.8,84.96,0.0,0.0,0.0,0.012,0.0,0.644,0.019,0.007,0.0038,40.79,39.02,0.0692,0.0463,0.0,,0.002,0.0,0.009,0.006,0.0,0.0,0.045,0.0168,,,,,,
2005-03-07 00:00:00,ww_20,10.8,6.6,8.12,4.153,0.1,1.08,0.44,248.58,918.0,12.0,0.0,14.2,224.0,319.5,0.3,7.0,4.0,0.003,0.0008,,<3.57,8.33,1100.0,1000.0,10.4,0.0,0.0,0.0426,0.0399,0.131,0.13,0.0,0.0,92.0,86.91,0.0,0.0,0.0,0.026,0.0,0.585,0.025,0.007,0.0039,41.21,39.889,0.0613,0.044,0.07,,0.002,0.0,0.0,0.002,0.0,0.0,0.041,0.0158,,,,,,
2005-03-07 00:00:00,ww_24,10.5,10.3,6.95,6.789,0.07,1.14,1.26,109.25,1136.0,12.0,0.0,10.7,194.0,452.9,0.5,7.0,7.0,0.002,0.0007,,<4.06,7.6,620.0,,12.7,0.0,0.0,0.0423,0.0371,0.188,0.188,0.0,0.0,96.05,91.02,0.0,0.0,4.0,0.015,0.003,0.534,0.024,0.008,0.0049,38.33,37.066,0.0505,0.0291,0.07,,0.004,0.002,0.009,0.0,0.0,0.0,0.05,0.0298,,,,,,
2005-03-07 00:00:00,ww_109,10.6,10.1,6.89,5.848,0.05,0.85,0.98,122.16,1208.0,13.0,6.0,9.92,201.0,479.1,0.44,7.0,6.0,0.002,0.0007,,<4.16,11.03,450.0,,16.8,0.0,0.0,0.044,0.0387,0.278,0.277,0.0004,0.0,99.39,94.43,0.0,0.0,0.0,0.014,0.002,0.421,0.026,0.006,0.0038,40.75,39.019,0.0643,0.044,0.0,,0.003,0.003,0.003,0.005,0.0,0.0,0.047,0.0269,,,,,,
