collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes(total)(ug/l),o_xylene(ug/l),m__and/or_p_xylenes(ug/l)
2005-11-07 00:00:00,ww_12,10.0,10.6,6.92,0.239,0.21,1.88,0.13,81.36,698.0,33.0,6.0,38.6,165.0,264.8,0.2,7.3,3.0,0.0,0.0,,<5.52,6.57,760.0,,38.1,0.0,0.0,0.0538,0.0382,0.097,0.092,0.0,0.0,65.31,54.16,0.0,0.0,0.0,0.116,0.0,1.842,0.016,0.0,0.0,29.48,26.297,0.1343,0.0199,0.0,,0.007,0.0,0.005,0.0,0.0,0.0,0.025,0.001,,,,,,
2005-11-07 00:00:00,ww_13,6.8,11.8,6.47,9.077,0.06,1.36,2.13,75.15,504.0,20.0,3.0,21.4,136.0,139.3,0.61,6.3,9.0,0.0,0.0004,,<4.41,14.21,1500.0,,8.5,0.0,0.0,0.0342,0.0221,0.215,0.209,0.0,0.0003,47.84,44.47,0.0,0.0,0.0,0.03,0.003,2.112,0.082,0.0,0.0,18.41,17.916,0.1345,0.0347,0.0,,0.012,0.009,0.0,0.003,0.0,0.0,0.04,0.0208,,,,,,
2005-11-07 00:00:00,ww_77,8.3,11.6,6.62,0.22,0.08,1.92,0.11,36.07,666.0,21.0,10.0,20.7,101.0,330.9,0.18,7.1,13.0,0.0,0.0,,<5.32,8.69,20000.0,,12.5,0.0,0.0,0.0398,0.031,0.06,0.054,0.0,0.0,41.36,33.29,0.0,0.0,2.0,0.022,0.0,0.697,0.071,0.0,0.0,13.31,11.221,0.0672,0.041,0.0,,0.0,0.0,0.009,0.01,0.0,0.0,0.024,0.0055,,,,,,
2005-11-07 00:00:00,ww_78,9.1,17.3,6.71,5.897,0.61,2.96,1.12,89.01,532.0,5.0,4.0,5.87,130.0,138.7,1.1,8.5,10.0,0.0,0.0007,,<4.27,18.79,7000.0,,2.5,0.0,0.0,0.0134,0.0103,0.308,0.285,0.0,0.0,46.87,39.24,0.0,0.001,0.0,0.016,0.003,0.183,0.061,0.0,0.0,15.75,13.774,0.0399,0.025,0.0,,0.01,0.008,0.009,0.012,0.0,0.0,0.075,0.0549,,,,,,
2005-11-07 00:00:00,ww_17,7.3,12.1,6.71,9.031,0.09,1.4,2.12,77.88,530.0,21.0,6.0,20.1,136.0,147.4,0.62,6.5,8.0,0.035,0.0,,<4.52,12.88,1100.0,,5.5,0.0,0.0,0.0308,0.0225,0.217,0.22,0.0,0.0,47.2,39.44,0.0,0.0,2.0,0.028,0.002,1.017,0.079,0.0,0.0,18.15,15.555,0.0716,0.038,0.0,,0.008,0.005,0.003,0.0,0.0,0.0,0.038,0.0201,,,,,,
2005-11-07 00:00:00,ww_19,7.0,12.6,6.89,6.084,0.13,1.53,1.42,70.9,480.0,15.0,5.0,16.2,121.0,140.4,0.64,7.1,6.0,0.08,0.0006,,<4.25,16.52,1200.0,,3.3,0.0,0.0,0.0257,0.0213,0.197,0.197,0.0,0.0,43.95,42.55,0.0,0.0092,0.0,0.031,0.003,0.8,0.149,0.0,0.0,16.35,16.061,0.0658,0.0482,0.0,,0.007,0.01,0.01,0.009,0.0,0.0,0.054,0.0302,,,,,,
2005-11-07 00:00:00,ww_20,5.8,12.5,6.96,5.707,0.0,1.4,1.23,65.49,440.0,19.0,7.0,19.6,116.0,129.9,0.58,7.9,20.0,0.089,0.0006,,<4.13,10.1,3000.0,,3.2,0.0,0.0,0.0256,0.0209,0.176,0.173,0.0,0.0,42.8,40.36,0.0,0.0011,0.0,0.019,0.003,0.967,0.158,0.0,0.0,15.75,14.955,0.0748,0.0523,0.0,,0.007,0.005,0.01,0.012,0.0,0.0,0.053,0.0293,,,,,,
2005-11-07 00:00:00,ww_24,7.8,12.4,7.15,10.965,0.03,1.6,2.7,70.36,414.0,54.0,13.0,28.6,94.0,108.7,0.69,7.1,10.0,0.003,0.0,,<4.01,15.19,10000.0,10000.0,12.4,0.0,0.0,0.0224,0.0151,0.203,0.206,0.0,0.0,42.62,40.92,0.004,0.0012,5.0,0.029,0.005,1.352,0.136,0.0,0.0,16.77,16.109,0.0908,0.0638,0.0,,0.007,0.005,0.015,0.007,0.0,0.0,0.062,0.0354,,,,,,
2005-11-07 00:00:00,ww_109,6.7,12.1,7.01,6.473,0.0,1.35,1.76,51.51,374.0,23.0,0.0,28.1,79.0,84.5,0.46,7.5,18.0,0.0,0.0,,<3.56,9.67,14000.0,12000.0,7.8,0.0,0.0,0.0182,0.0114,0.155,0.154,0.0,0.0,32.76,27.36,0.004,0.0016,0.0,0.025,0.004,1.101,0.133,0.0,0.0,12.75,10.882,0.0595,0.0357,0.0,,0.005,0.003,0.008,0.005,0.0,0.0,0.039,0.0207,,,,,,
2005-11-07 00:00:00,ww_22,8.4,12.7,7.11,5.445,0.0,1.38,1.4,54.01,310.0,46.0,10.0,34.8,93.0,98.1,0.48,7.1,na,0.013,0.0,,<3.73,12.26,7600.0,,4.7,0.0,0.0,0.0214,0.0134,0.151,0.152,0.0,0.0,34.11,28.25,0.004,0.0008,0.0,0.026,0.003,1.154,0.11,0.0,0.0,12.99,10.889,0.0583,0.0296,0.0,,0.006,0.003,0.008,0.008,0.0,0.0,0.043,0.0222,,,,,,
2005-11-07 00:00:00,ww_23,8.0,12.9,7.06,8.776,0.02,1.4,1.93,74.8,454.0,29.0,11.0,24.3,109.0,124.3,0.75,6.4,9.0,0.003,0.0,,<3.58,13.26,3200.0,,5.7,0.0,0.0,0.0258,0.0175,0.224,0.223,0.0,0.0,42.71,40.19,0.005,0.0015,0.0,0.029,0.004,0.893,0.081,0.0,0.0,16.11,15.488,0.0504,0.0263,0.0,,0.007,0.005,0.01,0.005,0.0,0.0,0.054,0.0369,,,,,,
2005-11-07 00:00:00,ww_29,7.6,12.7,6.87,9.831,0.0,1.28,1.9,78.54,402.0,19.0,3.0,18.6,119.0,123.1,0.77,6.4,7.0,0.0,0.0005,,<3.67,13.16,7800.0,,10.5,0.0,0.0,0.0227,0.0163,0.269,0.265,0.0,0.0,47.41,40.19,0.013,0.009,0.0,0.027,0.004,0.709,0.061,0.0,0.0,18.46,16.223,0.0412,0.0232,0.0,,0.007,0.005,0.0,0.0,0.0,0.0,0.052,0.0327,,,,,,
2005-11-07 00:00:00,ww_91,8.8,12.5,7.25,10.599,0.19,1.52,2.24,90.01,496.0,35.0,10.0,30.3,136.0,144.6,0.83,6.1,8.0,0.0,0.0004,,<4.02,12.73,4000.0,,19.3,0.0,0.0,0.0255,0.0171,0.28,0.281,0.0,0.0,54.68,46.9,0.004,0.0014,0.0,0.023,0.003,1.248,0.045,0.0,0.0,21.84,19.076,0.0447,0.0148,0.0,,0.007,0.005,0.019,0.008,0.0,0.0,0.051,0.0279,,,,,,
2005-11-07 00:00:00,ww_79,5.5,10.6,7.3,0.439,0.03,1.44,0.14,61.7,564.0,48.0,14.0,49.0,106.0,198.6,0.25,7.1,11.0,0.0,0.0004,,<3.90,5.87,13000.0,11000.0,29.2,0.0,0.0,0.0388,0.0298,0.073,0.075,0.0,0.0,44.48,42.57,0.004,0.0,3.0,0.021,0.0,2.237,0.144,0.0,0.0,17.86,17.083,0.1244,0.063,0.0,,0.005,0.0,0.0,0.0,0.0,0.0,0.049,0.003,,,,,,
2005-11-07 00:00:00,ww_80,7.8,14.9,7.27,6.938,0.11,1.19,1.71,67.02,560.0,12.0,6.0,10.0,115.0,232.3,0.5,5.7,5.0,0.0,0.0006,,<4.24,5.86,5600.0,4900.0,21.1,0.0,0.0,0.0289,0.0206,0.152,0.148,0.0,0.0,48.35,40.84,0.0,0.0,4.0,0.019,0.002,0.423,0.031,0.0,0.0,19.14,16.702,0.0454,0.0105,0.0,,0.002,0.0,0.011,0.01,0.0,0.0,0.017,0.0082,,,,,,
