collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes(total)(ug/l),o_xylene(ug/l),m__and/or_p_xylenes(ug/l)
2005-09-06 00:00:00,ww_13,5.5,22.8,6.31,15.058,0.11,1.16,3.02,81.44,674.0,35.0,10.0,19.4,147.0,175.3,0.05,5.2,6.0,0.003,0.0004,,<4.30,16.06,340.0,390.0,12.5,0.0,0.003,0.0349,0.0232,0.367,0.351,0.0011,0.0,59.0,45.17,0.006,0.0,3.0,0.019,0.0,0.943,0.017,0.007,0.0067,23.56,21.705,0.0761,0.0361,0.0,,0.007,0.002,0.003,0.004,0.0,0.0,0.04,0.0198,,,,,,
2005-09-06 00:00:00,ww_78,7.5,23.1,6.25,18.706,0.22,1.27,3.24,106.63,634.0,0.0,0.0,1.25,112.0,135.7,1.04,6.1,7.0,0.003,0.0004,,<3.84,18.04,120.0,,3.8,0.0,0.0,0.0131,0.01,0.475,0.439,0.0012,0.0,61.6,47.43,0.0,0.0,3.0,0.018,0.0,0.101,0.041,0.009,0.0015,22.87,19.407,0.0123,0.0056,0.0,,0.031,0.025,0.013,0.008,0.0,0.0,0.082,0.0545,,,,,,
2005-09-06 00:00:00,ww_17,5.4,24.0,6.24,12.752,0.12,1.02,2.56,90.35,712.0,11.0,5.0,8.16,137.0,185.4,0.84,5.4,6.0,0.003,0.0009,,<4.29,15.15,190.0,120.0,1.1,0.0,0.0,0.0339,0.0244,0.365,0.353,0.0014,0.0,54.76,41.26,0.0,0.0,3.0,0.015,0.0,0.442,0.013,0.007,0.0047,25.4,21.412,0.0579,0.0356,0.0,,0.005,0.003,0.0,0.007,0.0,0.0,0.035,0.0171,,,,,,
2005-09-06 00:00:00,ww_19,4.7,23.7,6.32,12.305,0.11,1.08,2.19,100.21,700.0,32.0,11.0,20.9,134.0,183.0,0.14,5.6,3.0,0.002,0.0004,,<4.28,16.06,180.0,240.0,2.4,0.0,0.0,0.0333,0.0229,0.384,0.375,0.0016,0.0,56.74,43.58,0.0,0.0,3.0,0.023,0.0,0.83,0.01,0.009,0.0058,25.59,22.733,0.0637,0.0373,0.0,,0.014,0.009,0.016,0.015,0.0,0.0,0.064,0.0283,,,,,,
2005-09-06 00:00:00,ww_20,5.1,23.6,6.2,11.283,0.15,1.02,2.06,101.42,694.0,36.0,13.0,18.0,138.0,185.7,0.09,5.4,3.0,0.002,0.001,,<4.37,13.04,330.0,230.0,2.0,0.0,0.0,0.0341,0.0239,0.382,0.372,0.0013,0.0,58.72,44.83,0.0,0.0,3.0,0.021,0.0,0.65,0.01,0.007,0.0061,26.13,23.327,0.0595,0.0334,0.0,,0.012,0.01,0.018,0.008,0.0,0.0,0.055,0.0267,,,,,,
2005-09-06 00:00:00,ww_24,6.4,24.6,7.2,15.495,0.07,0.94,3.25,92.86,646.0,19.0,6.0,10.2,110.0,137.8,1.01,5.0,5.0,0.003,0.0004,,<3.83,14.9,100.0,,2.4,0.0,0.0,0.0253,0.0183,0.448,0.433,0.0008,0.0,56.94,46.0,0.0,0.0,3.0,0.021,0.0,0.575,0.011,0.006,0.0025,23.91,21.913,0.0333,0.0175,0.0,,0.009,0.006,0.008,0.012,0.0,0.0,0.049,0.0291,,,,,,
2005-09-06 00:00:00,ww_109,6.3,26.8,7.5,14.108,0.09,1.09,2.68,89.16,604.0,26.0,10.0,17.2,115.0,143.5,0.15,5.2,8.0,0.003,0.0018,,<3.92,15.04,180.0,,1.7,0.0,0.0,0.0289,0.021,0.486,0.471,0.001,0.0,57.71,45.91,0.01,0.0067,8.0,0.037,0.0,0.733,0.01,0.008,0.0,24.32,21.365,0.0472,0.0254,0.0,,0.015,0.006,0.02,0.012,0.0,0.0,0.066,0.0259,,,,,,
2005-09-06 00:00:00,ww_22,6.2,25.2,7.7,12.265,0.09,0.99,2.21,96.5,690.0,29.0,8.0,16.4,131.0,175.9,0.12,5.1,5.0,0.003,0.001,,<4.28,13.97,270.0,250.0,1.5,0.0,0.0,0.032,0.025,0.406,0.402,0.0013,0.0,56.23,47.42,0.004,0.0017,5.0,0.023,0.0,0.545,0.01,0.009,0.0,24.89,23.347,0.0517,0.0274,0.0,,0.018,0.006,0.017,0.009,0.0,0.0,0.055,0.022,,,,,,
2005-09-06 00:00:00,ww_23,6.5,24.6,7.5,11.326,0.09,1.18,1.92,91.89,656.0,29.0,10.0,20.3,134.0,184.6,0.81,5.1,6.0,0.002,0.0008,,<4.39,15.02,30.0,40.0,5.7,0.0,0.0,0.0329,0.0234,0.377,0.364,0.0013,0.0,58.85,45.91,0.0,0.0,4.0,0.023,0.0,0.727,0.008,0.008,0.005,26.22,22.127,0.0587,0.0363,0.0,,0.011,0.006,0.009,0.004,0.0,0.0,0.048,0.0177,,,,,,
2005-09-06 00:00:00,ww_29,6.3,26.1,7.7,10.178,0.0,1.07,1.8,97.29,712.0,33.0,12.0,21.1,137.0,186.9,0.75,5.3,4.0,0.002,0.0017,,<4.30,12.04,50.0,40.0,21.0,0.0,0.0,0.0313,0.0229,0.347,0.331,0.0012,0.0,62.38,51.14,0.0,0.0,3.0,0.029,0.0,0.663,0.004,0.008,0.0058,28.42,24.864,0.0614,0.0225,0.0,,0.008,0.005,0.016,0.015,0.0,0.0,0.051,0.0155,,,,,,
