Collect    ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,TDS,SS  ,VSS ,TURB,ALK,CL   ,F    ,TOC ,Phenol,CN   ,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,E COLI,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Hg LL,Benzene,Ethylbenzene,Toluene,Xylenes (total),m- and/or p-Xylenes,o-Xylene
 date      ,point,mg/L,Deg C,     ,mg/L, mg/L , mg/L,mg/L, mg/L ,mg/L,mg/L,mg/L,NTU,mg/L,mg/L, mg/L,mg/L,ug/L, mg/L,mg/L,mg/L,alpha,beta,cts/100mL,cts/100mL,yll-A   , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , ug/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ug/L,ug/L, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
           ,      ,    ,    ,     ,      ,      ,     ,     ,     ,      ,    ,    ,    ,    ,      ,    ,     ,    ,      ,     ,      ,    ,     ,     ,     ,     ,     ,     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-12-04 00:00:00,WW_12,9.7,1.0,7.8,0.801,0.08,1.09,0.11,116.67,764.0,28.0,8.0,25.9,232.0,200.1,0.24,6.1,0.0,0.0,0.0,,4.87,12.74,650.0,,9.2,0.0,0.0,0.0435,0.0398,0.104,0.103,0.0,0.0005,80.83,81.58,0.0,0.0,0.0,0.002,0.0,1.03,0.039,0.004,0.0,35.16,36.479,0.082,0.054,0.09,,0.002,0.005,0.0,0.0,0.0,0.0,0.018,0.012,2.51,<2,<2,<2,<2,<3,<2
2006-12-04 00:00:00,WW_13,11.5,0.5,8.0,4.218,0.06,1.39,0.43,81.63,628.0,27.0,10.0,27.9,215.0,165.7,0.27,6.1,0.0,0.0,0.0,,5.54,10.71,1100.0,1200.0,12.8,0.0,0.0,0.0425,0.0367,0.107,0.107,0.0,0.0003,72.82,72.91,0.0006,0.0,0.0,0.002,0.0,1.25,0.031,0.003,0.0,33.1,34.121,0.0437,0.0175,0.1,,0.002,0.0,0.0,0.0,0.0,0.0,0.016,0.013,4.11,<2,<2,<2,<2,<3,<2
2006-12-04 00:00:00,WW_78,10.3,8.5,7.8,7.005,0.05,0.91,0.54,94.24,1030.0,4.0,5.0,3.36,254.0,368.9,0.6,3.2,0.0,0.0,0.0,,6.72,11.65,2100.0,,1.5,0.0,0.0,0.0316,0.0305,0.22,0.223,0.0,0.0004,94.27,93.77,0.0,0.0,0.0,0.002,0.0,0.09,0.036,0.0,0.0,35.73,36.99,0.0319,0.0121,0.11,0.0,0.003,0.0034,0.0,0.0,0.0,0.0,0.034,0.036,1.19,<2,<2,<2,<2,<3,<2
2006-12-04 00:00:00,WW_17,10.1,0.6,8.1,3.315,0.07,1.33,0.37,85.85,710.0,26.0,7.0,23.6,217.0,209.2,0.25,5.6,0.0,0.0,0.0,,<4.55,9.98,780.0,940.0,11.2,0.0,0.0,0.0435,0.0402,0.1,0.104,0.0,0.0003,72.07,75.94,0.0006,0.0012,0.0,0.002,0.0,1.12,0.04,0.003,0.0,31.91,34.366,0.0471,0.0232,0.11,0.08,0.0,0.0021,0.0,0.0,0.0,0.0,0.024,0.017,3.76,<2,<2,<2,<2,<3,<2
2006-12-04 00:00:00,WW_19,12.0,0.8,8.1,3.372,0.05,1.29,0.35,86.54,748.0,28.0,9.0,24.5,223.0,230.0,0.29,5.2,0.0,0.0,0.0,,4.74,9.92,730.0,890.0,11.9,0.0,0.0,0.0447,0.0405,0.114,0.119,0.0,0.0003,74.96,79.22,0.0006,0.0,0.0,0.002,0.0,1.15,0.03,0.003,0.0,32.64,35.032,0.0504,0.0261,0.1,,0.002,0.0,0.0,0.0,0.0,0.0,0.022,0.018,3.02,<2,<2,<2,<2,<3,<2
2006-12-04 00:00:00,WW_20,11.7,1.5,8.1,3.024,0.05,1.21,0.33,86.31,756.0,26.0,9.0,24.4,222.0,241.0,0.29,5.0,0.0,0.0,0.0,,<4.76,9.11,2000.0,2000.0,11.3,0.0,0.0,0.0435,0.0383,0.113,0.114,0.0,0.0003,77.01,77.71,0.0005,0.0,0.0,0.002,0.0,1.05,0.036,0.005,0.0,33.17,34.237,0.0495,0.0229,0.1,,0.002,0.0,0.0,0.0,0.0,0.0,0.021,0.015,3.51,<2,<2,<2,<2,<3,<2
2006-12-04 00:00:00,WW_24,12.4,2.8,7.3,2.973,0.1,1.44,0.48,93.44,662.0,39.0,10.0,26.4,207.0,191.4,0.27,4.5,10.0,0.0,0.0,,<4.46,7.17,4500.0,,8.6,0.0,0.0,0.0422,0.0372,0.111,0.113,0.0,0.0004,76.24,78.31,0.001,0.0,2.0,0.003,0.0,1.2,0.029,0.004,0.0,29.79,31.256,0.0543,0.0275,0.1,,0.002,0.0023,0.0,0.0,0.0,0.0,0.03,0.025,5.71,<2,<2,<2,<2,<3,<2
2006-12-04 00:00:00,WW_109,12.0,3.7,7.6,2.87,0.09,1.36,0.47,93.75,690.0,28.0,6.0,24.2,208.0,204.8,0.32,4.1,5.0,0.0,0.0,,<4.53,12.17,2300.0,,9.9,0.0,0.0,0.0409,0.0355,0.114,0.117,0.0,0.0,76.19,78.89,0.0009,0.0,3.0,0.003,0.0,1.11,0.034,0.004,0.0,29.56,31.408,0.0489,0.0261,0.1,,0.003,0.0,0.0,0.0,0.0,0.0,0.028,0.022,5.79,<2,<2,<2,<2,<3,<2
