collect,sampling,do,temp,ph,no2+no3,nh3_n,tkn,tot_p,so4,tds,ss,vss,turb,alk,cl,f,toc,phenol,cn,cn_wad,fog,bod,cbod,radiochem,radiochem,fec_col,e_coli,chloroph,as_tot,as_sol,ba_tot,ba_sol,b_tot,b_sol,cd_tot,cd_sol,ca_tot,ca_sol,cr_tot,cr_sol,cr6,cu_tot,cu_sol,fe_tot,fe_sol,pb_tot,pb_sol,mg_tot,mg_sol,mn_tot,mn_sol,hg_tot,hg_sol,ni_tot,ni_sol,se_tot,se_sol,ag_tot,ag_sol,zn_tot,zn_sol,hg_ll,benzene,ethylbenzene,toluene,xylenes_(total),m__and/or_p_xylenes,o_xylene
date,point,mg/l,deg_c,,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ntu,mg/l,mg/l,mg/l,mg/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,alpha,beta,cts/100ml,cts/100ml,yll_a,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ug/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ng/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-06 00:00:00,ww_12,10.3,1.0,7.6,1.605,0.0,1.15,0.09,197.43,1052.0,31.0,5.0,24.3,191.0,411.6,0.18,5.1,0.0,0.0,0.0005,,,,4.97,6.71,20.0,,25.0,0.0,0.0,0.0527,0.0499,0.098,0.095,0.0,0.0011,97.79,96.83,0.002,0.001,4.0,0.0,0.0,0.694,0.022,0.005,0.001,42.19,43.1,0.0969,0.0587,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.006,3.2,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-06 00:00:00,ww_13,11.3,5.0,7.5,8.598,0.06,1.19,0.47,153.76,828.0,24.0,11.0,18.0,183.0,243.7,0.31,5.5,0.0,0.0,0.0004,,,,<4.04,10.19,270.0,,13.8,0.0,0.0,0.0431,0.0394,0.115,0.111,0.0,0.0011,81.2,82.21,0.001,0.001,0.0,0.0,0.0,0.657,0.025,0.005,0.004,36.99,37.73,0.0324,0.0153,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.009,5.7,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-06 00:00:00,ww_78,8.9,9.3,7.2,3.433,1.02,2.36,0.5,110.48,812.0,11.0,6.0,6.23,208.0,295.7,0.81,4.8,0.0,0.003,0.0007,,,,<4.15,15.28,1500.0,,3.4,0.0,0.0,0.0337,0.0323,0.258,0.253,0.0,0.0018,79.78,78.44,0.001,0.001,4.0,0.002,0.0,0.102,0.035,0.006,0.003,29.16,30.02,0.0273,0.0245,0.0,,0.006,0.005,0.0,0.0,0.0,0.0,0.054,0.052,2.6,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-06 00:00:00,ww_17,8.5,5.0,6.9,7.896,0.06,0.95,0.48,145.93,760.0,21.0,5.0,19.2,179.0,270.4,0.32,5.3,0.0,0.0,0.0006,,,,<4.30,11.68,290.0,,17.6,0.0,0.0,0.046,0.0427,0.122,0.115,0.0,0.0011,83.63,82.6,0.001,0.001,0.0,0.002,0.002,0.691,0.028,0.006,0.003,37.11,37.08,0.0381,0.0234,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.013,4.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-06 00:00:00,ww_19,11.8,6.9,6.9,6.99,0.17,1.09,0.43,138.68,810.0,26.0,7.0,20.4,178.0,280.5,0.35,5.3,0.0,0.0,0.0008,,,,<4.29,8.72,470.0,,15.2,0.0,0.0,0.0438,0.0406,0.127,0.127,0.0,0.0008,82.21,82.88,0.002,0.001,0.0,0.002,0.0,0.628,0.023,0.005,0.004,35.62,36.38,0.0386,0.0212,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.013,4.5,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-06 00:00:00,ww_20,11.6,6.3,7.2,6.735,0.12,1.17,0.42,139.31,810.0,22.0,9.0,18.7,182.0,300.2,0.34,5.1,0.0,0.0,0.0004,,,,<4.39,5.88,2100.0,,16.0,0.0,0.0,0.06,0.0404,0.137,0.128,0.0,0.001,87.17,80.42,0.001,0.001,0.0,0.002,0.0,0.589,0.022,0.006,0.004,35.86,35.64,0.0426,0.0225,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.013,3.6,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-06 00:00:00,ww_24,9.1,2.7,6.2,5.732,0.09,1.07,0.89,136.01,1040.0,21.0,6.0,17.0,169.0,469.4,0.4,3.6,0.0,0.0,0.0,,,,4.44,9.39,980.0,780.0,15.0,0.0,0.0,0.0431,0.0388,0.161,0.154,0.0,0.0009,84.75,83.19,0.002,0.001,0.0,0.004,0.0,0.499,0.021,0.005,0.002,32.11,32.34,0.0808,0.0186,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.031,0.02,4.2,0.0,0.0,0.0,0.0,0.0,0.0
2006-02-06 00:00:00,ww_109,6.9,2.9,5.7,5.161,0.09,1.09,0.78,134.68,1064.0,27.0,7.0,19.3,168.0,479.0,0.41,3.6,0.0,0.0,0.0005,,,,<4.34,8.8,660.0,660.0,22.9,0.0,0.0,0.044,0.0394,0.17,0.165,0.0,0.0012,83.17,83.08,0.002,0.001,0.0,0.004,0.0,0.552,0.026,0.006,0.002,31.73,32.14,0.0526,0.025,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.031,0.021,4.8,0.0,0.0,0.0,0.0,0.0,0.0
