Collect    ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,TDS,SS  ,VSS ,TURB,ALK,CL   ,F    ,TOC ,Phenol,CN   ,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,E COLI,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Hg LL,Benzene,Ethylbenzene,Toluene,Xylenes (total),m- and/or p-Xylenes,o-Xylene
 date      ,point,mg/L,Deg C,     ,mg/L, mg/L , mg/L,mg/L, mg/L ,mg/L,mg/L,mg/L,NTU,mg/L,mg/L, mg/L,mg/L,ug/L, mg/L,mg/L,mg/L,alpha,beta,cts/100mL,cts/100mL,yll-A   , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , ug/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ug/L,ug/L, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-03-06 00:00:00,WW_13,11.9,5.3,7.9,9.807,0.08,1.15,1.52,142.57,890.0,3.0,0.0,5.94,189.0,317.1,0.52,5.3,0.0,0.0,0.0008,,<5.81,12.17,200.0,300.0,11.6,0.0,0.0,0.0431,0.0394,0.234,0.221,0.0,0.0007,87.35,81.64,0.002,0.001,0.0,0.004,0.002,0.332,0.026,0.006,0.009,38.68,38.06,0.0537,0.0423,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.025,1.9,,,,,,
2006-03-06 00:00:00,WW_77,10.5,2.3,7.8,0.903,0.31,1.55,0.13,81.84,3744.0,21.0,8.0,30.2,132.0,2096.8,0.29,5.9,6.0,0.017,0.0018,,<11.49,<13.38,1200.0,,4.0,0.0,0.0,0.0836,0.0819,0.082,0.083,0.0,0.0015,81.04,85.66,0.009,0.007,3.0,0.009,0.003,0.723,0.032,0.008,0.01,27.06,27.66,0.1215,0.1194,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.05,5.3,,,,,,
2006-03-06 00:00:00,WW_78,10.1,10.8,7.8,5.901,0.33,1.82,0.44,128.94,710.0,3.0,0.0,3.97,179.0,212.3,1.35,7.9,3.0,0.0,0.001,,<4.67,17.44,880.0,,,0.0,0.0,0.0188,0.0199,0.352,0.347,0.0,0.0004,66.39,69.92,0.002,0.002,0.0,0.003,0.002,0.081,0.055,0.007,0.009,23.9,26.02,0.0104,0.0088,0.0,,0.013,0.019,0.0,0.0,0.0,0.0,0.061,0.066,1.7,,,,,,
2006-03-06 00:00:00,WW_17,12.5,7.6,7.8,8.087,0.11,1.22,1.25,146.24,1206.0,5.0,0.0,10.2,182.0,472.4,0.46,4.9,0.0,0.003,0.0009,,<4.62,<5.16,390.0,360.0,10.8,0.0,0.0,0.0462,0.0469,0.179,0.177,0.0,0.0005,82.92,88.18,0.002,0.002,0.0,0.003,0.0,0.337,0.018,0.007,0.011,36.76,38.863,0.0551,0.0491,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.024,2.3,,,,,,
2006-03-06 00:00:00,WW_19,12.3,4.5,8.1,7.244,0.16,1.56,1.08,143.08,1226.0,8.0,0.0,11.3,186.0,517.1,0.65,5.7,3.0,0.004,0.0011,,<4.84,9.22,320.0,260.0,15.9,0.0,0.0,0.0452,0.0448,0.22,0.209,0.0,0.0007,83.08,86.59,0.003,0.003,0.0,0.003,0.0,0.361,0.038,0.008,0.008,35.35,36.373,0.0524,0.0466,0.0,,0.004,0.003,0.0,0.0,0.0,0.0,0.043,0.037,2.2,,,,,,
2006-03-06 00:00:00,WW_20,12.1,4.8,8.1,7.275,0.12,1.25,1.04,146.94,1292.0,5.0,0.0,9.59,189.0,528.6,0.61,5.3,3.0,0.004,0.0009,,<6.01,9.52,270.0,310.0,14.2,0.0,0.0,0.0493,0.048,0.236,0.221,0.0,0.0008,87.29,89.29,0.003,0.002,3.0,0.003,0.002,0.357,0.025,0.007,0.011,37.48,38.059,0.0564,0.0484,0.0,,0.003,0.003,0.0,0.0,0.0,0.0,0.04,0.036,2.3,,,,,,
2006-03-06 00:00:00,WW_24,11.8,5.6,7.86,12.216,0.08,1.21,2.62,133.28,968.0,18.0,0.0,14.4,150.0,353.8,0.83,4.6,0.0,0.0,0.0011,,<6.01,13.54,1000.0,,25.5,0.0,0.0,0.0335,0.0276,0.346,0.346,0.0,0.0003,79.3,78.2,0.003,0.002,0.0,0.009,0.005,0.819,0.029,0.009,0.01,31.55,30.89,0.0495,0.0277,0.0,,0.005,0.004,0.0,0.0,0.0,0.0,0.066,0.052,5.1,,,,,,
2006-03-06 00:00:00,WW_109,8.4,4.6,8.12,11.208,0.03,1.9,2.18,127.74,1200.0,15.0,0.0,18.2,153.0,499.2,0.73,5.0,0.0,0.004,0.0007,,<4.70,10.42,1300.0,,66.5,0.0,0.0,0.0325,0.0297,0.485,0.462,0.0,0.0007,77.37,79.66,0.046,0.0464,35.0,0.007,0.004,0.497,0.022,0.008,0.01,31.03,31.81,0.059,0.0409,0.0,,0.003,0.003,0.0,0.0,0.0,0.0,0.052,0.042,4.2,,,,,,
