sampling(point),location_description,north_latitude,west_longitude
ww_12,buffalo_creek_@_lake_cook_rd.,42°_09.110',87°_58.150'
ww_13,des_plaines_river_@_lake_cook_rd.,42°_09.126',87°_54.612'
ww_17,des_plaines_river_@_oakton_st.,42°_01.512',87°_52.494'
ww_18,salt_creek_@_devon_ave.,41°_49.546',87°_54.047'
ww_19,des_plaines_river_@_belmont_ave.,41°_56.236',87°_50.975'
ww_20,des_plaines_river_@_roosevelt_rd.,41°_51.878',87°_49.639'
ww_22,des_plaines_river_@_ogden_ave.,41°_49.256',87°_48.654'
ww_23,des_plaines_river_@_willow_springs_rd.,41°_44.135',87°_52.901
ww_24,salt_creek_@_wolf_rd.,41°_49.548,87°_54.025'
ww_29,des_plaines_river_@_stephen_st.,41°_40.899,88°_00.147'
ww_31,"middle_fork,_north_branch_chicago_river_@_lake_cook_rd.",42°_09.144',87°_49.101
ww_32,skokie_river_@_lake–cook_rd.,42°_09.143',87°_47.605'
ww_34,north_branch_chicago_river_@_dempster_st..,42°_02.411',87°_47.190'
ww_35,north_shore_channel_@_central_ave.,42°_03.830',87°_41.210'
ww_36,north_shore_channel_@_touhy_ave.,42°_00.690',87°_42.600'
ww_37,north_branch_chicago_river_@_wilson_ave.,41°_57.860',87°_41.800'
ww_39,south_branch_chicago_river_@_madison_st.,41°_52.911',87°_38.135'
ww_40,chicago_sanitary_&_ship_canal_@_damen_ave.,41°_50.532',87°_40.518'
ww_41,chicago_sanitary_&_ship_canal_@_harlem_ave.,41°48.070',87°_47.080'
ww_42,chicago_sanitary_&_ship_canal_@_route_#_83,41°_42.130',87°_56.360'
ww_43,cal_sag_channel_@_route_#_83,41°_41.790',87°_56.480'
ww_46,north_branch_chicago_river_@_grand_ave.,41°_53.480',87°_38.440'
ww_48,chicago_sanitary_&_ship_canal_@_stephen_st.,41°_40.750',88°_00.683
ww_49,calumet_river_@_ewing_st.,41°_43.683',87°_32.536'
ww_50,wolf_lake_@_burnham_ave.,41°_39.878',87°_32.330'
ww_52,little_calumet_river_@_wentworth_ave.,41°_35.131',87°_31.792'
ww_54,thorn_creek_@_joe_orr_rd.,41°_31.250',87°_37.522'
ww_55,calumet_river_@_130th_st.,41°_39.550',87°_34.349'
ww_56,little_calumet_river_@_indiana_ave.,41°_39.136',87°_35.828'
ww_57,little_calumet_river_@_ashland_ave.,41°_39.099',87°_39.633'
ww_58,cal_sag_channel_@_ashland_ave.,41°_39.312',87°_39.640'
ww_59,cal_sag_channel_@_cicero_ave.,41°_39.340',87°_44.294
ww_64,west_branch_dupage_river_@_lake_st.,41°_58.708,88°_07.989
ww_73,north_branch_chicago_river_@_diversey_ave.,41°_55.920',87°_40.940'
ww_74,chicago_river_@_lake_shore_drive,41°_53.305',87°_36.864'
ww_75,chicago_sanitary_&_ship_canal_@_cicero_ave.,41°_49.169',87°_44.616'
ww_76,little_calumet_river_@_halsted_st.,41°_39.440',87°_38.476'
ww_77,higgins_creek_@_elmhurst_rd.,42°_01.287',87°_56.436'
ww_78,higgins_creek_@_wille_rd.,42°_01.120',87°_56.201'
ww_79,salt_creek_@_higgins_rd.,42°_01.880',87°_00.679'
ww_80,salt_creek_@_arlington_hts._rd.,42°_00.736',88°_00.075'
ww_86,grand_calumet_river_@_burnham_ave.,41°_37.870',87°_32.352'
ww_89,west_branch_dupage_river_@_walnut_lane,41°_51.750',88°_08.182'
ww_90,poplar_creek_@_rt._19,42°_01.841',88°_14.516'
ww_91,des_plaines_river_@_material_service_rd.,41°_35.794',88°_04.112'
ww_92,chicago_sanitary_&_ship_canal_@_lockport_powerhouse_forebay,41°_35.781',88°_04.117'
ww_96,north_branch_chicago_river_@_albany_ave.,41°_58.475',87°_42.375'
ww_97,thorn_creek_@_170th_st.,41°_35.357',87°_34.862'
ww_99,"south_fork,_south_branch_chicago_river_@_archer_ave.",41°_50.331',87°_39.849'
ww_100,chicago_river_main_stem_@_wells_st.,41°_53.259',87°_38.045'
ww_101,north_shore_channel_@_foster_ave.,41°_58.543',87°_42.277'
ww_102,north_shore_channel_@_oakton_ave.,42°_01.570',87°_42.580'
ww_103,"west_fork,_north_branch_chicago_river_@_golf_rd.",42°_03.307',87°_46.487'
ww_104,north_branch_chicago_river_@_glenview_rd.,42°_04.129',87°_46.466'
ww_105,skokie_river_@_west_frontage_rd.,42°_05.332',87°_45.594'
ww_106,"west_fork,_north_branch_chicago_river_@_dundee_rd.",42°_08.300',87°_50.095
ww_108,south_branch_chicago_river_@_loomis_st.,41°_50.747',87°_39.662'
ww_109,salt_creek_@_brookfield_ave.,41°_49.370',87°_50.494'
ww_110,west_branch_dupage_river_@_springinsguth_rd.,42°_00.495',88°_07.142'
