Collect    ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,TDS,SS  ,VSS ,TURB,ALK,CL   ,F    ,TOC ,Phenol,CN   ,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,E COLI,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Hg LL,Benzene,Ethylbenzene,Toluene,Xylenes (total),m- and/or p-Xylenes,o-Xylene
 date      ,point,mg/L,Deg C,     ,mg/L, mg/L , mg/L,mg/L, mg/L ,mg/L,mg/L,mg/L,NTU,mg/L,mg/L, mg/L,mg/L,ug/L, mg/L,mg/L,mg/L,alpha,beta,cts/100mL,cts/100mL,yll-A   , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , ug/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ug/L,ug/L, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-07-02 00:00:00,WW_13,8.9,18.4,8.01,6.159,0.0,1.72,1.32,83.25,678.0,36.0,9.0,25.1,221.0,174.4,0.53,7.3,0.0,0.0,0.0011,,<4.91,11.3,230.0,,70.8,0.0,0.0,0.046,0.0398,0.236,0.212,0.0,0.0,74.92,69.75,0.0023,0.0008,0.0,0.0,0.0,1.07,0.014,0.009,0.0,33.02,31.342,0.0902,0.0106,0.0,,0.003,0.0013,0.0,0.0,0.0,0.0,0.026,0.019,1.19,,,,,,
2007-07-02 00:00:00,WW_78,8.7,20.6,7.8,5.871,0.27,1.61,0.32,103.34,698.0,3.0,0.0,2.13,166.0,173.1,1.17,6.3,0.0,0.003,0.0023,,<4.67,14.83,30.0,<10,9.3,0.0,0.0,0.0192,0.0175,0.363,0.342,0.0,0.0,69.23,62.62,0.0019,0.0013,0.0,0.0,0.0,0.11,0.053,0.006,0.0,23.57,21.836,0.0366,0.0303,0.0,,0.009,0.0078,0.0,0.0,0.0,0.0,0.062,0.059,3.22,,,,,,
2007-07-02 00:00:00,WW_17,9.5,22.8,8.23,4.727,0.0,1.73,1.08,82.2,672.0,22.0,3.0,21.9,211.0,183.4,0.42,7.4,0.0,0.0,0.002,,<4.89,11.93,240.0,,57.9,0.0,0.0,0.0453,0.04,0.199,0.197,0.0,0.0,70.45,64.47,0.0016,0.0008,0.0,0.0,0.0,0.66,0.013,0.007,0.005,32.79,31.817,0.0677,0.0115,0.0,,0.002,0.0013,0.0,0.02,0.0,0.0,0.019,0.017,1.6,,,,,,
2007-07-02 00:00:00,WW_19,6.6,22.6,8.08,4.732,0.05,1.36,0.89,84.83,692.0,19.0,3.0,19.6,190.0,177.8,0.54,6.7,0.0,0.0,0.0016,,<4.85,12.82,910.0,,3.4,0.0,0.0,0.041,0.0333,0.224,0.22,0.0,0.0005,67.25,56.86,0.0025,0.0009,0.0,0.0,0.0,0.72,0.019,0.006,0.004,31.21,27.822,0.059,0.0311,0.0,,0.004,0.0027,0.0,0.0,0.0,0.0,0.027,0.025,1.96,,,,,,
2007-07-02 00:00:00,WW_20,5.7,23.1,7.8,4.482,0.02,1.23,0.84,82.95,678.0,23.0,3.0,19.8,196.0,179.0,0.52,6.7,0.0,0.0,0.0015,,<4.89,10.98,710.0,,2.5,0.0,0.0,0.041,0.0365,0.21,0.214,0.0,0.0005,66.2,60.45,0.0025,0.0009,0.0,0.0,0.0,0.68,0.019,0.006,0.0,30.74,29.314,0.0584,0.0351,0.0,,0.004,0.0024,0.0,0.0,0.0,0.0,0.029,0.023,0.0,,,,,,
2007-07-02 00:00:00,WW_24,6.3,21.0,7.25,9.504,0.2,0.99,1.11,91.0,748.0,13.0,0.0,10.8,128.0,233.6,0.73,4.7,0.0,0.0,0.0013,,<4.92,10.66,290.0,,2.3,0.0,0.0,0.0297,0.0253,0.268,0.261,0.0,0.0005,63.92,56.26,0.002,0.0008,0.0,0.002,0.003,0.62,0.019,0.006,0.0,27.98,25.868,0.0624,0.0457,0.0,,0.005,0.004,0.0,0.0,0.0,0.0,0.036,0.032,0.601,,,,,,
2007-07-02 00:00:00,WW_109,5.8,22.9,7.57,7.764,0.29,1.02,0.9,84.46,770.0,18.0,3.0,16.7,124.0,226.2,0.67,4.7,0.0,0.0,0.0018,,<4.93,9.91,1100.0,,2.7,0.0,0.0,0.0326,0.0277,0.268,0.266,0.0,0.0005,61.36,56.61,0.0028,0.0009,0.0,0.003,0.003,0.92,0.017,0.006,0.006,26.83,25.785,0.0717,0.0501,0.0,,0.006,0.0042,0.0,0.0,0.0,0.0,0.041,0.034,2.11,,,,,,
2007-07-02 00:00:00,WW_22,7.6,23.1,7.59,5.138,0.16,1.32,0.85,79.99,660.0,23.0,8.0,17.6,170.0,184.5,0.53,6.2,4.0,0.0,0.0019,,<4.85,8.2,300.0,,2.5,0.0,0.0,0.0399,0.0316,0.224,0.221,0.0,0.0,66.22,55.04,0.0031,0.0008,0.0,0.0,0.0,1.12,0.02,0.008,0.006,30.06,26.229,0.0684,0.0343,0.0,,0.005,0.0028,0.0,0.02,0.0,0.0,0.037,0.024,2.23,,,,,,
