collect,sampling,do,temp,ph,no2+no3,nh3_n,tkn,tot_p,so4,tds,ss,vss,turb,alk,cl,f,toc,phenol,cn,cn_wad,fog,radiochem,radiochem,fec_col,e_coli,chloroph,as_tot,as_sol,ba_tot,ba_sol,b_tot,b_sol,cd_tot,cd_sol,ca_tot,ca_sol,cr_tot,cr_sol,cr6,cu_tot,cu_sol,fe_tot,fe_sol,pb_tot,pb_sol,mg_tot,mg_sol,mn_tot,mn_sol,hg_tot,hg_sol,ni_tot,ni_sol,se_tot,se_sol,ag_tot,ag_sol,zn_tot,zn_sol,hg_ll,benzene,ethylbenzene,toluene,xylenes_(total),m__and/or_p_xylenes,o_xylene
date,point,mg/l,deg_c,,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ntu,mg/l,mg/l,mg/l,mg/l,ug/l,mg/l,mg/l,mg/l,alpha,beta,cts/100ml,cts/100ml,yll_a,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ug/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ng/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-06-04 00:00:00,ww_12,5.4,20.6,7.6,0.219,0.32,2.12,0.31,68.14,738.0,143.0,20.0,78.4,163.0,269.2,0.36,7.0,0.0,0.0,0.0009,,<6.02,12.54,90000.0,,15.9,0.0,0.0,0.0494,0.0379,0.085,0.086,0.0,0.0,58.18,58.08,0.0035,0.0014,0.0,0.005,0.0,2.79,0.044,0.013,0.0,26.44,26.402,0.3495,0.0755,0.0,,0.003,0.0004,0.0,0.0,0.0,0.0,0.036,0.008,6.42,<2,<2,<2,<2,<2,<3
2007-06-04 00:00:00,ww_13,6.5,19.9,7.7,7.761,0.22,1.33,1.29,91.14,764.0,22.0,5.0,15.6,200.0,232.8,0.72,5.4,0.0,0.0,0.0014,,<6.19,13.0,600.0,400.0,10.4,0.0,0.0,0.0485,0.0425,0.2,0.192,0.0,0.0004,72.04,69.82,0.0009,0.001,0.0,0.002,0.002,0.52,0.02,0.012,0.0,30.32,32.424,0.0666,0.0225,0.0,,0.002,0.0018,0.0,0.0,0.0,0.0,0.033,0.023,2.09,<2,<2,<2,<2,<2,<3
2007-06-04 00:00:00,ww_77,6.6,20.4,7.9,0.151,0.44,1.39,0.13,49.28,930.0,30.0,3.0,22.4,171.0,421.6,0.51,4.4,0.0,0.0,0.0007,,<5.69,8.28,1800.0,,8.9,0.0,0.0,0.0663,0.0598,0.197,0.2,0.0,0.0,61.57,60.02,0.0011,0.0014,0.0,0.004,0.0,1.1,0.05,0.012,0.0,19.13,20.143,0.1986,0.1606,0.0,,0.0,0.0009,0.0,0.0,0.0,0.0,0.03,0.011,1.99,<2,<2,<2,<2,<2,<3
2007-06-04 00:00:00,ww_78,8.0,19.6,7.6,3.1,0.4,1.76,0.34,80.42,796.0,18.0,5.0,11.3,178.0,285.8,0.79,5.8,0.0,0.003,0.0018,,<6.13,12.41,660.0,,5.8,0.0,0.0,0.0423,0.0366,0.265,0.246,0.0,0.0004,69.5,64.98,0.001,0.0011,0.0,0.003,0.0,0.6,0.054,0.012,0.0,22.28,23.051,0.1065,0.0779,0.0,,0.004,0.0037,0.0,0.0,0.0,0.0,0.048,0.037,1.35,<2,<2,<2,<2,<2,<3
2007-06-04 00:00:00,ww_17,6.1,19.2,7.7,5.74,0.12,1.32,0.95,87.63,772.0,22.0,7.0,14.2,194.0,254.0,0.62,5.2,0.0,0.0,0.0011,,<6.34,9.55,1600.0,440.0,8.1,0.0,0.0,0.051,0.0463,0.175,0.175,0.0,0.0,68.7,66.84,0.0012,0.0013,0.0,0.003,0.0,0.67,0.019,0.007,0.0,30.83,31.407,0.0682,0.035,0.0,,0.002,0.0015,0.0,0.0,0.0,0.0,0.03,0.019,2.68,<2,<2,<2,<2,<2,<3
2007-06-04 00:00:00,ww_19,4.5,21.1,7.8,5.477,0.14,1.33,0.98,91.87,752.0,22.0,7.0,11.0,184.0,226.7,0.56,5.3,0.0,0.009,0.0011,,<6.11,11.07,970.0,230.0,4.4,0.0,0.0,0.0489,0.0379,0.21,0.202,0.0,0.0004,69.25,59.71,0.0013,0.0013,0.0,0.003,0.0,0.4,0.022,0.007,0.0,29.06,27.579,0.072,0.0409,0.0,,0.003,0.0021,0.0,0.0,0.0,0.0,0.042,0.023,2.81,<2,<2,<2,<2,<2,<3
2007-06-04 00:00:00,ww_20,4.6,21.6,7.9,5.048,0.08,1.21,0.93,90.99,776.0,21.0,6.0,15.6,189.0,241.0,0.73,5.4,0.0,0.02,0.0014,,<6.30,11.27,680.0,440.0,4.1,0.0,0.0,0.0485,0.0366,0.198,0.195,0.0,0.0004,68.8,56.37,0.0019,0.0011,0.0,0.003,0.002,0.49,0.018,0.009,0.0,30.1,26.591,0.0704,0.035,0.0,,0.002,0.0029,0.0,0.0,0.0,0.0,0.036,0.023,2.24,<2,<2,<2,<2,<2,<3
2007-06-04 00:00:00,ww_24,6.2,20.9,7.4,7.535,0.17,1.22,0.8,106.05,830.0,33.0,10.0,17.0,137.0,286.0,0.6,4.5,0.0,0.0,0.0008,,<6.26,10.4,220.0,,3.6,0.0,0.0,0.0385,0.0304,0.213,0.211,0.0,0.0,66.62,62.86,0.003,0.0012,0.0,0.007,0.003,0.88,0.023,0.019,0.0,28.72,27.749,0.0905,0.0438,0.0,,0.004,0.0034,0.0,0.0,0.0,0.0,0.042,0.035,2.64,<2,<2,<2,<2,<2,<3
