collect,sampling,do,temp,ph,no2+no3,nh3_n,tkn,tot_p,so4,tds,ss,vss,turb,alk,cl,f,toc,phenol,cn,cn_wad,fog,radiochem,radiochem,fec_col,e_coli,chloroph,as_tot,as_sol,ba_tot,ba_sol,b_tot,b_sol,cd_tot,cd_sol,ca_tot,ca_sol,cr_tot,cr_sol,cr6,cu_tot,cu_sol,fe_tot,fe_sol,pb_tot,pb_sol,mg_tot,mg_sol,mn_tot,mn_sol,hg_tot,hg_sol,ni_tot,ni_sol,se_tot,se_sol,ag_tot,ag_sol,zn_tot,zn_sol,hg_ll,benzene,ethylbenzene,toluene,xylenes_(total),m__and/or_p_xylenes,o_xylene
date,point,mg/l,deg_c,,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ntu,mg/l,mg/l,mg/l,mg/l,ug/l,mg/l,mg/l,mg/l,alpha,beta,cts/100ml,cts/100ml,yll_a,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ug/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ng/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-03-05 00:00:00,ww_12,12.2,2.2,6.9,0.875,0.18,1.2,0.11,98.99,1316.0,14.0,3.0,13.8,198.0,637.9,0.2,3.6,0.0,0.004,0.0009,,<4.41,7.12,110.0,,9.2,0.0,0.0,0.0503,0.0481,0.063,0.079,0.0,0.0004,90.43,90.7,0.0007,0.0,0.0,0.0,0.0,0.68,0.052,0.004,0.012,36.38,37.621,0.1165,0.1044,0.0,,0.003,0.0,0.0,0.0,0.0,0.0,0.014,0.013,1.26,,,,,,
2007-03-05 00:00:00,ww_13,11.5,1.9,7.8,2.918,0.07,1.14,0.24,64.9,848.0,12.0,4.0,15.3,168.0,311.1,0.24,4.3,0.0,0.0,0.0,,<4.34,6.73,230.0,180.0,6.7,0.0,0.0,0.0381,0.035,0.063,0.092,0.0,0.0,70.52,69.7,0.0,0.0,0.0,0.0,0.0,0.63,0.05,0.0,0.002,30.93,31.141,0.0401,0.0285,0.0,,0.0,0.0036,0.0,0.0,0.0,0.0,0.014,0.009,1.6,,,,,,
2007-03-05 00:00:00,ww_78,9.8,9.6,7.7,6.651,0.19,1.66,0.3,89.78,1224.0,0.0,0.0,3.83,200.0,561.6,0.63,3.1,0.0,0.004,0.0008,,<4.50,6.28,5000.0,,1.0,0.0,0.0,0.0407,0.0381,0.171,0.172,0.0,0.0005,99.13,94.63,0.0,0.0,0.0,0.0,0.0,0.08,0.039,0.0,0.002,36.6,35.841,0.0396,0.0179,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.031,0.0,,,,,,
2007-03-05 00:00:00,ww_17,12.0,2.4,8.2,2.58,0.12,1.32,0.26,72.48,856.0,13.0,4.0,14.9,169.0,365.1,0.22,4.0,0.0,0.003,0.0008,,<4.56,7.75,100.0,50.0,7.6,0.0,0.0,0.0415,0.0373,0.059,0.065,0.0,0.0,71.54,71.72,0.0,0.0,0.0,0.0,0.0,0.66,0.037,0.0,0.003,30.85,31.403,0.0597,0.0352,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.008,2.05,,,,,,
2007-03-05 00:00:00,ww_19,11.4,1.9,8.3,2.685,0.14,1.23,0.25,69.38,950.0,20.0,6.0,13.4,171.0,407.7,0.25,3.9,0.0,0.0,0.0007,,<3.91,6.4,210.0,200.0,8.1,0.0,0.0,0.0423,0.0336,0.067,0.07,0.0,0.0005,76.32,65.04,0.0,0.0,0.0,0.0,0.0,0.69,0.032,0.0,0.0,31.71,28.554,0.0513,0.033,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.01,1.28,,,,,,
2007-03-05 00:00:00,ww_20,11.1,2.0,8.1,2.722,0.14,1.25,0.27,67.95,964.0,12.0,0.0,14.7,173.0,428.6,0.24,3.8,0.0,0.0,0.0008,,<4.26,6.72,300.0,310.0,7.2,0.0,0.0,0.0406,0.0334,0.065,0.07,0.0,0.0003,74.6,64.92,0.0035,0.0,0.0,0.003,0.0,0.74,0.033,0.0,0.003,30.88,28.205,0.0749,0.0338,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.011,1.37,,,,,,
2007-03-05 00:00:00,ww_24,12.0,4.0,7.6,2.958,0.24,1.44,0.28,73.91,1404.0,23.0,5.0,24.0,142.0,656.5,0.3,2.9,4.0,0.003,0.001,,5.26,8.38,1000.0,,8.7,0.0,0.0,0.0466,0.0365,0.074,0.08,0.0,0.0003,79.05,69.51,0.0008,0.0,0.0,0.003,0.0,1.05,0.034,0.0,0.0,28.25,25.309,0.0726,0.053,0.0,,0.003,0.0,0.0,0.0,0.0,0.0,0.034,0.018,3.32,,,,,,
2007-03-05 00:00:00,ww_109,11.2,2.1,7.84,2.647,0.32,1.53,0.27,72.37,1206.0,27.0,6.0,25.0,142.0,659.0,0.25,2.9,0.0,0.004,0.0008,,6.22,6.47,760.0,,5.6,0.0,0.0,0.0453,0.0372,0.074,0.08,0.0,0.0004,75.66,70.1,0.0009,0.0,0.0,0.003,0.0,1.16,0.035,0.0,0.001,27.17,25.533,0.0765,0.0547,0.0,,0.003,0.0,0.0,0.0,0.0,0.0,0.031,0.017,4.06,,,,,,
