collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes_(total)(ug/l),m__and/or_p_xylenes(ug/l),o_xylene(ug/l)
2007-05-07 00:00:00,ww_12,11.6,22.3,8.12,0.0,0.03,1.79,0.08,101.47,922.0,11.0,6.0,8.56,241.0,307.5,0.22,6.0,0.0,0.0,0.0012,,<5.93,5.33,170.0,,35.0,0.0,0.0,0.0491,0.0452,0.086,*0.098,0.0,0.0,84.34,89.19,0.0007,0.0,0.0,0.0,0.0,0.71,0.02,0.004,0.004,38.24,39.776,0.1398,0.0248,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.011,0.007,2.84,,,,,,
2007-05-07 00:00:00,ww_13,8.8,19.2,8.1,3.292,0.07,1.92,0.52,75.13,676.0,24.0,8.0,7.11,252.0,178.1,0.32,6.1,3.0,0.0,0.0012,,<5.95,6.12,20.0,,13.0,0.0,0.0,0.0403,0.0403,0.101,*0.115,0.0,0.0005,70.7,79.46,0.0008,0.0,0.0,0.0,0.0,0.67,0.064,0.0,0.002,34.26,38.342,0.0717,0.0409,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.015,0.014,2.32,,,,,,
2007-05-07 00:00:00,ww_78,9.1,17.7,7.7,4.017,0.22,1.8,0.38,108.51,882.0,10.0,4.0,2.17,227.0,226.7,0.97,5.6,4.0,0.003,0.0011,,<6.53,12.2,30.0,,3.7,0.0,0.0,0.0266,0.0234,0.256,0.282,0.0,0.0,83.52,75.81,0.0006,0.0007,0.0,0.0,0.0,0.09,0.042,0.0,0.0,32.87,30.227,0.0356,0.0299,0.0,,0.005,0.0048,0.0,0.0,0.0,0.0,0.036,0.039,1.9,,,,,,
2007-05-07 00:00:00,ww_17,8.7,16.9,7.96,3.223,0.07,1.39,0.53,77.14,706.0,24.0,7.0,9.92,241.0,190.4,0.32,5.9,3.0,0.0,0.0008,,<6.18,5.62,50.0,,12.2,0.0,0.0,0.0442,0.0404,0.108,*0.117,0.0,0.0003,79.03,83.0,0.0008,0.0,0.0,0.0,0.0,0.7,0.023,0.012,0.001,37.3,38.811,0.075,0.0356,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.017,3.66,,,,,,
2007-05-07 00:00:00,ww_19,8.2,16.2,8.2,2.889,0.07,1.38,0.44,79.13,730.0,21.0,6.0,8.98,251.0,207.6,0.37,5.6,3.0,0.0,0.0009,,<6.20,8.54,99.0,,9.3,0.0,0.0,0.0395,0.0373,0.115,*0.123,0.0,0.0003,75.9,80.84,0.0009,0.0,0.0,0.0,0.0,0.55,0.023,0.006,0.001,36.06,37.595,0.0615,0.0342,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.019,0.018,2.54,,,,,,
2007-05-07 00:00:00,ww_20,8.4,16.9,8.14,2.79,0.06,1.86,0.42,78.27,728.0,22.0,8.0,12.3,242.0,198.8,0.38,5.7,3.0,0.0,0.0011,,<6.22,7.75,140.0,,9.9,0.0,0.0,0.0409,0.0389,0.118,*0.125,0.0,0.0,77.05,80.76,0.001,0.0,0.0,0.0,0.0,0.61,0.022,0.004,0.001,36.65,37.7,0.0639,0.0312,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.018,0.018,3.07,,,,,,
2007-05-07 00:00:00,ww_24,8.3,15.2,7.9,6.043,0.1,1.06,0.6,121.18,952.0,16.0,6.0,11.1,193.0,288.4,0.45,3.7,0.0,0.0,0.0011,,<6.71,4.95,70.0,90.0,17.0,0.0,0.0,0.0393,0.0375,0.174,0.196,0.0,0.0003,85.83,88.12,0.0012,0.0,0.0,0.003,0.0,0.85,0.016,0.004,0.001,35.68,38.168,0.0619,0.0319,0.0,,0.004,0.0024,0.0,0.0,0.0,0.0,0.029,0.025,0.0,,,,,,
2007-05-07 00:00:00,ww_109,6.9,15.0,8.3,5.198,0.08,1.09,0.52,120.54,956.0,13.0,7.0,7.72,206.0,304.7,0.41,3.6,3.0,0.0,0.0006,,<6.63,10.15,210.0,110.0,7.5,0.0,0.0,0.0416,0.04,0.19,0.199,0.0,0.0,85.74,93.15,0.0005,0.0,2.0,0.002,0.0,0.38,0.017,0.005,0.002,38.09,40.04,0.0462,0.0356,0.0,,0.003,0.0023,0.0,0.0,0.0,0.0,0.021,0.026,0.694,,,,,,
2007-05-07 00:00:00,ww_22,8.8,15.3,8.4,3.412,0.09,1.22,0.46,85.06,760.0,21.0,7.0,10.3,229.0,216.4,0.38,5.1,3.0,0.0,0.0009,,<6.59,8.68,80.0,,8.4,0.0,0.0,0.0412,0.0389,0.134,0.141,0.0,0.0,80.0,83.17,0.0008,0.0007,2.0,0.0,0.0,0.58,0.021,0.004,0.001,36.94,38.197,0.056,0.0258,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.021,0.031,1.82,,,,,,
2007-05-07 00:00:00,ww_23,8.7,21.2,7.9,3.29,0.12,1.25,0.46,85.58,788.0,19.0,5.0,7.99,242.0,233.3,0.36,5.1,3.0,0.0,0.0011,,<5.50,<4.39,100.0,,9.0,0.0,0.0,0.04,0.039,0.138,0.139,0.0,0.0003,75.71,81.62,0.0008,0.0,0.0,0.002,0.0,0.55,0.018,0.004,0.001,35.79,37.765,0.0502,0.0282,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.018,0.016,***na,,,,,,
2007-05-07 00:00:00,ww_29,8.7,17.0,7.8,3.563,0.11,1.99,0.45,89.08,806.0,24.0,3.0,7.44,228.0,225.9,0.37,5.2,3.0,0.0,0.0011,,<5.60,5.35,40.0,,18.3,0.0,0.0,0.0423,0.0396,0.129,0.138,0.0,0.0,76.43,85.42,0.001,0.0,0.0,0.002,0.0,0.68,0.015,0.004,0.0,36.02,38.415,0.0597,0.029,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.02,0.016,0.903,,,,,,
2007-05-07 00:00:00,ww_91,11.0,17.9,7.9,3.189,0.12,1.53,0.56,87.45,820.0,35.0,7.0,21.2,236.0,229.7,0.34,5.3,3.0,0.0,0.001,,<5.92,7.19,20.0,,27.1,0.0,0.0,0.0416,0.0392,0.125,0.134,0.0,0.0005,83.76,83.12,0.001,0.0,0.0,0.0,0.0,0.64,0.014,0.005,0.001,35.53,38.086,0.0561,0.0217,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.019,0.016,2.02,,,,,,
