Collect    ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,TDS,SS  ,VSS ,TURB,ALK,CL   ,F    ,TOC ,Phenol,CN   ,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,E COLI,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Hg LL,Benzene,Ethylbenzene,Toluene,Xylenes (total),m- and/or p-Xylenes,o-Xylene
 date      ,point,mg/L,Deg C,     ,mg/L, mg/L , mg/L,mg/L, mg/L ,mg/L,mg/L,mg/L,NTU,mg/L,mg/L, mg/L,mg/L,ug/L, mg/L,mg/L,mg/L,alpha,beta,cts/100mL,cts/100mL,yll-A   , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , ug/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ug/L,ug/L, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
           ,      ,    ,    ,     ,      ,      ,     ,     ,     ,      ,    ,    ,    ,    ,      ,    ,     ,    ,      ,     ,      ,    ,     ,     ,     ,     ,     ,     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-10-01 00:00:00,WW_12,6.1,18.3,7.3,0.258,0.02,0.85,0.13,56.63,392.0,25.0,5.0,23.6,124.0,116.9,0.24,6.6,0.0,0.0,0.0008,,<4.75,6.96,7300.0,3700.0,15.6,0.0,0.0,0.036,0.0316,0.091,0.086,0.0,0.0,41.74,39.9,0.0014,0.0009,0.0,0.003,0.0,0.77,0.054,0.005,0.0,17.72,17.284,0.0998,0.045,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.013,0.0132,1.43,<2,<2,<2,<2,<2,<3
2007-10-01 00:00:00,WW_13,6.7,18.9,7.68,6.488,0.13,1.01,1.42,76.78,574.0,28.0,5.0,15.7,196.0,140.9,0.54,6.1,0.0,0.0,0.001,,<5.56,11.45,510.0,,4.3,0.0,0.0,0.0536,0.0374,0.2,0.205,0.0,0.0,64.9,47.86,0.0016,0.0009,0.0,0.002,0.0,0.66,0.032,0.006,0.0044,28.11,21.685,0.0779,0.0348,0.0,,0.002,0.0006,0.0,0.0,0.0,0.0,0.021,0.0189,1.1,<2,<2,<2,<2,<2,<3
2007-10-01 00:00:00,WW_77,7.0,18.8,7.73,0.496,0.13,0.59,0.16,15.6,186.0,36.0,8.0,32.4,61.0,54.1,0.28,6.3,0.0,0.0,0.0008,,<3.81,6.61,25000.0,15000.0,,0.0,0.0,0.0266,0.0145,0.038,0.039,0.0,0.0,22.0,15.03,0.0039,0.001,0.0,0.008,0.003,1.14,0.065,0.006,0.0,6.48,4.288,0.0599,0.0204,0.0,,0.002,0.0005,0.0,0.0,0.0,0.0,0.044,0.0149,4.12,<2,<2,<2,<2,<2,<3
2007-10-01 00:00:00,WW_78,8.2,20.5,7.56,9.234,0.31,1.34,1.45,111.04,646.0,0.0,0.0,4.53,156.0,154.5,1.22,5.6,0.0,0.004,0.0016,,<5.50,15.33,850.0,440.0,,0.0,0.0,0.0137,0.0106,0.323,0.332,0.0,0.0,67.43,54.58,0.002,0.0014,0.0,0.002,0.0,0.16,0.048,0.006,0.0,23.46,19.944,0.0252,0.0162,0.0,,0.01,0.0076,0.0,0.0,0.0,0.0,0.051,0.0405,0.603,<2,<2,<2,<2,<2,<3
2007-10-01 00:00:00,WW_17,6.4,18.8,7.6,3.841,0.11,1.09,0.85,76.5,532.0,32.0,5.0,18.9,170.0,137.1,0.39,6.3,0.0,0.0,0.0008,,<5.44,7.2,2000.0,,3.7,0.0,0.0,0.0404,0.0299,0.148,0.153,0.0,0.0,61.14,49.05,0.0023,0.0009,0.0,0.003,0.0,0.81,0.041,0.007,0.0,25.8,21.566,0.0759,0.0384,0.0,,0.0,0.0004,0.0,0.0,0.0,0.0,0.02,0.0083,1.63,<2,<2,<2,<2,<2,<3
2007-10-01 00:00:00,WW_19,6.1,20.1,7.73,4.738,0.1,1.08,0.96,75.59,526.0,50.0,8.0,34.5,164.0,137.4,0.56,5.8,0.0,0.0,0.0008,,<5.49,12.19,3200.0,,1.5,0.0,0.0,0.0368,0.0308,0.183,0.182,0.0,0.0004,59.27,57.94,0.0051,0.0009,0.0,0.004,0.0,1.25,0.039,0.008,0.0,24.52,24.11,0.0651,0.0353,0.0,,0.004,0.0026,0.0,0.0,0.0,0.0,0.033,0.0176,,<2,<2,<2,<2,<2,<3
2007-10-01 00:00:00,WW_20,6.4,20.2,7.7,4.426,0.06,0.98,0.87,74.97,524.0,29.0,3.0,22.4,171.0,132.7,0.5,6.1,0.0,0.0,0.0006,,<5.41,11.23,3500.0,,1.6,0.0,0.0,0.0384,0.0275,0.176,0.175,0.0,0.0,60.96,46.47,0.0033,0.0012,0.0,0.004,0.0,0.76,0.042,0.007,0.0045,25.95,20.779,0.0544,0.0212,0.0,,0.003,0.0018,0.0,0.0,0.0,0.0,0.033,0.0144,2.67,<2,<2,<2,<2,<2,<3
2007-10-01 00:00:00,WW_24,7.5,18.7,7.45,6.362,0.09,0.92,0.97,78.84,482.0,41.0,4.0,35.1,117.0,122.4,0.47,4.4,3.0,0.0,0.001,,<5.02,10.2,930.0,,2.1,0.0,0.0,0.0308,0.0215,0.182,0.183,0.0,0.0,51.51,42.25,0.0039,0.0008,0.0,0.007,0.002,1.38,0.033,0.006,0.0,20.7,17.507,0.0567,0.0195,0.0,,0.004,0.0021,0.0,0.0,0.0,0.0,0.03,0.0139,5.6,<2,<2,<2,<2,<2,<3
