collect,sampling,do,temp,ph,no2+no3,nh3_n,tkn,tot_p,so4,tds,ss,vss,turb,alk,cl,f,toc,phenol,cn,cn_wad,fog,radiochem,radiochem,fec_col,e_coli,chloroph,as_tot,as_sol,ba_tot,ba_sol,b_tot,b_sol,cd_tot,cd_sol,ca_tot,ca_sol,cr_tot,cr_sol,cr6,cu_tot,cu_sol,fe_tot,fe_sol,pb_tot,pb_sol,mg_tot,mg_sol,mn_tot,mn_sol,hg_tot,hg_sol,ni_tot,ni_sol,se_tot,se_sol,ag_tot,ag_sol,zn_tot,zn_sol,hg_ll,benzene,ethylbenzene,toluene,xylenes_(total),m__and/or_p_xylenes,o_xylene
date,point,mg/l,deg_c,,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ntu,mg/l,mg/l,mg/l,mg/l,ug/l,mg/l,mg/l,mg/l,alpha,beta,cts/100ml,cts/100ml,yll_a,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ug/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ng/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-04 00:00:00,ww_12,4.8,23.5,7.7,0.417,0.33,1.35,0.0,43.4,568.0,63.0,14.0,35.8,145.0,161.0,0.0,12.9,0.0,0.0,0.0,,2.5,6.1,11000.0,,14.3,0.0,0.0,0.0484,0.0356,0.118,0.068,0.0,0.0,52.12,47.34,0.0029,0.0,0.0,0.0,0.0,1.87,0.061,0.0,0.0,24.27,22.269,0.2255,0.0922,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.01,8.46,<2,<2,<2,<3,<3,<3
2008-08-04 00:00:00,ww_13,7.2,23.6,8.5,6.83,0.14,1.4,1.26,71.3,694.0,50.0,13.0,30.2,190.0,171.0,0.54,5.5,0.0,0.0,0.0,,<2.30,9.9,730.0,,74.2,0.0,0.0,0.0449,0.0344,0.212,0.186,0.0,0.0,71.77,67.78,0.0,0.0,0.0,0.0,0.0,1.35,0.039,0.0,0.0,30.83,29.675,0.1206,0.0055,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.017,2.48,<2,<2,<2,<3,<3,<3
2008-08-04 00:00:00,ww_77,6.1,22.3,8.0,0.497,0.36,0.92,0.0,44.7,690.0,68.0,10.0,47.9,140.0,235.0,0.32,6.1,0.0,0.0,0.0,,<2.50,6.4,3200.0,,9.2,0.0,0.0,0.0696,0.0528,0.159,0.142,0.0,0.0,63.47,55.68,0.0037,0.0,0.0,0.0,0.0,2.13,0.038,0.0,0.0,22.16,19.465,0.1337,0.0796,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.017,6.36,<2,<2,<2,<3,<3,<3
2008-08-04 00:00:00,ww_78,7.4,22.2,7.8,5.793,0.37,1.2,0.78,81.9,684.0,25.0,4.0,19.0,148.0,179.0,0.68,5.7,0.0,0.013,0.0088,,<2.30,10.3,3900.0,,4.0,0.0,0.0,0.0299,0.0252,0.231,0.218,0.0,0.0,70.92,66.52,0.0,0.0,0.0,0.0,0.0,0.64,0.048,0.0,0.0,24.62,23.542,0.0505,0.0332,0.0,,0.0,0.0042,0.0,0.0,0.0,0.0,0.054,0.046,4.55,<2,<2,<2,<3,<3,<3
2008-08-04 00:00:00,ww_17,6.8,23.9,7.8,5.301,0.0,1.62,1.28,67.3,722.0,42.0,14.0,15.6,195.0,190.0,0.53,5.9,0.0,0.006,0.0,,<3.10,8.6,2000.0,,123.7,0.0,0.0,0.047,0.0363,0.19,0.176,0.0,0.0,74.2,68.22,0.0,0.0,0.0,0.0,0.0,1.02,0.0,0.0,0.0,31.68,29.851,0.1368,0.0034,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.013,2.3,<2,<2,<2,<3,<3,<3
2008-08-04 00:00:00,ww_19,6.7,21.6,8.5,4.648,0.11,1.75,0.98,76.1,712.0,53.0,15.0,30.5,170.0,181.0,0.54,6.0,0.0,0.0,0.0,,2.0,6.5,4700.0,,79.9,0.0,0.0,0.0422,0.0324,0.187,0.176,0.0,0.0,68.86,62.71,0.0028,0.0,0.0,0.0,0.0,1.22,0.0,0.0,0.0,28.88,26.989,0.1187,0.0107,0.0,,0.0,0.0021,0.0,0.0,0.0,0.0,0.038,0.022,4.47,<2,<2,<2,<3,<3,<3
2008-08-04 00:00:00,ww_20,6.2,24.3,8.4,4.251,0.0,1.41,0.93,71.1,670.0,53.0,12.0,35.2,168.0,180.0,0.51,5.7,0.0,0.0,0.0,,<1.60,6.1,3000.0,,84.7,0.0,0.0,0.046,0.034,0.19,0.173,0.0,0.0,70.78,62.73,0.0033,0.0,0.0,0.0,0.0,1.44,0.0,0.0,0.0,29.97,27.137,0.1122,0.0032,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.016,5.72,<2,<2,<2,<3,<3,<3
2008-08-04 00:00:00,ww_24,5.4,24.3,7.5,5.349,0.16,0.87,0.6,57.6,596.0,28.0,5.0,15.2,113.0,180.0,0.44,4.1,0.0,0.0,0.0,,<1.50,3.3,300.0,300.0,3.5,0.0,0.0,0.0308,0.0254,0.136,0.137,0.0,0.0,50.5,47.72,0.0,0.0,0.0,0.0,0.0,0.78,0.057,0.0,0.0,21.52,20.671,0.0584,0.0332,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,2.47,<2,<2,<2,<3,<3,<3
