collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes_(total)(ug/l),m__and/or_p_xylenes(ug/l),o_xylene(ug/l)
2008-12-01 00:00:00,ww_12,11.4,2.3,7.73,0.248,0.0,0.85,0.0,86.79,924.0,21.0,6.0,14.6,211.0,286.0,0.21,5.3,0.0,0.0,0.0,,<5.10,6.8,600.0,,16.5,6.0,0.0,0.0443,0.0414,0.166,0.088,0.0,0.0,84.96,82.41,0.0,0.0,0.0,0.0,0.0,0.74,0.045,0.043,0.044,36.6,35.534,0.0896,0.0419,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,<2,<2,<2,<3,<3,<3
2008-12-01 00:00:00,ww_13,10.9,3.7,7.61,7.099,0.0,0.95,1.15,74.17,704.0,12.0,6.0,11.3,202.0,171.0,0.47,4.6,6.0,0.0,0.0,,<3.00,8.7,530.0,400.0,11.5,0.0,0.0,0.0357,0.0322,0.219,0.182,0.0,0.0,74.07,73.6,0.0,0.0,0.0,0.0,0.0,0.51,0.043,0.039,0.038,31.46,31.527,0.0478,0.0325,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,1.5,<2,<2,<2,<3,<3,<3
2008-12-01 00:00:00,ww_77,10.7,1.4,7.72,0.499,0.15,0.95,0.0,28.57,740.0,18.0,7.0,20.9,95.0,330.0,0.0,4.8,0.0,0.0,0.0,,<1.80,3.0,2300.0,,6.9,0.0,0.0,0.0384,0.0339,0.058,0.048,0.0,0.0,38.31,38.3,0.0025,0.0,0.0,0.0,0.0,0.85,0.135,0.03,0.032,11.9,11.638,0.083,0.0482,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.013,4.59,<2,<2,<2,<3,<3,<3
2008-12-01 00:00:00,ww_78,9.0,12.2,7.4,11.971,0.42,1.95,2.32,83.76,714.0,6.0,5.0,5.29,132.0,189.0,0.69,5.6,5.0,0.0,0.0,,<1.40,5.9,4200.0,,0.9,0.0,0.0,0.0186,0.0169,0.24,0.228,0.0,0.0,66.8,68.32,0.0025,0.0,0.0,0.0,0.0,0.18,0.06,0.034,0.037,24.48,24.507,0.038,0.0227,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.033,1.71,<2,<2,<2,<3,<3,<3
2008-12-01 00:00:00,ww_17,9.7,5.7,7.71,4.474,0.1,0.82,0.72,66.0,748.0,14.0,7.0,13.9,172.0,217.0,0.37,4.6,0.0,0.0,0.0,,<1.60,3.2,940.0,750.0,11.3,0.0,0.0,0.0349,0.032,0.155,0.147,0.0,0.0,69.75,67.37,0.0028,0.0,0.0,0.0,0.0,0.62,0.05,0.033,0.038,29.27,27.559,0.0645,0.0411,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,2.86,<2,<2,<2,<3,<3,<3
2008-12-01 00:00:00,ww_19,10.7,3.7,7.52,5.12,0.13,1.01,0.94,66.94,702.0,22.0,7.0,20.1,167.0,217.0,0.39,5.2,0.0,0.0,0.0,,<1.80,3.4,2600.0,2500.0,7.2,0.0,0.0,0.0335,0.03,0.163,0.158,0.0,0.0,66.15,66.22,0.0033,0.0,0.0,0.0,0.0,0.78,0.055,0.036,0.041,26.91,26.323,0.0598,0.036,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.013,3.29,<2,<2,<2,<3,<3,<3
2008-12-01 00:00:00,ww_20,9.2,4.4,7.95,5.897,0.13,1.13,1.09,67.45,684.0,24.0,9.0,18.5,161.0,198.0,0.42,5.3,6.0,0.0,0.0,,1.7,4.5,3000.0,1500.0,6.1,0.0,0.0,0.0321,0.0279,0.173,0.168,0.0,0.0,61.26,64.88,0.0037,0.0,0.0,0.0,0.0,0.8,0.044,0.037,0.039,24.8,25.819,0.0794,0.0335,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.022,3.81,<2,<2,<2,<3,<3,<3
2008-12-01 00:00:00,ww_24,10.9,4.8,6.6,10.188,0.0,0.93,1.06,87.35,696.0,21.0,8.0,16.7,138.0,181.0,0.54,4.0,5.0,0.0,0.0,,2.3,5.8,2200.0,,16.4,0.0,0.0,0.0283,0.0245,0.19,0.186,0.0,0.0,73.44,71.6,0.0031,0.0,0.0,0.0,0.0,0.82,0.046,0.036,0.043,27.77,26.99,0.0445,0.0259,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.019,5.85,<2,<2,<2,<3,<3,<3
2008-12-01 00:00:00,ww_109,9.7,3.9,7.1,8.497,0.14,1.1,1.0,70.74,714.0,16.0,7.0,15.3,120.0,223.0,0.49,4.7,0.0,0.0,0.0,,<1.70,5.8,4100.0,,10.3,0.0,0.0,0.0301,0.0236,0.195,0.173,0.0,0.0,61.28,62.15,0.0027,0.0,0.0,0.0,0.0,0.67,0.063,0.035,0.038,22.16,22.308,0.0756,0.0331,0.0,,0.0,0.003,0.0,0.0,0.0,0.0,0.039,0.022,3.08,<2,<2,<2,<3,<3,<3
2008-12-01 00:00:00,ww_22,8.5,3.1,7.4,6.589,0.12,1.06,0.99,71.65,680.0,22.0,8.0,16.5,161.0,183.0,0.47,5.1,0.0,0.0,0.0,,<2.30,8.7,3400.0,3300.0,10.7,0.0,0.0,0.0314,0.0269,0.204,0.195,0.0,0.0,66.61,67.41,0.0028,0.0,0.0,0.0,0.0,0.72,0.049,0.037,0.035,26.84,26.44,0.0491,0.0239,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.02,3.66,<2,<2,<2,<3,<3,<3
2008-12-01 00:00:00,ww_23,6.5,2.7,7.9,8.102,0.0,0.94,1.15,90.31,740.0,10.0,5.0,8.13,187.0,185.0,0.54,4.3,7.0,0.0,0.0,,<2.30,9.7,350.0,340.0,11.6,0.0,0.0,0.0302,0.0283,0.244,0.247,0.0,0.0,77.04,76.13,0.0,0.0,0.0,0.0,0.0,0.31,0.045,0.038,0.043,32.11,31.329,0.0263,0.014,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.019,1.96,<2,<2,<2,<3,<3,<3
2008-12-01 00:00:00,ww_29,9.6,2.8,8.2,8.443,0.0,0.92,1.25,87.72,712.0,9.0,6.0,5.73,176.0,170.0,0.52,4.4,5.0,0.0,0.0,,<2.30,9.1,190.0,240.0,15.0,0.0,0.0,0.0285,0.027,0.231,0.228,0.0,0.0,75.56,75.02,0.0,0.0,0.0,0.0,0.0,0.26,0.032,0.039,0.038,30.99,30.888,0.0285,0.0155,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.018,1.58,<2,<2,<2,<3,<3,<3
2008-12-01 00:00:00,ww_91,7.2,8.9,7.8,8.061,0.0,0.98,1.2,89.51,712.0,9.0,6.0,7.4,180.0,170.0,0.52,4.4,0.0,0.0,0.0,,<4.10,7.0,60.0,70.0,20.7,0.0,0.0,0.0291,0.0269,0.23,0.219,0.0,0.0,76.15,75.54,0.0,0.0,0.0,0.0,0.0,0.3,0.029,0.038,0.043,31.5,31.28,0.0241,0.0121,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.015,1.61,<2,<2,<2,<3,<3,<3
2008-12-01 00:00:00,ww_80,8.4,9.2,7.2,9.307,0.0,1.09,0.0,65.65,628.0,8.0,6.0,3.01,123.0,164.0,0.45,4.6,0.0,0.0,0.0,,<2.70,7.5,900.0,,18.6,0.0,0.0,0.024,0.0231,0.161,0.155,0.0,0.0,62.92,62.04,0.0,0.0,0.0,0.0,0.0,0.16,0.048,0.036,0.035,23.64,23.077,0.124,0.0161,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.89,<2,<2,<2,<3,<3,<3
2008-12-01 00:00:00,ww_18,10.3,7.2,7.4,9.785,0.0,0.96,0.0,64.57,618.0,9.0,8.0,4.99,119.0,171.0,0.45,4.6,0.0,0.0,0.0,,<1.50,4.8,1100.0,,18.4,0.0,0.0,0.0227,0.0216,0.158,0.151,0.0,0.0,62.16,61.18,0.0,0.0,0.0,0.0,0.0,0.25,0.058,0.035,0.035,23.22,22.812,0.0543,0.0662,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,1.48,<2,<2,<2,<3,<3,<3
2008-12-01 00:00:00,ww_90,8.7,1.9,7.8,0.259,0.0,0.62,0.0,56.89,818.0,10.0,5.0,9.0,246.0,244.0,0.23,4.2,0.0,0.0,0.0,,<2.00,3.0,90.0,,9.3,0.0,0.0,0.0562,0.0554,0.053,0.048,0.0,0.0,83.78,83.5,0.0,0.0,0.0,0.0,0.0,0.65,0.031,0.038,0.046,35.38,35.532,0.1149,0.1088,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.91,<2,<2,<2,<3,<3,<3
