collect,sampling,do,temp,ph,no2+no3,nh3_n,tkn,tot_p,so4,tds,ss,vss,turb,alk,cl,f,toc,phenol,cn,cn_wad,fog,radiochem,radiochem,fec_col,e_coli,chloroph,as_tot,as_sol,ba_tot,ba_sol,b_tot,b_sol,cd_tot,cd_sol,ca_tot,ca_sol,cr_tot,cr_sol,cr6,cu_tot,cu_sol,fe_tot,fe_sol,pb_tot,pb_sol,mg_tot,mg_sol,mn_tot,mn_sol,hg_tot,hg_sol,ni_tot,ni_sol,se_tot,se_sol,ag_tot,ag_sol,zn_tot,zn_sol,hg_ll,benzene,ethylbenzene,toluene,xylenes_(total),m__and/or_p_xylenes,o_xylene
date,point,mg/l,deg_c,,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ntu,mg/l,mg/l,mg/l,mg/l,ug/l,mg/l,mg/l,mg/l,alpha,beta,cts/100ml,cts/100ml,yll_a,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ug/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ng/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-02-04 00:00:00,ww_12,9.5,na,na,0.542,0.1,1.11,0.0,148.75,1774.0,20.0,5.0,16.4,249.0,867.9,0.0,3.4,0.0,0.0,0.0,,<3.10,2.9,200.0,,25.7,0.0,0.0,0.063,0.0658,0.104,0.101,0.0,0.0,119.14,126.94,0.0,0.0,0.0,0.0,0.0,0.57,0.052,0.0,0.0,50.44,55.462,0.131,0.1209,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,<2,<2,<2,<3,<3,<3
2008-02-04 00:00:00,ww_13,6.9,na,na,5.96,0.17,1.07,0.69,83.97,762.0,14.0,3.0,9.53,208.0,294.0,0.34,4.7,0.0,0.0,0.0,,<1.60,4.1,1100.0,,5.1,0.0,0.0,0.0388,0.0374,0.135,0.13,0.0,0.0,83.41,85.68,0.0,0.0,0.0,0.0,0.0,0.53,0.043,0.0,0.0,36.29,39.092,0.0668,0.0579,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.015,0.0,<2,<2,<2,<3,<3,<3
2008-02-04 00:00:00,ww_78,7.4,na,na,8.487,0.59,2.23,0.9,109.04,930.0,12.0,7.0,6.87,161.0,465.2,0.96,6.2,0.0,0.0,0.0,,<2.10,6.8,2300.0,,4.2,0.0,0.0,0.0305,0.0277,0.288,0.277,0.0,0.0,82.15,83.55,0.01,0.0,0.0,0.0,0.0,0.44,0.066,0.0,0.0,29.63,31.517,0.3422,0.3081,0.0,,0.026,0.0205,0.0,0.0,0.0,0.0,0.096,0.0662,0.0,<2,<2,<2,<3,<3,<3
2008-02-04 00:00:00,ww_19,6.1,na,na,5.531,0.15,1.01,0.65,91.45,1356.0,12.0,3.0,9.77,199.0,686.1,0.41,3.5,0.0,0.0,0.0,,<3.10,5.2,1000.0,,5.6,0.0,0.0,0.046,0.0447,0.153,0.146,0.0,0.0,91.12,92.89,0.0028,0.0,0.0,0.0,0.0,0.46,0.046,0.0,0.0,36.91,39.293,0.07,0.0625,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0238,0.0,<2,<2,<2,<3,<3,<3
2008-02-04 00:00:00,ww_20,7.0,na,na,5.402,0.18,1.04,0.62,95.09,1254.0,10.0,4.0,8.68,208.0,623.3,0.45,3.8,0.0,0.0,0.0,,<2.60,4.0,940.0,,5.6,0.0,0.0,0.0459,0.0455,0.165,0.159,0.0,0.0,89.52,93.34,0.0037,0.0,0.0,0.0,0.0,0.42,0.044,0.0,0.0,36.49,39.568,0.103,0.095,0.0,,0.0,0.0038,0.0,0.0,0.0,0.0,0.039,0.0298,0.0,<2,<2,<2,<3,<3,<3
2008-02-04 00:00:00,ww_24,11.5,3.1,7.96,8.763,0.13,0.95,0.7,110.7,1414.0,12.0,4.0,9.61,157.0,792.4,0.49,2.6,0.0,0.0,0.0,,<3.20,4.2,3600.0,2500.0,18.1,0.0,0.0,0.0457,0.043,0.236,0.219,0.0,0.0,98.02,99.29,0.0,0.0,0.0,0.0,0.0,0.55,0.039,0.0,0.0,35.29,36.822,0.0661,0.0489,0.0,,0.0,0.0028,0.0,0.0,0.0,0.0,0.042,0.0278,0.895,<2,<2,<2,<3,<3,<3
2008-02-04 00:00:00,ww_29,10.8,1.0,7.93,6.134,0.28,1.02,0.69,98.54,1296.0,6.0,0.0,7.35,200.0,695.7,0.44,3.2,0.0,0.0,0.0,,<3.10,5.6,760.0,,5.7,0.0,0.0,0.0449,0.0438,0.175,0.163,0.0,0.0,94.68,95.73,0.0,0.0,0.0,0.0,0.0,0.26,0.039,0.0,0.0,37.78,39.371,0.051,0.0452,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0246,0.0,<2,<2,<2,<3,<3,<3
2008-02-04 00:00:00,ww_91,9.2,1.1,7.98,5.88,0.22,1.15,0.7,101.6,1280.0,8.0,0.0,5.78,194.0,611.2,0.44,3.2,0.0,0.0,0.0,,2.8,4.7,380.0,,5.7,0.0,0.0,0.0451,0.0434,0.181,0.168,0.0,0.0,96.0,96.51,0.0,0.0,0.0,0.0,0.0,0.33,0.046,0.0,0.0,38.32,39.927,0.0518,0.0437,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0265,0.0,<2,<2,<2,<3,<3,<3
