collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes_(total)(ug/l),m__and/or_p_xylenes(ug/l),o_xylene(ug/l)
2008-01-07 00:00:00,ww_12,11.2,5.1,7.6,0.793,0.13,1.01,0.0,112.46,1492.0,19.0,4.0,14.6,209.0,650.7,0.23,3.3,0.0,0.0,0.0,,<4.20,5.0,370.0,300.0,3.9,0.0,0.0,0.0568,0.0517,0.101,0.089,0.0,0.0,96.05,97.96,0.0,0.0,0.0,0.0,0.0,0.76,0.056,0.0,0.0,40.21,41.705,0.1286,0.1036,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.0,,,,,,
2008-01-07 00:00:00,ww_13,10.4,7.2,7.7,3.982,0.1,1.07,0.41,82.67,1000.0,19.0,4.0,12.7,220.0,367.7,0.4,4.5,0.0,0.0,0.0,,<2.80,7.4,1100.0,,3.8,0.0,0.0,0.0445,0.0393,0.109,0.102,0.0,0.0,82.33,83.9,0.0,0.0,0.0,0.0,0.0,0.64,0.055,0.0,0.0,35.97,37.427,0.0647,0.0425,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0113,0.0,,,,,,
2008-01-07 00:00:00,ww_77,9.7,9.2,7.8,0.958,0.12,0.99,0.0,61.65,2084.0,25.0,6.0,16.9,147.0,1073.4,0.3,1.9,0.0,0.0,0.0,,<3.80,2.2,230.0,220.0,10.7,0.0,0.0,0.0804,0.073,0.074,0.068,0.0,0.0,85.19,82.64,0.0,0.0,0.0,0.0,0.0,0.69,0.068,0.0,0.0,26.36,26.387,0.1128,0.0997,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.0296,0.891,,,,,,
2008-01-07 00:00:00,ww_78,9.5,17.0,7.4,6.674,0.0,1.27,0.57,78.49,1374.0,5.0,0.0,6.56,182.0,609.7,0.57,2.6,0.0,0.0,0.0,,<4.40,9.5,3300.0,2000.0,2.1,0.0,0.0,0.039,0.0362,0.177,0.166,0.0,0.0,86.1,86.94,0.0,0.0,0.0,0.0,0.0,0.13,0.035,0.0,0.0,31.54,32.553,0.0307,0.0269,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.0237,0.0,,,,,,
2008-01-07 00:00:00,ww_17,9.9,8.3,7.9,3.845,0.14,1.2,0.44,85.58,1140.0,24.0,5.0,15.1,215.0,448.0,0.41,4.0,0.0,0.016,0.0,,<4.80,6.2,680.0,,8.9,0.0,0.0,0.0498,0.0435,0.107,0.102,0.0,0.0,87.75,86.52,0.0,0.0,0.0,0.0,0.0,0.79,0.049,0.0,0.0,36.69,37.689,0.0787,0.0517,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0115,0.0,,,,,,
2008-01-07 00:00:00,ww_19,10.0,9.2,7.8,4.108,0.13,1.18,0.54,85.39,1214.0,26.0,5.0,15.9,214.0,485.9,0.35,3.9,0.0,0.03,0.0,,<3.40,6.7,860.0,,4.3,0.0,0.0,0.0504,0.0435,0.12,0.114,0.0,0.0,88.9,85.22,0.0,0.0,0.0,0.0,0.0,0.78,0.044,0.0,0.0,36.37,36.168,0.0667,0.0421,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0154,1.11,,,,,,
2008-01-07 00:00:00,ww_20,10.0,8.6,7.9,3.967,0.18,1.22,0.46,86.59,1240.0,21.0,5.0,16.5,215.0,504.6,0.31,4.0,0.0,0.02,0.0,,<3.40,7.9,640.0,,4.2,0.0,0.0,0.05,0.0448,0.142,0.137,0.0,0.0,88.33,85.36,0.0,0.0,0.0,0.0,0.0,0.7,0.042,0.0,0.0,36.17,36.316,0.0653,0.0435,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0181,1.59,,,,,,
2008-01-07 00:00:00,ww_24,9.5,17.4,6.7,7.277,0.23,1.26,0.66,96.13,1516.0,39.0,7.0,26.7,162.0,686.8,0.45,2.9,0.0,0.0,0.0,,<4.50,10.3,2200.0,,9.3,0.0,0.0,0.0507,0.0412,0.17,0.165,0.0,0.0,88.98,90.25,0.0032,0.0,0.0,0.0,0.0,1.3,0.051,0.0,0.0,32.59,33.83,0.1272,0.0802,0.0,,0.0,0.0038,0.0,0.0,0.0,0.0,0.071,0.0341,0.756,,,,,,
2008-01-07 00:00:00,ww_109,9.2,9.9,6.9,7.524,0.28,1.19,0.73,92.52,1642.0,25.0,5.0,19.0,153.0,761.5,0.52,2.6,0.0,0.0,0.0,,<3.80,5.7,2000.0,,10.9,0.0,0.0,0.0535,0.0429,0.199,0.179,0.0,0.0,93.11,84.66,0.0027,0.0,0.0,0.0,0.0,0.98,0.047,0.0,0.0,32.67,31.244,0.1013,0.0756,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0313,1.27,,,,,,
2008-01-07 00:00:00,ww_22,10.6,8.7,6.9,5.264,0.21,1.1,0.6,88.6,1368.0,29.0,7.0,22.0,194.0,596.9,0.5,3.4,0.0,0.017,0.0,,<5.70,6.1,2000.0,,5.9,0.0,0.0,0.05,0.0432,0.144,0.139,0.0,0.0,86.8,84.28,0.0026,0.0,0.0,0.0,0.0,0.87,0.045,0.0,0.0,33.94,34.298,0.0761,0.0479,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0211,0.0,,,,,,
