collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes_(total)(ug/l),m__and/or_p_xylenes(ug/l),o_xylene(ug/l)
2008-06-02 00:00:00,ww_12,5.9,24.0,8.33,0.0,0.0,1.08,0.0,86.6,876.0,18.0,6.0,14.5,194.0,259.0,0.21,6.3,0.0,0.0,0.0,,<2.40,4.1,140.0,,17.3,0.0,0.0,0.0483,0.0429,0.101,0.106,0.0,0.0,73.66,77.73,0.0,0.0,0.0,0.0,0.0,0.92,0.051,0.0,0.0,32.37,35.355,0.2345,0.0818,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,1.81,<2,<2,<2,<3,<3,<3
2008-06-02 00:00:00,ww_13,7.3,21.2,8.12,4.239,0.0,1.28,0.68,74.0,778.0,27.0,7.0,16.6,212.0,188.0,0.38,5.7,0.0,0.0,0.0,,<2.70,6.2,70.0,40.0,20.0,0.0,0.0,0.0429,0.0365,0.146,0.151,0.0,0.0,74.88,75.35,0.0029,0.0,0.0,0.0,0.0,0.89,0.035,0.0,0.0,33.16,35.274,0.1481,0.0581,0.0,,0.077,0.0,0.0,0.0,0.0,0.0,0.036,0.014,2.46,<2,<2,<2,<3,<3,<3
2008-06-02 00:00:00,ww_78,8.4,22.8,7.53,5.734,0.28,1.53,1.03,92.0,756.0,8.0,3.0,3.7,167.0,167.0,0.77,5.4,0.0,0.0,0.0,,<2.60,11.9,20.0,,3.5,0.0,0.0,0.0235,0.0216,0.259,0.256,0.0,0.0,70.91,74.43,0.0,0.0,0.0,0.0,0.0,0.1,0.048,0.0,0.0,26.36,28.3,0.0352,0.0309,0.0,,0.0,0.0043,0.0,0.0,0.0,0.0,0.06,0.0567,1.13,<2,<2,<2,<3,<3,<3
2008-06-02 00:00:00,ww_17,8.3,21.3,8.12,3.491,0.0,1.3,0.62,75.9,800.0,14.0,6.0,15.8,205.0,202.0,0.36,5.4,0.0,0.0,0.0,,<3.70,6.4,160.0,180.0,39.6,0.0,0.0,0.0444,0.039,0.139,0.144,0.0,0.0,74.92,77.76,0.0,0.0,0.0,0.0,0.0,0.73,0.033,0.0,0.0,33.0,35.493,0.1395,0.0522,0.0,,0.0,0.0021,0.0,0.0,0.0,0.0,0.024,0.0114,3.24,<2,<2,<2,<3,<3,<3
2008-06-02 00:00:00,ww_19,7.7,22.2,8.14,3.448,0.0,1.35,0.65,75.7,806.0,20.0,5.0,19.2,193.0,203.0,0.39,5.2,0.0,0.0,0.0,,<2.30,7.1,120.0,99.0,41.1,0.0,0.0,0.0422,0.0362,0.147,0.152,0.0,0.0,73.51,74.08,0.0,0.0,0.0,0.0,0.0,0.65,0.033,0.0,0.0,31.61,33.318,0.1104,0.0381,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0137,3.07,<2,<2,<2,<3,<3,<3
2008-06-02 00:00:00,ww_20,7.3,22.4,8.04,3.491,0.0,1.23,0.61,75.2,794.0,26.0,8.0,18.1,192.0,210.0,0.4,5.2,0.0,0.0,0.0,,<2.20,7.0,120.0,100.0,37.1,0.0,0.0,0.0432,0.037,0.156,0.16,0.0,0.0,72.5,73.7,0.0,0.0,0.0,0.0,0.0,0.73,0.032,0.0,0.0,31.16,32.751,0.1066,0.0329,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0133,2.69,<2,<2,<2,<3,<3,<3
2008-06-02 00:00:00,ww_24,6.7,20.5,7.6,6.602,0.25,1.19,0.79,89.9,888.0,11.0,3.0,11.4,149.0,262.0,0.65,4.0,0.0,0.0,0.0,,<2.90,8.2,70.0,,6.5,0.0,0.0,0.0383,0.0339,0.189,0.191,0.0,0.0,70.14,72.46,0.0,0.0,0.0,0.0,0.0,0.58,0.045,0.0,0.0,29.26,30.978,0.0676,0.0507,0.0,,0.0,0.0029,0.0,0.0,0.0,0.0,0.026,0.0193,2.64,<2,<2,<2,<3,<3,<3
2008-06-02 00:00:00,ww_109,5.4,20.8,7.6,5.978,0.17,1.21,0.83,89.2,862.0,12.0,4.0,14.4,146.0,262.0,0.62,4.0,0.0,0.0,0.0,,<2.70,7.3,100.0,,2.8,0.0,0.0,0.0389,0.034,0.189,0.194,0.0,0.0,68.64,70.91,0.0039,0.0,0.0,0.0,0.0,0.7,0.051,0.0,0.0,28.44,30.389,0.1086,0.049,0.0,,0.0,0.0028,0.0,0.0,0.0,0.0,0.027,0.0176,3.8,<2,<2,<2,<3,<3,<3
2008-06-02 00:00:00,ww_22,8.9,21.5,8.0,3.9,0.0,1.32,0.69,76.0,806.0,24.0,7.0,18.5,179.0,217.0,0.44,5.0,0.0,0.0,0.0,,<3.50,7.5,140.0,120.0,33.6,0.0,0.0,0.0408,0.036,0.161,0.167,0.0,0.0,70.01,72.88,0.0,0.0,0.0,0.0,0.0,0.67,0.033,0.0,0.0,29.72,32.255,0.0798,0.0195,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0135,4.37,<2,<2,<2,<3,<3,<3
2008-06-02 00:00:00,ww_23,7.7,21.8,7.9,3.95,0.0,1.23,0.62,79.8,818.0,22.0,6.0,15.7,166.0,211.0,0.44,4.9,0.0,0.0,0.0,,<2.30,7.2,40.0,9.0,35.7,0.0,0.0,0.0411,0.0356,0.17,0.167,0.0,0.0,68.72,70.24,0.0,0.0,0.0,0.0,0.0,0.69,0.029,0.0,0.0,29.43,31.176,0.079,0.0203,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0137,3.77,<2,<2,<2,<3,<3,<3
2008-06-02 00:00:00,ww_29,8.6,22.1,7.9,3.422,0.0,1.24,0.65,73.0,758.0,39.0,9.0,28.1,160.0,199.0,0.39,5.1,0.0,0.0,0.0,,2.2,7.8,<10,20.0,42.9,0.0,0.0,0.0414,0.0341,0.147,0.149,0.0,0.0,64.59,65.34,0.0,0.0,0.0,0.0,0.0,0.87,0.026,0.0,0.0,27.2,28.4,0.1469,0.074,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0122,6.34,<2,<2,<2,<3,<3,<3
2008-06-02 00:00:00,ww_91,9.0,23.6,8.0,3.095,0.0,1.37,0.61,70.0,728.0,34.0,8.0,24.8,151.0,197.0,0.38,4.9,0.0,0.0,0.0,,<2.60,6.7,<10,<10,33.0,0.0,0.0,0.0412,0.0343,0.145,0.149,0.0,0.0,62.48,62.66,0.0,0.0,0.0,0.0,0.0,0.93,0.026,0.0,0.0,26.18,27.192,0.0827,0.0148,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0138,6.08,<2,<2,<2,<3,<3,<3
2008-06-02 00:00:00,ww_79,9.0,21.0,7.26,0.0,0.0,1.09,0.0,73.2,1056.0,25.0,9.0,21.8,149.0,359.0,0.23,5.4,0.0,0.0,0.0,,<2.70,5.8,20.0,,29.9,0.0,0.0,0.0461,0.0405,0.087,0.091,0.0,0.0,65.33,67.6,0.0,0.0,0.0,0.0,0.0,0.92,0.031,0.0,0.0,28.61,30.596,0.1022,0.0014,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,<2,<2,<2,<3,<3,<3
2008-06-02 00:00:00,ww_80,7.4,22.2,7.01,10.149,0.11,1.05,0.47,80.6,860.0,6.0,4.0,4.9,114.0,234.0,0.62,4.4,0.0,0.0,0.0,,<1.90,5.9,50.0,,4.3,0.0,0.0,0.0262,0.0247,0.182,0.184,0.0,0.0,65.55,67.82,0.0,0.0,0.0,0.0,0.0,0.24,0.055,0.0,0.0,25.66,27.575,0.0438,0.0116,0.0,,0.0,0.0032,0.0,0.0,0.0,0.0,0.0,0.0107,1.75,<2,<2,<2,<3,<3,<3
2008-06-02 00:00:00,ww_18,8.0,20.8,7.3,9.078,0.0,0.94,0.41,80.8,870.0,11.0,4.0,7.5,124.0,256.0,0.59,4.2,0.0,0.0,0.0,,<2.80,7.7,260.0,,5.8,0.0,0.0,0.0288,0.0264,0.173,0.176,0.0,0.0,66.94,69.54,0.0,0.0,0.0,0.0,0.0,0.34,0.044,0.0,0.0,26.39,28.343,0.0454,0.0183,0.0,,0.0,0.003,0.0,0.0,0.0,0.0,0.015,0.0,1.21,<2,<2,<2,<3,<3,<3
2008-06-02 00:00:00,ww_90,8.2,20.3,7.08,0.234,0.12,0.81,0.0,57.0,872.0,12.0,3.0,10.9,223.0,260.0,0.2,5.0,0.0,0.0,0.0,,<3.10,3.0,130.0,,6.5,0.0,0.0,0.0869,0.0796,0.06,0.061,0.0,0.0,75.93,77.32,0.0,0.0,0.0,0.0,0.0,0.68,0.07,0.0,0.0,33.09,34.812,0.1067,0.0789,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,<2,<2,<2,<3,<3,<3
2008-06-02 00:00:00,ww_110,5.5,20.1,7.3,0.24,0.41,1.83,0.0,73.0,1254.0,12.0,7.0,10.7,239.0,426.0,0.27,9.7,0.0,0.0,0.0,,<4.70,5.0,740.0,,16.4,0.0,0.0,0.0711,0.0695,0.109,0.128,0.0,0.0,102.3,107.4,0.0,0.0,0.0,0.0,0.0,1.44,0.45,0.0,0.0,38.36,41.607,0.2952,0.2865,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0916,2.18,<2,<2,<2,<3,<3,<3
2008-06-02 00:00:00,ww_89,8.8,21.3,7.48,11.994,0.1,1.51,3.32,86.3,638.0,5.0,3.0,4.34,142.0,137.0,0.73,6.7,0.0,0.0,0.0062,,2.0,10.0,40.0,,3.5,0.0,0.0,0.028,0.0275,0.294,0.3,0.0,0.0,66.52,65.77,0.0,0.0,0.0,0.0,0.0,0.17,0.068,0.0,0.0,26.84,25.781,0.0166,0.0145,0.0,,0.0,0.002,0.0,0.0,0.0,0.0,0.034,0.0339,3.29,<2,<2,<2,<3,<3,<3
2008-06-02 00:00:00,ww_64,7.8,22.1,7.81,10.226,0.4,1.57,2.61,71.6,698.0,34.0,7.0,19.6,149.0,160.0,0.66,6.8,0.0,0.0,0.0043,,<2.60,9.6,230.0,,7.2,0.0,0.0,0.0326,0.0284,0.245,0.26,0.0,0.0,70.4,70.54,0.0,0.0,0.0,0.0,0.0,0.98,0.045,0.0,0.0,26.91,26.555,0.0719,0.0529,0.0,,0.0,0.0025,0.0,0.0,0.0,0.0,0.034,0.0274,3.62,<2,<2,<2,<3,<3,<3
2008-06-02 00:00:00,ww_92,4.8,28.0,7.3,7.328,0.4,1.38,0.98,98.8,680.0,7.0,0.0,8.7,133.0,153.0,0.68,4.4,0.0,0.0,0.0,0.0,,,20.0,,4.6,0.0,0.0,0.0211,0.0211,0.207,0.223,0.0,0.0,66.46,64.15,0.0,0.0,0.0,0.0,0.0,0.23,0.027,0.0,0.0,23.59,23.249,0.0262,0.0241,0.0,,0.0,0.0039,0.0,0.0,0.0,0.0,0.023,0.023,,,,,,,
2008-06-09 00:00:00,ww_106,6.8,19.4,7.47,1.108,0.21,1.75,0.43,41.0,622.0,62.0,13.0,23.4,132.0,222.0,0.23,6.7,0.0,0.0,0.0,,<2.50,5.4,2800.0,,9.2,0.0,0.0,0.0438,0.0295,0.078,0.082,0.0,0.0,49.83,43.86,0.0041,0.0,0.0,0.01,0.0,2.9,0.111,0.0,0.0,19.28,16.707,0.1233,0.0293,0.0,,0.0,0.0046,0.0,0.0,0.0,0.0,0.092,0.0145,8.54,<2,<2,<2,<3,<3,<3
2008-06-09 00:00:00,ww_31,5.5,20.5,7.53,0.427,0.1,1.66,0.33,33.4,424.0,144.0,21.0,49.1,134.0,127.0,0.0,8.9,0.0,0.0,0.0,,3.5,9.2,9100.0,,14.0,0.0,0.0,0.0394,0.0219,0.068,0.069,0.0,0.0,41.09,33.5,0.0044,0.0,0.0,0.0,0.0,3.57,0.158,0.0,0.0,18.12,14.849,0.1428,0.0273,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.058,0.0,10.2,<2,<2,<2,<3,<3,<3
2008-06-09 00:00:00,ww_32,5.7,19.9,7.49,0.841,0.0,1.34,0.26,28.1,308.0,110.0,27.0,45.3,115.0,68.0,0.0,8.4,0.0,0.0,0.0,,<2.10,5.7,24000.0,,10.3,0.0,0.0,0.0367,0.0208,0.065,0.068,0.0,0.0,37.17,30.62,0.0049,0.0,0.0,0.0,0.0,3.66,0.166,0.015,0.0,15.37,12.388,0.1556,0.0467,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.0,21.2,<2,<2,<2,<3,<3,<3
2008-06-09 00:00:00,ww_105,6.3,21.9,7.35,1.264,0.0,1.13,0.37,47.1,492.0,19.0,6.0,13.8,142.0,141.0,0.25,7.0,0.0,0.0,0.0,,<2.40,5.1,6200.0,,11.5,0.0,0.0,0.0323,0.0262,0.088,0.084,0.0,0.0,46.25,45.65,0.0,0.0,0.0,0.0,0.0,0.84,0.097,0.0,0.0,20.1,20.22,0.078,0.0103,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,7.87,<2,<2,<2,<3,<3,<3
2008-06-09 00:00:00,ww_104,5.0,20.4,7.62,0.82,0.0,1.43,0.33,35.1,372.0,56.0,15.0,27.0,115.0,101.0,0.2,8.3,0.0,0.0,0.0,,3.3,7.3,16000.0,,5.8,0.0,0.0,0.0305,0.0211,0.07,0.07,0.0,0.0,35.43,33.85,0.0035,0.0,0.0,0.0,0.0,2.07,0.132,0.0,0.0,14.81,14.172,0.099,0.0373,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0108,10.5,<2,<2,<2,<3,<3,<3
2008-06-09 00:00:00,ww_103,5.8,21.6,7.4,0.759,0.14,1.2,0.32,40.3,486.0,57.0,12.0,39.4,106.0,170.0,0.22,4.7,0.0,0.0,0.0,,2.2,7.9,6700.0,,13.6,0.0,0.0,0.0358,0.0244,0.069,0.071,0.0,0.0,39.14,34.81,0.0032,0.0,0.0,0.0,0.0,2.01,0.067,0.0,0.0,13.91,12.471,0.0731,0.0125,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,15.1,<2,<2,<2,<3,<3,<3
2008-06-09 00:00:00,ww_34,4.7,21.0,7.5,1.116,0.0,1.24,0.39,36.4,424.0,46.0,10.0,20.6,106.0,129.0,0.22,6.4,0.0,0.0,0.0,,2.2,5.5,13000.0,,8.5,0.0,0.0,0.0319,0.0211,0.074,0.073,0.0,0.0,36.36,32.07,0.0,0.0,0.0,0.0,0.0,1.72,0.119,0.0,0.0,14.24,12.534,0.0733,0.0204,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,15.3,<2,<2,<2,<3,<3,<3
2008-06-09 00:00:00,ww_37,6.8,20.4,7.1,2.782,0.23,1.66,0.75,33.7,416.0,67.0,14.0,10.2,104.0,106.0,0.33,4.3,0.0,0.0,0.0,0.0,,,9300.0,,4.2,0.0,0.0,0.0276,0.0173,0.11,0.118,0.0,0.0,38.34,32.94,0.0033,0.0,0.0,0.0,0.0,1.64,0.063,0.0,0.0,14.09,12.052,0.0828,0.0196,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.0135,,<2,<2,<2,<3,<3,<3
2008-06-09 00:00:00,ww_73,5.4,20.5,7.4,3.428,0.48,1.83,0.79,38.9,462.0,54.0,11.0,32.2,119.0,123.0,0.4,4.6,0.0,0.0,0.0,0.0,,,6000.0,,4.6,0.0,0.0,0.0304,0.0196,0.133,0.132,0.0,0.0,44.24,40.14,0.0034,0.0,0.0,0.0,0.0,1.53,0.073,0.0,0.0,16.21,14.6,0.0822,0.0231,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0168,,<2,<2,<2,<3,<3,<3
2008-06-09 00:00:00,ww_46,3.1,20.1,7.2,3.285,1.13,2.59,0.77,35.7,408.0,20.0,6.0,4.2,97.0,114.0,0.35,5.0,0.0,0.0,0.0,0.0,,,260000.0,,1.8,0.0,0.0,0.0212,0.0157,0.096,0.095,0.0,0.0,35.66,32.58,0.0,0.0,0.0,0.0,0.0,0.53,0.066,0.0,0.0,12.68,11.861,0.0504,0.0404,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0135,,<2,<2,3.4,<3,<3,<3
2008-06-09 00:00:00,ww_35,4.9,23.3,7.02,0.302,0.13,0.54,0.0,25.6,184.0,10.0,4.0,17.4,102.0,20.0,0.0,2.1,0.0,0.0,0.0,,<1.20,2.7,2600.0,,5.0,0.0,0.0,0.0207,0.0162,0.0,0.031,0.0,0.0,32.22,26.8,0.0,0.0,0.0,0.0,0.0,0.28,0.02,0.0,0.0,10.3,8.876,0.0124,0.001,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,<2,<2,<2,<3,<3,<3
2008-06-09 00:00:00,ww_102,4.8,21.6,7.7,0.815,0.2,0.85,0.0,26.1,220.0,20.0,8.0,17.2,96.0,36.0,0.0,2.9,0.0,0.0,0.0,0.0,<1.50,4.0,29000.0,,3.7,0.0,0.0,0.021,0.017,0.0,0.041,0.0,0.0,32.42,29.55,0.0,0.0,0.0,0.0,0.0,0.59,0.036,0.0,0.0,10.23,9.443,0.0293,0.013,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,8.0,<2,<2,<2,<3,<3,<3
2008-06-09 00:00:00,ww_36,7.0,21.0,7.6,2.963,0.0,1.37,0.72,32.8,338.0,16.0,9.0,4.4,104.0,74.0,0.33,3.9,0.0,0.0,0.0,0.0,<1.90,4.1,8500.0,,1.4,0.0,0.0,0.0182,0.0138,0.097,0.095,0.0,0.0,36.59,33.33,0.0,0.0,0.0,0.0,0.0,0.26,0.031,0.0,0.0,12.35,11.527,0.0193,0.0061,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0139,,<2,<2,<2,<3,<3,<3
2008-06-09 00:00:00,ww_101,6.7,22.0,7.64,3.717,0.12,1.51,0.86,35.1,366.0,19.0,13.0,3.2,111.0,90.0,0.43,4.0,0.0,0.0,0.0,0.0,,,11000.0,,1.6,0.0,0.0,0.0197,0.0148,0.129,0.123,0.0,0.0,40.33,34.99,0.0,0.0,0.0,0.0,0.0,0.3,0.03,0.0,0.0,13.84,12.464,0.0275,0.0127,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0184,,<2,<2,<2,<3,<3,<3
2008-06-09 00:00:00,ww_96,4.9,24.0,7.4,1.048,0.19,1.52,0.55,29.3,402.0,111.0,10.0,68.3,92.0,117.0,0.0,5.3,0.0,0.0,0.0,,2.5,3.3,20000.0,,8.2,0.0,0.0,0.0369,0.0184,0.058,0.063,0.0,0.0,34.05,27.21,0.0062,0.0,0.0,0.0,0.0,3.59,0.13,0.017,0.0,13.5,10.383,0.1796,0.0184,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.0,33.2,<2,<2,<2,<3,<3,<3
2008-06-09 00:00:00,ww_92,5.0,25.1,7.34,4.605,0.65,1.55,0.68,61.7,494.0,24.0,5.0,6.4,126.0,126.0,0.47,4.4,0.0,0.0,0.0,0.0,,,2000.0,,3.6,0.0,0.0,0.0242,0.0177,0.141,0.139,0.0,0.0,49.17,44.9,0.0027,0.0,0.0,0.0,0.0,0.92,0.095,0.0,0.0,17.45,16.412,0.0395,0.0223,0.0,,0.0,0.0064,0.0,0.0,0.0,0.0,0.029,0.0144,,,,,,,
2008-06-16 00:00:00,ww_74,9.6,27.4,8.22,0.277,0.0,0.22,0.0,25.4,170.0,0.0,0.0,0.0,112.0,16.0,0.0,1.0,0.0,0.0,0.0,,<1.10,<2.30,210.0,,0.7,0.0,0.0,0.0196,0.0189,0.0,0.03,0.0,0.0,32.13,31.92,0.0035,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,10.71,10.845,0.0153,0.0077,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.0,,,,,,
2008-06-16 00:00:00,ww_100,8.4,20.2,8.18,0.387,0.14,0.26,0.0,26.4,176.0,0.0,0.0,1.4,110.0,19.0,0.0,1.0,0.0,0.0,0.0,,<1.20,2.7,1400.0,,1.1,0.0,0.0,0.0196,0.0191,0.0,0.028,0.0,0.0,32.74,32.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.83,11.15,0.0068,0.0047,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2008-06-16 00:00:00,ww_39,6.7,19.6,7.23,3.622,0.37,1.17,0.64,42.2,398.0,17.0,7.0,5.4,136.0,98.0,0.34,2.5,0.0,0.0,0.0,0.0,,,2100.0,,2.9,0.0,0.0,0.0268,0.0223,0.095,0.092,0.0,0.0,46.66,47.15,0.0028,0.0,0.0,0.0,0.0,0.46,0.035,0.0,0.0,16.94,17.46,0.0284,0.0211,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0109,,,,,,,
2008-06-16 00:00:00,ww_99,5.2,23.1,7.31,2.195,0.49,1.59,0.51,42.4,416.0,10.0,7.0,4.5,130.0,109.0,0.33,3.1,0.0,0.0,0.0,0.0,,,99.0,,38.1,0.0,0.0,0.0249,0.0222,0.095,0.09,0.0,0.0,45.85,45.66,0.0,0.0,0.0,0.0,0.0,0.31,0.049,0.0,0.0,16.4,17.021,0.0327,0.025,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,,,,,,,
2008-06-16 00:00:00,ww_40,5.8,21.5,7.56,3.061,0.46,1.19,0.58,41.6,412.0,14.0,7.0,4.3,134.0,114.0,0.33,3.0,0.0,0.0,0.0,0.0,,,280.0,,5.8,0.0,0.0,0.0271,0.0222,0.093,0.09,0.0,0.0,45.58,44.74,0.0038,0.0,0.0,0.0,0.0,0.54,0.046,0.0,0.0,16.63,16.726,0.0452,0.0313,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0109,,,,,,,
2008-06-16 00:00:00,ww_75,4.9,25.6,7.4,3.406,0.64,1.51,0.81,48.3,470.0,13.0,4.0,3.7,143.0,128.0,0.39,2.8,0.0,0.0,0.0,0.0,<2.00,5.2,1000.0,,6.1,0.0,0.0,0.0275,0.0247,0.11,0.111,0.0,0.0,49.4,51.64,0.0026,0.0,0.0,0.0,0.0,0.38,0.04,0.0,0.0,18.21,19.5,0.0349,0.025,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0134,,,,,,,
2008-06-16 00:00:00,ww_41,6.3,22.4,7.4,5.862,0.24,1.1,0.82,51.4,468.0,9.0,5.0,2.4,127.0,130.0,0.45,3.2,0.0,0.0,0.0,13.7,<2.20,6.0,2700.0,,2.2,0.0,0.0,0.0201,0.0188,0.119,0.12,0.0,0.0,46.81,50.13,0.0,0.0,0.0,0.0,0.0,0.21,0.034,0.0,0.0,16.85,18.371,0.0159,0.0112,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0146,,,,,,,
