collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes_(total)(ug/l),m__and/or_p_xylenes(ug/l),o_xylene(ug/l)
2008-03-03 00:00:00,ww_12,12.0,2.7,7.04,0.782,0.23,1.14,0.0,63.67,1092.0,62.0,13.0,50.5,123.0,549.0,0.0,3.1,0.0,0.0,0.0,,<2.30,3.1,420.0,,6.3,0.0,0.0,0.0417,0.0341,0.054,0.049,0.0,0.0,58.19,57.07,0.0039,0.0,0.0,0.0,0.0,2.02,0.067,0.0,0.0,22.96,22.53,0.119,0.076,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.0138,3.47,,,,,,
2008-03-03 00:00:00,ww_13,10.4,5.0,7.49,3.044,0.13,1.06,0.38,68.41,944.0,40.0,10.0,26.1,177.0,408.0,0.21,3.7,0.0,0.0,0.0,,<3.30,5.4,710.0,590.0,9.3,0.0,0.0,0.0456,0.0381,0.088,0.079,0.0,0.0,71.18,69.95,0.0046,0.0,0.0,0.0,0.0,1.22,0.053,0.0,0.0,30.25,30.292,0.1219,0.0795,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.0201,1.97,,,,,,
2008-03-03 00:00:00,ww_77,11.8,3.2,7.78,0.548,0.29,1.36,0.0,35.92,1174.0,111.0,18.0,112.0,72.0,650.0,0.0,2.9,0.0,0.0,0.0048,,<3.20,2.1,1300.0,,9.4,0.0,0.0,0.0596,0.0377,0.0,0.03,0.0,0.0,44.96,40.32,0.0073,0.0,0.0,0.014,0.0,3.32,0.068,0.0,0.0,13.67,11.118,0.1227,0.0649,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.092,0.023,9.5,,,,,,
2008-03-03 00:00:00,ww_78,9.4,5.2,7.36,3.969,0.7,2.3,0.83,60.03,1050.0,36.0,17.0,31.7,128.0,493.0,0.36,3.6,0.0,0.0,0.0,,<2.70,2.9,6900.0,,2.1,0.0,0.0,0.0337,0.0255,0.139,0.129,0.0,0.0,58.53,60.49,0.004,0.0,0.0,0.01,0.0,0.8,0.066,0.0,0.0,20.73,21.42,0.067,0.056,0.0,,0.0,0.0022,0.0,0.0,0.0,0.0,0.05,0.0268,7.23,,,,,,
2008-03-03 00:00:00,ww_17,10.8,3.6,7.79,1.859,0.31,1.4,0.29,50.74,872.0,70.0,12.0,61.8,120.0,417.0,0.0,3.4,0.0,0.0,0.0,,2.6,3.6,1400.0,1100.0,8.6,0.0,0.0,0.0405,0.03,0.057,0.054,0.0,0.0,51.1,50.97,0.0045,0.0,0.0,0.0,0.0,2.21,0.062,0.0,0.0,20.28,19.935,0.0923,0.0521,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.0161,3.82,,,,,,
2008-03-03 00:00:00,ww_19,10.7,3.7,7.75,1.956,0.4,2.43,0.41,51.83,956.0,141.0,20.0,133.0,118.0,465.0,0.2,4.1,0.0,0.0,0.0,,6.1,6.2,1000.0,1100.0,9.5,0.0,0.0,0.05,0.0316,0.063,0.062,0.0,0.0,55.46,51.59,0.0073,0.0,0.0,0.012,0.0,4.09,0.056,0.0,0.0,21.18,18.756,0.1275,0.053,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.076,0.0174,6.47,,,,,,
2008-03-03 00:00:00,ww_20,10.2,5.0,7.79,2.181,0.42,1.93,0.35,58.93,1076.0,82.0,14.0,82.5,131.0,521.0,0.21,3.8,0.0,0.0,0.0,,<2.30,4.8,720.0,580.0,7.6,0.0,0.0,0.0462,0.0339,0.077,0.074,0.0,0.0,58.68,58.2,0.0063,0.0,0.0,0.01,0.0,2.56,0.052,0.0,0.0,22.45,21.751,0.1088,0.0571,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.022,4.73,,,,,,
2008-03-03 00:00:00,ww_24,11.1,4.8,7.5,3.018,0.47,2.32,0.58,57.29,1052.0,137.0,23.0,89.0,102.0,515.0,0.22,3.7,0.0,0.0,0.0,,<3.80,10.4,1300.0,,14.9,0.0,0.0,0.0451,0.0284,0.075,0.072,0.0,0.0,53.64,51.62,0.0063,0.0,0.0,0.014,0.0,3.4,0.062,0.0,0.0,19.62,18.441,0.1188,0.0524,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.064,0.0241,,,,,,,
2008-03-03 00:00:00,ww_109,9.4,6.1,7.6,2.997,0.54,1.96,0.41,60.78,1124.0,137.0,22.0,84.1,107.0,562.0,0.25,3.8,0.0,0.0,0.0,,6.0,8.3,6000.0,,10.0,0.0,0.0,0.0458,0.0306,0.085,0.08,0.0,0.0,57.75,55.89,0.0061,0.0,0.0,0.012,0.0,3.13,0.071,0.0,0.0,20.64,19.45,0.1191,0.0559,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.0246,5.91,,,,,,
2008-03-03 00:00:00,ww_22,7.2,4.8,7.8,2.929,0.37,1.85,0.44,65.71,1152.0,81.0,14.0,67.3,139.0,576.0,0.23,4.4,0.0,0.0,0.0,,<4.50,10.1,3000.0,3200.0,10.5,0.0,0.0,0.0473,0.0361,0.088,0.083,0.0,0.0,64.62,63.26,0.0051,0.0,0.0,0.0,0.0,2.45,0.048,0.0,0.0,24.28,23.648,0.1141,0.0655,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.052,0.021,4.84,,,,,,
