Collect    ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,TDS,SS  ,VSS ,TURB,ALK,CL   ,F    ,TOC ,Phenol,CN   ,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,E COLI,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Hg LL,Benzene,Ethylbenzene,Toluene,Xylenes (total),m- and/or p-Xylenes,o-Xylene
 date      ,point,mg/L,Deg C,     ,mg/L, mg/L , mg/L,mg/L, mg/L ,mg/L,mg/L,mg/L,NTU,mg/L,mg/L, mg/L,mg/L,ug/L, mg/L,mg/L,mg/L,alpha,beta,cts/100mL,cts/100mL,yll-A   , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , ug/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ug/L,ug/L, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-05-05 00:00:00,WW_12,11.3,15.4,8.48,0.0,0.0,1.75,0.0,92.7,870.0,20.0,5.0,15.4,221.0,288.0,0.2,5.4,0.0,0.0,0.0,,<2.10,2.0,40.0,,46.3,0.0,0.0,0.045,0.0413,0.074,0.093,0.0,0.0,80.22,75.49,0.0,0.0,0.0,0.0,0.0,0.64,0.03,0.0,0.0,35.19,35.049,0.1417,0.0495,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.97,,,,,,
2008-05-05 00:00:00,WW_13,6.2,15.2,8.19,2.732,0.0,1.04,0.44,73.15,734.0,15.0,4.0,8.06,229.0,204.0,0.3,4.7,0.0,0.0,0.0,,<1.80,3.0,40.0,,18.7,0.0,0.0,0.0364,0.0342,0.101,0.116,0.0,0.0,76.45,76.27,0.0,0.0,0.0,0.0,0.0,0.47,0.038,0.0,0.0,34.05,35.386,0.0702,0.0334,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57,,,,,,
2008-05-05 00:00:00,WW_77,5.8,16.2,8.09,0.21,0.15,0.6,0.0,72.62,1116.0,32.0,8.0,23.7,185.0,452.0,0.6,2.4,0.0,0.0,0.0,,<2.50,5.0,210.0,,92.3,0.0,0.0,0.07,0.0595,0.261,0.275,0.0,0.0,79.86,77.04,0.0042,0.0,0.0,0.0,0.0,2.23,0.04,0.0,0.0,27.39,26.68,0.291,0.0907,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,1.78,,,,,,
2008-05-05 00:00:00,WW_78,8.2,16.3,7.74,5.104,0.29,1.37,0.36,91.35,806.0,5.0,3.0,2.32,210.0,225.0,0.6,4.5,0.0,0.0,0.0,,<2.00,5.4,<10,,2.0,0.0,0.0,0.0296,0.0294,0.201,0.214,0.0,0.0,82.74,86.5,0.0,0.0,0.0,0.0,0.0,0.11,0.045,0.0,0.0,31.43,33.913,0.0342,0.0296,0.0,,0.0,0.0022,0.0,0.0,0.0,0.0,0.037,0.0347,2.04,,,,,,
2008-05-05 00:00:00,WW_17,6.0,15.9,8.11,2.639,0.0,0.95,0.38,74.78,878.0,17.0,3.0,10.5,226.0,239.0,0.33,4.7,0.0,0.0,0.0,,<1.80,3.4,140.0,,26.5,0.0,0.0,0.0385,0.0382,0.103,0.115,0.0,0.0,75.28,79.31,0.0,0.0,0.0,0.0,0.0,0.47,0.035,0.0,0.0,32.96,35.801,0.0714,0.0337,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,,,,,,
2008-05-05 00:00:00,WW_19,5.8,16.0,8.25,2.614,0.0,1.05,0.37,76.61,810.0,18.0,3.0,11.2,182.0,202.0,0.39,4.4,0.0,0.0,0.0,,<2.70,6.1,60.0,,32.0,0.0,0.0,0.0385,0.0375,0.11,0.122,0.0,0.0,79.01,78.2,0.0,0.0,0.0,0.0,0.0,0.53,0.034,0.0,0.0,33.45,35.044,0.0716,0.0319,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.0,2.28,,,,,,
2008-05-05 00:00:00,WW_20,5.1,16.2,8.23,2.585,0.0,0.92,0.41,77.58,810.0,17.0,6.0,10.8,226.0,256.0,0.31,4.6,0.0,0.0,0.0,,<2.60,6.0,230.0,,35.2,0.0,0.0,0.0395,0.0386,0.177,0.192,0.0,0.0,80.17,78.52,0.0,0.0,0.0,0.0,0.0,0.46,0.032,0.0,0.0,33.71,35.258,0.0645,0.0306,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,,,,,,
2008-05-05 00:00:00,WW_24,8.3,14.8,7.95,3.529,0.12,0.89,0.35,92.25,1020.0,31.0,4.0,15.4,187.0,376.0,0.36,3.5,0.0,0.0,0.0,,<3.40,7.4,80.0,80.0,18.6,0.0,0.0,0.0411,0.0402,0.112,0.126,0.0,0.0,79.03,80.56,0.0,0.0,0.0,0.0,0.0,0.71,0.039,0.0,0.0,31.27,33.123,0.0632,0.0427,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.013,9.05,,,,,,
