Collect    ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,TDS,SS  ,VSS ,TURB,ALK,CL   ,F    ,TOC ,Phenol,CN   ,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,E COLI,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Hg LL,Benzene,Ethylbenzene,Toluene,Xylenes (total),m- and/or p-Xylenes,o-Xylene
 date      ,point,mg/L,Deg C,     ,mg/L, mg/L , mg/L,mg/L, mg/L ,mg/L,mg/L,mg/L,NTU,mg/L,mg/L, mg/L,mg/L,ug/L, mg/L,mg/L,mg/L,alpha,beta,cts/100mL,cts/100mL,yll-A   , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , ug/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ug/L,ug/L, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-11-03 00:00:00,WW_12,7.7,17.4,7.9,0.11,0.0,0.87,0.0,86.22,678.0,36.0,8.0,19.5,243.0,200.0,0.24,6.7,0.0,0.0,0.0,,<2.00,2.4,160.0,,22.8,0.0,0.0,0.0494,0.0404,0.097,0.096,0.0,0.0,83.35,76.18,0.0,0.0,0.0,0.0,0.0,1.06,0.037,0.026,0.0,34.74,32.63,0.1147,0.0301,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89,,,,,,
2008-11-03 00:00:00,WW_13,6.4,14.7,8.1,7.131,0.0,0.83,1.21,72.58,658.0,10.0,4.0,7.05,213.0,161.0,0.52,5.4,0.0,0.0,0.0,,<1.70,4.5,120.0,,16.4,0.0,0.0,0.0342,0.0311,0.179,0.156,0.0,0.0,75.31,70.79,0.0,0.0,0.0,0.0,0.0,0.4,0.056,0.024,0.0,32.2,30.314,0.0519,0.0298,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,1.23,,,,,,
2008-11-03 00:00:00,WW_78,7.4,20.7,7.7,11.715,0.24,1.42,1.85,102.76,666.0,0.0,0.0,1.54,159.0,171.0,0.84,5.2,0.0,0.0,0.0,,<1.40,6.2,380.0,,0.9,0.0,0.0,0.0181,0.0158,0.317,0.271,0.0,0.0,79.31,72.17,0.0,0.0,0.0,0.0,0.0,0.1,0.052,0.024,0.0,28.17,26.396,0.0156,0.0116,0.0,,0.0,0.0055,0.0,0.0,0.0,0.0,0.046,0.045,1.1,,,,,,
2008-11-03 00:00:00,WW_17,7.6,17.1,8.2,6.113,0.0,0.86,1.03,73.03,684.0,14.0,5.0,9.7,233.0,182.0,0.45,5.2,0.0,0.0,0.0,,<1.90,4.3,380.0,,20.4,0.0,0.0,0.0392,0.0336,0.176,0.153,0.0,0.0,78.06,73.24,0.0,0.0,0.0,0.0,0.0,0.54,0.048,0.023,0.0,33.35,31.952,0.0532,0.0251,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,1.72,,,,,,
2008-11-03 00:00:00,WW_19,6.3,15.7,8.0,6.674,0.0,0.73,1.06,81.0,720.0,12.0,3.0,8.67,217.0,185.0,0.51,4.7,0.0,0.0,0.0,,<1.70,4.1,80.0,,2.8,0.0,0.0,0.0369,0.0324,0.205,0.172,0.0,0.0,80.95,73.04,0.0,0.0,0.0,0.0,0.0,0.38,0.054,0.023,0.0,33.71,30.554,0.0397,0.026,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.017,1.31,,,,,,
2008-11-03 00:00:00,WW_20,6.2,15.7,8.0,6.278,0.0,0.78,0.96,80.61,722.0,10.0,0.0,7.88,216.0,186.0,0.55,7.8,0.0,0.0,0.0,,<2.40,10.0,50.0,,2.2,0.0,0.0,0.0386,0.0322,0.204,0.17,0.0,0.0,81.43,72.89,0.0027,0.0,0.0,0.0,0.0,0.54,0.057,0.028,0.0,33.58,30.343,0.046,0.0264,0.0,,0.0,0.0021,0.0,0.0,0.0,0.0,0.028,0.019,2.25,,,,,,
2008-11-03 00:00:00,WW_24,7.8,14.5,7.31,7.518,0.11,0.82,0.87,75.88,580.0,15.0,0.0,8.86,130.0,141.0,0.53,3.6,0.0,0.0,0.0,,<1.90,7.4,130.0,100.0,1.4,0.0,0.0,0.0286,0.0245,0.211,0.189,0.0,0.0,61.02,56.38,0.0,0.0,0.0,0.0,0.0,0.51,0.074,0.021,0.0,23.23,21.504,0.0422,0.0233,0.0,,0.0,0.0033,0.0,0.0,0.0,0.0,0.024,0.019,2.0,,,,,,
2008-11-03 00:00:00,WW_109,7.9,14.3,7.5,7.432,0.0,0.75,0.88,78.21,566.0,8.0,3.0,9.28,136.0,145.0,0.62,3.7,0.0,0.005,0.0,,<2.20,8.9,350.0,400.0,2.7,0.0,0.0,0.0295,0.0261,0.226,0.196,0.0,0.0,62.85,58.05,0.0,0.0,0.0,0.0,0.0,0.37,0.073,0.022,0.0,24.35,22.361,0.0353,0.0236,0.0,,0.0,0.0033,0.0,0.0,0.0,0.0,0.023,0.02,1.67,,,,,,
