collect,sampling,do,temp,ph,no2+no3,nh3_n,tkn,tot_p,so4,tds,ss,vss,turb,alk,cl,f,toc,phenol,cn,cn_wad,fog,radiochem,radiochem,fec_col,e_coli,chloroph,as_tot,as_sol,ba_tot,ba_sol,b_tot,b_sol,cd_tot,cd_sol,ca_tot,ca_sol,cr_tot,cr_sol,cr6,cu_tot,cu_sol,fe_tot,fe_sol,pb_tot,pb_sol,mg_tot,mg_sol,mn_tot,mn_sol,hg_tot,hg_sol,ni_tot,ni_sol,se_tot,se_sol,ag_tot,ag_sol,zn_tot,zn_sol,hg_ll,benzene,ethylbenzene,toluene,xylenes_(total),m__and/or_p_xylenes,o_xylene
date,point,mg/l,deg_c,,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ntu,mg/l,mg/l,mg/l,mg/l,ug/l,mg/l,mg/l,mg/l,alpha,beta,cts/100ml,cts/100ml,yll_a,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ug/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ng/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09-02 00:00:00,ww_13,6.5,23.1,7.78,13.896,0.18,1.36,2.6,78.3,732.0,27.0,6.0,20.6,155.0,178.0,0.81,3.6,0.0,0.0,0.0,,<3.90,11.6,220.0,240.0,14.4,0.0,0.0,0.0363,0.0341,0.295,0.314,0.0,0.0,62.99,61.64,0.0,0.0,0.0,0.0,0.0,0.81,0.024,0.0,0.0,24.62,24.876,0.0596,0.0232,0.0,,0.0,0.0028,0.0,0.0,0.0,0.0,0.032,0.026,2.89,,,,,,
2008-09-02 00:00:00,ww_78,7.9,23.3,7.99,9.457,0.37,1.58,2.27,86.8,660.0,0.0,0.0,1.47,143.0,143.0,0.94,4.5,0.0,0.0,0.0,,<1.60,7.3,9.0,,2.7,0.0,0.0,0.0135,0.0122,0.319,0.331,0.0,0.0,66.68,56.93,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.0,0.0,23.41,20.781,0.015,0.0126,0.0,,0.0,0.005,0.0,0.0,0.0,0.0,0.062,0.055,1.1,,,,,,
2008-09-02 00:00:00,ww_17,7.5,25.6,8.46,11.756,0.0,1.63,1.98,82.6,748.0,23.0,8.0,21.2,159.0,187.0,0.76,4.2,0.0,na,0.0,,<2.10,7.3,450.0,430.0,47.7,0.0,0.0,0.0402,0.0367,0.288,0.306,0.0,0.0,64.17,61.88,0.0,0.0,0.0,0.0,0.0,0.81,0.023,0.0,0.0,26.01,25.72,0.0676,0.0157,0.0,,0.0,0.0023,0.0,0.0,0.0,0.0,0.03,0.02,3.87,,,,,,
2008-09-02 00:00:00,ww_19,4.3,24.9,7.98,9.026,0.19,1.47,1.65,88.2,708.0,18.0,4.0,14.6,148.0,187.0,0.81,3.8,0.0,0.0,0.0,,<1.80,8.1,80.0,40.0,3.1,0.0,0.0,0.0319,0.0309,0.3,0.319,0.0,0.0,62.62,58.86,0.0,0.0,0.0,0.0,0.0,0.52,0.03,0.0,0.0,26.21,25.624,0.0544,0.041,0.0,,0.0,0.0036,0.0,0.0,0.0,0.0,0.033,0.028,2.65,,,,,,
2008-09-02 00:00:00,ww_20,4.2,25.2,7.9,8.531,0.17,1.02,1.46,86.4,728.0,23.0,5.0,15.2,149.0,193.0,0.79,3.5,0.0,0.0,0.0,,<2.20,8.1,310.0,270.0,2.4,0.0,0.0,0.0365,0.0322,0.32,0.317,0.0,0.0,61.61,58.33,0.0,0.0,0.0,0.0,0.0,0.76,0.024,0.0,0.0,26.5,26.182,0.0589,0.0382,0.0,,0.0,0.0039,0.0,0.0,0.0,0.0,0.037,0.025,4.27,,,,,,
2008-09-02 00:00:00,ww_24,6.2,23.2,7.34,13.787,0.18,0.97,1.42,84.5,660.0,18.0,3.0,10.9,97.0,160.0,1.05,3.4,0.0,0.0,0.0,,<2.00,10.5,150.0,,2.2,0.0,0.0,0.0264,0.0256,0.309,0.331,0.0,0.0,62.66,57.5,0.0,0.0,0.0,0.0,0.0,0.51,0.03,0.0,0.0,25.44,24.314,0.0334,0.0231,0.0,,0.0,0.0043,0.0,0.0,0.0,0.0,0.032,0.024,3.03,,,,,,
2008-09-02 00:00:00,ww_109,6.4,22.9,7.74,13.01,0.1,0.93,1.4,87.0,658.0,16.0,4.0,9.65,106.0,163.0,1.04,3.4,0.0,0.0,0.0,,<2.10,13.2,220.0,,2.9,0.0,0.0,0.0308,0.0286,0.336,0.341,0.0,0.0,62.77,60.85,0.0,0.0,0.0,0.0,0.0,0.48,0.031,0.0,0.0,25.79,26.034,0.0322,0.0222,0.0,,0.0,0.0037,0.0,0.0,0.0,0.0,0.028,0.02,3.39,,,,,,
2008-09-02 00:00:00,ww_22,6.9,24.3,7.82,9.848,0.1,1.01,1.29,86.1,706.0,21.0,4.0,12.2,135.0,186.0,0.86,3.5,0.0,0.0,0.0,,<2.30,13.2,250.0,170.0,2.4,0.0,0.0,0.035,0.0313,0.333,0.328,0.0,0.0,60.03,56.58,0.0,0.0,0.0,0.0,0.0,0.59,0.022,0.0,0.0,25.83,25.226,0.0428,0.022,0.0,,0.0,0.0036,0.0,0.0,0.0,0.0,0.033,0.025,4.12,,,,,,
