collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tkn(qual_code),tot_p(mg/l),tot_p(qual_code),so4(mg/l),so4(qual_code),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),phenol(qual_code),cn(mg/l),cn_wad(mg/l),fog(mg/l),(),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),mn_sol(qual_code),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes_(total)(ug/l),m__and/or_p_xylenes(ug/l),o_xylene(ug/l)
2009-04-06 00:00:00,ww_12,10.6,4.2,6.8,0.323,0.0,0.83,,0.0,,na,p,844.0,23.0,8.0,16.2,220.0,278.0,0.0,5.0,0.0,e,0.0,0.0,,,<2.84,<4.70,20.0,20.0,14.4,0.0,0.0,0.0413,0.0376,0.069,0.074,0.0,0.0,76.75,73.13,0.0,0.0,0.0,0.0,0.0,0.85,0.05,0.0,0.0,32.73,30.952,0.0955,0.0548,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,2.36,<2,<2,<2,<3,<3,<3
2009-04-06 00:00:00,ww_13,9.3,6.6,7.42,2.623,0.0,0.86,,0.0,,na,p,576.0,18.0,6.0,17.3,190.0,150.0,0.22,5.1,0.0,e,0.0,0.0,,,2.08,<6.32,170.0,,12.8,0.0,0.0,0.0315,0.027,0.06,0.067,0.0,0.0,60.76,58.68,0.0,0.0,0.0,0.0,0.0,0.96,0.06,0.0,0.0,27.45,26.239,0.0637,0.0413,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.012,3.31,<2,<2,<2,<3,<3,<3
2009-04-06 00:00:00,ww_77,10.3,4.7,7.45,0.453,0.0,0.46,,0.0,,37.23,,1086.0,20.0,10.0,20.7,123.0,530.0,0.0,3.9,0.0,e,0.0,0.0,,,<1.80,<5.07,760.0,660.0,10.5,0.0,0.0,0.0456,0.04,0.05,0.054,0.0,0.0,52.79,51.82,0.0047,0.003,0.0,0.0,0.0,0.73,0.035,0.0,0.0,17.71,17.585,0.069,0.0523,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.011,4.47,<2,<2,<2,<3,<3,<3
2009-04-06 00:00:00,ww_78,7.8,9.6,7.12,7.697,0.1,1.0,,0.43,,88.88,,906.0,18.0,12.0,4.01,249.0,270.0,0.54,4.1,0.0,e,0.0,0.0,,,<3.21,6.33,780.0,790.0,2.0,0.0,0.0,0.0333,0.0325,0.165,0.175,0.0,0.0,95.04,94.8,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.0,0.0,36.34,36.989,0.0142,0.0142,,0.0,,0.0,0.0025,0.0,0.0,0.0,0.0,0.035,0.027,3.27,<2,<2,<2,<3,<3,<3
2009-04-06 00:00:00,ww_17,10.0,6.6,6.92,2.36,0.0,0.75,,0.0,,48.63,,612.0,21.0,8.0,19.5,196.0,182.0,0.22,5.1,0.0,e,0.0,0.0,,,<2.59,<5.18,180.0,,15.3,0.0,0.0,0.0336,0.0286,0.057,0.06,0.0,0.0,61.16,59.6,0.0,0.0,0.0,0.0,0.0,1.02,0.05,0.0,0.0,26.61,26.041,0.0484,0.0193,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66,<2,<2,<2,<3,<3,<3
2009-04-06 00:00:00,ww_19,9.2,5.8,7.24,2.421,0.1,0.66,,0.0,,52.11,,682.0,28.0,12.0,23.0,198.0,213.0,0.23,4.9,0.0,e,0.0,0.0,,,<4.01,<4.98,220.0,,13.0,0.0,0.0,0.0353,0.0301,0.068,0.071,0.0,0.0,66.71,63.55,0.0,0.0,0.0,0.0,0.0,1.03,0.051,0.0,0.0,28.86,27.537,0.05,0.0214,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,3.29,<2,<2,<2,<3,<3,<3
2009-04-06 00:00:00,ww_20,10.2,7.0,7.54,2.451,0.0,0.81,,0.0,,51.58,,716.0,28.0,7.0,21.0,200.0,238.0,0.22,4.8,0.0,e,0.0,0.0,,,<3.52,<5.51,520.0,,15.6,0.0,0.0,0.036,0.0305,0.065,0.069,0.0,0.0,66.95,65.85,0.0029,0.0,0.0,0.0,0.0,1.16,0.05,0.0,0.0,29.06,28.458,0.0744,0.0199,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,4.19,<2,<2,<2,<3,<3,<3
2009-04-06 00:00:00,ww_24,9.6,6.5,7.0,3.355,0.0,0.75,,0.39,,71.35,,950.0,19.0,8.0,13.6,183.0,363.0,0.27,3.7,0.0,e,0.0,0.0,,,4.86,<5.91,740.0,,15.3,0.0,0.0,0.0392,0.0358,0.104,0.094,0.0,0.0,74.16,74.62,0.0,0.0,0.0,0.0,0.0,0.7,0.04,0.0,0.0,28.37,28.962,0.0524,0.0239,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.012,2.98,<2,<2,<2,<3,<3,<3
2009-04-06 00:00:00,ww_109,10.3,6.0,7.8,2.985,0.0,0.74,,0.35,,75.23,,944.0,24.0,8.0,16.3,186.0,376.0,0.27,4.2,0.0,e,0.0,0.0,,,<3.06,<5.40,640.0,,23.4,0.0,0.0,0.0393,0.0357,0.1,0.109,0.0,0.0,74.28,74.02,0.0028,0.0,0.0,0.0,0.0,0.8,0.037,0.0,0.0,28.6,28.839,0.0615,0.0343,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.011,3.54,<2,<2,<2,<3,<3,<3
2009-04-06 00:00:00,ww_22,11.1,6.6,8.0,2.425,0.0,0.7,,0.25,,54.68,,732.0,25.0,6.0,22.0,196.0,240.0,0.24,4.7,0.0,e,0.0,0.0,,,<4.59,8.09,370.0,,16.7,0.0,0.0,0.0358,0.0312,0.073,0.08,0.0,0.0,66.43,64.8,0.0025,0.0,0.0,0.0,0.0,1.02,0.043,0.0,0.0,27.96,27.355,0.051,0.0173,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.0,3.72,<2,<2,<2,<3,<3,<3
