collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),phenol(qual_code),cn(mg/l),cn_wad(mg/l),fog(mg/l),fog(qual_code),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),b_sol(qual_code),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),mn_sol(qual_code),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes_(total)(ug/l),m__and/or_p_xylenes(ug/l),o_xylene(ug/l)
2009-03-02 00:00:00,ww_12,9.0,2.3,7.8,0.743,0.13,0.96,0.0,65.85,818.0,32.0,5.0,29.6,177.0,310.0,0.0,4.7,0.0,,0.0,0.0,,,<4.30,6.02,9.0,,10.7,0.0,0.0,0.0411,0.0332,0.056,0.055,,0.0,0.0,67.98,62.19,0.0064,0.0,0.0,0.0,0.0,1.74,0.058,0.078,0.0,28.17,25.693,0.0891,0.0694,,0.0,,0.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.0,8.46,,,,,,
2009-03-02 00:00:00,ww_13,10.5,0.4,7.94,2.217,0.19,0.92,0.27,43.03,540.0,41.0,7.0,64.1,163.0,166.0,0.2,5.0,0.0,,0.0,0.0,,,<2.61,<5.42,830.0,720.0,6.2,0.0,0.0,0.0368,0.0237,0.049,0.049,,0.0,0.0,55.02,51.67,0.0042,0.0,0.0,0.0,0.0,2.67,0.046,0.062,0.0,24.85,22.851,0.051,0.0188,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48,,,,,,
2009-03-02 00:00:00,ww_78,9.1,0.7,7.77,5.869,0.46,1.03,0.31,83.38,892.0,6.0,0.0,2.15,244.0,300.0,0.42,4.0,0.0,,0.0,0.0,,,<3.41,5.41,2800.0,,2.0,0.0,0.0,0.0409,0.0376,0.135,0.138,,0.0,0.0,99.57,91.2,0.0,0.0,0.0,0.0,0.0,0.14,0.043,0.076,0.0,38.65,36.183,0.0277,na,q,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038,6.36,,,,,,
2009-03-02 00:00:00,ww_17,12.3,0.7,7.8,2.073,0.19,1.01,0.26,44.96,582.0,46.0,8.0,63.2,166.0,193.0,0.0,5.1,0.0,,0.0,0.0,,,<2.91,<5.06,1200.0,740.0,6.5,0.0,0.0,0.0377,0.0259,0.045,0.05,,0.0,0.0,57.19,53.13,0.0051,0.0,0.0,0.0,0.0,2.51,0.045,0.057,0.0,24.97,23.203,0.1113,0.0261,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.55,,,,,,
2009-03-02 00:00:00,ww_19,9.8,0.9,7.8,2.016,0.21,0.88,0.0,48.99,636.0,47.0,9.0,59.4,168.0,210.0,0.2,4.6,0.0,,0.0,0.0,,,<3.11,<5.90,2000.0,980.0,7.1,0.0,0.0,0.039,0.0268,0.047,0.053,,0.0,0.0,59.24,54.94,0.055,0.0,0.0,0.0,0.0,2.7,0.044,0.077,0.0,25.36,23.618,0.1304,0.0381,,0.0,,0.023,0.0032,0.0,0.0,0.0,0.0,0.022,0.01,2.3,,,,,,
2009-03-02 00:00:00,ww_20,10.2,0.8,7.9,2.034,0.22,0.89,0.0,47.88,642.0,42.0,8.0,55.4,174.0,220.0,0.21,4.7,0.0,,0.0,0.0,,,<3.21,<5.52,1400.0,980.0,7.0,0.0,0.0,0.0376,0.0273,0.048,0.053,,0.0,0.0,58.1,55.87,0.0046,0.0,0.0,0.0,0.0,2.3,0.043,0.066,0.0,24.82,23.654,0.0718,0.0399,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47,,,,,,
2009-03-02 00:00:00,ww_24,11.6,6.8,7.4,2.445,0.2,0.98,0.34,61.68,976.0,41.0,7.0,37.3,158.0,424.0,0.22,3.8,0.0,,0.0,0.0,,,<3.85,5.22,1800.0,,9.2,0.0,0.0,0.044,0.035,0.06,0.065,,0.0,0.0,68.69,63.44,0.004,0.0,0.0,0.0,0.0,1.92,0.051,0.058,0.0,25.77,23.86,0.0878,0.049,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.011,5.72,,,,,,
2009-03-02 00:00:00,ww_109,12.1,2.3,7.9,2.114,0.25,1.14,0.34,59.51,924.0,47.0,8.0,50.8,153.0,401.0,0.21,3.7,0.0,,0.0,0.0,,,18.6,12.9,2500.0,,8.3,0.0,0.0,0.0444,0.0345,0.071,0.071,,0.0,0.0,65.81,63.06,0.0038,0.0,0.0,0.0,0.0,2.12,0.069,0.073,0.0,24.68,23.626,0.0696,0.0403,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.01,2.47,,,,,,
2009-03-02 00:00:00,ww_22,12.7,1.0,7.7,2.096,0.18,1.18,0.28,50.03,728.0,46.0,10.0,55.1,160.0,257.0,0.21,4.0,0.0,,0.0,0.0,,,<3.39,<5.43,1600.0,1600.0,6.9,0.0,0.0,0.0401,0.0281,0.057,0.056,,0.0,0.0,60.77,55.43,0.0042,0.0,0.0,0.0,0.0,2.22,0.051,0.061,0.0,25.0,22.752,0.0702,0.0359,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.74,,,,,,
2009-03-02 00:00:00,ww_23,12.7,0.4,7.4,2.087,0.19,0.77,0.26,49.9,730.0,43.0,8.0,51.5,159.0,277.0,0.21,4.3,0.0,,0.0,0.0,,,<3.32,<6.67,2000.0,1500.0,7.8,0.0,0.0,0.0383,0.0289,0.054,0.058,,0.0,0.0,60.31,54.45,0.0035,0.0,0.0,0.0,0.0,1.81,0.041,0.061,0.0,24.73,22.048,0.0548,0.0245,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.49,,,,,,
