collect,sampling,do,temp,ph,no2+no3,nh3_n,tkn,tot_p,so4,so4,tds,ss,vss,turb,alk,cl,f,toc,toc,phenol,phenol,cn,cn,cn_wad,cn_wad,fog,fog,radiochem,radiochem,fec_col,e_coli,chloroph,as_tot,as_sol,as_sol,ba_tot,ba_sol,ba_sol,b_tot,b_sol,b_sol,cd_tot,cd_sol,cd_sol,ca_tot,ca_sol,ca_sol,cr_tot,cr_sol,cr_sol,cr6,cu_tot,cu_sol,cu_sol,fe_tot,fe_sol,fe_sol,pb_tot,pb_sol,pb_sol,mg_tot,mg_sol,mg_sol,mn_tot,mn_sol,mn_sol,hg_tot,hg_sol,ni_tot,ni_sol,ni_sol,se_tot,se_sol,se_sol,ag_tot,ag_sol,ag_sol,zn_tot,zn_sol,zn_sol,hg_ll,benzene,ethylbenzene,toluene,xylenes_(total),m__and/or_p_xylenes,o_xylene
date,point,mg/l,deg_c,,mg/l,mg/l,mg/l,mg/l,mg/l,qual_code,mg/l,mg/l,mg/l,ntu,mg/l,mg/l,mg/l,mg/l,qual_code,ug/l,qual_code,mg/l,qual_code,mg/l,qual_code,mg/l,qual_code,alpha,beta,cts/100ml,cts/100ml,yll_a,mg/l,mg/l,qual_code,mg/l,mg/l,qual_code,mg/l,mg/l,qual_code,mg/l,mg/l,qual_code,mg/l,mg/l,qual_code,mg/l,mg/l,qual_code,ug/l,mg/l,mg/l,qual_code,mg/l,mg/l,qual_code,mg/l,mg/l,qual_code,mg/l,mg/l,qual_code,mg/l,mg/l,qual_code,ug/l,ug/l,mg/l,mg/l,qual_code,mg/l,mg/l,qual_code,mg/l,mg/l,qual_code,mg/l,mg/l,qual_code,ng/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-10-05 00:00:00,ww_12,6.8,13.5,7.9,0.164,0.0,1.15,0.0,71.14,,594.0,42.0,9.0,18.4,168.0,191.0,0.0,6.6,,0.0,,0.0,,0.0,,,,<2.57,6.6,370.0,270.0,46.8,0.0,0.0,ac,0.0448,0.0372,ac,0.153,0.101,ac,0.0,0.0,ac,58.75,55.45,ac,0.0,0.0,ac,0.0,0.0,0.0,ac,1.56,0.039,ac,0.0,0.0,ac,25.36,24.362,ac,0.1287,0.0219,ac,0.0,,0.0,0.0,ac,0.0,0.0,ac,0.0,0.0,ac,0.0,0.0,ac,2.93,<2,<2,<2,<3,<3,<3
2009-10-05 00:00:00,ww_13,7.3,13.1,8.1,6.252,0.0,1.0,0.95,51.82,,548.0,14.0,4.0,8.03,173.0,157.0,0.39,5.4,,0.0,,0.0,,0.0,,,,<3.63,<6.02,240.0,,16.1,0.0,0.0,ac,0.0301,0.0262,ac,0.224,0.195,ac,0.0,0.0,ac,58.06,53.76,ac,0.0,0.0,ac,0.0,0.0,0.0,ac,0.54,0.043,ac,0.0,0.0,ac,24.65,23.75,ac,0.0538,0.0178,ac,0.0,,0.0,0.0,ac,0.0,0.0,ac,0.0,0.0,ac,0.019,0.012,ac,1.68,<2,<2,<2,<3,<3,<3
2009-10-05 00:00:00,ww_78,8.5,17.0,7.9,9.435,0.18,0.86,1.04,65.25,,528.0,5.0,0.0,1.95,161.0,130.0,0.73,5.5,,0.0,,0.0,,0.0,,,,<2.72,6.41,9.0,9.0,1.1,0.0,0.0,ac,0.0164,0.0155,ac,0.233,0.226,ac,0.0,0.0,ac,62.77,57.55,ac,0.0,0.0,ac,0.0,0.0,0.0,ac,0.0,0.043,ac,0.0,0.0,ac,21.54,20.628,ac,0.013,0.0105,ac,0.0,,0.0,0.0,ac,0.0,0.0,ac,0.0,0.0,ac,0.032,0.029,ac,1.18,<2,<2,<2,<3,<3,<3
2009-10-05 00:00:00,ww_17,9.2,17.3,7.9,5.434,0.0,1.06,0.96,52.51,,536.0,20.0,4.0,8.56,163.0,165.0,0.37,5.1,,0.0,,0.0,,0.0,,,,<2.88,<6.04,90.0,,15.6,0.0,0.0,ac,0.0315,0.028,ac,0.163,0.163,ac,0.0,0.0,ac,54.41,51.34,ac,0.0,0.0,ac,0.0,0.0,0.0,ac,0.57,0.036,ac,0.0,0.0,ac,22.27,21.772,ac,0.0444,0.0121,ac,0.0,,0.0,0.0,ac,0.0,0.0,ac,0.0,0.0,ac,0.018,0.011,ac,1.93,<2,<2,<2,<3,<3,<3
2009-10-05 00:00:00,ww_19,7.3,15.0,8.11,5.371,0.0,0.86,0.85,51.54,,532.0,22.0,4.0,11.6,157.0,163.0,0.41,4.9,,0.0,,0.0,,0.0,,,,<2.34,<5.61,240.0,,11.6,0.0,0.0,ac,0.03,0.0263,ac,0.158,0.155,ac,0.0,0.0,ac,53.68,49.91,ac,0.0,0.0,ac,0.0,0.0,0.0,ac,0.64,0.04,ac,0.0,0.0,ac,21.07,20.343,ac,0.0399,0.0137,ac,0.0,,0.0,0.0,ac,0.0,0.0,ac,0.0,0.0,ac,0.021,0.013,ac,2.97,<2,<2,<2,<3,<3,<3
2009-10-05 00:00:00,ww_20,8.2,16.1,8.16,4.595,0.0,1.04,0.8,50.18,,498.0,21.0,4.0,11.8,150.0,161.0,0.37,4.8,,0.0,,0.0,,0.0,,,,2.35,5.81,510.0,,9.0,0.0,0.0,ac,0.0282,0.0246,ac,0.148,0.146,ac,0.0,0.0,ac,52.51,47.64,ac,0.0,0.0,ac,0.0,0.0,0.0,ac,0.59,0.04,ac,0.0,0.0,ac,20.52,19.502,ac,0.048,0.0128,ac,0.0,,0.0,0.0,ac,0.0,0.0,ac,0.0,0.0,ac,0.04,0.012,ac,3.04,<2,<2,<2,<3,<3,<3
2009-10-05 00:00:00,ww_24,8.8,14.5,7.14,5.116,0.12,0.98,0.96,na,ab,538.0,22.0,5.0,12.2,138.0,156.0,0.39,5.4,,0.0,,0.0,,0.0,,,,<3.27,7.36,160.0,,3.9,0.0,0.0,ac,0.0267,0.0226,ac,0.132,0.132,ac,0.0,0.0,ac,53.07,49.16,ac,0.0,0.0,ac,0.0,0.0,0.0,ac,0.76,0.044,ac,0.0,0.0,ac,21.07,20.204,ac,0.0368,0.0165,ac,0.0,,0.0,0.0022,ac,0.0,0.0,ac,0.0,0.0,ac,0.019,0.012,ac,2.28,<2,<2,<2,<3,<3,<3
2009-10-05 00:00:00,ww_109,8.9,13.2,7.14,4.582,0.0,1.04,0.82,55.77,,520.0,18.0,5.0,14.9,147.0,161.0,0.42,5.2,,0.0,,0.0,,0.0,,,,<3.78,<5.91,350.0,,8.0,0.0,0.0,ac,0.0268,0.0229,ac,0.149,0.151,ac,0.0,0.0,ac,52.45,48.75,ac,0.0,0.0,ac,0.0,0.0,0.0,ac,0.66,0.044,ac,0.0,0.0,ac,20.81,19.879,ac,0.0384,0.0138,ac,0.0,,0.0,0.0025,ac,0.0,0.0,ac,0.0,0.0,ac,0.026,0.012,ac,4.56,<2,<2,<2,<3,<3,<3
