collect,sampling,do,temp,ph,no2+no3,nh3_n,tkn,tot_p,so4,tds,ss,vss,turb,alk,cl,f,toc,phenol,cn,cn_wad,fog,radiochem,radiochem,fec_col,e_coli,chloroph,as_tot,as_sol,ba_tot,ba_sol,b_tot,b_sol,b_sol,cd_tot,cd_sol,ca_tot,ca_sol,cr_tot,cr_sol,cr6,cu_tot,cu_sol,fe_tot,fe_sol,pb_tot,pb_sol,mg_tot,mg_sol,mn_tot,mn_sol,hg_tot,hg_sol,ni_tot,ni_sol,se_tot,se_sol,ag_tot,ag_sol,zn_tot,zn_sol,hg_ll,benzene,ethylbenzene,toluene,xylenes_(total),m__and/or_p_xylenes,o_xylene
date,point,mg/l,deg_c,,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ntu,mg/l,mg/l,mg/l,mg/l,ug/l,mg/l,mg/l,mg/l,alpha,beta,cts/100ml,cts/100ml,yll_a,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,qual_code,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ug/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ng/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-09-08 00:00:00,ww_13,8.4,20.8,7.2,8.786,0.0,1.13,1.24,69.75,628.0,19.0,4.0,10.6,211.0,190.0,0.5,5.9,0.0,0.0,0.0,,1.72,<5.54,130.0,240.0,27.1,0.0,0.0,0.0352,0.0298,0.203,0.216,,0.0,0.0,63.75,62.77,0.0042,0.0,0.0,0.0,0.0,0.52,0.027,0.0,0.0,26.76,27.405,0.0706,0.0329,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.014,2.53,,,,,,
2009-09-08 00:00:00,ww_78,8.1,22.4,7.6,14.333,0.24,1.53,2.37,87.55,634.0,0.0,0.0,2.34,166.0,176.0,0.87,5.8,0.0,0.0,0.0,,<2.06,11.2,180.0,,2.3,0.0,0.0,0.0213,0.0179,0.251,0.26,,0.0,0.0,71.14,68.7,0.0032,0.0,0.0,0.0,0.0,0.1,0.047,0.0,0.0,24.89,25.342,0.0202,0.0141,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.037,1.21,,,,,,
2009-09-08 00:00:00,ww_17,10.3,21.3,8.5,7.083,0.0,1.38,1.11,71.99,636.0,24.0,8.0,13.7,199.0,188.0,0.47,5.8,0.0,0.0,0.0,,<1.91,8.37,120.0,210.0,72.9,0.0,0.0,0.0383,0.0326,0.181,0.198,,0.0,0.0,67.25,65.24,0.003,0.0,0.0,0.0,0.0,0.55,0.022,0.0,0.0,28.05,28.118,0.0653,0.0066,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.011,2.64,,,,,,
2009-09-08 00:00:00,ww_19,7.7,21.8,8.2,7.529,0.0,1.22,1.22,76.59,632.0,20.0,5.0,14.4,198.0,193.0,0.58,5.4,0.0,0.0,0.0,,<3.07,7.15,240.0,150.0,30.2,0.0,0.0,0.033,0.0287,0.191,0.208,,0.0,0.0,63.12,63.35,0.0028,0.0,0.0,0.0,0.0,0.45,0.03,0.0,0.0,26.17,27.156,0.0507,0.0205,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.017,3.13,,,,,,
2009-09-08 00:00:00,ww_20,8.1,22.0,8.2,7.073,0.0,0.95,1.11,76.98,652.0,19.0,6.0,15.3,189.0,187.0,0.55,5.4,0.0,0.0,0.0,,1.51,<5.81,940.0,1200.0,34.3,0.0,0.0,0.0344,0.0302,0.196,0.21,,0.0,0.0,64.73,62.95,0.0,0.0,0.0,0.0,0.0,0.52,0.03,0.016,0.0,27.06,27.402,0.0521,0.0155,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.015,4.25,,,,,,
2009-09-08 00:00:00,ww_24,4.8,20.8,7.08,11.584,0.11,0.92,2.32,83.38,574.0,19.0,3.0,11.5,141.0,162.0,0.66,5.0,0.0,0.0,0.0,,<3.02,7.89,110.0,,3.3,0.0,0.0,0.0284,0.0229,0.232,0.249,,0.0,0.0,59.93,56.91,0.0,0.0,0.0,0.0,0.0,0.71,0.037,0.0,0.0,24.55,24.284,0.0555,0.031,0.0,,0.0,0.0046,0.0,0.0,0.0,0.0,0.031,0.023,3.22,,,,,,
2009-09-08 00:00:00,ww_109,7.4,21.9,7.54,10.029,0.15,0.84,1.91,83.72,588.0,15.0,0.0,9.67,146.0,172.0,0.65,4.9,0.0,0.0,0.0,,<3.44,8.72,270.0,,4.7,0.0,0.0,0.0304,0.0256,0.252,0.266,,0.0,0.0,61.78,58.09,0.0,0.0,0.0,0.0,0.0,0.53,0.043,0.0,0.0,25.47,24.56,0.0376,0.0207,0.0,,0.0,0.0044,0.0,0.0,0.0,0.0,0.028,0.021,3.61,,,,,,
2009-09-08 00:00:00,ww_22,5.9,19.9,8.14,7.753,0.0,0.78,1.36,78.88,634.0,19.0,5.0,12.0,182.0,184.0,0.58,5.5,0.0,0.0,0.0,,<3.09,8.14,200.0,250.0,27.2,0.0,0.0,0.0327,0.0284,0.214,0.237,,0.0,0.0,62.75,62.35,0.0028,0.0,0.0,0.0,0.0,0.53,0.02,0.0,0.0,26.19,26.475,0.0419,0.0073,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.018,4.05,,,,,,
