collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),so4(qual_code),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(qual_code),radiochem(beta),radiochem(qual_code),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),mn_sol(qual_code),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),hg_ll(qual_code),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes_(total)(ug/l),m__and/or_p_xylenes(ug/l),o_xylene(ug/l)
2010-04-05 00:00:00,ww_12,4.2,16.9,7.82,0.104,0.0,0.97,0.11,93.76,,912.0,36.0,6.0,27.8,215.0,313.0,0.15,5.3,0.0,0.0,0.0,_____,<4.33,,9.16,,340.0,280.0,22.6,0.0,0.0,0.0469,0.0358,0.0,0.087,0.0,0.0,72.34,64.99,0.0036,0.0,0.0,0.0,0.0,2.31,0.0,0.0,0.0,32.45,30.511,0.1453,0.0464,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.53,,<2,<2,<2,<3,<3,<3
2010-04-05 00:00:00,ww_13,8.9,15.5,7.46,3.312,0.11,0.95,0.39,61.67,,762.0,25.0,5.0,12.5,204.0,240.0,0.21,5.4,0.0,0.0,0.0,_____,<4.94,,<5.85,,530.0,_____,33.8,0.0,0.0,0.056,0.0361,0.105,0.113,0.0,0.0,76.6,56.56,0.0,0.0,0.0,0.0,0.0,0.81,0.038,0.0,0.0,33.63,26.833,0.1065,0.0339,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.28,,<2,<2,<2,<3,<3,<3
2010-04-05 00:00:00,ww_77,8.7,14.8,7.68,0.346,0.0,0.72,0.0,39.37,,1162.0,21.0,6.0,19.3,114.0,583.0,0.13,3.8,0.0,0.0,0.0013,_____,<2.64,,<4.78,,210.0,200.0,28.3,0.0,0.0,0.0607,0.0396,0.0,0.055,0.0,0.0,63.56,46.13,0.0,0.0,0.0,0.0,0.0,0.78,0.035,0.0,0.0,20.64,15.703,0.0902,0.0269,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,5.24,,<2,<2,<2,<3,<3,<3
2010-04-05 00:00:00,ww_78,8.7,22.6,7.19,5.152,0.41,1.39,0.75,61.33,,788.0,13.0,8.0,6.38,137.0,284.0,0.41,4.8,0.0,0.006,0.0,_____,2.23,,5.56,,4900.0,5000.0,8.2,0.0,0.0,0.0306,0.0209,0.141,0.141,0.0,0.0,69.69,49.53,0.0,0.0,0.0,0.0,0.0,0.23,0.04,0.0,0.0,24.66,18.482,0.0394,0.0212,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.016,2.46,,<2,<2,<2,<3,<3,<3
2010-04-05 00:00:00,ww_17,8.0,17.9,7.52,2.881,0.0,0.96,0.28,52.94,,752.0,28.0,7.0,14.5,168.0,259.0,0.19,5.3,0.0,0.0,0.001,_____,<4.54,,<5.18,,460.0,_____,33.7,0.0,0.0,0.0446,0.0304,0.09,0.096,0.0,0.0,67.13,51.56,0.0,0.0,0.0,0.0,0.0,0.79,0.037,0.0,0.0,28.23,23.002,0.0949,0.029,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.16,,<2,<2,<2,<3,<3,<3
2010-04-05 00:00:00,ww_19,8.0,16.8,7.45,2.948,0.15,0.99,0.31,52.42,,720.0,32.0,6.0,15.0,151.0,246.0,0.25,4.7,0.0,0.006,0.0,_____,_____,,_____,,630.0,_____,33.4,0.0,0.0,0.0412,0.0257,0.096,0.099,0.0,0.0,64.43,47.69,0.0032,0.0,0.0,0.0,0.0,1.1,0.037,0.0,0.0,26.15,20.227,0.0824,0.0247,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,6.33,,<2,<2,<2,<3,<3,<3
2010-04-05 00:00:00,ww_20,7.0,15.7,7.67,2.896,0.23,1.14,0.3,48.44,,608.0,44.0,8.0,43.9,135.0,211.0,0.24,5.1,0.0,0.0,0.0,_____,<3.84,,5.79,,650.0,_____,42.0,0.0,0.0,0.0421,0.0246,0.107,0.108,0.0,0.0,60.56,44.43,0.0047,0.0,0.0,0.0123,0.0,1.56,0.032,0.0,0.0,24.37,18.259,0.0897,0.0275,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,12.0,,<2,<2,<2,<3,<3,<3
2010-04-05 00:00:00,ww_24,8.3,14.1,7.71,3.81,0.21,1.28,0.64,53.4,,738.0,67.0,12.0,30.5,109.0,283.0,0.24,5.0,0.0,0.0,0.0,_____,4.66,,8.55,,2300.0,_____,20.6,0.0,0.0,0.0424,0.0255,0.095,0.095,0.0,0.0,58.47,48.71,0.0067,0.0,0.0,0.0094,0.0,2.12,0.06,0.0,0.0,22.2,18.8,0.0921,0.0293,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.015,13.9,,<2,<2,<2,<3,<3,<3
2010-04-05 00:00:00,ww_109,7.6,14.3,7.83,5.218,0.17,1.32,0.91,73.24,,918.0,56.0,9.0,88.3,139.0,348.0,0.35,5.2,0.0,0.0,0.0,_____,<4.68,,6.4,,1200.0,_____,29.3,0.0,0.0,0.0494,0.0261,0.148,0.149,0.0,0.0,78.85,54.18,0.0063,0.0,0.0,0.0091,0.0,2.55,0.046,0.0,0.0,30.39,21.769,0.1246,0.0372,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.015,13.9,,<2,<2,<2,<3,<3,<3
2010-04-05 00:00:00,ww_22,8.9,14.9,8.01,4.178,0.1,1.4,0.59,64.45,,788.0,60.0,11.0,37.9,165.0,270.0,0.31,5.2,0.0,0.0,0.0,_____,<4.34,,6.12,,1200.0,_____,51.8,0.0,0.0,0.0452,0.0276,0.12,0.125,0.0,0.0,70.54,55.56,0.0048,0.0,0.0,0.0,0.0,2.1,0.076,0.0,0.0,29.12,23.449,0.1022,0.0172,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.045,0.0,11.7,,<2,<2,<2,<3,<3,<3
