Collect    ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,TKN  ,Tot P,Tot P,SO4   ,TDS,TDS,SS  ,VSS ,TURB,TURB,ALK,CL   ,CL   ,F    ,TOC ,TOC ,Phenol,CN   ,CN-WAD,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,E COLI,Chloroph,As tot,As sol,,Ba tot,Ba sol,,B tot,B sol,,Cd tot,Cd sol,,Ca tot,Ca sol,,Cr tot,Cr sol,,Cr6   ,Cu tot,Cu sol,,Fe tot,Fe sol,,Pb tot,Pb sol,,Mg tot,Mg sol,,Mn tot,Mn sol,,Hg tot,Hg sol,Ni tot,Ni sol,,Se tot,Se sol,,Ag tot,Ag sol,,Zn tot,Zn sol,,Hg LL,Benzene,Ethylbenzene,Toluene,Xylenes (total),m- and/or p-Xylenes,o-Xylene
 date      ,point,mg/L,Deg C,     ,mg/L, mg/L , mg/L,Qual Code,mg/L,Qual Code, mg/L ,mg/L,Qual Code,mg/L,mg/L,NTU,Qual Code,mg/L,mg/L,Qual Code, mg/L,mg/L,Qual Code,ug/L, mg/L,mg/L,Qual Code,mg/L,alpha,beta,cts/100mL,cts/100mL,yll-A   , mg/L , mg/L ,, mg/L , mg/L ,, mg/L , mg/L ,, mg/L , mg/L ,, mg/L , mg/L ,, mg/L , mg/L ,, ug/L , mg/L , mg/L ,, mg/L , mg/L ,, mg/L , mg/L ,, mg/L , mg/L ,, mg/L , mg/L ,,ug/L,ug/L, mg/L , mg/L ,, mg/L , mg/L ,, mg/L , mg/L ,, mg/L , mg/L ,,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-02 00:00:00,WW_12,6.6,24.7,7.38,0.304,0.11,1.03,,0.24,,42.19,392.0,,32.0,6.0,29.1,AK,127.0,104.0,,0.15,7.4,,0.0,0.0,0.0,O,,<3.45,<4.37,280.0,,17.1,0.0,0.0,,0.0364,0.0271,,0.082,0.089,,0.0,0.0,,41.61,40.18,,0.0,0.0,,0.0,0.0,0.0,,2.05,0.108,,0.0,0.0,,17.26,16.669,,0.1694,0.0173,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.031,0.0,,2.5,<2,<2,<2,<3,<3,<3
2010-08-02 00:00:00,WW_13,6.8,25.0,7.87,1.625,0.0,0.93,,0.41,,37.59,490.0,,26.0,6.0,28.4,AK,174.0,108.0,,0.22,7.1,,0.0,0.0,0.0,O,,<3.06,4.89,320.0,,9.5,0.0,0.0,,0.0355,0.0275,,0.089,0.091,,0.0,0.0,,52.39,50.38,,0.0,0.0,,0.0,0.0,0.0,,1.15,0.083,,0.0,0.0,,23.06,23.001,,0.0955,0.0273,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.02,,2.1,<2,<2,<2,<3,<3,<3
2010-08-02 00:00:00,WW_78,8.0,25.9,7.21,4.184,0.24,1.49,,0.4,,56.07,608.0,,0.0,0.0,2.7,AK,186.0,127.0,,0.47,4.6,,0.0,0.0,0.0,O,,1.87,<4.63,590.0,,2.9,0.0,0.0,,0.0236,0.0209,,0.155,0.154,,0.0,0.0,,62.3,62.28,,0.0,0.0,,0.0,0.0,0.0,,0.16,0.047,,0.0,0.0,,22.02,22.896,,0.2984,0.0278,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.023,0.0,,0.7,<2,<2,<2,<3,<3,<3
2010-08-02 00:00:00,WW_17,6.6,27.2,7.36,1.303,0.1,0.98,,0.4,,37.24,460.0,,33.0,7.0,25.3,AK,163.0,107.0,,0.21,7.5,,0.0,0.0,0.0,O,,<2.94,5.42,600.0,,12.9,0.0,0.0,,0.0363,0.0273,,0.089,0.098,,0.0,0.0,,50.58,48.02,,0.0,0.0,,0.0,0.0,0.0,,1.21,0.093,,0.0,0.0,,21.91,21.292,,0.0868,NA,Q,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,3.0,<2,<2,<2,<3,<3,<3
2010-08-02 00:00:00,WW_19,6.2,27.6,7.11,1.449,0.12,0.89,,0.41,,37.75,444.0,,28.0,6.0,17.7,AK,153.0,105.0,,0.22,6.8,,0.0,0.0,0.0,O,,<2.46,<4.35,600.0,,10.0,0.0,0.0,,0.0383,0.0263,,0.09,0.089,,0.0,0.0,,50.04,45.11,,0.0071,0.0,,0.0,0.0,0.0,,1.73,0.085,,0.0,0.0,,21.58,19.873,,0.2562,0.0427,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.029,0.0,,4.4,<2,<2,<2,<3,<3,<3
2010-08-02 00:00:00,WW_20,6.8,27.9,7.16,1.553,0.13,0.89,,0.41,,35.9,442.0,,24.0,5.0,18.5,AK,148.0,105.0,,0.21,6.7,,0.0,0.0,0.0,O,,<2.76,4.57,340.0,,9.2,0.0,0.0,,0.0337,0.0265,,0.088,0.092,,0.0,0.0,,46.26,44.02,,0.0,0.0,,0.0,0.0,0.0,,1.02,0.085,,0.0,0.0,,19.4,19.308,,0.0703,NA,Q,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.019,0.0,,2.9,<2,<2,<2,<3,<3,<3
2010-08-02 00:00:00,WW_24,6.7,25.3,6.88,1.692,0.29,1.01,,0.46,,42.46,496.0,,26.0,6.0,11.7,AK,119.0,121.0,,0.21,5.6,,0.0,0.0,0.0,O,,<2.47,<5.35,390.0,320.0,8.9,0.0,0.0,,0.0306,0.0232,,0.089,0.089,,0.0,0.0,,42.79,40.36,,0.0,0.0,,0.0,0.0,0.0,,1.02,0.074,,0.0,0.0,,16.59,15.949,,0.0655,0.0136,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,3.2,<2,<2,<2,<3,<3,<3
2010-08-02 00:00:00,WW_109,6.5,24.3,7.38,1.54,0.16,1.03,,0.49,,40.28,408.0,,19.0,0.0,20.3,AK,119.0,119.0,,0.22,5.2,,0.0,0.0,0.0,O,,<3.17,<5.08,830.0,500.0,6.5,0.0,0.0,,0.031,0.0243,,0.093,0.095,,0.0,0.0,,40.42,39.97,,0.0,0.0,,0.0,0.0,0.0,,0.93,0.075,,0.0,0.0,,15.72,15.771,,0.0864,0.0347,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,2.9,<2,<2,<2,<3,<3,<3
