collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),cl(qual_code),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),mn_sol(qual_code),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes_(total)(ug/l),m__and/or_p_xylenes(ug/l),o_xylene(ug/l)
2010-12-06 00:00:00,ww_17,12.4,2.1,7.25,12.736,0.12,1.13,1.72,75.58,910.0,8.0,0.0,8.36,162.0,329.0,ar,0.6,5.0,0.0,0.005,0.0013,,3.21,11.6,280.0,130.0,8.3,0.0,0.0,0.051,0.047,0.2,0.2,0.0,0.0,66.1,64.9,0.0,0.0,0.0,0.0,0.005,0.3,0.0,0.0,0.0,26.0,26.0,0.034,0.022,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,5.0,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-06 00:00:00,ww_19,12.0,1.2,8.01,11.354,0.13,1.03,1.49,76.85,1052.0,13.0,0.0,13.6,158.0,416.0,ar,0.67,4.9,0.0,0.006,0.0012,,<4.23,10.4,1600.0,1100.0,5.1,0.0,0.0,0.046,0.042,0.21,0.21,0.0,0.0,67.2,66.1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,25.2,25.2,0.053,0.033,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,5.0,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-06 00:00:00,ww_20,10.7,0.9,8.06,10.467,0.12,1.15,1.36,74.33,1060.0,26.0,5.0,17.9,156.0,404.0,ar,0.62,4.0,0.0,0.006,0.001,,7.69,12.1,540.0,540.0,6.5,0.0,0.0,0.042,0.039,0.2,0.2,0.0,0.0,65.2,64.7,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,24.4,24.5,0.045,0.026,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,6.9,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-06 00:00:00,ww_24,7.5,1.5,7.75,10.379,0.21,1.08,1.63,78.09,880.0,17.0,0.0,12.4,142.0,344.0,ar,0.6,5.1,0.0,0.006,0.0,,<4.94,6.88,1100.0,,9.2,0.0,0.0,0.03,0.026,0.22,0.22,0.0,0.0,65.5,65.6,0.0,0.0,0.0,0.0,0.005,0.6,0.0,0.0,0.0,23.8,24.1,0.049,0.031,,0.0,,0.009,0.009,0.0,0.0,0.0,0.0,0.0,0.02,5.0,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-06 00:00:00,ww_109,9.3,1.2,7.56,9.784,0.97,1.03,1.43,72.53,1030.0,11.0,0.0,14.0,146.0,430.0,ar,0.56,4.0,0.0,0.007,0.001,,3.64,7.75,1400.0,,7.1,0.0,0.0,0.031,0.028,0.24,0.24,0.0,0.0,66.3,65.1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,24.0,24.0,0.0695,na,q,0.0,,0.012,0.008,0.0,0.0,0.0,0.0,0.0,0.02,5.0,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-06 00:00:00,ww_22,10.3,1.4,7.69,9.763,0.53,1.06,1.27,75.11,1122.0,9.0,0.0,9.85,152.0,476.0,ar,0.64,4.1,0.0,0.007,0.0014,,<3.10,9.86,540.0,400.0,6.1,0.0,0.0,0.038,0.035,0.22,0.21,0.0,0.0,65.8,64.9,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,24.1,24.1,0.049,0.028,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-06 00:00:00,ww_23,9.5,1.9,7.49,9.058,0.38,0.93,1.15,78.78,818.0,7.0,0.0,8.8,155.0,308.0,ar,0.58,4.4,0.0,0.005,0.001,,<4.66,<6.10,230.0,120.0,6.2,0.0,0.0,0.033,0.031,0.23,0.23,0.0,0.0,62.4,62.8,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,24.1,24.5,0.057,0.048,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,5.0,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-06 00:00:00,ww_29,10.5,1.3,7.89,8.564,0.15,0.88,1.14,76.67,620.0,5.0,0.0,6.91,155.0,192.0,ar,0.58,6.3,0.0,0.0,0.0,,<3.50,<5.40,580.0,360.0,5.1,0.0,0.0,0.03,0.027,0.2,0.2,0.0,0.0,63.7,61.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,24.7,24.1,0.037,0.023,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,5.0,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-06 00:00:00,ww_91,6.1,1.1,7.78,7.688,0.1,0.83,1.07,83.54,622.0,13.0,0.0,8.81,165.0,174.0,ar,0.52,4.4,0.0,0.0,0.0,,<2.48,7.36,99.0,40.0,9.8,0.0,0.0,0.03,0.026,0.19,0.19,0.0,0.0,65.3,65.3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,26.2,26.3,0.04,0.016,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,5.0,<2.,<2.,<2.,<3.,<3.,<3.
2010-12-06 00:00:00,ww_80,12.0,10.6,7.4,11.225,0.17,1.16,1.8,65.58,582.0,0.0,0.0,4.56,124.0,176.0,ar,0.68,5.9,0.0,0.0,0.0,,<3.87,8.39,2900.0,,4.6,0.0,0.0,0.021,0.02,0.24,0.23,0.0,0.0,57.3,54.7,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,20.7,20.1,0.028,0.02,,0.0,,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,9.5,<2.,<2.,<2.,<3.,<3.,<3.
