collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),tds(qual_code),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),cl(qual_code),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),ca_sol(qual_code),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),pb_sol(qual_code),mg_tot(mg/l),mg_tot(qual_code),mg_sol(mg/l),mn_tot(mg/l),mn_tot(qual_code),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes_(total)(ug/l),m__and/or_p_xylenes(ug/l),o_xylene(ug/l)
2010-02-01 00:00:00,ww_12,7.1,2.1,7.39,0.906,0.15,1.52,0.0,103.71,936.0,,11.0,0.0,10.5,265.0,291.0,,0.0,5.0,0.0,0.0,0.0,_____,<4.53,6.14,<10,_____,3.2,0.0,0.0,0.0474,0.0453,0.085,0.089,0.014,0.0105,98.73,98.96,,0.0026,0.0,0.0,0.0,0.0,0.56,0.052,0.0,0.0,42.49,43.461,,0.1065,0.0919,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.011,2.1,,<2,<2,<2,<3,<3,<3
2010-02-01 00:00:00,ww_13,6.5,1.0,7.68,4.555,0.11,1.2,0.25,53.03,580.0,,11.0,3.0,14.1,213.0,146.0,,0.24,5.6,0.0,0.0,0.0,_____,<2.76,8.97,260.0,_____,3.0,0.0,0.0,0.0387,0.037,0.073,0.078,0.0,0.0047,72.01,73.6,,0.0,0.0,0.0,0.0,0.0,0.55,0.059,0.0,0.0,32.3,33.756,,0.0409,0.0346,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011,2.5,,<2,<2,<2,<3,<3,<3
2010-02-01 00:00:00,ww_78,9.0,7.7,7.19,10.223,0.13,1.21,0.87,94.29,830.0,,0.0,0.0,6.95,212.0,233.0,,0.68,4.8,0.0,0.0,0.0,_____,<2.25,8.7,490.0,_____,0.7,0.0,0.0,0.0269,0.0261,0.212,0.209,0.0,0.0028,91.52,91.63,,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,35.07,35.632,,0.0292,0.0307,,0.0,_____,0.019,0.0089,0.0,0.0,0.0,0.0,0.032,0.031,1.0,,<2,<2,<2,<3,<3,<3
2010-02-01 00:00:00,ww_17,9.8,1.0,8.01,4.307,0.0,1.01,0.25,53.35,592.0,,10.0,3.0,11.4,217.0,164.0,,0.24,5.4,0.0,0.0,0.0,_____,3.09,6.94,220.0,_____,3.0,0.0,0.0,0.0421,0.0398,0.074,0.078,0.0,0.0,74.33,75.97,,0.0,0.0,0.0,0.0,0.0,0.53,0.057,0.0,0.0,32.94,34.135,,0.0535,na,r,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013,2.5,,<2,<2,<2,<3,<3,<3
2010-02-01 00:00:00,ww_19,11.5,1.0,7.96,4.735,0.1,1.13,0.29,57.01,632.0,,10.0,3.0,12.4,214.0,177.0,,0.27,5.4,0.0,0.0,0.0,_____,3.52,7.51,330.0,_____,3.4,0.0,0.0,0.0376,0.0366,0.082,0.089,0.0,0.0,74.12,76.76,,0.0,0.0,0.0,0.0,0.0,0.52,0.066,0.0,0.0,32.17,34.039,,0.0464,0.0361,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.012,2.3,,<2,<2,<2,<3,<3,<3
2010-02-01 00:00:00,ww_20,8.7,1.0,7.79,4.481,0.11,0.94,0.28,55.36,628.0,,10.0,0.0,13.6,208.0,177.0,,0.26,5.3,0.0,0.0,0.0,_____,5.54,9.9,200.0,_____,2.6,0.0,0.0,0.037,0.0349,0.081,0.084,0.0,0.0,74.28,75.18,,0.0,0.0,0.0,0.0,0.0,0.53,0.061,0.0,0.0,32.39,33.182,,0.046,0.0275,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.013,2.4,,<2,<2,<2,<3,<3,<3
2010-02-01 00:00:00,ww_24,5.6,2.2,7.32,6.721,0.41,2.36,0.97,87.57,1094.0,,12.0,3.0,12.7,201.0,395.0,,0.4,3.8,0.0,0.005,0.0,_____,<4.19,<6.17,400.0,380.0,5.5,0.0,0.0,0.0422,0.0402,0.134,0.146,0.0,0.0,90.96,93.1,,0.0,0.0,0.0,0.0,0.0,0.55,0.047,0.0,0.0,34.83,35.797,,0.0572,0.0471,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.028,2.6,,<2,<2,<2,<3,<3,<3
2010-02-01 00:00:00,ww_109,7.2,1.5,7.76,6.082,0.32,1.05,0.67,87.25,1096.0,,13.0,3.0,14.1,204.0,419.0,,0.37,3.7,0.0,0.0,0.0,_____,<5.00,30.1,1100.0,860.0,5.9,0.0,0.0,0.0426,0.0415,0.141,0.142,0.0,0.0,90.74,97.64,,0.0,0.0,0.0,0.023,0.0,0.54,0.035,0.0,0.0,34.88,37.45,,0.065,0.058,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.023,3.2,,<2,<2,<2,<3,<3,<3
2010-02-01 00:00:00,ww_22,6.8,1.0,8.2,4.757,0.15,1.39,0.35,59.1,688.0,,11.0,3.0,15.1,207.0,215.0,,0.28,5.1,0.0,0.0,0.0,_____,<3.08,13.7,360.0,250.0,3.5,0.0,0.0,0.0375,0.0352,0.091,0.093,0.0,0.0,76.12,78.25,,0.0,0.0,0.0,0.0,0.0,0.57,0.057,0.0,0.0,32.36,33.612,,0.0384,0.0288,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.014,2.7,,<2,<2,<2,<3,<3,<3
2010-02-01 00:00:00,ww_23,9.0,1.9,8.0,4.611,0.19,1.0,0.31,59.49,726.0,,10.0,3.0,15.6,203.0,221.0,,0.27,4.9,0.0,0.0,0.0,_____,<4.47,5.92,170.0,_____,3.4,0.0,0.0,0.0358,0.0341,0.088,0.092,0.0,0.0,75.87,78.22,,0.0,0.0,0.0,0.0,0.0,0.55,0.055,0.0,0.0,31.76,33.341,,0.0402,0.0318,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.016,3.2,,<2,<2,<2,<3,<3,<3
