collect,sampling,do,temp,ph,no2+no3,nh3_n,tkn,tot_p,so4,tds,ss,vss,turb,turb,alk,alk,cl,cl,f,toc,phenol,cn,cn_wad,fog,radiochem,radiochem,fec_col,e_coli,chloroph,as_tot,as_sol,ba_tot,ba_sol,b_tot,b_sol,cd_tot,cd_sol,ca_tot,ca_sol,cr_tot,cr_sol,cr6,cu_tot,cu_sol,fe_tot,fe_sol,pb_tot,pb_sol,mg_tot,mg_sol,mn_tot,mn_sol,mn_sol,hg_tot,hg_sol,ni_tot,ni_sol,se_tot,se_sol,ag_tot,ag_sol,zn_tot,zn_sol,hg_ll,benzene,ethylbenzene,toluene,xylenes_(total),m__and/or_p_xylenes,o_xylene
date,point,mg/l,deg_c,,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ntu,qual_code,mg/l,qual_code,mg/l,qual_code,mg/l,mg/l,ug/l,mg/l,mg/l,mg/l,alpha,beta,cts/100ml,cts/100ml,yll_a,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,qual_code,ug/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ng/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-04 00:00:00,ww_13,10.5,1.8,6.95,3.919,0.0,0.81,0.0,49.7,506.0,8.0,0.0,9.35,,204.0,,133.0,,0.21,6.1,0.0,0.0,0.0,_____,<3.13,13.2,120.0,_____,0.4,0.0,0.0,0.0316,0.0308,0.077,0.064,0.0,0.0,63.34,66.13,0.0,0.0,0.0,0.0,0.0,0.47,0.088,0.0,0.021,28.28,30.596,0.1164,0.0268,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,2.6,,,,,,
2010-01-04 00:00:00,ww_78,10.6,9.1,8.65,7.956,0.14,1.1,0.49,88.3,798.0,3.0,0.0,1.85,,233.0,,261.0,,0.53,4.4,0.0,0.0,0.0,_____,3.63,7.22,700.0,690.0,0.3,0.0,0.0,0.0308,0.0311,0.195,0.187,0.0,0.0,90.11,95.2,0.0,0.0,0.0,0.0,0.0,0.1,0.043,0.0,0.02,33.92,37.256,0.0364,0.0289,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.024,0.97,,,,,,
2010-01-04 00:00:00,ww_24,6.6,3.2,7.6,7.022,0.16,0.88,0.91,87.33,972.0,8.0,0.0,5.11,,211.0,,418.0,,0.34,3.9,0.0,0.0,0.0,_____,<5.64,<5.66,460.0,_____,4.2,0.0,0.0,0.04,0.0375,0.135,0.124,0.0,0.0,88.59,90.48,0.0,0.0,0.0,0.0,0.0,0.48,0.044,0.0,0.0,33.5,35.299,0.053,0.0425,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.017,5.12,,,,,,
2010-01-04 00:00:00,ww_22,6.4,1.4,7.7,4.253,0.11,0.95,0.34,57.94,662.0,8.0,0.0,10.3,,205.0,,222.0,,0.24,5.2,0.0,0.0,0.0,_____,<3.69,6.73,270.0,_____,1.6,0.0,0.0,0.0353,0.033,0.085,0.079,0.0,0.0,71.25,70.36,0.0,0.0,0.0,0.0,0.0,0.51,0.098,0.0,0.0,30.12,30.928,0.0312,0.0232,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.011,3.18,,,,,,
2010-01-04 00:00:00,ww_29,6.4,4.6,7.9,4.211,0.1,0.9,0.35,57.74,664.0,10.0,0.0,12.5,ag,202.0,ag,241.0,ag,0.24,5.3,0.0,0.0,0.0,_____,<3.02,14.5,60.0,_____,2.6,0.0,0.0,0.0358,0.0326,0.085,0.076,0.0,0.0,72.05,69.83,0.0,0.0,0.0,0.0,0.0,0.61,0.09,0.0,0.0,30.28,30.232,0.0334,0.0242,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,3.52,,,,,,
2010-01-04 00:00:00,ww_91,10.7,1.0,8.0,4.14,0.1,0.92,0.35,58.44,746.0,12.0,0.0,12.3,,204.0,,270.0,,0.23,4.9,0.0,0.0,0.0,_____,<5.93,18.3,60.0,_____,5.4,0.0,0.0,0.0352,0.0332,0.088,0.095,0.0,0.0,71.73,73.08,0.0,0.0,0.0,0.0,0.0,0.6,0.079,0.0,0.0,29.78,31.177,0.0311,0.0206,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.012,1.94,,,,,,
2010-01-04 00:00:00,ww_80,9.9,3.9,7.64,8.007,0.1,1.01,1.26,72.0,934.0,6.0,0.0,5.37,,175.0,,393.0,,0.39,4.6,0.0,0.0,0.0,_____,<5.92,8.39,200.0,_____,3.9,0.0,0.0,0.0329,0.032,0.156,0.141,0.0,0.0,75.63,77.82,0.0,0.0,0.0,0.0,0.0,0.32,0.085,0.0,0.0,28.14,30.056,0.0609,0.0378,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.019,1.93,,,,,,
2010-01-04 00:00:00,ww_18,10.5,5.6,7.77,7.59,0.11,0.98,1.16,71.24,946.0,7.0,0.0,6.23,,178.0,,409.0,,0.37,4.7,0.0,0.0,0.0,_____,<2.98,<5.74,330.0,_____,4.2,0.0,0.0,0.0342,0.0332,0.143,0.132,0.0,0.0,76.63,78.41,0.0,0.0,0.0,0.0,0.0,0.39,0.081,0.0,0.0,28.48,30.298,0.0561,0.0457,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.019,1.9,,,,,,
