collect,sampling,do,temp,ph,no2+no3,nh3_n,tkn,tkn,tot_p,tot_p,so4,tds,tds,ss,vss,turb,turb,alk,cl,cl,f,toc,phenol,cn,cn_wad,fog,radiochem,radiochem,fec_col,e_coli,chloroph,chlorophyll_a,as_tot,as_sol,ba_tot,ba_sol,b_tot,b_sol,cd_tot,cd_sol,ca_tot,ca_sol,cr_tot,cr_tot,cr_sol,cr6,cr6,cu_tot,cu_sol,fe_tot,fe_tot,fe_sol,pb_tot,pb_sol,mg_tot,mg_sol,mn_tot,mn_sol,mn_sol,hg_tot,hg_sol,ni_tot,ni_sol,se_tot,se_sol,ag_tot,ag_sol,zn_tot,zn_sol,hg_ll,benzene,ethylbenzene,toluene,xylenes_(total),m__and/or_p_xylenes,o_xylene
date,point,mg/l,deg_c,,mg/l,mg/l,mg/l,qual_code,mg/l,qual_code,mg/l,mg/l,qual_code,mg/l,mg/l,ntu,qual_code,mg/l,mg/l,qual_code,mg/l,mg/l,ug/l,mg/l,mg/l,mg/l,alpha,beta,cts/100ml,cts/100ml,yll_a,qual_code,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,qual_code,mg/l,ug/l,qual_code,mg/l,mg/l,mg/l,qual_code,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,qual_code,ug/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ng/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-06 00:00:00,ww_13,6.3,25.9,6.74,6.441,0.0,1.07,,0.78,,61.9,796.0,,18.0,4.0,12.3,ak,204.0,159.0,,0.37,6.1,0.0,0.005,0.001,_____,<3.39,7.58,120.0,_____,13.2,,0.0,0.0,0.0401,0.035,0.162,0.167,0.0,0.0,66.52,62.48,0.0,,0.0,0.0,,0.0,0.0,0.58,,0.0,0.0,0.0,30.24,29.183,0.0804,0.0205,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,,,,,,
2010-07-06 00:00:00,ww_78,8.3,26.0,7.56,11.291,0.2,1.26,,1.83,,96.57,780.0,,0.0,0.0,1.2,ak,169.0,179.0,,0.85,5.1,0.0,0.006,0.0015,_____,<2.18,7.09,<10,<10,3.1,,0.0,0.0,0.0212,0.0191,0.29,0.282,0.0,0.0,79.1,72.92,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.038,0.0,0.0,28.77,27.139,0.1245,0.0172,,0.0,_____,0.0,0.0113,0.0,0.0,0.0,0.0,0.046,0.038,0.0,,,,,,
2010-07-06 00:00:00,ww_17,7.2,28.3,7.96,4.959,0.0,1.06,,0.64,,59.89,770.0,,15.0,5.0,12.1,ak,209.0,158.0,,0.35,6.3,0.0,0.0,0.0,_____,<4.85,<4.92,1100.0,_____,22.2,,0.0,0.0,0.0432,0.0384,0.152,0.153,0.0,0.0,68.74,65.36,0.0,,0.0,0.0,,0.0,0.0,0.45,,0.0,0.0,0.0,30.95,30.464,0.065,0.0054,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,,,,,,
2010-07-06 00:00:00,ww_19,5.7,27.2,7.91,5.035,0.0,0.95,,0.91,,65.94,806.0,,18.0,5.0,12.7,ak,202.0,168.0,,0.42,6.1,0.0,0.0,0.0,_____,<1.91,<4.58,270.0,_____,7.8,,0.0,0.0,0.041,0.0369,0.165,0.17,0.0,0.0,67.49,64.22,0.0,,0.0,0.0,,0.0,0.0,0.57,,0.027,0.0,0.0,30.11,29.51,0.0616,0.0208,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,,,,,,
2010-07-06 00:00:00,ww_20,5.8,27.7,8.22,4.689,0.0,0.91,,0.64,,62.4,676.0,,24.0,5.0,12.6,ak,202.0,161.0,,0.39,6.1,0.0,0.0,0.0,_____,<3.84,4.79,180.0,_____,6.4,,0.0,0.0,0.0426,0.0369,0.162,0.163,0.0,0.0,67.03,62.55,0.0,,0.0,0.0,,0.0,0.0,0.65,,0.0,0.0,0.0,30.3,29.189,0.0614,0.0247,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,3.5,,,,,,
2010-07-06 00:00:00,ww_109,5.8,25.8,7.58,7.56,0.0,0.81,,1.26,,86.47,752.0,,9.0,0.0,13.81,ak,162.0,194.0,,0.51,5.0,0.0,0.0,0.0,_____,<1.95,7.65,230.0,_____,1.9,,0.0,0.0,0.0391,0.0359,0.282,0.281,0.0,0.0,69.7,65.44,0.0,,0.0,0.0,,0.0,0.0,0.41,,0.036,0.0,0.0,29.73,28.717,0.0607,0.047,,0.0,_____,0.0,0.0056,0.0,0.0,0.0,0.0,0.026,0.016,2.5,,,,,,
2010-07-06 00:00:00,ww_22,7.2,26.2,8.05,5.349,0.0,0.82,,0.84,,69.01,718.0,,18.0,4.0,15.02,ak,195.0,176.0,,0.42,5.7,0.0,0.005,0.0,_____,<4.45,<5.48,260.0,_____,8.3,,0.0,0.0,0.0417,0.0372,0.195,0.196,0.0,0.0,68.15,65.46,0.0,,0.0,0.0,,0.0,0.0,0.54,,0.0,0.0,0.0,30.16,29.736,0.056,0.0093,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,3.5,,,,,,
2010-07-06 00:00:00,ww_23,7.7,26.5,8.24,5.097,0.0,1.0,,0.72,,68.56,708.0,,21.0,5.0,16.23,ak,200.0,170.0,,0.41,5.9,0.0,0.0,0.0,_____,<3.30,<5.74,130.0,_____,26.6,,0.0,0.0,0.044,0.038,0.188,0.191,0.0,0.0,69.34,67.45,0.0031,,0.0,0.0,,0.0,0.0,0.82,,0.0,0.0,0.0,30.73,30.398,0.0821,0.0085,,0.0,_____,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,4.1,,,,,,
