Collect    ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,TDS,SS  ,VSS ,TURB,TURB,ALK,CL   ,CL,F    ,TOC ,Phenol,CN   ,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,E COLI,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr tot,Cr sol,Cr sol ,Cr6   ,Cr6,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Mn Sol ,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Hg LL,Benzene,Ethylbenzene,Toluene,Xylenes (total),m- and/or p-Xylenes,o-Xylene
 date      ,point,mg/L,Deg C,     ,mg/L, mg/L , mg/L,mg/L, mg/L ,mg/L,mg/L,mg/L,NTU,Qual Code,mg/L,mg/L,Qual Code, mg/L,mg/L,ug/L, mg/L,mg/L,mg/L,alpha,beta,cts/100mL,cts/100mL,yll-A   , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,Qual Code, mg/L ,Qual Code, ug/L ,Qual Code, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,Qual Code,ug/L,ug/L, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-01 00:00:00,WW_92,4.9,24.9,6.94,3.946,0.34,1.14,0.79,71.27,532.0,16.0,4.0,12.4,AK,129.0,140.0,,0.48,4.5,0.0,0.0,0.0011,0.0,-----,-----,2000.0,-----,7.6,0.0,0.0,0.0232,0.0206,0.193,0.201,0.0,0.0,53.32,51.49,0.0,,0.0,,0.0,,0.0,0.0,0.46,0.039,0.0,0.0,19.1,18.87,0.053,0.0208,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,-----,,,,,,
2010-06-07 00:00:00,WW_12,6.4,19.0,7.4,0.3,0.16,1.27,0.14,50.99,680.0,49.0,8.0,43.3,AK,191.0,188.0,,0.17,6.9,0.0,0.0,0.0,-----,<1.94,<5.14,440.0,-----,12.8,0.0,0.0,0.0482,0.0388,0.092,0.092,0.0,0.0,64.15,60.03,0.0049,,0.0,,0.0,,0.0,0.0,2.25,0.036,0.0,0.0,27.91,26.844,0.1684,0.0353,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,<2,<2,<2,<3,<3,<3
2010-06-07 00:00:00,WW_13,5.6,19.5,7.89,3.81,0.12,1.22,0.48,43.95,584.0,42.0,8.0,9.9,AK,175.0,154.0,,0.28,5.9,0.0,0.005,0.0022,-----,<2.14,<5.43,760.0,800.0,13.4,0.0,0.0,0.0407,0.0318,0.114,0.116,0.0,0.0,58.94,55.94,0.004,,0.0,,0.0,,0.0,0.0,1.89,0.052,0.0,0.0,26.75,26.231,0.1193,0.0097,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,<2,<2,<2,<3,<3,<3
2010-06-07 00:00:00,WW_17,6.3,23.5,7.83,3.734,0.11,1.14,0.49,40.99,578.0,43.0,8.0,5.0,AK,164.0,153.0,,0.27,8.2,0.0,0.0,0.0,-----,<1.76,<5.50,860.0,1000.0,12.2,0.0,0.0,0.0425,0.0344,0.127,0.127,0.0,0.0,57.66,54.02,0.0,,0.0,,0.0,,0.0,0.0,1.3,0.045,0.0,0.0,25.41,24.666,0.0842,0.0121,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,<2,<2,<2,<3,<3,<3
2010-06-07 00:00:00,WW_19,5.6,22.1,7.76,3.432,0.12,1.03,0.62,44.04,546.0,38.0,7.0,28.5,AK,151.0,151.0,,0.29,5.0,0.0,0.0,0.0,-----,<2.51,6.92,600.0,540.0,11.1,0.0,0.0,0.0386,0.0323,0.117,0.121,0.0,0.0,53.97,51.77,0.0043,,0.0,,0.0,,0.0,0.0,1.26,0.047,0.0,0.0,23.38,23.137,0.0754,0.0123,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,3.2,<2,<2,<2,<3,<3,<3
2010-06-07 00:00:00,WW_20,5.6,20.2,7.82,4.518,0.0,1.13,0.57,53.71,616.0,52.0,10.0,29.8,AK,179.0,169.0,,0.34,5.6,0.0,0.0,0.0,-----,<4.66,<5.09,400.0,560.0,13.7,0.0,0.0,0.0474,0.0376,0.161,0.155,0.0,0.0,66.65,60.74,0.0165,,0.0107,,0.0,,0.0,0.0,1.4,0.03,0.0,0.0,28.85,27.468,0.0931,0.0134,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,3.7,<2,<2,<2,<3,<3,<3
2010-06-07 00:00:00,WW_109,6.9,20.0,6.85,3.331,0.13,0.83,0.56,56.61,640.0,26.0,5.0,19.8,AK,161.0,181.0,,0.29,4.7,0.0,0.0,0.0,-----,<1.72,<5.85,850.0,-----,4.3,0.0,0.0,0.0365,0.0316,0.144,0.152,0.0,0.0,59.22,59.36,0.0039,,0.0,,0.0,,0.0,0.0,0.96,0.064,0.0,0.0,23.77,24.389,0.0702,0.0496,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,4.4,<2,<2,<2,<3,<3,<3
2010-06-07 00:00:00,WW_22,6.2,21.1,7.58,3.679,0.0,0.96,0.54,55.08,652.0,23.0,4.0,23.4,AK,177.0,181.0,,0.3,5.2,0.0,0.0,0.002,-----,<3.23,<5.20,500.0,500.0,12.1,0.0,0.0,0.0424,0.0371,0.138,0.144,0.0,0.0033,62.54,61.4,0.0115,,0.0046,,0.0,,0.0,0.0,1.25,0.049,0.0,0.0,26.55,26.319,0.0963,0.0587,,0.0,-----,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.049,5.3,<2,<2,<2,<3,<3,<3
