collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),so4(qual_code),tds(mg/l),tds(qual_code),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),cl(qual_code),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),mn_sol(qual_code),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),hg_ll(qual_code),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),o_xylene(ug/l),m__and/or_p_xylenes(ug/l),xylenes_(total)(ug/l)
2011-02-07 00:00:00,ww_111,11.5,6.5,7.65,18.34,0.61,1.83,2.87,67.7,,934.0,,22.0,7.0,20.7,118.0,391.0,,0.78,5.6,<5,0.005,0.0014,,<4.90,12.2,1300.0,,5.2,<0.05,<0.02,0.0343,0.0309,0.183,0.19,<0.001,<0.001,64.41,63.31,<0.01,<0.003,<10,<0.02,0.005,0.66,<0.2,<0.03,<0.03,22.57,22.34,0.0643,0.0506,,<0.2,,<0.008,<0.008,0.008,<0.03,<0.004,<0.004,<0.06,0.041,2.6,,,,,,,
2011-02-07 00:00:00,ww_89,8.4,10.2,7.27,17.097,0.48,2.04,3.08,65.22,,732.0,,10.0,8.0,4.12,118.0,273.0,,0.84,7.2,<5,0.006,0.0013,,<2.50,12.7,2700.0,,2.3,<0.05,<0.02,0.03,0.0288,0.216,0.22,<0.001,<0.001,59.54,58.19,<0.01,<0.003,<10,<0.02,0.0063,<0.2,<0.2,<0.03,<0.03,21.35,21.16,0.0343,0.0259,,<0.2,,<0.008,<0.008,0.006,<0.03,<0.004,<0.004,<0.06,0.05,3.0,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-02-07 00:00:00,ww_92,6.5,8.8,6.89,13.37,1.11,1.7,1.96,120.09,,928.0,,5.0,2.0,3.31,131.0,320.0,,0.81,5.2,<5,<0.005,0.0016,<5,,,40.0,,2.0,<0.05,<0.02,0.0203,0.0184,0.218,0.23,<0.001,<0.001,66.66,63.98,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,22.77,22.21,0.0333,0.0289,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.03,,,,,,,,
2011-02-14 00:00:00,ww_106,10.0,6.7,7.3,7.434,1.01,1.76,1.17,70.25,,3628.0,,30.0,6.0,19.5,110.0,2076.0,,0.44,2.3,<5,0.017,0.0014,,<6.80,<4.40,6100.0,,5.0,<0.05,<0.02,0.1033,0.0907,0.09,0.12,<0.001,0.0011,107.09,101.83,<0.01,<0.003,<10,<0.02,0.0082,1.08,<0.2,<0.03,<0.03,29.12,28.73,0.1709,0.1452,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.037,6.9,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-02-14 00:00:00,ww_105,8.7,8.0,7.79,13.875,0.21,0.98,1.62,62.92,,900.0,,24.0,4.0,16.1,126.0,397.0,,0.74,3.8,<5,0.005,<0.0010,,<3.70,7.4,310.0,,5.9,<0.05,<0.02,0.0332,0.0286,0.137,0.16,<0.001,<0.001,65.75,63.03,<0.01,<0.003,<10,<0.02,0.0052,0.69,<0.2,<0.03,<0.03,24.42,24.24,0.087,0.0629,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.032,4.5,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-02-14 00:00:00,ww_104,10.0,6.3,7.66,12.649,0.25,1.78,1.76,66.73,,1216.0,,127.0,23.0,22.7,134.0,592.0,,0.67,4.0,<5,0.006,<0.0010,,<3.20,5.3,600.0,,11.7,<0.05,<0.02,0.0547,0.0349,0.13,0.15,<0.001,<0.001,76.42,69.36,<0.01,<0.003,<10,<0.02,<0.005,3.69,<0.2,<0.03,<0.03,28.18,25.58,0.2062,0.0899,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,0.069,0.029,8.7,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-02-14 00:00:00,ww_103,10.1,2.3,6.82,7.799,0.82,1.61,1.06,73.45,,2552.0,,17.0,4.0,17.5,142.0,1116.0,,0.49,2.5,<5,0.01,0.0013,,<6.20,3.6,4600.0,,6.5,<0.05,<0.02,0.0756,0.0671,0.109,0.13,<0.001,<0.001,95.42,92.35,<0.01,<0.003,<10,<0.02,0.0065,0.66,<0.2,<0.03,<0.03,29.28,29.53,0.1316,0.119,,<0.2,,<0.008,<0.008,0.005,<0.03,<0.004,<0.004,<0.06,0.025,9.5,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-02-14 00:00:00,ww_37,7.7,8.4,7.21,4.969,3.48,5.08,1.38,54.53,,1676.0,x,8.0,4.0,4.6,126.0,915.0,,0.68,3.9,<5,0.005,0.0014,<5,,,12000.0,10000.0,0.8,<0.05,<0.02,0.0332,0.0313,0.124,0.15,<0.001,<0.001,64.08,62.67,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,17.65,18.02,0.0502,0.0428,,<0.2,,<0.008,<0.008,0.006,<0.03,<0.004,<0.004,<0.06,0.033,,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-02-14 00:00:00,ww_73,6.6,9.6,7.0,6.471,4.39,5.46,1.43,50.34,,902.0,,5.0,2.0,3.6,144.0,429.0,,0.82,4.7,<5,<0.005,<0.0010,<5,,,6400.0,5800.0,0.6,<0.05,<0.02,0.0265,0.025,0.122,0.14,<0.001,<0.001,58.6,57.94,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,18.62,19.04,0.0268,0.0247,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.03,,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-02-14 00:00:00,ww_46,7.1,8.2,7.21,10.277,1.53,2.58,1.5,50.09,,724.0,,6.0,1.0,4.51,129.0,309.0,,0.9,4.8,<5,0.005,0.0011,<5,,,750.0,600.0,0.5,<0.05,<0.02,0.0247,0.022,0.133,0.15,<0.001,<0.001,57.49,56.47,<0.01,<0.003,<10,<0.02,<0.005,0.24,<0.2,<0.03,<0.03,19.28,19.56,0.0284,0.0247,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.032,,,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
