collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),so4(qual_code),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),mn_sol(qual_code),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),o_xylene(ug/l),m__and/or_p_xylenes(ug/l),xylenes_(total)(ug/l)
2011-01-03 00:00:00,ww_12,12.3,1.8,7.3,0.934,0.44,1.25,0.12,81.04,,1058.0,18.0,5.0,11.4,242.0,454.0,0.17,5.5,<5,0.005,0.0011,,4.8,6.5,380.0,540.0,2.7,<0.05,<0.02,0.049,0.0432,0.06,0.08,<0.001,<0.001,77.5,76.3,<0.01,<0.003,<10,<0.02,<0.005,0.9,<0.2,<0.03,<0.03,32.1,31.64,0.125,0.0907,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,12.0,,,,,,
2011-01-03 00:00:00,ww_13,12.1,1.6,7.87,5.444,0.31,1.14,0.39,75.57,,874.0,16.0,4.0,11.6,190.0,339.0,0.39,4.8,<5,<0.005,<0.0010,,<2.90,8.3,930.0,,6.9,<0.05,<0.02,0.045,0.0395,0.12,0.12,<0.001,<0.001,76.2,74.7,<0.01,<0.003,<10,<0.02,<0.005,0.5,<0.2,<0.03,<0.03,33.0,32.55,0.073,0.0541,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,<2.5,,,,,,
2011-01-03 00:00:00,ww_78,11.5,6.8,7.9,6.189,0.15,1.0,0.16,68.97,,1142.0,5.0,4.0,2.84,175.0,492.0,0.47,3.7,<5,0.006,0.0012,,<2.50,3.0,340.0,400.0,1.1,<0.05,<0.02,0.047,0.0444,0.15,0.15,<0.001,<0.001,86.6,86.61,<0.01,<0.003,<10,<0.02,<0.005,0.2,<0.2,<0.03,<0.03,28.9,29.05,0.041,0.0328,,<0.2,,<0.008,<0.008,0.007,<0.03,<0.004,<0.004,<0.06,<0.02,<2.5,,,,,,
2011-01-03 00:00:00,ww_17,12.6,1.4,7.95,4.557,0.38,1.32,0.34,74.04,,964.0,13.0,5.0,10.1,179.0,397.0,0.32,5.0,<5,<0.005,0.0014,,<3.90,7.0,860.0,,3.8,<0.05,<0.02,0.049,0.0439,0.11,0.11,<0.001,<0.001,74.9,74.5,<0.01,<0.003,<10,<0.02,<0.005,0.7,<0.2,<0.03,<0.03,30.9,30.65,0.077,0.0509,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,<2.5,,,,,,
2011-01-03 00:00:00,ww_19,12.1,1.6,7.99,5.049,0.37,1.44,0.37,69.55,,1042.0,15.0,5.0,8.13,172.0,438.0,0.34,4.6,<5,<0.005,0.0012,,<2.20,3.2,1200.0,,4.9,<0.05,<0.02,0.046,0.0413,0.11,0.11,<0.001,<0.001,76.8,75.37,<0.01,<0.003,<10,<0.02,<0.005,0.6,<0.2,<0.03,<0.03,29.9,29.35,0.071,0.0507,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,0.037,<2.5,,,,,,
2011-01-03 00:00:00,ww_20,11.0,1.7,8.01,5.047,0.37,1.44,0.4,69.02,,1080.0,14.0,5.0,10.5,160.0,470.0,0.33,4.4,<5,0.006,0.001,,<2.50,3.5,1500.0,,4.4,<0.05,<0.02,0.048,0.0434,0.12,0.12,<0.001,<0.001,75.1,74.89,<0.01,<0.003,<10,<0.02,<0.005,0.6,<0.2,<0.03,<0.03,28.7,28.34,0.061,0.0455,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,2.6,,,,,,
2011-01-03 00:00:00,ww_24,12.5,2.4,7.45,3.341,0.25,1.32,0.3,67.24,,1112.0,20.0,5.0,16.1,148.0,495.0,0.28,4.1,<5,0.006,0.0012,,<2.30,3.4,940.0,,4.1,<0.05,<0.02,0.043,0.0369,0.08,0.08,<0.001,<0.001,74.3,72.83,<0.01,<0.003,<10,<0.02,<0.005,0.9,<0.2,<0.03,<0.03,26.3,25.47,0.088,0.0684,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,4.0,,,,,,
2011-01-03 00:00:00,ww_109,12.4,0.8,7.88,3.087,0.27,1.16,0.29,65.59,,1100.0,20.0,5.0,13.0,148.0,518.0,0.24,4.0,<5,0.005,0.001,,<2.50,3.8,1700.0,,5.8,<0.05,<0.02,0.043,0.037,0.08,0.08,<0.001,<0.001,74.4,73.81,<0.01,<0.003,<10,<0.02,<0.005,0.9,<0.2,<0.03,<0.03,26.4,25.69,0.071,0.0492,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,4.6,,,,,,
2011-01-03 00:00:00,ww_22,12.6,0.6,7.92,4.301,0.33,1.14,0.38,67.18,,1100.0,17.0,5.0,10.7,152.0,489.0,0.32,4.3,<5,0.005,<0.0010,,<2.60,3.9,1200.0,,4.3,<0.05,<0.02,0.045,0.0397,0.1,0.1,<0.001,<0.001,72.5,73.15,<0.01,<0.003,<10,<0.02,<0.005,0.7,<0.2,<0.03,<0.03,26.9,26.56,0.061,0.0437,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,3.6,,,,,,
2011-01-03 00:00:00,ww_23,12.0,1.3,7.96,4.284,0.32,1.15,0.41,67.22,,1128.0,20.0,6.0,12.6,148.0,498.0,0.32,4.1,<5,0.006,0.0011,,2.9,3.5,1100.0,,4.3,<0.05,<0.02,0.045,0.04,0.1,0.1,<0.001,<0.001,72.4,71.55,<0.01,<0.003,<10,<0.02,<0.005,0.7,<0.2,<0.03,<0.03,26.2,25.58,0.065,0.0451,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,<0.004,<0.06,<0.02,3.7,,,,,,
