collect(date),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),so4(qual_data),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),alk(qual_data),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),e_coli(cts/100ml),chloroph(yll_a),chloroph(qual_data),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),ba_sol(qual_code),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),ca_sol(qual_code),cr_tot(mg/l),cr_sol(mg/l),cr_sol(qual_code),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),fe_sol(qual_code),pb_tot(mg/l),pb_sol(mg/l),pb_sol(qual_code),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),mn_sol(qual_code),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),ni_sol(qual_code),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),zn_sol(qual_code),hg_ll(ng/l),hg_ll(qual_code),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),o_xylene(ug/l),m__and/or_p_xylenes(ug/l),xylenes_(total)(ug/l)
2011-07-05 00:00:00,ww_13,6.6,23.8,7.9,8.955,0.18,1.28,1.07,66.22,d,740.0,21.0,6.0,10.8,201.0,,188.0,0.47,5.7,<5,<0.005,<0.0010,,<1.80,3.5,170.0,,42.2,,<0.05,<0.02,0.0515,0.0495,,0.188,0.2,<0.001,<0.001,71.06,74.44,,<0.01,<0.003,,<10,<0.02,<0.005,0.48,<0.2,,<0.03,<0.03,,31.75,32.37,0.0677,0.0249,,<0.2,,<0.008,<0.008,,<0.005,<0.03,<0.004,0.0016,<0.06,<0.02,,9.7,,,,,,,
2011-07-05 00:00:00,ww_78,8.0,22.5,7.72,11.816,0.43,1.05,2.12,95.89,,766.0,2.0,1.0,1.34,166.0,,185.0,0.89,6.0,<5,<0.005,0.0012,,<2.00,5.2,20.0,20.0,8.2,,<0.05,<0.02,0.0198,0.0193,,0.29,0.3,<0.001,<0.001,77.83,79.48,,<0.01,<0.003,,<10,<0.02,<0.005,<0.2,<0.2,,<0.03,<0.03,,28.32,28.48,0.0153,0.0125,,<0.2,,0.0088,0.01,,<0.005,<0.03,<0.004,0.0017,<0.06,0.034,,8.6,,,,,,,
2011-07-05 00:00:00,ww_17,10.1,25.9,8.87,6.84,0.06,2.02,0.95,73.81,d,782.0,38.0,16.0,17.3,212.0,,205.0,0.46,6.9,<5,<0.005,<0.0010,,<2.00,5.1,190.0,,175.6,,<0.05,0.02,0.0501,0.0448,,0.187,0.19,<0.001,<0.001,75.0,77.08,,<0.01,<0.003,,<10,<0.02,<0.005,0.54,<0.2,,<0.03,<0.03,,33.59,33.65,0.0867,<0.003,,<0.2,,<0.008,<0.008,,<0.005,<0.03,<0.004,0.0016,<0.06,<0.02,,9.1,,,,,,,
2011-07-05 00:00:00,ww_19,7.8,26.1,8.67,6.456,0.1,1.61,1.11,75.21,,764.0,28.0,11.0,13.7,204.0,,208.0,0.57,6.6,<5,<0.005,<0.0010,,<2.20,6.5,130.0,,108.4,,<0.05,0.02,0.0403,0.0358,,0.216,0.22,<0.001,<0.001,75.98,76.47,,<0.01,<0.003,,<10,<0.02,<0.005,0.45,<0.2,,<0.03,<0.03,,33.31,32.72,0.1853,0.0956,,<0.2,,<0.008,<0.008,,<0.005,<0.03,<0.004,0.0016,<0.06,<0.02,,na,l,,,,,,
2011-07-05 00:00:00,ww_20,8.9,27.3,8.68,5.545,0.47,1.64,1.14,75.51,d,800.0,31.0,13.0,14.8,209.0,,209.0,0.53,6.6,<5,<0.005,<0.0010,,<2.00,6.2,100.0,,125.4,,<0.05,<0.02,0.0419,0.0361,,0.217,0.22,<0.001,<0.001,78.0,77.52,,<0.01,<0.003,,<10,<0.02,<0.005,0.66,<0.2,,<0.03,<0.03,,34.29,33.41,0.1169,0.0397,,<0.2,,<0.008,<0.008,,<0.005,<0.03,<0.004,0.0016,<0.06,<0.02,,11.0,,,,,,,
2011-07-05 00:00:00,ww_24,7.0,25.3,7.31,8.93,0.23,0.8,1.65,78.53,,746.0,12.0,3.0,6.38,151.0,,207.0,0.61,5.7,<5,<0.005,0.001,,<2.10,5.1,140.0,,1.7,,<0.05,<0.02,0.0311,0.0281,,0.221,0.22,<0.001,<0.001,66.62,67.18,,<0.01,<0.003,,<10,<0.02,<0.005,0.39,<0.2,,<0.03,<0.03,,29.49,28.72,0.0518,0.0342,,<0.2,,0.0107,0.011,,<0.005,<0.03,<0.004,0.0014,<0.06,<0.02,,3.6,,,,,,,
2011-07-05 00:00:00,ww_109,5.3,32.4,7.03,8.331,0.12,0.57,1.55,82.89,,850.0,11.0,3.0,7.02,162.0,,210.0,0.61,5.4,<5,<0.005,<0.0010,,<2.00,5.4,<10,,3.5,,<0.05,<0.02,0.0342,0.0322,,0.242,0.24,<0.001,<0.001,71.75,73.51,,<0.01,<0.003,,<10,<0.02,<0.005,0.37,<0.2,,<0.03,<0.03,,30.88,30.69,0.0341,0.0212,,<0.2,,0.0533,0.01,,<0.005,<0.03,<0.004,0.0015,<0.06,<0.02,,<0.5,,,,,,,
2011-07-05 00:00:00,ww_22,9.4,33.0,8.0,6.437,<0.10,1.26,1.08,76.22,,786.0,33.0,12.0,16.5,196.0,,207.0,0.55,6.5,<5,<0.005,0.001,,<2.20,6.1,20.0,,125.9,,<0.05,<0.02,0.0387,0.0343,,0.22,0.22,<0.001,<0.001,74.15,77.33,,<0.01,<0.003,,<10,<0.02,<0.005,0.58,<0.2,,<0.03,<0.03,,32.7,32.94,0.0809,0.0038,,<0.2,,<0.008,0.008,,<0.005,<0.03,<0.004,0.0016,<0.06,<0.02,,4.1,,,,,,,
2011-07-05 00:00:00,ww_23,9.7,32.1,7.31,6.078,<0.10,1.15,0.9,84.82,d,798.0,20.0,9.0,12.8,199.0,,215.0,0.53,6.1,<5,<0.005,<0.0010,,4.5,7.8,<10,,57.6,,<0.05,<0.02,0.0396,0.0341,,0.219,0.22,<0.001,<0.001,77.55,77.42,,0.01,<0.003,,<10,<0.02,<0.005,0.54,<0.2,,<0.03,<0.03,,35.11,33.89,0.0871,0.0188,,<0.2,,0.0093,0.008,,<0.005,<0.03,<0.004,0.0015,<0.06,<0.02,,<0.5,,,,,,,
2011-07-05 00:00:00,ww_29,8.6,28.7,7.76,5.871,<0.10,1.72,0.92,87.39,,808.0,33.0,13.0,19.2,203.0,,212.0,0.51,6.0,<5,<0.005,<0.0010,,<2.10,3.6,20.0,,2.4,,<0.05,<0.02,0.0396,0.0336,,0.201,0.2,<0.001,<0.001,77.42,76.55,,<0.01,<0.003,,<10,<0.02,<0.005,0.7,<0.2,,<0.03,<0.03,,34.55,33.28,0.0648,<0.003,,<0.2,,<0.008,<0.008,,<0.005,<0.03,<0.004,0.0013,<0.06,<0.02,,4.0,,,,,,,
