collect,sampling,do,temp,temp,ph,no2+no3,nh3_n,tkn,tot_p,so4,tds,ss,vss,turb,alk,cl,f,toc,phenol,cn,cn_wad,fog,radiochem,radiochem,fec_col,chloroph,as_tot,as_sol,ba_tot,ba_sol,b_tot,b_sol,cd_tot,cd_sol,ca_tot,ca_sol,cr_tot,cr_sol,cr6,cu_tot,cu_sol,fe_tot,fe_sol,pb_tot,pb_sol,mg_tot,mg_sol,mn_tot,mn_sol,mn_sol,hg_tot,hg_sol,ni_tot,ni_sol,se_tot,se_sol,ag_tot,ag_sol,zn_tot,zn_sol,hg_ll,benzene,ethylbenzene,toluene,xylenes_(total),m__and/or_p_xylenes,o_xylene
date,point,mg/l,deg_c,qual_code,,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ntu,mg/l,mg/l,mg/l,mg/l,ug/l,mg/l,mg/l,mg/l,alpha,beta,cts/100ml,yll_a,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,qual_code,ug/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ng/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-07 00:00:00,ww_12,8.6,11.9,,7.5,0.136,0.14,0.82,<0.10,71.0,626.0,13.0,3.0,11.6,208.0,188.0,0.21,6.1,<5,<0.005,<0.0010,,2.0,2.0,20.0,12.8,<0.05,<0.02,0.0399,0.0367,0.087,0.09,<0.001,<0.001,69.47,69.43,<0.01,<0.003,<10,<0.02,<0.005,0.61,<0.2,<0.03,<0.03,29.99,30.33,0.0827,0.0502,,<0.2,,<0.008,<0.008,0.005,<0.03,<0.004,0.0015,<0.06,<0.02,<2.5,,,,,,
2011-11-07 00:00:00,ww_13,8.2,11.6,,7.63,6.31,0.12,1.24,1.04,65.33,606.0,13.0,4.0,7.01,210.0,161.0,0.46,6.1,<5,<0.005,<0.0010,,<1.90,3.7,390.0,15.7,<0.05,<0.02,0.0377,0.0338,0.152,0.15,<0.001,<0.001,70.14,68.33,<0.01,<0.003,<10,<0.02,<0.005,0.44,<0.2,<0.03,<0.03,31.27,30.97,0.0691,0.0387,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0016,<0.06,<0.02,<2.5,,,,,,
2011-11-07 00:00:00,ww_77,8.9,13.2,,7.23,0.22,0.37,1.2,<0.10,29.22,540.0,35.0,4.0,23.3,141.0,208.0,0.22,4.9,<5,<0.005,<0.0010,,2.2,2.9,260.0,12.5,<0.05,<0.02,0.0452,0.0372,0.068,0.07,<0.001,<0.001,48.49,47.41,<0.01,<0.003,<10,<0.02,<0.005,1.64,<0.2,<0.03,<0.03,16.16,15.72,0.1156,0.0391,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0011,<0.06,<0.02,<2.5,,,,,,
2011-11-07 00:00:00,ww_78,8.4,16.4,,7.5,9.839,0.48,1.4,1.64,89.25,624.0,<4,0.0,1.04,165.0,164.0,0.94,5.1,<5,<0.005,<0.0010,,<1.90,6.4,330.0,1.0,<0.05,<0.02,0.0198,0.0189,0.296,0.3,<0.001,<0.001,67.93,66.89,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,24.73,24.6,0.0135,0.0106,,<0.2,,0.0082,0.008,<0.005,<0.03,<0.004,0.0016,<0.06,0.043,<2.5,,,,,,
2011-11-07 00:00:00,ww_17,7.7,12.6,,7.44,5.987,<0.10,1.08,1.08,65.05,634.0,14.0,4.0,7.56,206.0,172.0,0.44,6.1,<5,<0.005,<0.0010,,<1.60,<1.70,1000.0,10.5,<0.05,<0.02,0.043,0.0377,0.153,0.16,<0.001,<0.001,70.03,68.28,<0.01,0.0032,<10,<0.02,<0.005,0.43,<0.2,<0.03,<0.03,30.63,30.24,0.0455,0.0206,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0015,<0.06,<0.02,<2.5,,,,,,
2011-11-07 00:00:00,ww_19,7.7,12.1,,7.49,6.46,<0.10,1.15,1.13,69.85,582.0,6.0,1.0,4.4,200.0,179.0,0.53,5.6,<5,<0.005,<0.0010,,<1.60,4.4,510.0,6.6,<0.05,<0.02,0.0409,0.0372,0.181,0.18,<0.001,<0.001,69.65,68.26,<0.01,<0.003,<10,<0.02,<0.005,0.25,<0.2,<0.03,<0.03,29.46,29.34,0.0262,0.0163,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0016,<0.06,<0.02,<2.5,,,,,,
2011-11-07 00:00:00,ww_20,5.8,10.9,,7.22,6.415,<0.10,1.11,1.13,70.37,646.0,6.0,1.0,4.13,196.0,182.0,0.52,5.5,<5,<0.005,<0.0010,,<2.00,5.3,480.0,8.0,<0.05,<0.02,0.0424,0.0367,0.185,0.18,<0.001,<0.001,71.19,66.99,<0.01,<0.003,<10,<0.02,<0.005,0.25,<0.2,<0.03,<0.03,29.74,28.62,0.0288,0.0178,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0015,<0.06,<0.02,<2.5,,,,,,
2011-11-07 00:00:00,ww_24,9.0,11.5,,7.45,11.631,<0.10,1.01,2.11,81.37,618.0,3.0,0.0,3.56,150.0,170.0,0.7,5.1,<5,<0.005,<0.0010,,<1.80,3.7,60.0,1.4,<0.05,<0.02,0.025,0.0226,0.285,0.29,<0.001,<0.001,65.19,64.09,<0.01,<0.003,<10,<0.02,0.008,0.22,<0.2,<0.03,<0.03,25.09,24.93,0.022,0.0164,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0013,0.062,0.036,<2.5,,,,,,
2011-11-07 00:00:00,ww_109,8.3,10.9,,8.15,10.377,<0.10,0.91,1.89,86.64,636.0,5.0,1.0,4.1,157.0,177.0,0.66,5.6,<5,<0.005,<0.0010,,<2.00,4.3,160.0,0.8,<0.05,<0.02,0.0256,0.0239,0.235,0.24,<0.001,<0.001,68.1,68.45,<0.01,<0.003,<10,<0.02,0.0051,0.21,<0.2,<0.03,<0.03,26.52,26.71,0.0153,0.0103,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0015,<0.06,0.025,<2.5,,,,,,
2011-11-07 00:00:00,ww_22,9.4,10.6,,8.0,7.624,<0.10,0.84,1.39,75.27,634.0,5.0,1.0,6.74,188.0,180.0,0.58,5.3,<5,<0.005,<0.0010,,<1.60,4.1,360.0,7.8,<0.05,<0.02,0.0328,0.0315,0.194,0.2,<0.001,<0.001,66.94,67.5,<0.01,<0.003,<10,<0.02,<0.005,0.23,<0.2,<0.03,<0.03,27.43,28.05,0.023,0.0151,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0015,<0.06,<0.02,<2.5,,,,,,
2011-11-07 00:00:00,ww_23,9.6,10.5,,8.15,7.76,<0.10,0.79,1.35,75.36,652.0,12.0,2.0,6.58,189.0,184.0,0.58,5.5,<5,<0.005,<0.0010,,<1.90,5.5,140.0,12.2,<0.05,<0.02,0.0337,0.0311,0.199,0.21,<0.001,<0.001,68.85,68.77,<0.01,<0.003,<10,<0.02,<0.005,0.37,<0.2,<0.03,<0.03,28.1,28.22,0.0266,0.0111,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0015,<0.06,<0.02,3.2,,,,,,
2011-11-07 00:00:00,ww_29,10.2,11.2,,8.16,7.717,<0.10,1.23,1.28,83.88,646.0,18.0,4.0,6.93,189.0,182.0,0.58,5.2,<5,<0.005,<0.0010,,<1.80,6.6,30.0,25.0,<0.05,<0.02,0.0343,0.0297,0.197,0.2,<0.001,<0.001,71.23,69.61,<0.01,<0.003,<10,<0.02,<0.005,0.47,<0.2,<0.03,<0.03,29.04,28.74,0.0615,0.036,,<0.2,,<0.008,<0.008,0.006,<0.03,<0.004,0.0016,<0.06,0.021,<2.5,,,,,,
2011-11-07 00:00:00,ww_91,10.1,11.4,,7.5,7.691,<0.10,1.07,1.19,80.22,666.0,13.0,3.0,8.66,184.0,182.0,0.59,5.3,<5,<0.005,<0.0010,,<1.80,5.1,<10,23.6,<0.05,<0.02,0.0334,0.03,0.209,0.21,<0.001,<0.001,71.35,68.71,<0.01,<0.003,<10,0.027,0.0097,0.47,<0.2,<0.03,<0.03,28.86,28.36,0.1004,0.0619,,<0.2,,<0.008,0.016,<0.005,<0.03,<0.004,0.0015,<0.06,0.021,2.9,,,,,,
