collect,sampling,do,temp,ph,no2+no3,nh3_n,tkn,tot_p,so4,tds,ss,ss,vss,vss,turb,alk,cl,f,toc,phenol,cn,cn,cn_wad,cn_wad,fog,radiochem,radiochem,fec_col,chloroph,as_tot,as_sol,ba_tot,ba_sol,b_tot,b_sol,cd_tot,cd_sol,ca_tot,ca_sol,cr_tot,cr_sol,cr6,cu_tot,cu_sol,fe_tot,fe_sol,pb_tot,pb_sol,mg_tot,mg_sol,mn_tot,mn_sol,mn_sol,hg_tot,hg_sol,ni_tot,ni_sol,se_tot,se_sol,ag_tot,ag_sol,zn_tot,zn_sol,hg_ll,benzene,ethylbenzene,toluene,xylenes_(total),m__and/or_p_xylenes,o_xylene
date,point,mg/l,deg_c,,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,qual_code,mg/l,qual_code,ntu,mg/l,mg/l,mg/l,mg/l,ug/l,mg/l,qual_code,mg/l,qual_code,mg/l,alpha,beta,cts/100ml,yll_a,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,qual_code,ug/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ng/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-10-03 00:00:00,ww_12,9.1,14.4,8.1,0.152,0.16,0.8,<0.10,64.02,494.0,7.0,,4.0,,12.9,165.0,134.0,0.18,5.4,<5,<0.005,,<0.0010,,,1.6,2.5,110.0,15.9,<0.05,<0.02,0.0347,0.0315,0.091,0.08,<0.001,<0.001,54.69,54.52,<0.01,<0.003,<10,<0.02,<0.005,0.5,<0.2,<0.03,<0.03,23.4,23.54,0.0538,0.0124,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0014,<0.06,<0.02,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-03 00:00:00,ww_13,8.6,19.3,8.01,3.653,0.25,0.92,0.54,57.38,500.0,13.0,,4.0,,10.6,173.0,131.0,0.29,6.3,<5,0.005,,<0.0010,,,<1.60,2.9,250.0,12.9,<0.05,<0.02,0.0356,0.0313,0.111,0.1,<0.001,<0.001,56.87,55.01,<0.01,<0.003,<10,<0.02,<0.005,0.55,<0.2,<0.03,<0.03,25.8,25.27,0.0582,0.0234,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0013,<0.06,<0.02,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-03 00:00:00,ww_78,6.2,20.5,7.82,10.506,0.17,0.89,1.37,87.25,614.0,<4,,0.0,,<1.0,186.0,155.0,0.69,4.5,<5,0.005,,0.0014,,,<1.70,4.2,99.0,0.3,<0.05,<0.02,0.0218,0.0209,0.281,0.27,<0.001,<0.001,75.47,73.77,<0.01,<0.003,<10,<0.02,<0.005,<0.2,<0.2,<0.03,<0.03,27.53,27.35,0.0031,<0.003,,<0.2,,0.0103,0.009,0.005,<0.03,<0.004,0.0018,<0.06,0.023,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-03 00:00:00,ww_17,7.3,16.1,8.04,3.476,0.11,1.0,0.55,56.92,510.0,5.0,,3.0,,13.6,172.0,133.0,0.29,5.9,<5,0.005,,<0.0010,,,<1.80,2.3,230.0,13.3,<0.05,<0.02,0.035,0.0307,0.111,0.1,<0.001,<0.001,57.08,54.63,<0.01,<0.003,<10,<0.02,<0.005,0.51,<0.2,<0.03,<0.03,25.33,24.72,0.0576,0.019,,<0.2,,<0.008,<0.008,0.006,<0.03,<0.004,0.0013,<0.06,<0.02,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-03 00:00:00,ww_19,6.7,16.7,7.95,3.367,0.13,0.95,0.55,58.19,448.0,5.0,,3.0,,11.5,172.0,134.0,0.31,5.8,<5,<0.005,,0.001,,,<1.60,3.1,270.0,9.9,<0.05,<0.02,0.0332,0.029,0.125,0.11,<0.001,<0.001,57.85,54.86,<0.01,<0.003,<10,<0.02,<0.005,0.52,<0.2,<0.03,<0.03,25.4,24.49,0.0458,0.0146,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0013,<0.06,<0.02,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-03 00:00:00,ww_20,6.3,16.6,8.05,3.375,0.17,0.9,0.53,58.35,480.0,5.0,,3.0,,12.7,172.0,136.0,0.31,5.8,<5,0.005,,0.001,,,<1.90,3.0,310.0,9.9,<0.05,<0.02,0.0335,0.0294,0.124,0.11,<0.001,<0.001,57.89,53.86,<0.01,<0.003,<10,<0.02,<0.005,0.5,<0.2,<0.03,<0.03,25.21,24.06,0.0426,0.0127,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0013,<0.06,<0.02,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-03 00:00:00,ww_24,6.4,12.5,7.12,6.36,0.2,0.88,0.97,68.26,536.0,<4,,1.0,,10.7,144.0,151.0,0.4,4.6,<5,<0.005,,0.0013,,,<1.50,3.1,270.0,2.0,<0.05,<0.02,0.0283,0.0239,0.175,0.16,<0.001,<0.001,57.06,53.09,<0.01,<0.003,<10,<0.02,<0.005,0.56,<0.2,<0.03,<0.03,23.04,21.83,0.0438,0.0274,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0012,<0.06,<0.02,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
2011-10-03 00:00:00,ww_109,7.0,13.8,7.39,5.565,0.23,0.51,0.83,67.54,520.0,<4,,1.0,,7.99,148.0,152.0,0.38,4.4,<5,<0.005,,0.0011,,,<1.60,2.2,420.0,1.6,<0.05,<0.02,0.0287,0.0252,0.161,0.15,<0.001,<0.001,59.26,54.51,<0.01,<0.003,<10,<0.02,<0.005,0.38,<0.2,<0.03,<0.03,23.55,22.2,0.0316,0.0194,,<0.2,,<0.008,<0.008,<0.005,<0.03,<0.004,0.0013,<0.06,<0.02,<2.5,<2.0,<2.0,<2.0,<3.0,<3.0,<3.0
