Collect    ,Time ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,TDS,SS  ,VSS ,TURB,ALK,CL   ,CL   ,F    ,TOC ,Phenol,CN   ,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B sol,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Mn sol,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Hg LL,Hg LL,Benzene,Ethylbenzene,Toluene,o-Xylene,m- and/or p-Xylenes,Xylenes (total)
 date      ,collected,point,mg/L,Deg C,     ,mg/L,Qual Code, mg/L , mg/L,mg/L, mg/L ,mg/L,mg/L,mg/L,NTU,mg/L,mg/L,Qual Code, mg/L,mg/L,ug/L, mg/L,mg/L,mg/L,alpha,beta,cts/100mL,yll-A   , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,Qual Code, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , ug/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,Qual Code,ug/L,ug/L, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ng/L,Qual Code,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-04-02 00:00:00,940.0,WW_12,10.7,12.3,8.31,<0.15,,0.13,<1,0.11,84.97,882.0,9.0,3.0,,249.0,296.0, ,0.2,5.3,<5,<0.005,<0.001,,<2.70,2.2,<10,16.7,<0.05,<0.02,0.046,0.043,0.08,0.08,AY,<0.001,<0.001,89.0,88.0,<0.005,<0.005,<6,<0.005,<0.005,0.4,<0.1,<0.02,<0.02,40.0,41.0,0.093,0.029,,<0.2,,<0.005,<0.005,<0.005,0.006,0.002,0.002,0.01,<0.01,<2.5,AX,<2,<2,<2,<3,<3,<3
2012-04-02 00:00:00,1015.0,WW_13,9.8,10.2,8.22,3.892,,0.19,<1,0.34,56.76,608.0,10.0,3.0,,215.0,153.0,,0.28,5.8,<5,<0.005,<0.001,,<2.00,2.5,410.0,5.2,<0.05,<0.02,0.037,0.034,0.08,0.09,AY,<0.001,<0.001,76.0,72.0,<0.005,<0.005,<6,<0.005,<0.005,0.5,0.1,<0.02,<0.02,35.0,34.0,0.045,0.026,,<0.2,,<0.005,<0.005,0.006,0.005,0.001,0.001,0.01,0.01,<2.5,AX,<2,<2,<2,<3,<3,<3
2012-04-02 00:00:00,1100.0,WW_77,9.8,12.5,8.15,0.176,,0.13,<1,<0.1,54.81,1088.0,10.0,4.0,,188.0,36.0,,0.3,4.0,<5,<0.005,0.0016,,<3.10,3.6,120.0,10.5,<0.05,<0.02,0.06,0.056,0.12,0.13,AY,<0.001,0.001,79.0,77.0,<0.005,<0.005,<6,<0.005,<0.005,0.6,0.1,<0.02,<0.02,29.0,29.0,0.108,0.084, ,<0.2,,<0.005,<0.005,<0.005,0.005,0.002,0.002,0.01,0.01,<2.5,AX,<2,<2,<2,<3,<3,<3
2012-04-02 00:00:00,1140.0,WW_78,9.1,18.2,7.72,7.415,,0.32,1.22,1.08,85.6,758.0,3.0,1.0,,206.0,211.0,,0.65,4.2,<5,<0.005,0.0012,,<2.00,4.7,80.0,1.3,<0.05,<0.02,0.028,0.027,0.25,0.25,AY,<0.001,<0.001,85.0,83.0,<0.005,<0.005,<6,<0.005,<0.005,0.1,<0.1,<0.02,<0.02,32.0,33.0,0.012,0.011,,<0.2,,0.006,0.006,0.005,<0.005,0.002,0.002,0.03,0.03,<2.5,AX,<2,<2,<2,<3,<3,<3
2012-04-02 00:00:00,1240.0,WW_17,7.0,17.6,7.96,3.823,,<0.1,<1,0.35,57.65,628.0,14.0,4.0,,232.0,172.0,,0.24,5.8,<5,<0.005,<0.001,,<2.00,1.7,360.0,6.1,<0.05,<0.02,0.04,0.035,0.09,0.09,AY,<0.001,<0.001,80.0,75.0,<0.005,<0.005,<6,<0.005,<0.005,0.5,0.1,<0.02,<0.02,36.0,35.0,0.052,0.029,,<0.2,,<0.005,<0.005,<0.005,<0.005,0.002,0.001,0.01,0.01,<2.5,AX,<2,<2,<2,<3,<3,<3
2012-04-02 00:00:00,1310.0,WW_19,8.5,19.1,7.89,3.749,,<0.1,1.01,0.44,59.51,650.0,11.0,3.0,,227.0,179.0,,0.25,5.7,<5,<0.005,<0.001,,<1.80,3.0,160.0,5.7,<0.05,<0.02,0.037,0.034,0.09,0.1,AY,<0.001,<0.001,78.0,75.0,<0.005,<0.005,<6,<0.005,<0.005,0.4,0.1,<0.02,<0.02,35.0,35.0,0.047,0.031,,<0.2,,<0.005,<0.005,<0.005,<0.005,0.001,0.002,0.01,0.01,<2.5,AX,<2,<2,<2,<3,<3,<3
2012-04-02 00:00:00,1345.0,WW_20,8.2,21.6,7.85,3.623,,0.72,1.82,0.38,60.13,650.0,13.0,4.0,,227.0,181.0,,0.28,5.8,<5,<0.005,<0.001,,<2.30,2.2,380.0,5.9,<0.05,<0.02,0.038,0.035,0.09,0.1,AY,<0.001,<0.001,77.0,75.0,<0.005,<0.005,<6,<0.005,<0.005,0.6,0.1,<0.02,<0.02,35.0,35.0,0.052,0.028,,<0.2,,<0.005,<0.005,0.005,0.005,0.001,0.001,0.01,0.01,<2.5,AX,<2,<2,<2,<3,<3,<3
2012-04-02 00:00:00,855.0,WW_24,8.8,12.6,6.88,6.103,,0.13,<1,0.95,88.46,976.0,8.0,2.0,,186.0,368.0,,0.36,4.4,<5,0.005,0.0011,,<3.00,3.5,600.0,3.1,<0.05,<0.02,0.039,0.037,0.15,0.16,AY,<0.001,0.001,84.0,83.0,<0.005,<0.005,<6,<0.005,<0.005,0.3,0.1,<0.02,<0.02,35.0,35.0,0.051,0.044,,<0.2,,0.006,0.006,<0.005,0.005,0.002,0.002,0.03,0.02,<2.5,AX,<2,<2,<2,<3,<3,<3
2012-04-02 00:00:00,935.0,WW_109,8.8,11.8,7.67,5.299,,0.19,1.05,0.85,88.51,958.0,5.0,2.0,,180.0,355.0,,0.35,4.4,<5,<0.005,0.001,,<2.30,4.6,1800.0,2.6,<0.05,<0.02,0.038,0.037,0.16,0.16,AY,<0.001,<0.001,85.0,82.0,<0.005,<0.005,<6,<0.005,<0.005,0.2,0.1,<0.02,<0.02,35.0,35.0,0.045,0.039,,<0.2,,0.006,0.006,0.005,<0.005,0.001,0.002,0.02,0.01,9.043,,<2,<2,<2,<3,<3,<3
2012-04-02 00:00:00,1010.0,WW_22,7.2,11.6,8.08,4.092,,<0.1,<1,0.49,64.34,720.0,10.0,3.0,,216.0,214.0,,0.31,5.6,<5,<0.005,<0.001,,<2.30,3.0,680.0,5.5,<0.05,<0.02,0.038,0.035,0.11,0.12,AY,<0.001,<0.001,79.0,77.0,<0.005,<0.005,<6,<0.005,<0.005,0.4,0.1,<0.02,<0.02,35.0,35.0,0.045,0.027,,<0.2,,<0.005,<0.005,<0.005,<0.005,0.001,0.002,0.01,0.01,<2.5,,<2,<2,<2,<3,<3,<3
2012-04-02 00:00:00,1105.0,WW_23,10.2,12.2,8.1,3.956,,<0.1,<1,0.69,64.81,724.0,22.0,5.0,,213.0,215.0,,0.3,5.6,<5,<0.005,<0.001,,<2.40,3.2,510.0,7.5,<0.05,<0.02,0.039,0.035,0.11,0.12,AY,<0.001,<0.001,80.0,76.0,<0.005,<0.005,<6,<0.005,<0.005,0.5,0.1,<0.02,<0.02,35.0,34.0,0.055,0.034,,<0.2,,<0.005,<0.005,<0.005,<0.005,0.001,0.002,0.01,0.01,2.678,,<2,<2,<2,<3,<3,<3
2012-04-02 00:00:00,1200.0,WW_29,7.1,14.0,8.0,4.262,,<0.1,<1,0.49,61.61,686.0,18.0,5.0,,205.0,208.0,,0.29,5.6,<5,<0.005,0.0011,,<2.20,3.6,270.0,5.2,<0.05,<0.02,0.039,0.034,0.11,0.12,AY,<0.001,<0.001,76.0,73.0,<0.005,<0.005,<6,<0.005,<0.005,0.6,<0.1,<0.02,<0.02,33.0,33.0,0.066,0.038,,<0.2,,0.005,<0.005,0.005,<0.005,0.001,0.002,0.02,0.01,4.661,,<2,<2,<2,<3,<3,<3
2012-04-02 00:00:00,1245.0,WW_91,10.5,15.0,8.31,4.046,,<0.1,1.05,0.48,60.78,686.0,19.0,5.0,,202.0,209.0,,0.3,5.4,<5,0.01,0.0011,,<2.30,3.1,140.0,13.6,<0.05,<0.02,0.038,0.033,0.11,0.12,AY,<0.001,<0.001,75.0,71.0,<0.005,<0.005,<6,<0.005,<0.005,0.7,<0.1,<0.02,<0.02,33.0,32.0,0.055,0.029,,<0.2,,<0.005,<0.005,<0.005,0.006,0.001,0.001,0.02,0.01,2.555,,<2,<2,<2,<3,<3,<3
2012-04-02 00:00:00,940.0,WW_79,7.7,12.2,7.33,<0.15,,<0.1,1.42,0.14,74.95,1112.0,32.0,11.0,,204.0,224.0,,0.17,5.2,<5,<0.005,0.0011,,<2.60,1.7,60.0,43.6,<0.05,<0.02,0.052,0.046,0.07,0.08,AY,<0.001,<0.001,84.0,83.0,<0.005,<0.005,<6,<0.005,<0.005,1.5,<0.1,<0.02,<0.02,36.0,36.0,0.163,0.048,,<0.2,,0.005,<0.005,0.005,0.006,0.002,0.002,0.01,<0.01,7.717,,<2,<2,<2,<3,<3,<3
2012-04-02 00:00:00,1005.0,WW_80,8.0,18.5,7.3,6.196,,<0.1,1.18,0.94,77.77,1022.0,11.0,4.0,,178.0,125.0,,0.35,4.6,<5,<0.005,<0.001,,<2.40,3.8,2000.0,21.5,<0.05,<0.02,0.043,0.04,0.15,0.16,AY,<0.001,<0.001,84.0,81.0,<0.005,<0.005,<6,0.005,<0.005,0.3,<0.1,<0.02,<0.02,32.0,32.0,0.064,0.018,,<0.2,,0.005,0.005,<0.005,<0.005,0.002,0.002,0.02,0.01,<5.0,,<2,<2,<2,<3,<3,<3
2012-04-02 00:00:00,1020.0,WW_18,9.2,13.3,7.64,5.613,,0.12,1.19,0.91,77.15,1020.0,11.0,5.0,,179.0,115.0,X,0.37,4.5,<5,0.005,0.001,,<2.50,3.3,1100.0,17.0,<0.05,<0.02,0.042,0.04,0.14,0.15,AY,<0.001,<0.001,82.0,81.0,<0.005,<0.005,<6,<0.005,<0.005,0.3,<0.1,<0.02,<0.02,32.0,32.0,0.072,0.023,,<0.2,,0.006,<0.005,0.005,0.006,0.002,0.002,0.03,0.01,<2.5,,<2,<2,<2,<3,<3,<3
2012-04-02 00:00:00,1100.0,WW_90,8.7,11.5,8.03,<0.15,,<0.1,<1,<0.1,50.45,918.0,8.0,3.0,,260.0,329.0,,0.19,4.7,<5,0.005,<0.001,,<2.30,<1.60,60.0,9.7,<0.05,<0.02,0.078,0.071,0.05,0.05,AY,<0.001,<0.001,93.0,87.0,<0.005,<0.005,<6,<0.005,<0.005,0.6,0.1,<0.02,<0.02,40.0,39.0,0.115,0.073,,<0.2,,<0.005,<0.005,0.006,0.005,0.002,0.002,0.01,<0.01,<2.5,,<2,<2,<2,<3,<3,<3
