collect(date),time(collected),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_tot(qual_code),ba_sol(mg/l),b_tot(mg/l),b_tot(qual_code),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cr6(qual_code),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_tot(qual_code),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_tot(qual_code),se_sol(mg/l),ag_tot(mg/l),ag_tot(qual_code),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes_(total)(ug/l),m__and/or_p_xylenes(ug/l),o_xylene(ug/l)
2012-12-03 00:00:00,1015.0,ww_77,8.5,12.1,7.21,<0.15,0.29,1.19,0.12,38.78,672.0,22.0,5.0,,169.0,261.0,0.25,4.5,<5,<0.005,<0.001,,3.1,3.0,100.0,29.7,,0.022,0.0569,,,0.071,x,,,<0.001,60.4,,,<0.005,<6,,,<0.005,,<0.1,,<0.02,22.1,,0.1927,,,<0.2,,,<0.005,0.0061,,,0.0011,,0.0014,,<0.01,<8.0,<2,<2,<2,<3,<3,<3
2012-12-03 00:00:00,1035.0,ww_78,8.5,17.2,7.05,11.996,0.36,1.25,2.05,82.25,616.0,4.0,<4,,143.0,148.0,1.19,5.4,<5,<0.005,<0.001,,4.9,10.4,770.0,1.4,,0.022,0.0151,,,0.281,,,,<0.001,59.8,,,<0.005,<6,,,<0.005,,<0.1,,<0.02,21.5,,0.0251,,,<0.2,,,0.0082,0.0072,,,0.0012,,0.0013,,0.043,<8.0,<2,<2,<2,<3,<3,<3
2012-12-03 00:00:00,1140.0,ww_19,8.6,12.3,7.39,15.28,<0.1,<1,1.94,76.25,662.0,8.0,<4,,148.0,175.0,0.98,5.0,<5,<0.005,0.0013,,<1.80,5.4,80.0,3.1,,0.021,0.0354,,,0.241,,,,<0.001,59.3,,,<0.005,<6,,,<0.005,,0.12,,<0.02,22.6,,0.0174,,,<0.2,,,0.0061,<0.005,,,0.0011,,0.0013,,0.033,<8.0,<2,<2,<2,<3,<3,<3
2012-12-03 00:00:00,845.0,ww_109,7.5,12.0,6.86,14.084,0.12,1.0,2.25,88.88,608.0,10.0,4.0,,132.0,153.0,0.79,5.1,5.0,0.008,<0.001,,<1.70,4.1,240.0,4.0,,0.02,0.0213,,,0.277,,,,<0.001,58.6,,,<0.005,9.0,,,<0.005,,<0.1,,<0.02,23.8,,0.0292,,,<0.2,,,0.0101,0.006,,,0.0011,,0.0013,,0.026,<8.0,<2,<2,<2,<3,<3,<3
2012-12-03 00:00:00,905.0,ww_22,9.0,10.3,7.27,13.777,0.1,1.18,2.14,83.98,666.0,45.0,8.0,,151.0,174.0,0.87,5.2,<5,0.007,<0.001,,<2.10,7.4,50.0,164.0,,0.02,0.0521,,,0.272,,,,<0.001,69.7,,,<0.005,<6,,,0.0051,,<0.1,,<0.02,28.9,,0.1931,,,<0.2,,,0.0077,<0.005,,,0.0015,,0.0013,,0.027,20.847,<2,<2,<2,<3,<3,<3
2012-12-03 00:00:00,940.0,ww_23,10.2,9.6,7.86,13.161,<0.1,<1,1.95,84.05,654.0,15.0,<4,,156.0,175.0,0.84,4.8,<5,<0.005,<0.001,,<1.80,4.6,40.0,4.6,,0.023,0.0309,,,0.265,,,,<0.001,63.5,,,<0.005,<6,,,<0.005,,<0.1,,<0.02,25.1,,0.0625,,,<0.2,,,0.0065,0.0058,,,0.0011,,0.0014,,0.023,<8.0,<2,<2,<2,<3,<3,<3
2012-12-03 00:00:00,1035.0,ww_91,9.3,11.8,7.37,12.238,<0.1,<1,1.45,81.59,670.0,13.0,5.0,,161.0,188.0,0.77,4.6,5.0,0.005,<0.001,,<2.00,4.3,20.0,11.0,,0.023,0.0257,,,0.223,,,,<0.001,62.9,,,<0.005,6.0,,,<0.005,,<0.1,,<0.02,25.4,,0.0366,,,<0.2,,,0.006,<0.005,,,0.0012,,0.0014,,0.021,<8.0,<2,<2,<2,<3,<3,<3
2012-12-03 00:00:00,1015.0,ww_79,11.5,11.3,7.02,<0.15,<0.1,<1,0.13,57.85,790.0,8.0,<4,,151.0,322.0,0.27,5.2,<5,<0.005,<0.001,,<2.30,2.7,<10,19.9,,<0.02,0.035,,,0.08,,,,<0.001,53.0,,,<0.005,<6,,,<0.005,,<0.1,,<0.02,22.1,,0.0553,,,<0.2,,,<0.005,<0.005,,,<0.001,,0.0012,,<0.01,<8.0,<2,<2,<2,<3,<3,<3
2012-12-03 00:00:00,1115.0,ww_18,6.5,16.3,7.05,16.02,0.17,1.22,3.44,66.18,570.0,7.0,<4,,112.0,153.0,0.95,6.2,<5,<0.005,0.0014,,<1.70,3.9,910.0,4.5,,<0.02,0.016,,,0.281,,,,<0.001,52.6,,,<0.005,6.0,,,<0.005,,0.1,,<0.02,19.6,,0.0344,,,<0.2,,,0.0114,0.0053,,,<0.001,,0.0012,,0.025,<8.0,<2,<2,<2,<3,<3,<3
2012-12-03 00:00:00,1150.0,ww_110,6.3,11.9,7.19,1.251,0.6,1.99,0.14,235.5,976.0,8.0,5.0,,200.0,240.0,0.39,12.2,<5,<0.005,<0.001,,<1.90,2.2,2100.0,68.7,,0.029,0.0642,,,0.088,,,,<0.001,113.5,,,<0.005,6.0,,,<0.005,,0.17,,<0.02,41.5,,0.1239,,,<0.2,,,<0.005,0.0068,,,0.0022,,0.0024,,<0.01,<8.0,,,,,,
2012-12-03 00:00:00,1230.0,ww_111,9.3,15.7,7.35,17.864,0.21,1.28,3.34,66.69,532.0,41.0,11.0,,103.0,127.0,0.86,5.6,<5,<0.005,0.0012,,<1.60,6.4,480.0,7.0,,<0.02,0.0316,,,0.195,,,,<0.001,50.0,,,<0.005,<6,,,<0.005,,<0.1,,<0.02,18.2,,0.0416,,,<0.2,,,<0.005,0.0056,,,0.001,,0.0011,,0.039,,,,,,,
2012-12-03 00:00:00,1050.0,ww_92,7.0,14.5,7.64,10.886,0.33,1.11,2.14,113.23,594.0,8.0,<4,,133.0,127.0,0.88,4.7,<5,<0.005,0.0011,<5,,,220.0,3.6,,<0.02,0.015,,,0.188,,,,<0.001,56.5,,,<0.005,6.0,,,<0.005,,<0.1,,<0.02,20.1,,0.0373,,,<0.2,,,0.0054,<0.005,,,0.0011,,0.0012,,0.024,,,,,,,
2012-12-10 00:00:00,945.0,ww_112,9.2,5.7,6.06,2.228,0.15,1.13,0.29,36.21,332.0,<4,<4,,139.0,53.0,0.44,4.4,<5,<0.005,<0.001,<5,<1.40,1.8,7400.0,35.6,,<0.02,0.0271,x,,0.077,x,,,<0.001,46.0,,,<0.005,<6,,,<0.005,,<0.1,,<0.02,14.1,,0.0104,x,,<0.2,,,<0.005,<0.005,x,,0.001,x,0.0011,,0.02,<8.0,,,,,,
2012-12-10 00:00:00,1010.0,ww_36,7.2,12.1,6.87,7.274,0.27,1.51,1.02,38.31,360.0,<4,<4,,107.0,69.0,0.73,4.9,<5,<0.005,<0.001,<5,<1.50,2.7,99.0,1.0,,<0.02,0.0173,,,0.136,,,,<0.001,39.8,,,<0.005,<6,,,<0.005,,<0.1,,<0.02,13.7,,0.0212,,,<0.2,,,<0.005,<0.005,,,<0.001,,0.001,,0.029,,<2,<2,<2,<3,<3,<3
