collect,time,sampling,do,temp,ph,no2+no3,nh3_n,tkn,tot_p,so4,tds,ss,vss,turb,alk,alk,cl,f,toc,phenol,cn,cn_wad,fog,radiochem,radiochem,fec_col,chloroph,chloroph,as_tot,as_sol,ba_tot,ba_sol,b_tot,b_sol,cd_tot,cd_sol,ca_tot,ca_sol,cr_tot,cr_sol,cr6,cu_tot,cu_sol,fe_tot,fe_sol,pb_tot,pb_sol,mg_tot,mg_sol,mn_tot,mn_sol,mn_sol,hg_tot,hg_sol,ni_tot,ni_sol,se_tot,se_sol,ag_tot,ag_sol,zn_tot,zn_sol,hg_ll,benzene,ethylbenzene,toluene,o_xylene,m__and/or_p_xylenes,xylenes_(total),,
date,collected,point,mg/l,deg_c,,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ntu,mg/l,qual_code,mg/l,mg/l,mg/l,ug/l,mg/l,mg/l,mg/l,alpha,beta,cts/100ml,yll_a,qual_code,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,qual_code,ug/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ng/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-02-06 00:00:00,845.0,ww_12,12.2,3.1,7.51,0.278,<0.1,<1,<0.1,98.1,920.0,7.0,3.0,4.96,256.0,,321.0,0.17,4.0,<5,<0.005,0.0015,,<2.30,<1.70,40.0,6.8,a,<0.05,<0.02,0.041,0.04,0.06,0.07,<0.001,0.001,93.0,91.0,<0.005,<0.005,<6,<0.005,<0.005,0.3,<0.1,<0.02,<0.02,42.0,42.0,0.855,0.842,,<0.2,,<0.005,<0.005,0.007,0.007,0.002,0.003,0.01,<0.01,<2.5,<2,<2,<2,<3,<3,<3,,
2012-02-06 00:00:00,910.0,ww_13,11.8,2.9,7.95,3.963,<0.1,<1,0.24,67.82,710.0,9.0,3.0,6.57,232.0,,180.0,0.24,4.5,6.0,<0.005,0.0013,,<2.00,1.8,270.0,8.1,a,<0.05,<0.02,0.036,0.034,0.08,0.08,<0.001,<0.001,79.0,78.0,<0.005,<0.005,<6,0.005,<0.005,0.4,<0.1,<0.02,<0.02,37.0,37.0,0.119,0.102,,<0.2,,<0.005,<0.005,0.006,0.005,0.002,0.002,0.01,0.01,<2.5,<2,<2,<2,<3,<3,<3,,
2012-02-06 00:00:00,1000.0,ww_77,10.2,3.9,8.17,0.201,<0.1,2.15,0.19,68.29,914.0,20.0,6.0,10.9,213.0,,548.0,0.31,2.5,<5,0.007,0.002,,<3.30,2.4,90.0,7.0,a,<0.05,<0.02,0.062,0.059,0.14,0.15,<0.001,0.001,92.0,90.0,<0.005,<0.005,<6,0.005,<0.005,0.5,<0.1,<0.02,<0.02,35.0,35.0,0.126,0.107,,<0.2,,0.005,0.006,0.005,<0.005,0.002,0.002,0.01,0.01,<2.5,<2,<2,<2,<3,<3,<3,,
2012-02-06 00:00:00,1030.0,ww_78,10.0,11.1,7.74,8.214,0.18,1.19,0.9,89.9,986.0,4.0,2.0,2.64,224.0,,257.0,0.65,4.0,<5,0.005,0.0014,,<2.50,4.1,270.0,1.6,a,<0.05,<0.02,0.033,0.032,0.23,0.24,<0.001,0.001,93.0,91.0,<0.005,<0.005,<6,0.014,0.008,0.1,<0.1,<0.02,<0.02,37.0,37.0,0.054,0.036,,<0.2,,0.009,0.009,<0.005,0.006,0.002,0.002,0.08,0.06,<2.5,<2,<2,<2,<3,<3,<3,,
2012-02-06 00:00:00,1115.0,ww_17,12.3,3.9,8.22,3.837,<0.1,<1,0.25,69.26,692.0,11.0,4.0,6.6,235.0,,209.0,0.25,4.5,<5,0.005,0.0012,,<2.10,2.1,240.0,7.1,a,<0.05,<0.02,0.038,0.037,0.08,0.09,<0.001,<0.001,80.0,80.0,<0.005,<0.005,<6,0.005,<0.005,0.3,<0.1,<0.02,<0.02,37.0,37.0,0.061,n/a,q,<0.2,,<0.005,<0.005,0.007,<0.005,0.002,0.002,0.01,0.01,<2.5,<2,<2,<2,<3,<3,<3,,
2012-02-06 00:00:00,1150.0,ww_19,12.0,3.9,8.22,3.838,<0.1,<1,0.26,71.76,718.0,9.0,3.0,6.72,239.0,,228.0,0.28,4.2,5.0,<0.005,0.0011,,<2.20,2.3,130.0,9.3,a,<0.05,<0.02,0.039,0.037,0.09,0.1,<0.001,<0.001,84.0,81.0,<0.005,<0.005,<6,0.009,<0.005,0.4,<0.1,<0.02,<0.02,38.0,38.0,0.069,0.044,,<0.2,,<0.005,<0.005,0.006,0.005,0.002,0.002,0.05,0.01,<2.5,<2,<2,<2,<3,<3,<3,,
2012-02-06 00:00:00,1215.0,ww_20,12.3,4.1,8.25,3.804,<0.1,<1,0.29,71.69,750.0,9.0,3.0,6.1,239.0,,235.0,0.28,4.1,<5,<0.005,0.001,,<2.40,2.1,130.0,9.1,a,<0.05,<0.02,0.04,0.038,0.09,0.1,<0.001,0.001,85.0,83.0,<0.005,<0.005,<6,0.007,<0.005,0.4,<0.1,<0.02,<0.02,39.0,38.0,0.063,0.045,,<0.2,,<0.005,<0.005,<0.005,<0.005,0.002,0.002,0.03,0.01,<2.5,<2,<2,<2,<3,<3,<3,,
2012-02-06 00:00:00,850.0,ww_24,11.3,9.2,6.68,5.948,0.1,<1,0.81,88.25,990.0,9.0,3.0,6.14,211.0,,384.0,0.36,3.9,<5,0.005,0.0022,,<2.70,3.4,300.0,6.3,a,<0.05,<0.02,0.039,0.036,0.17,0.18,<0.001,<0.001,94.0,88.0,<0.005,<0.005,<6,0.005,<0.005,0.4,<0.1,<0.02,<0.02,37.0,36.0,0.053,0.034,,<0.2,,0.006,0.005,0.005,0.005,0.002,0.002,0.02,0.02,<2.5,<2,<2,<2,<3,<3,<3,,
