Collect    ,Time,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NO2+NO3,NH3_N ,NH3_N ,TKN  ,TKN  ,Tot P,Tot P,SO4   ,SO4   ,TDS,TDS,SS  ,SS  ,VSS ,VSS ,TURB,TURB,ALK,ALK,CL   ,F    ,TOC ,TOC ,Phenol,Phenol,CN   ,CN   ,CN-WAD,CN-WAD,FOG,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cr6   ,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Mn Sol,Hg tot,Hg sol,Ni tot,Ni sol,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Hg LL,Benzene,Ethylbenzene,Toluene,o-Xylene,m- and/or p-Xylenes,Xylenes (total)
 date      ,collected,point,mg/L,Deg C,     ,mg/L,Qual Code, mg/L ,Qual Code, mg/L,Qual Code,mg/L,Qual Code, mg/L ,Qual Code,mg/L,Qual Code,mg/L,Qual Code,mg/L,Qual Code,NTU,Qual Code,mg/L,Qual Code,mg/L, mg/L,mg/L,Qual Code,ug/L,Qual Code, mg/L,Qual Code,mg/L,Qual Code,mg/L,Qual Code,alpha,beta,cts/100mL,yll-A   , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , ug/L ,Qual Code, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,Qual Code,ug/L,ug/L, mg/L , mg/L ,Qual Code, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-09 00:00:00,955.0,WW_12,5.0,5.3,8.11,0.216,,<0.1,,1.12,,<0.1,,102.69,,780.0,,8.0,,1.0,,5.3,,265.0,,236.0,0.28,5.3,,<5,,<0.005,,<0.001,,,,2.3,2.7,130.0,11.2,<0.05,<0.02,0.041,0.039,0.08,0.09,<0.001,<0.001,92.0,91.0,0.006,<0.005,<6,,<0.005,<0.005,0.5,<0.1,<0.02,<0.02,43.0,42.0,0.094,0.063,,<0.2,,0.008,0.009,,0.006,0.005,0.002,0.002,<0.01,0.01,<2.5,,,,,,
2012-01-09 00:00:00,1020.0,WW_13,8.5,3.3,8.15,6.037,,0.14,,1.31,,0.39,,72.47,,664.0,,12.0,,2.0,,9.27,,237.0,,150.0,0.44,5.0,,<5,,0.005,,<0.001,,,,<1.80,2.9,340.0,6.8,<0.05,<0.02,0.043,0.04,0.11,0.12,<0.001,<0.001,84.0,81.0,<0.005,<0.005,<6,,<0.005,<0.005,0.6,<0.1,<0.02,<0.02,39.0,37.0,0.046,0.031,,<0.2,,<0.005,<0.005,,0.006,0.005,0.002,0.002,<0.01,0.01,<2.5,,,,,,
2012-01-09 00:00:00,1120.0,WW_78,11.5,8.6,7.73,8.345,,0.23,,1.91,,0.9,,74.95,,712.0,,6.0,,4.0,,4.53,,181.0,,226.0,1.0,4.2,,<5,,0.005,,0.0011,,,,<2.10,3.8,180.0,3.4,<0.05,<0.02,0.035,0.032,0.2,0.2,<0.001,<0.001,77.0,73.0,<0.005,<0.005,<6,,0.006,0.005,0.3,<0.1,<0.02,<0.02,30.0,28.0,0.042,0.042,,<0.2,,0.007,0.006,,0.009,<0.005,0.002,0.002,0.03,0.03,<2.5,,,,,,
2012-01-09 00:00:00,1150.0,WW_17,8.4,3.3,7.94,5.777,,0.14,,1.24,,0.41,,72.67,,656.0,,7.0,,1.0,,6.53,,241.0,,163.0,0.42,4.9,,<5,,<0.005,,<0.001,,,,2.4,2.4,310.0,4.8,<0.05,<0.02,0.042,0.038,0.11,0.11,<0.001,<0.001,86.0,82.0,<0.005,<0.005,<6,,<0.005,<0.005,0.4,<0.1,<0.02,<0.02,40.0,38.0,0.038,0.028,,<0.2,,<0.005,<0.005,,0.008,0.007,0.002,0.002,<0.01,0.01,<2.5,,,,,,
2012-01-09 00:00:00,1235.0,WW_19,8.2,4.3,7.77,6.462,,0.13,,1.4,,0.48,,76.95,,660.0,,7.0,,1.0,,7.53,,236.0,,171.0,0.54,4.9,,<5,,<0.005,,<0.001,,,,<1.80,3.6,580.0,5.4,<0.05,<0.02,0.04,0.037,0.13,0.13,<0.001,<0.001,86.0,83.0,<0.005,<0.005,<6,,<0.005,<0.005,0.3,<0.1,<0.02,<0.02,38.0,37.0,0.038,0.026,,<0.2,,<0.005,<0.005,,0.006,<0.005,0.002,0.002,0.01,0.01,<2.5,,,,,,
2012-01-09 00:00:00,1320.0,WW_20,8.6,5.3,7.81,6.333,,0.1,,<1,,0.53,,77.3,,688.0,,7.0,,4.0,,5.14,,238.0,,175.0,0.52,4.7,,<5,,<0.005,,<0.001,,,,<2.00,5.8,490.0,4.3,<0.05,<0.02,0.041,0.039,0.13,0.13,<0.001,<0.001,85.0,84.0,<0.005,<0.005,<6,,<0.005,<0.005,0.3,<0.1,<0.02,<0.02,38.0,38.0,0.031,0.024,,<0.2,,<0.005,<0.005,,0.006,0.005,0.002,0.002,0.02,0.01,<2.5,,,,,,
2012-01-09 00:00:00,820.0,WW_24,8.6,3.7,7.5,9.307,,0.19,,1.19,,1.43,,100.39,,740.0,,10.0,,4.0,,6.93,,199.0,,221.0,0.67,4.4,,<5,,0.005,,0.001,,,,<2.00,4.3,410.0,5.5,<0.05,<0.02,0.032,0.03,0.2,0.21,<0.001,<0.001,87.0,87.0,<0.005,<0.005,<6,,<0.005,<0.005,0.4,0.1,<0.02,<0.02,35.0,35.0,0.041,0.032,,<0.2,,0.006,0.005,,0.008,0.005,0.002,0.002,0.02,0.03,2.9,,,,,,
2012-01-09 00:00:00,850.0,WW_109,9.9,3.5,7.86,10.09,,0.21,,1.0,,1.5,,93.45,,738.0,,7.0,,1.0,,5.71,,199.0,,216.0,0.7,4.6,,<5,,0.005,,<0.001,,,,<1.90,4.3,460.0,4.7,<0.05,<0.02,0.034,0.031,0.22,0.23,<0.001,<0.001,86.0,85.0,<0.005,<0.005,<6,,<0.005,<0.005,0.4,<0.1,<0.02,<0.02,34.0,34.0,0.053,0.035,,<0.2,,0.006,0.005,,<0.005,0.006,0.002,0.002,0.03,0.03,<2.5,,,,,,
