collect,time,sampling,do,temp,ph,no2+no3,nh3_n,tkn,tot_p,so4,tds,tds,ss,vss,turb,alk,cl,cl,f,toc,phenol,cn,cn_wad,fog,radiochem,radiochem,fec_col,chloroph,chloroph,as_tot,as_sol,ba_tot,ba_sol,b_tot,b_sol,cd_tot,cd_sol,ca_tot,ca_sol,cr_tot,cr_sol,cr_sol,cr6,cu_tot,cu_sol,fe_tot,fe_sol,pb_tot,pb_sol,mg_tot,mg_sol,mn_tot,mn_sol,hg_tot,hg_sol,ni_tot,ni_sol,ni_sol,se_tot,se_sol,ag_tot,ag_sol,zn_tot,zn_sol,zn_sol,hg_ll,hg_ll,benzene,ethylbenzene,toluene,o_xylene,m__and/or_p_xylenes,xylenes_(total)
date,collected,point,mg/l,deg_c,,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,qual_code,mg/l,mg/l,ntu,mg/l,mg/l,qual_code,mg/l,mg/l,ug/l,mg/l,mg/l,mg/l,alpha,beta,cts/100ml,yll_a,qual_code,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,qual_code,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ug/l,ug/l,mg/l,mg/l,qual_code,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,qual_code,ng/l,qual_code,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-07-09 00:00:00,1025.0,ww_13,6.1,26.1,7.59,13.801,0.11,1.02,2.4,73.36,706.0,,8.0,<4,,153.0,197.0,,0.81,5.7,<5,<0.005,<0.001,,<2.10,5.7,140.0,3.4,,,0.02,0.078,,0.26,,,0.001,60.0,,,<0.005,,<6,,<0.005,,<0.1,,<0.02,25.0,,0.044,,<0.2,,,0.005,,<0.005,,0.001,0.001,,0.02,,10.578,,,,,,,
2012-07-09 00:00:00,1150.0,ww_78,8.3,23.1,7.61,14.369,<0.1,1.08,3.07,77.82,616.0,,<4,<4,,128.0,143.0,,0.94,5.4,<5,<0.005,0.0017,,<2.10,4.8,20.0,0.5,,,<0.02,0.016,,0.37,,,<0.001,65.0,,,<0.005,,<6,,0.006,,<0.1,,<0.02,24.0,,0.003,,<0.2,,,0.01,,<0.005,,0.001,0.001,,0.04,,16.982,,,,,,,
2012-07-09 00:00:00,1245.0,ww_17,4.5,28.5,7.94,13.758,<0.1,1.0,2.08,77.43,742.0,,4.0,<4,,147.0,215.0,,0.76,7.2,<5,<0.005,<0.001,,<2.20,5.8,170.0,2.9,,,<0.02,0.052,,0.27,,,<0.001,64.0,,,<0.005,,<6,,<0.005,,<0.1,,<0.02,28.0,,0.038,,<0.2,,,0.005,,<0.005,,0.001,0.001,,0.02,,<5.0,,,,,,,
2012-07-09 00:00:00,1330.0,ww_19,4.1,27.8,7.64,9.138,0.11,<1,1.7,79.12,664.0,,7.0,<4,,145.0,189.0,,0.83,5.7,5.0,<0.005,<0.001,,<2.40,5.7,210.0,3.2,,,<0.02,0.034,,0.27,,,<0.001,59.0,,,<0.005,,<6,,<0.005,,<0.1,,<0.02,25.0,,0.052,,<0.2,,,0.007,,<0.005,,0.001,0.001,,0.02,,<5.0,,,,,,,
2012-07-09 00:00:00,1410.0,ww_20,6.4,27.2,7.81,7.23,0.19,<1,1.57,74.62,662.0,,7.0,<4,,145.0,187.0,,0.78,5.6,<5,<0.005,<0.001,,<2.10,4.0,170.0,4.3,,,<0.02,0.035,,0.27,,,<0.001,59.0,,,<0.005,,<6,,<0.005,,<0.1,,<0.02,25.0,,0.061,,<0.2,,,0.006,,<0.005,,0.001,0.001,,0.02,,<5.0,,,,,,,
2012-07-09 00:00:00,845.0,ww_24,4.0,26.1,7.37,10.963,0.34,1.01,2.43,80.73,476.0,,5.0,<4,,122.0,160.0,,0.89,5.8,<5,<0.005,0.0011,,<1.90,6.1,40.0,1.9,,,<0.02,0.023,,0.28,,,<0.001,55.0,,,<0.005,,<6,,<0.005,,<0.1,,<0.02,24.0,,0.037,,<0.2,,,0.012,,<0.005,,0.001,0.001,,0.02,,<5.0,,,,,,,
2012-07-09 00:00:00,920.0,ww_109,7.6,25.5,7.76,8.516,0.17,<1,2.12,79.88,628.0,,9.0,<4,,134.0,171.0,,0.78,6.2,<5,<0.005,0.001,,<1.70,2.6,220.0,1.4,,,<0.02,0.026,,0.29,,,<0.001,57.0,,,<0.005,,<6,,<0.005,,<0.1,,<0.02,26.0,,0.059,,<0.2,,,0.012,,<0.005,,0.001,0.001,,0.03,,<5.0,,,,,,,
2012-07-09 00:00:00,940.0,ww_22,5.7,26.3,7.84,7.332,0.16,<1,1.57,75.58,638.0,,8.0,<4,,140.0,183.0,,0.75,6.2,<5,<0.005,<0.001,,<2.30,4.6,170.0,2.4,,,<0.02,0.032,,0.27,,,<0.001,59.0,,,<0.005,,<6,,<0.005,,<0.1,,<0.02,25.0,,0.076,,<0.2,,,0.008,,<0.005,,0.001,0.001,,0.02,,<5.0,,,,,,,
