collect(date),time(collected),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),alk(qual_code),cl(mg/l),cl(qual_code),f(mg/l),toc(mg/l),toc(qual_code),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),chloroph(yll_a),chloroph(qual_code),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),o_xylene(ug/l),m__and/or_p_xylenes(ug/l),xylenes_(total)(ug/l)
2012-06-04 00:00:00,935.0,ww_12,7.3,22.5,6.75,0.213,0.15,1.01,0.37,61.77,750.0,28.0,5.0,,181.0,,267.0,,0.17,6.5,,<5,<0.005,<0.001,,<2.20,1.9,210.0,7.3,,,<0.02,0.039,,0.08,,,0.001,60.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,29.0,,0.144,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.01,<5.0,<2,<2,<2,<3,<3,<3
2012-06-04 00:00:00,1005.0,ww_13,6.7,20.1,7.74,6.062,0.22,1.13,0.92,64.96,676.0,20.0,4.0,,201.0,,198.0,,0.39,5.8,,<5,<0.005,<0.001,,<2.20,3.5,110.0,3.9,,,<0.02,0.049,,0.15,,,<0.001,69.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,32.0,,0.074,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.01,<5.0,<2,<2,<2,<3,<3,<3
2012-06-04 00:00:00,1115.0,ww_77,7.8,21.5,7.6,0.25,0.12,1.14,0.35,38.41,842.0,33.0,6.0,,149.0,,361.0,,0.2,5.4,,<5,<0.005,<0.001,,<2.30,2.4,280.0,17.8,,,<0.02,0.061,,0.08,,,<0.001,59.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,21.0,,0.146,,<0.2,,,0.005,<0.005,,0.001,0.001,,0.01,<5.0,<2,<2,<2,<3,<3,<3
2012-06-04 00:00:00,1155.0,ww_78,7.0,19.0,7.74,9.157,0.17,1.16,1.5,79.34,650.0,<4,<4,,168.0,,173.0,,0.65,5.7,,<5,<0.005,<0.001,,1.9,4.9,70.0,0.9,,,<0.02,0.025,,0.26,,,<0.001,74.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,27.0,,0.012,,<0.2,,,0.005,0.005,,0.001,0.001,,0.03,<5.0,<2,<2,<2,<3,<3,<3
2012-06-04 00:00:00,1230.0,ww_17,7.2,21.5,7.65,5.082,0.24,<1,0.78,62.34,702.0,7.0,<4,,187.0,,226.0,,0.35,5.4,,<5,<0.005,<0.001,,<2.10,3.6,260.0,1.1,,,<0.02,0.049,,0.17,,,<0.001,67.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,31.0,,0.051,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.02,<5.0,<2,<2,<2,<3,<3,<3
2012-06-04 00:00:00,1305.0,ww_19,5.9,21.0,7.74,5.355,0.13,1.52,0.98,64.59,696.0,9.0,<4,,178.0,,220.0,,0.39,5.2,,<5,<0.005,<0.001,,<2.10,4.2,70.0,1.2,,,<0.02,0.044,,0.18,,,<0.001,65.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,29.0,,0.052,,<0.2,,,<0.005,0.007,,0.001,0.001,,0.02,<5.0,<2,<2,<2,<3,<3,<3
2012-06-04 00:00:00,1330.0,ww_20,6.6,21.5,7.78,4.967,<0.1,<1,0.76,62.78,680.0,10.0,<4,,177.0,,222.0,,0.37,5.2,,<5,<0.005,<0.001,,<2.00,3.9,120.0,1.2,,,<0.02,0.042,,0.18,,,<0.001,63.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,28.0,,0.046,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.01,<5.0,<2,<2,<2,<3,<3,<3
2012-06-04 00:00:00,900.0,ww_24,6.5,21.5,7.31,4.793,0.18,1.14,0.88,75.11,842.0,14.0,<4,,156.0,,310.0,,0.34,5.7,,<5,<0.005,<0.001,,<2.50,2.7,50.0,3.9,,,<0.02,0.035,,0.16,,,<0.001,63.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,29.0,,0.069,,<0.2,,,0.006,0.005,,0.001,0.001,,0.01,<5.0,<2,<2,<2,<3,<3,<3
2012-06-04 00:00:00,925.0,ww_109,5.8,29.1,7.41,4.105,0.18,1.04,0.81,73.6,824.0,14.0,<4,,159.0,,310.0,,0.33,5.6,,<5,<0.005,<0.001,,2.5,4.2,200.0,1.9,,,<0.02,0.036,,0.16,,,<0.001,65.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,30.0,,0.061,,<0.2,,,0.006,<0.005,,0.001,0.001,,0.01,<5.0,<2,<2,<2,<3,<3,<3
2012-06-04 00:00:00,1000.0,ww_22,7.5,27.3,7.8,4.727,0.11,<1,0.76,66.64,708.0,24.0,4.0,,165.0,,244.0,,0.35,5.6,,<5,<0.005,<0.001,,<2.20,3.2,1200.0,2.7,,,<0.02,0.041,,0.16,,,<0.001,65.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,29.0,,0.061,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.01,7.11,<2,<2,<2,<3,<3,<3
2012-06-04 00:00:00,1050.0,ww_23,6.9,29.7,7.31,3.725,0.13,<1,0.62,64.63,708.0,21.0,4.0,,162.0,,247.0,,0.32,5.7,,<5,<0.005,<0.001,,<2.20,3.2,260.0,4.8,,,<0.02,0.039,,0.14,,,<0.001,61.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,27.0,,0.06,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.01,13.506,<2,<2,<2,<3,<3,<3
2012-06-04 00:00:00,1120.0,ww_29,7.1,22.2,7.81,4.097,0.11,<1,0.67,65.47,674.0,14.0,<4,,155.0,,229.0,,0.33,5.4,,<5,<0.005,<0.001,,<2.30,3.5,110.0,8.0,,,<0.02,0.036,,0.14,,,<0.001,59.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,26.0,,0.043,,<0.2,,,<0.005,0.005,,0.001,0.001,,0.02,<5.0,<2,<2,<2,<3,<3,<3
