collect(date),time(collected),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),(),chloroph(yll_a),as_tot(mg/l),as_sol(mg/l),as_sol(qual_code),ba_tot(mg/l),ba_tot(qual_code),ba_sol(mg/l),b_tot(mg/l),b_tot(qual_code),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),cd_sol(qual_code),ca_tot(mg/l),ca_tot(qual_code),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),cr_sol(qual_code),cr6(ug/l),cu_tot(mg/l),cu_sol(mg/l),cu_sol(qual_code),fe_tot(mg/l),fe_sol(mg/l),fe_sol(qual_code),pb_tot(mg/l),pb_sol(mg/l),pb_sol(qual_code),mg_tot(mg/l),mg_tot(qual_code),mg_sol(mg/l),mn_tot(mg/l),mn_tot(qual_code),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),ni_sol(qual_code),se_tot(mg/l),se_tot(qual_code),se_sol(mg/l),ag_tot(mg/l),ag_tot(qual_code),ag_sol(mg/l),ag_sol(qual_code),zn_tot(mg/l),zn_sol(mg/l),zn_sol(qual_code),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),o_xylene(ug/l),m__and/or_p_xylenes(ug/l),xylenes_(total)(ug/l)
2012-05-07 00:00:00,920.0,ww_12,7.4,19.0,7.03,0.192,0.12,<1,0.11,69.33,736.0,46.0,8.0,,200.0,260.0,0.15,6.5,<5,<0.005,<0.001,,<2.20,2.7,900.0,,16.5,,<0.02,,0.043,x,,0.08,x,,,0.001,,72.0,x,,,<0.005,,<6,,<0.005,,,0.1,,,<0.02,,33.0,x,,0.154,x,,<0.2,,,0.005,,<0.005,x,,0.001,x,0.001,,,<0.01,,<5.0,,,,,,
2012-05-07 00:00:00,955.0,ww_13,7.4,16.0,7.96,3.919,0.12,1.0,0.53,58.78,586.0,34.0,7.0,,230.0,177.0,0.28,5.7,<5,<0.005,<0.001,,<2.20,3.7,190.0,,13.3,,<0.02,x,0.042,,,0.11,,,,0.001,x,71.0,,,,<0.005,x,<6,,<0.005,x,,<0.1,x,,<0.02,x,34.0,,,0.084,,,<0.2,,,0.005,x,<0.005,,,0.001,,0.001,x,,0.01,x,<5.0,,,,,,
2012-05-07 00:00:00,1035.0,ww_77,8.1,18.1,8.03,0.454,0.24,<1,0.17,29.91,576.0,21.0,5.0,,93.0,251.0,0.12,4.7,<5,<0.005,<0.001,,<1.80,2.1,3500.0,,7.2,,<0.02,,0.037,,,<0.05,,,,0.001,,38.0,,,,<0.005,,<6,,<0.005,,,0.1,,,<0.02,,13.0,,,0.054,,,<0.2,,,<0.005,,<0.005,,,0.001,,0.001,,,0.01,,9.582,,,,,,
2012-05-07 00:00:00,1055.0,ww_78,8.7,16.1,7.51,5.561,0.65,1.5,0.85,64.78,546.0,5.0,2.0,,161.0,155.0,0.48,4.9,<5,<0.005,0.0011,,<1.90,3.6,<2000,aad,1.8,,<0.02,,0.022,,,0.2,,,,0.001,,61.0,,,,<0.005,,<6,,<0.005,,,<0.1,,,<0.02,,23.0,,,0.035,,,<0.2,,,0.007,,<0.005,,,0.001,,0.001,,,0.02,,<5.0,,,,,,
2012-05-07 00:00:00,1145.0,ww_17,7.3,16.3,7.43,2.952,0.14,<1,0.37,51.53,584.0,24.0,5.0,,186.0,186.0,0.22,5.2,<5,<0.005,<0.001,,<2.10,2.7,1400.0,,9.9,,<0.02,,0.04,,,0.09,,,,0.001,,61.0,,,,<0.005,,<6,,<0.005,,,0.1,,,<0.02,,27.0,,,0.069,,,<0.2,,,<0.005,,<0.005,,,0.001,,0.001,,,0.01,,<5.0,,,,,,
2012-05-07 00:00:00,1215.0,ww_19,7.0,16.2,7.93,2.181,0.23,<1,0.29,44.8,478.0,34.0,6.0,,152.0,149.0,0.2,5.0,<5,<0.005,<0.001,,<2.00,2.5,3900.0,,5.0,,<0.02,,0.034,,,0.09,,,,0.001,,52.0,,,,<0.005,,<6,,<0.005,,,0.1,,,<0.02,,22.0,,,0.06,,,<0.2,,,0.005,,<0.005,,,0.001,,0.001,,,0.01,,5.464,,,,,,
2012-05-07 00:00:00,1310.0,ww_20,6.7,16.2,7.95,2.212,0.21,<1,0.34,46.42,464.0,52.0,10.0,,147.0,142.0,0.21,5.3,<5,<0.005,<0.001,,<1.40,2.9,5000.0,,6.0,,<0.02,,0.036,,,0.09,,,,0.001,,51.0,,,,<0.005,,<6,,<0.005,,,0.1,,,<0.02,,21.0,,,0.076,,,<0.2,,,0.005,,0.005,,,0.001,,0.001,,,0.01,,10.905,,,,,,
2012-05-07 00:00:00,820.0,ww_24,6.4,17.1,7.04,3.514,0.26,1.37,0.76,46.05,510.0,130.0,23.0,,111.0,183.0,0.2,5.6,<5,0.005,0.001,,<1.80,4.1,2600.0,,15.0,,<0.02,,0.04,,,0.09,,,,0.001,,46.0,,,,<0.005,,<6,,<0.005,,,0.1,,,<0.02,,20.0,,,0.153,,,<0.2,,,0.006,,<0.005,,,0.001,,0.001,,,0.01,,14.35,,,,,,
2012-05-07 00:00:00,855.0,ww_109,6.6,16.3,7.88,2.956,0.28,<1,0.52,40.78,444.0,117.0,20.0,,99.0,163.0,0.21,4.9,<5,<0.005,<0.001,,2.4,2.9,17000.0,,16.0,,<0.02,x,0.043,,,0.09,,,,0.001,x,43.0,,,,<0.005,x,<6,,<0.005,x,,0.1,x,,<0.02,x,18.0,,,0.198,,,<0.2,,,<0.005,x,<0.005,,,0.001,,0.001,x,,0.01,x,21.882,,,,,,
2012-05-07 00:00:00,930.0,ww_22,6.0,16.0,7.7,2.588,0.24,1.11,0.7,44.56,466.0,92.0,15.0,,131.0,158.0,0.23,4.8,<5,0.01,0.0011,,<1.90,3.5,5000.0,,13.2,,<0.02,,0.04,,,0.1,,,,0.001,,48.0,,,,<0.005,,<6,,<0.005,,,<0.1,,,<0.02,,21.0,,,0.123,,,<0.2,,,<0.005,,<0.005,,,0.001,,0.001,,,0.01,,13.258,,,,,,
