collect,time,sampling,do,temp,ph,no2+no3,nh3_n,tkn,tot_p,so4,tds,ss,vss,turb,alk,cl,f,toc,phenol,cn,cn_wad,fog,radiochem,radiochem,fec_col,chloroph,as_tot,as_sol,ba_tot,ba_sol,b_tot,,b_sol,cd_tot,cd_sol,ca_tot,ca_sol,cr_tot,cr_sol,cr6,cu_tot,cu_sol,fe_tot,fe_sol,pb_tot,pb_sol,mg_tot,mg_sol,mn_tot,mn_sol,hg_tot,hg_sol,ni_tot,ni_sol,se_tot,se_sol,ag_tot,ag_sol,zn_tot,zn_sol,hg_ll,benzene,ethylbenzene,toluene,xylenes_(total),m__and/or_p_xylenes,o_xylene
date,collected,point,mg/l,deg_c,,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ntu,mg/l,mg/l,mg/l,mg/l,ug/l,mg/l,mg/l,mg/l,alpha,beta,cts/100ml,yll_a,mg/l,mg/l,mg/l,mg/l,mg/l,,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ug/l,ug/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,mg/l,ng/l,ug/l,ug/l,ug/l,ug/l,ug/l,ug/l
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-10-01 00:00:00,955.0,ww_78,7.9,14.2,7.55,10.31,<0.1,<1,1.92,86.6,638.0,<4,<4,,137.0,156.0,0.9,4.7,<5,<0.005,0.0015,,<1.90,6.7,20.0,0.8,,<0.02,0.017,,0.3,,,,0.003,61.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,23.0,,0.004,,<0.2,,,0.005,0.005,,0.001,0.001,,0.04,<8.0,<2,<2,<2,<3,<3,<3
2012-10-01 00:00:00,1050.0,ww_19,6.8,15.6,7.5,11.169,<0.1,<1,1.92,82.11,664.0,11.0,<4,,146.0,176.0,0.87,4.7,<5,<0.005,0.0011,,<2.10,6.7,170.0,0.7,,0.02,0.035,,0.29,,,,0.004,56.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,22.0,,0.02,,<0.2,,,0.005,<0.005,,0.001,0.001,,0.02,<8.0,<2,<2,<2,<3,<3,<3
2012-10-01 00:00:00,850.0,ww_109,6.5,15.7,7.02,13.63,<0.1,<1,2.61,84.78,626.0,7.0,<4,,120.0,152.0,0.93,5.1,<5,<0.005,0.0011,,<1.90,6.0,30.0,0.9,,<0.02,0.022,,0.31,,,,0.003,56.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,23.0,,0.015,,<0.2,,,0.011,<0.005,,0.001,0.001,,0.02,<8.0,<2,<2,<2,<3,<3,<3
2012-10-01 00:00:00,920.0,ww_22,8.5,15.1,7.75,10.661,0.1,1.08,2.02,81.77,638.0,14.0,5.0,,139.0,170.0,0.59,5.7,<5,<0.005,<0.001,,<1.80,5.6,260.0,6.2,,0.02,0.03,,0.3,,,,0.003,56.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,23.0,,0.028,,<0.2,,,0.007,<0.005,,0.001,0.001,,0.02,<8.0,<2,<2,<2,<3,<3,<3
2012-10-01 00:00:00,950.0,ww_23,8.3,16.2,8.01,9.614,<0.1,<1,1.49,92.5,668.0,16.0,<4,,145.0,177.0,0.81,4.6,<5,<0.005,<0.001,,<2.00,5.4,50.0,2.4,,<0.02,0.031,,0.3,,,,0.003,59.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,25.0,,0.032,,<0.2,,,0.008,<0.005,,0.001,0.001,,0.02,<8.0,<2,<2,<2,<3,<3,<3
2012-10-01 00:00:00,1110.0,ww_91,12.0,16.5,8.71,8.744,<0.1,<1,1.17,85.36,678.0,6.0,<4,,147.0,175.0,0.77,4.7,<5,<0.005,<0.001,,<1.90,4.7,90.0,3.0,,0.02,0.025,,0.25,,,,0.003,60.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,25.0,,0.044,,<0.2,,,0.006,<0.005,,0.001,0.001,,0.04,<8.0,<2,<2,<2,<3,<3,<3
2012-10-01 00:00:00,1005.0,ww_79,7.8,15.9,7.88,<0.15,<0.1,<1,<0.1,53.94,804.0,5.0,<4,,111.0,340.0,0.25,6.0,<5,<0.005,<0.001,,<2.10,<1.70,30.0,4.3,,<0.02,0.031,,0.09,,,,0.008,39.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,20.0,,0.028,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.01,<8.0,<2,<2,<2,<3,<3,<3
2012-10-01 00:00:00,1035.0,ww_18,6.5,19.1,7.24,14.136,<0.1,<1,3.89,72.5,604.0,8.0,<4,,103.0,129.0,1.05,5.9,<5,0.006,0.0033,,<1.40,7.9,70.0,2.1,,<0.02,0.013,,0.41,,,,0.001,50.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,19.0,,0.027,,<0.2,,,0.01,<0.005,,0.001,0.001,,0.03,<8.0,,,,,,
2012-10-01 00:00:00,1110.0,ww_110,3.3,15.0,7.31,<0.15,0.79,2.0,0.31,19.8,846.0,12.0,6.0,,159.0,339.0,0.32,12.8,<5,<0.005,0.0011,,<2.10,1.9,520.0,14.5,,0.02,0.042,,0.08,,,,0.007,57.0,,,<0.005,<6,,<0.005,,0.2,,<0.02,18.0,,0.232,,<0.2,,,<0.005,0.005,,0.001,0.001,,0.01,<8.0,,,,,,
2012-10-01 00:00:00,1145.0,ww_111,8.6,18.3,7.62,17.91,<0.1,1.23,3.28,61.73,530.0,27.0,5.0,,82.0,107.0,0.89,5.8,<5,0.005,0.0019,,<1.60,5.8,540.0,9.9,,<0.02,0.031,,0.24,,,,0.001,47.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,17.0,,0.033,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.03,<5.0,,,,,,
2012-10-01 00:00:00,1135.0,ww_92,5.7,21.0,7.46,4.958,0.23,<1,1.07,79.99,474.0,8.0,<4,,123.0,88.0,0.59,3.8,<5,<0.005,0.0012,<5,,,<10,5.0,,<0.02,0.017,,0.18,,,,0.001,47.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,17.0,,0.016,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.01,,,,,,,
2012-10-08 00:00:00,945.0,ww_112,8.3,10.3,6.89,5.8,<0.1,<1,1.27,50.59,542.0,5.0,<4,,140.0,165.0,0.7,4.8,<5,<0.005,0.001,<5,<1.80,3.4,970.0,0.2,,<0.02,0.024,,0.15,,,,<0.001,51.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,20.0,,0.02,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.01,<8.0,,,,,,
2012-10-08 00:00:00,1030.0,ww_36,6.9,18.5,6.95,7.443,0.92,2.3,2.29,40.74,380.0,6.0,<4,,117.0,84.0,0.93,4.5,<5,<0.005,<0.001,<5,<1.50,3.5,13000.0,0.8,,<0.02,0.019,,0.19,,,,<0.001,47.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,17.0,,0.017,,<0.2,,,<0.005,0.005,,0.001,0.001,,0.03,,<2,<2,<2,<3,<3,<3
2012-10-08 00:00:00,1115.0,ww_96,9.7,10.8,7.51,6.262,<0.1,<1,1.33,50.22,562.0,7.0,<4,,140.0,171.0,0.74,4.8,<5,<0.005,<0.001,,<1.70,3.6,230.0,0.5,,<0.02,0.025,,0.16,,,,<0.001,52.0,,,<0.005,<6,,0.005,,0.1,,<0.02,21.0,,0.018,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.01,<8.0,<2,<2,<2,<3,<3,<3
2012-10-08 00:00:00,1205.0,ww_73,5.0,17.1,7.24,8.367,0.78,1.91,2.11,44.41,410.0,20.0,4.0,,116.0,99.0,0.94,4.5,<5,<0.005,<0.001,<5,,,5500.0,0.1,,<0.02,0.02,,0.17,,,,<0.001,48.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,17.0,,0.022,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.02,,<2,<2,<2,<3,<3,<3
2012-10-08 00:00:00,945.0,ww_92,6.7,12.1,7.22,4.258,0.24,1.01,1.4,79.07,462.0,5.0,<4,,126.0,97.0,0.65,3.6,<5,<0.005,0.0013,<5,,,60.0,2.9,,<0.02,0.018,,0.2,,,,<0.001,48.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,17.0,,0.048,,<0.2,,,0.005,<0.005,,0.001,0.001,,0.02,,,,,,,
2012-10-15 00:00:00,955.0,ww_100,7.2,16.1,7.07,6.866,0.63,1.42,1.06,40.89,404.0,9.0,<4,,114.0,85.0,0.74,4.0,<5,<0.005,<0.001,,<1.40,3.6,2000.0,0.9,,<0.02,0.02,,0.14,x,,,<0.001,43.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,15.0,,0.022,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.02,<8.0,,,,,,
2012-10-15 00:00:00,1035.0,ww_108,7.2,14.7,7.47,6.996,0.91,1.8,0.98,41.48,414.0,12.0,<4,,114.0,93.0,0.77,4.5,<5,<0.005,<0.001,<5,,,390.0,0.8,,<0.02,0.02,,0.14,,,,<0.001,43.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,15.0,,0.025,,<0.2,,,0.006,<0.005,,0.001,0.001,,0.02,,,,,,,
2012-10-15 00:00:00,1100.0,ww_99,7.1,14.1,7.36,5.376,0.53,1.32,0.78,40.85,410.0,13.0,4.0,,119.0,86.0,0.66,4.0,<5,<0.005,<0.001,<5,,,2600.0,18.4,,<0.02,0.021,,0.13,,,,<0.001,44.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,15.0,,0.03,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.01,,,,,,,
2012-10-15 00:00:00,820.0,ww_75,7.5,14.5,6.65,7.185,0.41,1.21,1.18,41.12,408.0,14.0,<4,,117.0,89.0,0.74,3.9,<5,<0.005,<0.001,<5,<1.40,3.2,450.0,1.7,,<0.02,0.021,,0.14,,,,<0.001,45.0,,,<0.005,<6,,<0.005,,0.1,,<0.02,16.0,,0.024,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.02,,,,,,,
2012-10-15 00:00:00,850.0,ww_41,7.4,15.6,6.94,5.06,0.21,1.1,0.47,41.38,364.0,10.0,4.0,,91.0,74.0,0.54,4.3,<5,<0.005,<0.001,<5,<1.30,2.5,10000.0,1.0,,<0.02,0.015,,0.11,,,,<0.001,36.0,,,<0.005,<6,,<0.005,,<0.1,,<0.02,12.0,,0.019,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.02,,,,,,,
