collect(date),time(collected),sampling(point),do(mg/l),temp(deg_c),ph(),no2+no3(mg/l),nh3_n(mg/l),tkn(mg/l),tot_p(mg/l),so4(mg/l),tds(mg/l),ss(mg/l),vss(mg/l),turb(ntu),alk(mg/l),cl(mg/l),f(mg/l),toc(mg/l),phenol(ug/l),cn(mg/l),cn_wad(mg/l),fog(mg/l),radiochem(alpha),radiochem(beta),fec_col(cts/100ml),chloroph(yll_a),chloroph(qual_code),as_tot(mg/l),as_sol(mg/l),ba_tot(mg/l),ba_sol(mg/l),b_tot(mg/l),b_sol(mg/l),cd_tot(mg/l),cd_sol(mg/l),ca_tot(mg/l),ca_tot(qual_code),ca_sol(mg/l),cr_tot(mg/l),cr_sol(mg/l),(),cr6(ug/l),cr6(qual_code),cu_tot(mg/l),cu_sol(mg/l),fe_tot(mg/l),fe_sol(mg/l),pb_tot(mg/l),pb_sol(mg/l),mg_tot(mg/l),mg_sol(mg/l),mn_tot(mg/l),mn_sol(mg/l),hg_tot(ug/l),hg_sol(ug/l),ni_tot(mg/l),ni_sol(mg/l),se_tot(mg/l),se_sol(mg/l),ag_tot(mg/l),ag_sol(mg/l),zn_tot(mg/l),zn_sol(mg/l),hg_ll(ng/l),benzene(ug/l),ethylbenzene(ug/l),toluene(ug/l),xylenes_(total)(ug/l),m__and/or_p_xylenes(ug/l),o_xylene(ug/l)
2012-09-04 00:00:00,945.0,ww_77,4.9,23.4,7.05,0.729,0.4,1.22,0.12,19.37,248.0,40.0,9.0,,51.0,72.0,0.16,8.9,<5,<0.005,0.0011,,<1.20,2.2,36000.0,7.3,aac,,<0.02,0.03,,0.05,,,<0.001,22.0,,,,<0.005,,<6,,,<0.005,,0.1,,<0.02,6.0,,0.057,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.02,8.891,,,,,,
2012-09-04 00:00:00,1020.0,ww_78,6.7,24.4,7.16,2.795,0.36,1.39,0.45,31.38,330.0,34.0,7.0,,66.0,88.0,0.23,8.1,<5,<0.005,0.0012,,<1.40,3.4,40000.0,7.3,aac,,<0.02,0.028,,0.09,,,<0.001,30.0,,,,<0.005,,<6,,,<0.005,,0.1,,<0.02,10.0,,0.048,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.02,<8.0,,,,,,
2012-09-04 00:00:00,1100.0,ww_19,6.6,25.6,7.28,7.698,0.35,1.09,1.34,56.74,536.0,70.0,9.0,,108.0,153.0,0.55,5.6,<5,<0.005,0.0013,,<1.60,5.0,4200.0,3.6,aac,,<0.02,0.039,,0.19,,,<0.001,44.0,,,,0.373,aae,395.0,aae,,0.005,,<0.1,,<0.02,18.0,,0.067,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.01,<8.0,,,,,,
2012-09-04 00:00:00,855.0,ww_109,6.2,24.9,7.26,7.658,0.32,<1,1.27,66.63,546.0,14.0,<4,,111.0,160.0,0.54,5.9,<5,<0.005,<0.001,,<1.80,4.4,2200.0,1.0,aac,,<0.02,0.025,,0.2,,,<0.001,45.0,,,,<0.005,,<6,,,<0.005,,<0.1,,<0.02,19.0,,0.033,,<0.2,,,0.007,<0.005,,0.001,0.001,,0.02,<8.0,,,,,,
2012-09-04 00:00:00,910.0,ww_22,5.3,25.0,7.69,8.959,0.24,<1,1.45,76.6,656.0,73.0,9.0,,139.0,176.0,0.73,5.6,<5,<0.005,0.0011,,2.2,6.0,5500.0,4.2,aac,,<0.02,0.045,,0.26,,,<0.001,59.0,,,,0.077,aae,85.0,aae,,<0.005,,<0.1,,<0.02,25.0,,0.067,,<0.2,,,0.006,<0.005,,0.001,0.001,,0.02,27.281,,,,,,
2012-09-04 00:00:00,950.0,ww_23,5.4,26.1,7.8,7.766,0.61,<1,1.28,84.49,694.0,23.0,4.0,,149.0,190.0,0.67,5.1,<5,<0.005,0.0011,,<1.80,5.0,140.0,2.3,aac,,0.02,0.036,,0.26,,,<0.001,58.0,,,,<0.005,,<6,,,<0.005,,<0.1,,<0.02,26.0,,0.058,,<0.2,,,0.006,<0.005,,0.001,0.001,,0.02,<8.0,,,,,,
2012-09-04 00:00:00,1100.0,ww_91,6.6,26.7,8.03,5.532,<0.1,<1,0.85,78.1,670.0,10.0,<4,,150.0,188.0,0.54,5.2,<5,<0.005,<0.001,,,,170.0,5.7,aac,,0.02,0.033,,0.23,,,<0.001,57.0,,,,<0.005,,10.0,,,<0.005,,<0.1,,<0.02,26.0,,0.032,,<0.2,,,0.005,<0.005,,0.001,0.001,,0.03,<8.0,,,,,,
2012-09-04 00:00:00,900.0,ww_79,4.3,27.2,7.2,<0.15,<0.1,<1,0.19,33.07,694.0,6.0,<4,,110.0,292.0,0.25,7.5,<5,<0.005,<0.001,,<1.60,<1.60,450.0,6.1,aac,,<0.02,0.027,,0.08,,,<0.001,36.0,,,,<0.005,,<6,,,<0.005,,0.1,,<0.02,17.0,,0.065,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.01,<8.0,,,,,,
2012-09-04 00:00:00,920.0,ww_18,5.6,24.3,7.02,13.528,0.36,1.22,3.12,60.59,534.0,8.0,<4,,95.0,140.0,0.79,6.3,<5,0.006,0.0029,,<1.80,5.1,630.0,3.0,aac,,<0.02,0.014,,0.27,,,<0.001,46.0,,,,<0.005,,<6,,,0.005,,0.1,,<0.02,18.0,,0.045,,<0.2,,,0.006,<0.005,,0.001,0.001,,0.03,<8.0,,,,,,
2012-09-04 00:00:00,950.0,ww_110,3.5,23.0,7.28,0.159,0.93,2.01,0.42,15.24,666.0,8.0,<4,,138.0,264.0,0.23,16.3,5.0,<0.005,0.0012,,<1.80,3.1,20000.0,1.9,aac,,<0.02,0.04,,0.07,,,<0.001,48.0,,,,<0.005,,8.0,,,<0.005,,0.5,,<0.02,15.0,,0.379,,<0.2,,,<0.005,<0.005,,0.001,0.001,,0.01,<8.0,,,,,,
