Collect    ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,TDS,SS  ,VSS ,TURB,ALK,CL   ,F    ,TOC ,Phenol,CN   ,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,E COLI,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Benzene   ,Ethylbenzene,Toluene,Xylenes(total),o-Xylene  ,m- and/or p-Xylenes
 date      ,point,mg/L,Deg C,     ,mg/L, mg/L , mg/L,mg/L, mg/L ,mg/L,mg/L,mg/L,NTU,mg/L,mg/L, mg/L,mg/L,ug/L, mg/L,mg/L,mg/L,alpha,beta,cts/100mL,cts/100mL,yll-A   , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , ug/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ug/L,ug/L, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , ug/l     , ug/l     ,ug/l,ug/l, ug/l     , ug/l     
           ,      ,    ,    ,     ,      ,      ,     ,     ,     ,      ,    ,    ,    ,    ,      ,    ,     ,    ,      ,     ,      ,    ,     ,     ,     ,     ,     ,     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-12-05 00:00:00,WW_13,11.7,3.9,7.7,10.852,0.46,2.04,1.89,97.38,764.0,21.0,4.0,20.0,162.0,254.6,0.59,5.8,9.0,0.0,0.0008,,<5.13,14.26,25000.0,17000.0,16.8,0.0,0.0,0.0166,0.013,0.347,0.365,0.0,0.0,55.57,45.03,0.0,0.002,0.0,0.017,0.0,0.132,0.051,0.004,0.0019,19.28,16.565,0.0215,0.0178,0.1,0.0,0.02,0.017,0.0,0.004,0.0,0.0,0.074,0.064,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-05 00:00:00,WW_78,8.5,3.9,7.7,6.393,0.44,2.14,0.45,98.15,634.0,5.0,0.0,3.08,158.0,164.9,1.28,7.4,13.0,0.003,0.0008,,<4.35,19.34,390.0,,0.3,0.0,0.0,0.0378,0.0274,0.208,0.193,0.0,0.0004,61.47,52.63,0.0,0.0,0.0,0.015,0.003,0.395,0.048,0.004,0.0021,25.37,21.911,0.0394,0.027,0.06,,0.003,0.002,0.005,0.002,0.0,0.0,0.034,0.0266,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-05 00:00:00,WW_17,10.5,1.0,7.6,9.201,0.24,1.34,1.57,93.9,806.0,12.0,6.0,10.1,159.0,286.2,0.54,5.5,3.0,0.004,0.0005,,<5.35,12.91,1100.0,840.0,13.2,0.0,0.0,0.0321,0.0286,0.245,0.23,0.0,0.0,59.95,58.39,0.0,0.0,0.0,0.026,0.002,0.494,0.04,0.008,0.0,23.83,23.6,0.0352,0.0215,0.0,,0.008,0.007,0.007,0.006,0.0,0.0,0.054,0.0335,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-05 00:00:00,WW_19,11.3,1.0,7.6,7.338,0.25,1.56,1.2,94.22,730.0,13.0,0.0,15.5,161.0,255.4,0.77,5.8,4.0,0.0,0.0009,,<5.11,14.03,400.0,580.0,8.7,0.0,0.0,0.0316,0.0246,0.29,0.278,0.0,0.0,60.35,50.94,0.0,0.0007,0.0,0.016,0.002,0.404,0.055,0.006,0.0039,23.73,20.808,0.0329,0.0189,0.0,,0.006,0.005,0.01,0.0,0.0,0.0,0.046,0.03,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-05 00:00:00,WW_20,11.7,1.5,7.5,7.183,0.23,1.57,1.32,91.93,766.0,12.0,3.0,13.3,158.0,278.3,0.68,5.4,10.0,0.0,0.0009,,<5.25,15.9,240.0,210.0,8.4,0.0,0.0,0.0278,0.0192,0.238,0.236,0.0,0.0,60.06,50.23,0.0,0.0,0.0,0.024,0.004,0.815,0.042,0.006,0.0019,22.98,19.941,0.038,0.0148,0.0,,0.005,0.002,0.008,0.013,0.0,0.0,0.049,0.0264,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-05 00:00:00,WW_24,12.4,0.3,7.2,12.207,0.2,1.48,2.59,87.78,662.0,28.0,8.0,23.7,126.0,242.1,0.69,5.8,0.0,0.0,0.0012,,<4.89,12.98,1300.0,,24.9,0.0,0.0,0.0257,0.0199,0.246,0.245,0.0,0.0,58.05,52.21,0.008,0.0056,0.0,0.019,0.003,0.5,0.034,0.006,0.001,22.55,20.804,0.0393,0.0167,0.0,,0.004,0.003,0.012,0.008,0.0,0.0,0.044,0.0331,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-05 00:00:00,WW_109,12.0,1.9,7.0,11.256,0.08,1.35,1.99,87.1,688.0,16.0,5.0,14.0,128.0,234.2,0.61,5.7,3.0,0.0,0.0007,,<3.27,5.95,850.0,,31.3,0.0,0.0,0.0296,0.0231,0.211,0.224,0.0,0.0,59.39,51.18,0.004,0.0035,0.0,0.024,0.003,0.433,0.031,0.005,0.0029,22.99,20.605,0.0415,0.0192,0.0,,0.005,0.003,0.011,0.007,0.0,0.0,0.048,0.0275,0.0,0.0,0.0,0.0,0.0,0.0
2005-12-05 00:00:00,WW_22,12.7,0.5,7.0,8.552,0.34,1.66,1.7,90.04,698.0,11.0,0.0,10.7,147.0,250.6,0.62,5.6,7.0,0.0,0.0007,,<5.01,14.39,600.0,730.0,18.6,0.0,0.0,0.0283,0.0181,0.195,0.183,0.0,0.0,59.01,41.07,0.007,0.0045,0.0,0.016,0.002,0.362,0.023,0.006,0.0,23.43,17.281,0.0229,0.0089,0.0,,0.004,0.003,0.012,0.006,0.0,0.0,0.035,0.0191,0.0,0.0,0.0,0.0,0.0,0.0
