Collect    ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,TDS,SS  ,VSS ,TURB,ALK,CL   ,F    ,TOC ,Phenol,CN   ,CN-WAD,FOG,BOD,cBOD,RADIOCHEM,RADIOCHEM,FEC_COL,E COLI,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Benzene   ,Ethylbenzene,Toluene,Xylenes(total),o-Xylene  ,m- and/or p-Xylenes
 date      ,point,mg/L,Deg C,     ,mg/L, mg/L , mg/L,mg/L, mg/L ,mg/L,mg/L,mg/L,NTU,mg/L,mg/L, mg/L,mg/L,ug/L, mg/L,mg/L,mg/L,mg/L,mg/L,alpha,beta,cts/100mL,cts/100mL,yll-A   , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , ug/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ug/L,ug/L, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , ug/l     , ug/l     ,ug/l,ug/l, ug/l     , ug/l     
           ,      ,    ,    ,     ,      ,      ,     ,     ,     ,      ,    ,    ,    ,    ,      ,    ,     ,    ,      ,     ,      ,    ,     ,     ,     ,     ,     ,     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-01-03 00:00:00,WW_12,12.4,NA,NA,0.35,0.24,1.03,0.07,116.44,826.0,10.0,5.0,13.1,206.0,283.1,0.14,12.0,10.0,0.002,0.001,,,,<4.71,5.98,140.0,140.0,44.3,0.0,0.0,0.045,0.0433,0.09,0.091,0.0,0.0006,90.5,92.99,0.0,0.0008,3.0,0.016,0.0,0.628,0.051,0.004,0.0,40.11,42.621,0.1187,0.0665,0.11,0.0,0.002,0.0,0.014,0.005,0.0,0.0,0.029,0.0107,,,,,,
2005-01-03 00:00:00,WW_13,10.8,NA,NA,5.944,0.25,0.96,0.95,81.98,653.0,13.0,3.0,18.5,198.0,217.9,0.37,11.0,4.0,0.002,0.0005,,,,<4.05,11.16,1000.0,,13.6,0.0,0.0,0.0362,0.033,0.18,0.182,0.0,0.0003,71.6,77.03,0.0,0.0,3.0,0.023,0.0,0.824,0.035,0.002,0.0011,31.93,35.002,0.0799,0.0415,0.17,0.0,0.004,0.002,0.008,0.003,0.0,0.0,0.032,0.0269,,,,,,
2005-01-03 00:00:00,WW_78,9.4,NA,NA,9.41,0.29,1.07,1.48,83.35,470.0,0.0,0.0,7.31,129.0,225.0,0.6,11.0,4.0,0.003,0.0016,,,,<3.88,11.19,870.0,460.0,1.3,0.0,0.0,0.0189,0.0176,0.292,0.291,0.0,0.0005,66.06,67.95,0.0,0.0007,2.0,0.015,0.0,0.23,0.042,0.003,0.0,24.11,25.414,0.0308,0.0141,0.0,,0.005,0.004,0.005,0.007,0.0,0.0,0.066,0.0615,,,,,,
2005-01-03 00:00:00,WW_17,10.9,NA,NA,5.117,0.19,1.03,0.83,81.8,634.0,16.0,5.0,15.4,176.0,226.5,0.35,10.0,7.0,0.003,0.0004,,,,<4.21,10.12,1000.0,,21.7,0.0,0.0,0.0384,0.0362,0.176,0.176,0.0004,0.0004,72.83,78.87,0.0,0.0007,0.0,0.016,0.0,0.67,0.03,0.003,0.0025,31.96,34.438,0.0601,0.0402,0.0,,0.002,0.002,0.013,0.007,0.0,0.0,0.032,0.0233,,,,,,
2005-01-03 00:00:00,WW_19,10.3,NA,NA,5.124,0.2,0.95,0.86,79.96,746.0,24.0,8.0,21.8,172.0,252.4,0.39,8.0,6.0,0.003,0.0005,,,,<4.33,9.53,910.0,,15.1,0.0,0.0,0.038,0.0344,0.191,0.193,0.0,0.0,71.94,74.71,0.153,0.155,106.0,0.024,0.004,0.873,0.026,0.002,0.004,30.17,31.653,0.0583,0.0345,0.0,,0.003,0.002,0.01,0.014,0.0,0.0,0.053,0.0346,,,,,,
2005-01-03 00:00:00,WW_20,10.2,NA,NA,4.333,0.26,0.97,0.69,75.14,630.0,17.0,11.0,21.0,164.0,283.9,0.34,10.0,9.0,0.003,0.0009,,,,<3.73,6.43,940.0,,14.4,0.0,0.0,0.0378,0.0324,0.176,0.177,0.0005,0.0005,65.43,66.45,0.049,0.0483,31.0,0.012,0.0,0.887,0.029,0.005,0.0,27.34,28.283,0.0566,0.0359,0.0,,0.003,0.004,0.0,0.006,0.0,0.0,0.049,0.0374,,,,,,
2005-01-03 00:00:00,WW_24,10.8,6.3,7.97,4.933,0.2,1.12,1.09,73.9,730.0,24.0,8.0,24.8,139.0,276.9,0.39,6.0,9.0,0.002,0.001,,,,<3.78,8.82,2800.0,,14.4,0.0,0.0,0.0317,0.0268,0.15,0.149,0.0,0.0,67.19,68.77,0.0,0.0009,5.0,0.018,0.0,1.068,0.044,0.004,0.0042,25.45,26.705,0.0526,0.033,0.0,,0.003,0.002,0.0,0.008,0.0,0.0,0.042,0.0309,,,,,,
2005-01-03 00:00:00,WW_109,10.6,5.5,7.58,4.348,0.45,1.37,1.14,68.56,628.0,16.0,13.0,22.5,133.0,255.9,0.38,10.0,13.0,0.002,0.0007,,,,<3.57,8.18,5700.0,,11.6,0.0,0.0,0.0307,0.0261,0.18,0.178,0.0,0.0,62.99,64.5,0.0,0.0015,3.0,0.012,0.0,1.042,0.046,0.004,0.0026,23.93,25.277,0.0596,0.0326,0.0,,0.004,0.002,0.0,0.004,0.0,0.0,0.048,0.034,,,,,,
2005-01-03 00:00:00,WW_22,11.2,4.8,7.28,4.5,0.32,1.27,0.92,71.66,718.0,28.0,10.0,22.1,129.0,246.8,0.38,10.0,12.0,0.003,0.001,,,,4.56,9.03,4400.0,,12.0,0.0,0.0,0.0363,0.0306,0.186,0.181,0.0004,0.0006,63.07,65.65,0.0,0.0014,4.0,0.017,0.003,0.833,0.144,0.005,0.0013,25.05,26.565,0.0554,0.04,0.1,,0.003,0.002,0.0,0.006,0.0,0.0,0.049,0.041,,,,,,
