Collect    ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,TDS,SS  ,VSS ,TURB,ALK,CL   ,F    ,TOC ,Phenol,CN   ,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,E COLI,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Benzene   ,Ethylbenzene,Toluene,Xylenes(total),o-Xylene  ,m- and/or p-Xylenes
 date      ,point,mg/L,Deg C,     ,mg/L, mg/L , mg/L,mg/L, mg/L ,mg/L,mg/L,mg/L,NTU,mg/L,mg/L, mg/L,mg/L,ug/L, mg/L,mg/L,mg/L,alpha,beta,cts/100mL,cts/100mL,yll-A   , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , ug/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ug/L,ug/L, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , ug/l     , ug/l     ,ug/l,ug/l, ug/l     , ug/l     
           ,      ,    ,    ,     ,      ,      ,     ,     ,     ,      ,    ,    ,    ,    ,      ,    ,     ,    ,      ,     ,      ,    ,     ,     ,     ,     ,     ,     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005-05-02 00:00:00,WW_13,11.3,14.0,7.5,6.888,0.1,1.11,1.1,105.36,618.0,11.0,9.0,10.9,221.0,212.4,0.41,9.0,5.0,0.002,0.0003,,<5.41,8.49,30.0,,91.9,0.0,0.0,0.038,0.0341,0.216,0.188,0.0005,0.0004,82.38,79.16,0.0,0.0,2.0,0.024,0.0,0.361,0.021,0.003,0.0018,38.73,37.572,0.0731,0.0204,0.0,,0.003,0.0,0.006,0.0,0.0,0.0,0.037,0.0154,,,,,,
2005-05-02 00:00:00,WW_78,9.4,15.2,7.5,11.056,0.19,1.06,1.28,132.08,748.0,2.0,1.0,1.97,166.0,229.0,0.86,9.0,7.0,0.003,0.0009,,<5.43,16.79,<10,,2.3,0.0,0.0,0.024,0.0216,0.389,0.312,0.0005,0.0004,80.74,73.36,0.0,0.0012,2.0,0.025,0.002,0.133,0.037,0.002,0.0015,30.89,28.532,0.0189,0.0145,0.0,,0.016,0.015,0.006,0.008,0.0,0.0,0.074,0.0629,,,,,,
2005-05-02 00:00:00,WW_17,11.3,10.5,7.7,5.236,0.15,1.68,0.96,115.58,756.0,19.0,13.0,11.5,220.0,230.4,0.35,9.0,6.0,0.002,0.0,,<5.64,6.96,30.0,,146.6,0.0,0.0,0.0397,0.0365,0.196,0.167,0.0,0.0007,83.8,82.0,0.0,0.0,2.0,0.014,0.0,0.408,0.015,0.004,0.0019,39.6,39.279,0.0805,0.0183,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.022,0.0136,,,,,,
2005-05-02 00:00:00,WW_19,10.6,9.6,7.6,5.625,0.09,1.31,0.89,113.6,776.0,22.0,11.0,13.2,221.0,242.2,0.43,9.0,0.0,0.0,0.0004,,<5.78,13.52,30.0,,107.9,0.0,0.0,0.0377,0.0307,0.222,0.192,0.0005,0.0003,83.98,72.06,0.0,0.0,2.0,0.012,0.0,0.381,0.016,0.003,0.0013,38.72,34.172,0.0775,0.0195,0.0,,0.004,0.003,0.008,0.005,0.0,0.0,0.029,0.0169,,,,,,
2005-05-02 00:00:00,WW_20,6.8,8.8,7.6,5.275,0.13,1.21,0.78,108.92,754.0,18.0,9.0,12.0,221.0,246.2,0.45,9.0,2.0,0.0,0.0004,,<5.72,9.97,130.0,,98.9,0.0,0.0,0.0378,0.0293,0.222,0.195,0.0007,0.0003,84.63,69.33,0.0,0.0,3.0,0.023,0.0,0.384,0.016,0.003,0.0022,39.14,33.008,0.067,0.018,0.08,,0.005,0.002,0.008,0.0,0.0,0.0,0.034,0.0157,,,,,,
2005-05-02 00:00:00,WW_24,10.8,9.7,7.25,9.474,0.19,1.04,1.69,136.42,874.0,11.0,7.0,6.29,172.0,294.5,0.57,7.0,4.0,0.002,0.0007,,<4.67,10.02,70.0,110.0,7.3,0.0,0.0,0.0356,0.0282,0.252,0.225,0.0005,0.0,86.08,71.15,0.0,0.0,2.0,0.027,0.003,0.352,0.022,0.002,0.0022,36.47,31.136,0.0468,0.0317,0.0,,0.004,0.002,0.011,0.005,0.0005,0.0,0.047,0.0241,,,,,,
2005-05-02 00:00:00,WW_109,8.2,9.8,7.77,8.587,0.28,0.79,1.37,134.73,874.0,2.0,0.0,5.61,181.0,297.6,0.55,7.0,2.0,0.002,0.0003,,<4.45,12.12,140.0,110.0,5.1,0.0,0.0,0.0369,0.0321,0.35,0.302,0.0004,0.0007,88.46,79.34,0.0,0.0011,2.0,0.031,0.002,0.27,0.031,0.003,0.0019,38.32,35.245,0.0483,0.0369,0.0,,0.005,0.002,0.0,0.0,0.0,0.0,0.051,0.0243,,,,,,
2005-05-02 00:00:00,WW_22,12.1,10.2,8.45,6.093,0.1,0.95,0.86,119.29,784.0,15.0,8.0,7.99,210.0,268.5,0.47,8.0,3.0,0.002,0.0006,,<5.93,9.44,60.0,,58.0,0.0,0.0,0.0373,0.0307,0.259,0.226,0.0006,0.0003,86.43,72.52,0.0,0.0,0.0,0.021,0.0,0.303,0.014,0.0,0.0019,39.29,33.817,0.0545,0.0176,0.0,,0.004,0.003,0.009,0.0,0.0,0.0,0.036,0.0162,,,,,,
