Collect    ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,TDS,SS  ,VSS ,TURB,ALK,CL   ,F    ,TOC ,Phenol,CN   ,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,E COLI,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Hg LL,Benzene,Ethylbenzene,Toluene,Xylenes (total),m- and/or p-Xylenes,o-Xylene
 date      ,point,mg/L,Deg C,     ,mg/L, mg/L , mg/L,mg/L, mg/L ,mg/L,mg/L,mg/L,NTU,mg/L,mg/L, mg/L,mg/L,ug/L, mg/L,mg/L,mg/L,alpha,beta,cts/100mL,cts/100mL,yll-A   , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , ug/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ug/L,ug/L, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-06-05 00:00:00,WW_13,6.7,20.8,7.9,5.62,0.09,1.74,0.62,78.91,622.0,46.0,14.0,33.7,219.0,149.5,0.38,7.3,0.0,0.0,0.0008,,<5.73,11.83,40.0,70.0,12.1,0.0,0.0,0.0463,0.0366,0.214,0.152,0.0,0.0013,78.63,75.83,0.003,0.0,0.0,0.0,0.0,1.46,0.027,0.003,0.004,36.6,35.124,0.1347,0.0214,0.0,,0.003,0.0,0.0,0.0,0.0,0.0,0.02,0.011,3.4,<2,<2,<2,<2,<3,<2
2006-06-05 00:00:00,WW_78,8.6,21.1,7.6,4.79,0.38,2.22,0.44,99.13,722.0,4.0,0.0,2.23,195.0,192.5,1.18,6.6,0.0,0.004,0.0015,,<5.77,19.24,20.0,,6.0,0.0,0.0,0.0222,0.0215,0.406,0.367,0.0,0.0015,69.87,72.87,0.0018,0.0,0.0,0.0,0.0,0.09,0.049,0.004,0.004,26.41,27.473,0.0278,0.0237,0.0,,0.008,0.0084,0.0,0.0,0.0,0.0,0.056,0.06,1.6,<2,<2,<2,<2,<3,<2
2006-06-05 00:00:00,WW_17,6.2,22.2,7.6,5.287,0.1,1.58,0.61,86.26,654.0,34.0,8.0,21.2,216.0,163.4,0.39,6.9,0.0,0.0,0.0004,,<5.80,8.06,120.0,140.0,5.3,0.0,0.0,0.0442,0.0399,0.165,0.151,0.0,0.0014,71.22,75.21,0.0018,0.0,0.0,0.0,0.0,0.87,0.027,0.0,0.003,33.17,35.419,0.0642,0.0272,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.017,0.007,3.0,<2,<2,<2,<2,<3,<2
2006-06-05 00:00:00,WW_19,5.9,23.0,7.7,4.751,0.16,1.65,0.56,82.9,650.0,35.0,14.0,17.4,213.0,168.5,0.47,6.9,0.0,0.0,0.0005,,<5.80,12.03,680.0,740.0,3.8,0.0,0.0,0.0426,0.0364,0.184,0.163,0.0,0.001,73.93,70.91,0.0018,0.0,2.0,0.0,0.0,0.88,0.025,0.004,0.003,34.3,33.303,0.0664,0.0312,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.026,0.018,4.8,<2,<2,<2,<2,<3,<2
2006-06-05 00:00:00,WW_20,5.3,24.4,8.0,4.562,0.11,1.56,0.54,83.18,674.0,30.0,10.0,20.1,208.0,173.1,0.49,6.8,0.0,0.0,0.0,,<5.85,9.39,990.0,1100.0,3.2,0.0,0.0,0.0455,0.0372,0.191,0.171,0.0,0.0015,73.56,71.58,0.0035,0.0,0.0,0.0,0.0,1.07,0.027,0.007,0.0,34.29,33.101,0.0849,0.0471,0.0,,0.003,0.0,0.0,0.0,0.0,0.0,0.032,0.017,3.9,<2,<2,<2,<2,<3,<2
2006-06-05 00:00:00,WW_24,5.8,23.6,7.76,8.004,0.2,1.33,1.99,101.96,754.0,23.0,5.0,11.4,165.0,235.9,0.69,4.9,0.0,0.0,0.0004,,<6.00,12.27,310.0,,4.0,0.0,0.0,0.0344,0.03,0.333,0.316,0.0,0.0014,68.84,66.1,0.0022,0.0,0.0,0.003,0.0,0.64,0.022,0.004,0.004,29.68,28.648,0.052,0.0324,0.0,,0.004,0.0032,0.0,0.0,0.0,0.0,0.031,0.019,2.2,<2,<2,<2,<2,<3,<2
2006-06-05 00:00:00,WW_109,4.9,22.1,7.8,6.921,0.21,1.41,1.61,94.47,728.0,28.0,9.0,14.3,167.0,234.4,0.62,5.0,3.0,0.0,0.0005,,<6.02,10.97,450.0,,2.5,0.0,0.0,0.0383,0.0318,0.343,0.303,0.0,0.0012,72.25,67.78,0.0032,0.0,0.0,0.003,0.0,0.87,0.024,0.006,0.004,32.2,30.035,0.0707,0.0492,0.0,,0.004,0.0024,0.0,0.0,0.0,0.0,0.029,0.015,2.7,<2,<2,<2,<2,<3,<2
2006-06-05 00:00:00,WW_22,7.4,21.9,8.08,4.679,0.19,1.52,0.71,87.03,684.0,33.0,8.0,19.2,204.0,187.8,0.51,6.4,0.0,0.0,0.0006,,<5.85,9.56,760.0,810.0,3.6,0.0,0.0,0.0421,0.0352,0.21,0.195,0.0,0.0014,71.07,67.81,0.0022,0.0,0.0,0.0,0.0,0.71,0.024,0.006,0.002,32.5,31.525,0.0567,0.0258,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.023,0.011,4.4,<2,<2,<2,<2,<3,<2
