Collect    ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,TDS,SS  ,VSS ,TURB,ALK,CL   ,F    ,TOC ,Phenol,CN   ,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,E COLI,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Hg LL,Benzene,Ethylbenzene,Toluene,Xylenes (total),m- and/or p-Xylenes,o-Xylene
 date      ,point,mg/L,Deg C,     ,mg/L, mg/L , mg/L,mg/L, mg/L ,mg/L,mg/L,mg/L,NTU,mg/L,mg/L, mg/L,mg/L,ug/L, mg/L,mg/L,mg/L,alpha,beta,cts/100mL,cts/100mL,yll-A   , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , ug/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ug/L,ug/L, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-05-01 00:00:00,WW_12,2.1,15.7,6.77,0.245,0.12,1.43,0.09,145.57,930.0,45.0,15.0,32.6,196.0,289.7,0.22,6.8,0.0,0.0,0.0007,,4.11,5.18,350.0,,28.8,0.0,0.0,0.0552,0.0504,0.137,0.138,0.0,0.0019,90.31,86.09,0.001,0.0008,0.0,0.0,0.0,1.84,0.018,0.009,0.008,43.03,41.297,0.1786,0.0495,0.0,,0.003,0.0,0.0,0.0,0.0,0.0,0.011,0.003,3.6,,,,,,
2006-05-01 00:00:00,WW_13,7.1,13.4,7.28,4.716,0.05,1.46,0.93,98.47,626.0,29.0,10.0,19.5,176.0,210.8,0.34,23.9,0.0,0.0,0.0,,<4.30,5.47,390.0,,24.4,0.0,0.0,0.0457,0.0413,0.163,0.156,0.002,0.0014,73.31,69.43,0.0009,0.0011,0.0,0.0,0.0,0.83,0.029,0.006,0.005,34.3,32.336,0.1073,0.0239,0.08,,0.002,0.0,0.0,0.0,0.0,0.0,0.021,0.01,3.7,,,,,,
2006-05-01 00:00:00,WW_77,8.0,13.5,7.37,0.482,0.05,1.51,0.14,53.44,936.0,17.0,7.0,17.7,124.0,476.1,0.2,5.2,0.0,0.0,0.0007,,<3.98,<4.72,2400.0,,18.2,0.0,0.0,0.0529,0.0525,0.084,0.083,0.0,0.0016,60.24,59.26,0.0008,0.001,0.0,0.0,0.0,0.66,0.032,0.008,0.007,21.04,20.686,0.1039,0.0672,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.021,0.016,5.1,,,,,,
2006-05-01 00:00:00,WW_78,7.9,14.5,7.49,3.187,0.76,2.26,0.31,60.73,480.0,4.0,4.0,4.46,140.0,135.0,0.47,5.4,0.0,0.0,0.0008,,<3.73,<4.65,50.0,,2.3,0.0,0.0,0.0189,0.0183,0.189,0.178,0.0,0.0011,53.25,50.02,0.0005,0.0014,0.0,0.0,0.0,0.14,0.033,0.006,0.005,19.53,18.221,0.0412,0.036,0.0,,0.006,0.0041,0.0,0.0,0.0,0.0,0.026,0.027,2.3,,,,,,
2006-05-01 00:00:00,WW_17,7.8,13.8,7.88,3.946,0.08,2.1,0.66,94.53,704.0,37.0,11.0,21.6,167.0,236.6,0.32,5.4,0.0,0.0,0.0005,,4.53,6.56,580.0,,24.1,0.0,0.0,0.0516,0.0437,0.152,0.146,0.002,0.0011,74.5,68.24,0.0018,0.0011,0.0,0.003,0.0,1.47,0.029,0.009,0.008,34.6,31.322,0.1055,0.0211,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.024,0.015,6.3,,,,,,
2006-05-01 00:00:00,WW_19,7.3,18.1,7.71,3.868,0.13,1.73,0.63,82.64,610.0,37.0,13.0,23.3,154.0,216.5,0.37,5.6,0.0,0.0,0.0006,,<4.24,7.6,800.0,,25.4,0.0,0.0,0.0424,0.0371,0.163,0.157,0.0,0.0014,65.91,62.17,0.0017,0.0012,2.0,0.002,0.0,0.94,0.033,0.008,0.005,28.88,27.013,0.0779,0.0288,0.0,,0.004,0.0,0.0,0.0,0.0,0.0,0.027,0.015,5.7,,,,,,
2006-05-01 00:00:00,WW_20,6.6,14.0,8.75,3.071,0.11,1.84,0.54,73.9,574.0,37.0,10.0,25.9,137.0,207.6,0.35,5.9,0.0,0.0,0.0009,,5.93,8.02,1700.0,,18.5,0.0,0.0,0.0398,0.0332,0.165,0.156,0.0,0.0008,61.88,55.57,0.0032,0.0013,0.0,0.006,0.0,1.3,0.032,0.011,0.005,26.53,23.385,0.0985,0.0418,0.05,,0.004,0.0,0.0,0.0,0.0,0.0,0.05,0.023,6.0,,,,,,
2006-05-01 00:00:00,WW_24,8.4,13.8,7.6,4.31,0.15,1.53,1.17,83.82,644.0,54.0,14.0,31.8,133.0,236.8,0.36,5.0,0.0,0.0,0.0005,,5.27,11.14,8200.0,4500.0,24.5,0.0,0.0,0.0347,0.0272,0.153,0.154,0.002,0.0009,62.78,58.05,0.0028,0.002,0.0,0.006,0.0,1.66,0.043,0.009,0.006,26.48,24.648,0.0657,0.021,0.0,,0.004,0.0,0.0,0.0,0.0,0.0,0.04,0.014,8.4,,,,,,
