Collect    ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,TDS,SS  ,VSS ,TURB,ALK,CL   ,F    ,TOC ,Phenol,CN   ,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,E COLI,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Hg LL,Benzene,Ethylbenzene,Toluene,Xylenes (total),m- and/or p-Xylenes,o-Xylene
 date      ,point,mg/L,Deg C,     ,mg/L, mg/L , mg/L,mg/L, mg/L ,mg/L,mg/L,mg/L,NTU,mg/L,mg/L, mg/L,mg/L,ug/L, mg/L,mg/L,mg/L,alpha,beta,cts/100mL,cts/100mL,yll-A   , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , ug/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ug/L,ug/L, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
           ,      ,    ,    ,     ,      ,      ,     ,     ,     ,      ,    ,    ,    ,    ,      ,    ,     ,    ,      ,     ,      ,    ,     ,     ,     ,     ,     ,     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-10-02 00:00:00,WW_12,8.6,17.5,7.99,0.156,0.26,1.06,0.17,75.12,592.0,13.0,4.0,11.7,164.0,170.0,0.19,6.4,0.0,0.0,0.0005,,7.3,7.71,390.0,380.0,6.7,0.0,0.0,0.0461,0.0398,0.135,0.108,0.0,0.0,60.22,58.52,0.0011,0.0,0.0,0.0,0.0,0.93,0.019,0.0,0.002,26.37,25.746,0.1034,0.0377,0.0,,0.003,0.0,0.0,0.01,0.0,0.0,0.012,0.01,0.985,<2,<2,<2,<2,<3,<2
2006-10-02 00:00:00,WW_13,8.5,17.3,8.08,8.519,0.11,1.25,1.6,86.54,586.0,22.0,8.0,13.4,197.0,146.8,0.55,6.2,0.0,0.0,0.0007,,<4.27,8.76,200.0,,6.0,0.0,0.0,0.0424,0.0373,0.21,0.226,0.0,0.0003,69.66,69.24,0.0007,0.0,0.0,0.002,0.0,0.67,0.024,0.0,0.002,29.35,29.728,0.0467,0.0226,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.026,0.025,1.61,<2,<2,<2,<2,<3,<2
2006-10-02 00:00:00,WW_77,8.6,18.4,8.07,0.809,0.11,1.23,0.12,67.84,712.0,132.0,26.0,21.6,210.0,265.7,0.4,5.9,0.0,0.0,0.001,,8.22,11.97,3400.0,1400.0,18.9,0.0,0.0,0.0811,0.0659,0.164,0.16,0.0,0.0,76.13,74.52,0.0034,0.0,0.0,0.006,0.0,2.73,0.022,0.008,0.001,30.5,29.668,0.1807,0.0269,0.0,,0.004,0.0,0.0,0.0,0.0,0.0,0.045,0.011,7.26,<2,<2,<2,<2,<3,<2
2006-10-02 00:00:00,WW_78,9.0,20.8,7.94,8.172,0.19,1.35,0.48,93.11,562.0,4.0,5.0,3.54,182.0,159.2,1.26,5.4,0.0,0.003,0.0021,,<4.27,13.41,9.0,<10,2.1,0.0,0.0,0.0202,0.0184,0.347,0.358,0.0,0.0004,69.98,69.67,0.0,0.0,0.0,0.0,0.0,0.13,0.048,0.0,0.0,24.44,24.873,0.0205,0.0154,0.0,,0.008,0.007,0.0,0.0,0.0,0.0,0.039,0.043,2.9,<2,<2,<2,<2,<3,<2
2006-10-02 00:00:00,WW_17,7.3,18.9,7.92,7.474,0.13,1.42,1.41,85.25,642.0,23.0,8.0,14.6,193.0,161.9,0.51,6.1,0.0,0.0,0.0006,,<4.35,11.09,1300.0,,2.0,0.0,0.0,0.0467,0.0432,0.221,0.211,0.0,0.0,65.84,67.07,0.0006,0.0,0.0,0.002,0.0,0.55,0.02,0.0,0.001,28.27,29.203,0.0458,0.0323,0.0,,0.002,0.0,0.0,0.0,0.0,0.0,0.021,0.02,1.9,<2,<2,<2,<2,<3,<2
2006-10-02 00:00:00,WW_19,7.6,19.1,7.85,6.663,0.12,1.28,1.65,83.93,604.0,27.0,9.0,18.8,189.0,160.9,0.61,6.0,0.0,0.0,0.0013,,<4.34,11.05,600.0,,1.2,0.0,0.0,0.0473,0.0385,0.216,0.226,0.0,0.0,70.2,67.31,0.0018,0.0,0.0,0.003,0.0,0.76,0.022,0.007,0.001,29.07,28.174,0.0513,0.0293,0.0,,0.004,0.0025,0.0,0.01,0.0,0.0,0.053,0.024,2.13,<2,<2,<2,<2,<3,<2
2006-10-02 00:00:00,WW_20,6.7,18.1,7.92,6.166,0.1,1.26,0.93,81.04,576.0,21.0,7.0,16.6,185.0,158.2,0.6,6.1,0.0,0.0,0.0007,,<4.34,10.67,520.0,,0.6,0.0,0.0,0.0425,0.0384,0.23,0.22,0.0,0.0,64.74,65.57,0.0011,0.0,0.0,0.002,0.0,0.46,0.02,0.005,0.001,26.56,27.293,0.046,0.0309,0.0,,0.003,0.0026,0.0,0.0,0.0,0.0,0.038,0.031,2.74,<2,<2,<2,<2,<3,<2
2006-10-02 00:00:00,WW_24,7.6,17.4,7.9,8.04,0.19,1.27,1.49,77.14,454.0,29.0,10.0,18.1,135.0,117.9,0.44,4.6,0.0,0.0,0.0007,,<3.93,8.32,510.0,,3.6,0.0,0.0,0.0292,0.0238,0.182,0.178,0.0,0.0,56.11,54.33,0.0011,0.0,0.0,0.004,0.0,0.86,0.033,0.004,0.0,22.26,21.855,0.0323,0.0143,0.0,,0.003,0.0022,0.0,0.01,0.0,0.0,0.024,0.021,3.84,<2,<2,<2,<2,<3,<2
