Collect    ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,TDS,SS  ,VSS ,TURB,ALK,CL   ,F    ,TOC ,Phenol,CN   ,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,E COLI,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Hg LL,Benzene,Ethylbenzene,Toluene,Xylenes (total),m- and/or p-Xylenes,o-Xylene
 date      ,point,mg/L,Deg C,     ,mg/L, mg/L , mg/L,mg/L, mg/L ,mg/L,mg/L,mg/L,NTU,mg/L,mg/L, mg/L,mg/L,ug/L, mg/L,mg/L,mg/L,alpha,beta,cts/100mL,cts/100mL,yll-A   , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , ug/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ug/L,ug/L, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
           ,      ,    ,    ,     ,      ,      ,     ,     ,     ,      ,    ,    ,    ,    ,      ,    ,     ,    ,      ,     ,      ,    ,     ,     ,     ,     ,     ,     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-08-06 00:00:00,WW_12,6.2,23.9,7.45,0.155,0.09,1.56,0.2,40.47,578.0,66.0,12.0,32.6,122.0,249.5,0.29,5.5,0.0,0.0,0.0004,,<6.44,8.18,680.0,,31.8,0.0,0.0,0.0473,0.0347,0.092,0.112,0.0,0.0007,47.12,44.7,0.0025,0.0005,0.0,0.005,0.0,2.53,0.024,0.005,0.0,20.58,19.846,0.1518,0.0142,0.0,,0.004,0.0023,0.0,0.0,0.0,0.0,0.036,0.005,1.06,<2,<2,<2,<2,<2,<3
2007-08-06 00:00:00,WW_13,5.6,24.6,7.56,2.898,0.08,1.43,0.73,39.03,466.0,49.0,9.0,40.2,117.0,168.9,0.41,5.4,0.0,0.0,0.0007,,<5.80,8.56,2500.0,,20.6,0.0,0.0,0.0405,0.0252,0.12,0.129,0.0,0.0007,43.04,39.91,0.0034,0.0014,3.0,0.006,0.0,2.5,0.101,0.006,0.0,18.73,17.508,0.1259,0.0181,0.0,,0.004,0.0016,0.0,0.0,0.0,0.0,0.035,0.007,1.78,<2,<2,<2,<2,<2,<3
2007-08-06 00:00:00,WW_77,6.5,25.3,7.6,0.353,0.1,1.2,0.14,19.22,642.0,39.0,9.0,35.5,95.0,281.7,0.32,5.0,0.0,0.0,0.0009,,<6.26,6.39,5400.0,,28.3,0.0,0.0,0.0456,0.0366,0.067,0.076,0.0,0.0005,37.69,35.68,0.0069,0.002,0.0,0.007,0.0,1.37,0.083,0.009,0.0,12.59,12.012,0.1349,0.0302,0.0,,0.006,0.0033,0.0,0.0,0.0,0.0,0.044,0.005,1.54,<2,<2,<2,<2,<2,<3
2007-08-06 00:00:00,WW_78,5.5,23.9,7.37,4.422,0.62,2.04,0.84,29.89,410.0,13.0,3.0,5.84,83.0,103.4,0.49,4.9,3.0,0.008,0.0045,,<5.13,7.69,1400.0,,9.9,0.0,0.0,0.0183,0.0161,0.121,0.129,0.0,0.0006,35.23,34.61,0.0017,0.0009,0.0,0.004,0.0,0.41,0.044,0.003,0.0,11.43,11.375,0.0601,0.0348,0.0,,0.005,0.0026,0.0,0.0,0.0,0.0,0.048,0.028,0.624,<2,<2,<2,<2,<2,<3
2007-08-06 00:00:00,WW_17,4.7,22.9,7.71,3.409,0.16,1.3,0.8,36.6,428.0,45.0,10.0,34.4,103.0,159.7,0.35,4.7,3.0,0.0,0.0005,,<5.61,9.66,3100.0,,12.4,0.0,0.0,0.0391,0.0278,0.133,0.142,0.0,0.0004,37.75,36.02,0.0027,0.0006,2.0,0.006,0.0,1.65,0.034,0.006,0.0,16.95,16.088,0.1106,0.0344,0.05,,0.004,0.0009,0.0,0.0,0.0,0.0,0.053,0.01,1.85,<2,<2,<2,<2,<2,<3
2007-08-06 00:00:00,WW_19,3.8,26.1,7.44,3.474,0.16,1.29,0.81,38.81,472.0,53.0,7.0,34.0,103.0,161.9,0.39,4.5,0.0,0.0,0.0007,,<5.69,7.57,3000.0,,10.9,0.0,0.0,0.0393,0.0295,0.153,0.156,0.0,0.0004,41.39,36.62,0.0024,0.001,0.0,0.009,0.0,1.75,0.208,0.007,0.004,17.85,15.984,0.0941,0.0365,0.0,,0.004,0.0014,0.0,0.0,0.0,0.0,0.041,0.014,1.47,<2,<2,<2,<2,<2,<3
2007-08-06 00:00:00,WW_20,4.0,27.2,7.52,4.216,0.12,1.34,0.96,42.64,474.0,81.0,11.0,27.9,110.0,156.6,0.55,4.8,0.0,0.0,0.0006,,<5.89,10.99,4000.0,,17.8,0.0,0.0,0.0414,0.0284,0.18,0.184,0.0,0.0005,45.22,38.94,0.0045,0.0011,2.0,0.009,0.0,2.04,0.091,0.009,0.0,18.7,16.289,0.1179,0.0372,0.0,,0.006,0.0026,0.0,0.0,0.0,0.0,0.058,0.016,4.52,<2,<2,<2,<2,<2,<3
2007-08-06 00:00:00,WW_24,5.8,24.6,7.4,6.323,0.18,1.25,0.95,37.38,376.0,45.0,6.0,42.4,75.0,110.3,0.6,3.9,0.0,0.0,0.0006,,<5.19,9.88,3000.0,2000.0,5.3,0.0,0.0,0.0236,0.0159,0.162,0.166,0.0,0.0006,37.5,34.32,0.0022,0.0006,2.0,0.008,0.002,1.49,0.043,0.005,0.0,14.38,13.263,0.0804,0.0184,0.0,,0.005,0.0024,0.0,0.0,0.0,0.0,0.041,0.019,3.05,<2,<2,<2,<2,<2,<3
