Collect    ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,TDS,SS  ,VSS ,TURB,ALK,CL   ,F    ,TOC ,Phenol,CN   ,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,E COLI,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Hg LL,Benzene,Ethylbenzene,Toluene,Xylenes (total),m- and/or p-Xylenes,o-Xylene
 date      ,point,mg/L,Deg C,     ,mg/L, mg/L , mg/L,mg/L, mg/L ,mg/L,mg/L,mg/L,NTU,mg/L,mg/L, mg/L,mg/L,ug/L, mg/L,mg/L,mg/L,alpha,beta,cts/100mL,cts/100mL,yll-A   , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , ug/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ug/L,ug/L, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
           ,      ,    ,    ,     ,      ,      ,     ,     ,     ,      ,    ,    ,    ,    ,      ,    ,     ,    ,      ,     ,      ,    ,     ,     ,     ,     ,     ,     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-09-04 00:00:00,WW_12,5.3,24.1,8.0,0.108,0.09,1.38,0.18,60.26,592.0,29.0,14.0,20.4,201.0,128.7,0.26,9.1,0.0,0.0,0.0007,,<6.38,10.52,7200.0,,23.9,0.0,0.0,0.0408,0.0373,0.09,0.106,0.002,0.0,59.86,57.95,0.0012,0.0,3.0,0.0,0.0,0.95,0.043,0.007,0.0,26.13,25.842,0.1642,0.0439,0.06,,0.002,0.0,0.0,0.0,0.0,0.0,0.017,0.0049,0.0,,,,,,
2007-09-04 00:00:00,WW_13,4.7,23.3,7.8,0.916,0.09,1.81,0.55,28.35,448.0,20.0,12.0,8.3,205.0,74.3,0.35,10.3,0.0,0.0,0.0009,,<5.75,7.32,100.0,60.0,2.7,0.0,0.0,0.0273,0.0261,0.105,0.083,0.0,0.0,53.27,52.29,0.0012,0.0006,2.0,0.0,0.0,0.67,0.153,0.005,0.0,24.53,24.092,0.0672,0.0387,0.07,,0.003,0.0,0.0,0.0,0.0,0.0,0.015,0.0049,0.9,,,,,,
2007-09-04 00:00:00,WW_78,8.0,23.4,7.9,4.839,0.39,1.51,0.63,101.37,780.0,10.0,10.0,0.53,216.0,184.3,0.94,4.7,0.0,0.006,0.004,,<7.19,13.11,<10,,1.8,0.0,0.0,0.0278,0.0265,0.286,0.252,0.0,0.0,80.03,84.48,0.0,0.0009,2.0,0.0,0.0,0.09,0.039,0.0,0.0,29.76,31.054,0.0366,0.0326,0.07,,0.007,0.0059,0.0,0.0,0.0,0.0,0.033,0.0299,0.0,,,,,,
2007-09-04 00:00:00,WW_17,4.5,23.5,7.8,0.927,0.1,1.22,0.54,30.41,444.0,26.0,14.0,7.28,198.0,78.7,0.33,9.8,3.0,0.0,0.001,,<5.86,8.73,190.0,120.0,2.1,0.0,0.0,0.0331,0.0291,0.094,0.083,0.0,0.0,53.35,51.66,0.0013,0.0005,0.0,0.0,0.0,0.99,0.144,0.003,0.0,25.09,24.503,0.0838,0.0408,0.05,,0.002,0.0,0.0,0.0,0.0,0.0,0.016,0.004,1.21,,,,,,
2007-09-04 00:00:00,WW_19,5.4,23.7,7.8,1.038,0.08,1.27,0.52,34.42,466.0,29.0,15.0,4.31,197.0,85.0,0.44,9.5,0.0,0.0,0.0011,,<5.92,7.98,140.0,90.0,1.4,0.0,0.0,0.0307,0.0295,0.1,0.087,0.0,0.0,51.63,53.13,0.0009,0.0005,0.0,0.0,0.0,0.85,0.137,0.0,0.0,23.94,24.738,0.0686,0.0368,0.0,,0.002,0.0008,0.0,0.0,0.0,0.0,0.017,0.0051,1.39,,,,,,
2007-09-04 00:00:00,WW_20,5.3,24.3,7.8,0.922,0.07,1.17,0.5,34.72,474.0,27.0,11.0,9.11,193.0,83.8,0.4,9.3,0.0,0.0,0.0006,,<5.95,7.63,200.0,160.0,1.5,0.0,0.0,0.0299,0.0294,0.098,0.095,0.0,0.0,48.81,50.85,0.001,0.0006,2.0,0.0,0.0,0.74,0.124,0.003,0.0,22.85,23.984,0.0647,0.0331,0.06,,0.002,0.0,0.0,0.0,0.0,0.0,0.02,0.0075,1.49,,,,,,
2007-09-04 00:00:00,WW_24,5.7,22.9,7.7,5.073,0.09,1.07,0.68,64.57,562.0,46.0,15.0,18.8,141.0,140.9,0.59,4.7,0.0,0.0,0.0009,,<6.32,11.05,5000.0,,2.4,0.0,0.0,0.0345,0.0296,0.179,0.164,0.0,0.0,55.17,53.21,0.0029,0.0,0.0,0.004,0.002,1.45,0.031,0.004,0.0,23.58,22.519,0.0765,0.0302,0.09,,0.005,0.0022,0.0,0.0,0.0,0.0,0.035,0.0107,5.14,,,,,,
2007-09-04 00:00:00,WW_109,6.2,23.7,7.74,3.945,0.07,1.06,0.58,66.35,596.0,28.0,9.0,7.86,143.0,137.3,0.5,4.8,0.0,0.0,0.0009,,<6.32,9.75,5400.0,,3.7,0.0,0.0,0.0331,0.0314,0.177,0.161,0.0,0.0,52.67,55.99,0.0013,0.0005,0.0,0.003,0.002,0.86,0.031,0.004,0.0,23.28,24.094,0.0451,0.0226,0.06,,0.004,0.0015,0.0,0.0,0.0,0.0,0.02,0.0106,2.16,,,,,,
