Collect    ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,TDS,SS  ,VSS ,TURB,ALK,ALK,CL   ,CL   ,F    ,F    ,TOC ,Phenol,Phenol,CN   ,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,E COLI,Chloroph,Chlorophyll-A,As tot,As sol,As sol,Ba tot,Ba sol,Ba sol,B tot,B sol,B sol,Cd tot,Cd sol,Cd sol,Ca tot,Ca sol,Ca sol,Cr tot,Cr sol,Cr sol,Cr6   ,Cu tot,Cu sol,Cu sol,Fe tot,Fe sol,Fe sol,Pb tot,Pb sol,Pb sol,Mg tot,Mg sol,Mg sol,Mn tot,Mn sol,Mn sol,Hg tot,Hg sol,Ni tot,Ni sol,Ni sol,Se tot,Se sol,Se sol,Ag tot,Ag sol,Ag sol,Zn tot,Zn sol,Zn sol,Hg LL,Benzene,Ethylbenzene,Toluene,Xylenes (total),m- and/or p-Xylenes,o-Xylene
 date      ,point,mg/L,Deg C,     ,mg/L, mg/L , mg/L,mg/L, mg/L ,mg/L,mg/L,mg/L,NTU,mg/L,Qual Code,mg/L,Qual Code, mg/L,Qual Code,mg/L,ug/L,Qual Code, mg/L,mg/L,mg/L,alpha,beta,cts/100mL,cts/100mL,yll-A   ,Qual Code, mg/L , mg/L ,Qual Code, mg/L , mg/L ,Qual Code, mg/L , mg/L ,Qual Code, mg/L , mg/L ,Qual Code, mg/L , mg/L ,Qual Code, mg/L , mg/L ,Qual Code, ug/L , mg/L , mg/L ,Qual Code, mg/L , mg/L ,Qual Code, mg/L , mg/L ,Qual Code, mg/L , mg/L ,Qual Code, mg/L , mg/L ,Qual Code,ug/L,ug/L, mg/L , mg/L ,Qual Code, mg/L , mg/L ,Qual Code, mg/L , mg/L ,Qual Code, mg/L , mg/L ,Qual Code,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-08-03 00:00:00,WW_13,5.8,21.6,7.9,9.997,0.12,1.11,1.57,29.38,640.0,18.0,5.0,12.4,195.0,,179.0,,0.6,,5.5,0.0,E,0.0,0.0,,<2.63,8.75,160.0,,15.0,AA,0.0,0.0,,0.0357,0.0312,,0.224,0.234,,0.0,0.0,,62.55,59.72,,0.0,0.0,,0.0,0.0,0.0,,0.55,0.027,,0.0,0.0,,26.26,25.462,,0.0542,0.0166,,0.0,,0.0,0.0021,,0.0,0.0,,0.0,0.0,,0.029,0.02,,3.19,<2,<2,<2,<3,<3,<3
2009-08-03 00:00:00,WW_78,7.1,21.2,7.7,13.137,0.41,1.14,2.07,95.47,676.0,3.0,0.0,2.02,156.0,,171.0,,1.01,,6.1,0.0,E,0.0,0.0,,<2.08,9.83,99.0,,3.9,AA,0.0,0.0,,0.0149,0.0129,,0.298,0.304,,0.0,0.0,,71.04,65.92,,0.0,0.0,,0.0,0.0,0.0,,0.13,0.051,,0.0,0.0,,24.72,23.665,,0.04,0.0232,,0.0,,0.0,0.0045,,0.0,0.0,,0.0,0.0,,0.051,0.04,,1.72,<2,<2,<2,<3,<3,<3
2009-08-03 00:00:00,WW_17,8.8,22.8,8.1,9.651,0.14,1.35,1.55,74.66,664.0,25.0,7.0,15.7,195.0,,192.0,,0.61,,5.9,0.0,E,0.0,0.0,,<3.70,8.02,250.0,,48.3,AA,0.0,0.0,,0.0409,0.0339,,0.225,0.238,,0.0,0.0,,67.28,62.22,,0.0127,0.0,,0.0,0.0,0.0,,0.78,0.028,,0.0,0.0,,27.79,26.622,,0.1446,0.076,,0.0,,0.02,0.017,,0.0,0.0,,0.0,0.0,,0.075,0.047,,4.14,<2,<2,<2,<3,<3,<3
2009-08-03 00:00:00,WW_19,7.0,22.8,8.1,8.449,0.0,1.15,1.51,79.01,680.0,22.0,6.0,16.0,189.0,,194.0,,0.69,,6.0,0.0,E,0.0,0.0,,<3.91,6.75,240.0,,50.6,AA,0.0,0.0,,0.0354,0.0304,,0.234,0.246,,0.0,0.0,,64.45,62.63,,0.0,0.0,,0.0,0.0,0.0,,0.57,0.022,,0.0,0.0,,26.8,26.275,,0.0852,0.0467,,0.0,,0.0,0.003,,0.0,0.0,,0.0,0.0,,0.031,0.022,,3.92,<2,<2,<2,<3,<3,<3
2009-08-03 00:00:00,WW_20,7.6,28.3,8.3,7.978,0.0,1.37,1.5,80.35,728.0,33.0,9.0,18.4,197.0,,195.0,,0.69,,6.1,0.0,E,0.0,0.0,,1.58,9.46,1100.0,,105.5,AA,0.0,0.0,,0.036,0.0307,,0.24,0.253,,0.0,0.0,,67.7,62.93,,0.0028,0.0,,0.0,0.0,0.0,,0.68,0.0,,0.0,0.0,,27.84,26.716,,0.084,0.0477,,0.0,,0.0,0.0029,,0.0,0.0,,0.0,0.0,,0.039,0.019,,6.44,<2,<2,<2,<3,<3,<3
2009-08-03 00:00:00,WW_24,7.4,21.3,7.2,11.264,0.13,1.06,2.53,84.36,604.0,16.0,0.0,11.5,145.0,,169.0,,0.77,,4.8,0.0,E,0.0,0.0,,1.27,8.31,380.0,330.0,2.2,AA,0.0,0.0,,0.0247,0.0209,,0.275,0.283,,0.0,0.0,,61.23,56.45,,0.0061,0.0,,0.0,0.0,0.0,,0.53,0.063,,0.0,0.0,,25.04,23.61,,0.0427,0.0259,,0.0,,0.0,0.0039,,0.0,0.0,,0.0,0.0,,0.035,0.024,,2.41,<2,<2,<2,<3,<3,<3
2009-08-03 00:00:00,WW_109,6.7,21.4,7.8,10.348,0.0,0.92,2.34,83.0,564.0,12.0,3.0,8.62,144.0,,170.0,,0.79,,4.5,0.0,E,0.0,0.0,,<2.05,8.68,560.0,390.0,3.3,AA,0.0,0.0,,0.0252,0.0219,,0.287,0.301,,0.0,0.0,,58.82,55.76,,0.0,0.0,,0.0,0.0,0.0,,0.38,0.041,,0.0,0.0,,24.0,23.24,,0.0922,0.0768,,0.0,,0.0,0.0038,,0.0,0.0,,0.0,0.0,,0.037,0.027,,2.97,<2,<2,<2,<3,<3,<3
2009-08-03 00:00:00,WW_22,7.8,21.9,8.42,7.994,0.0,1.45,1.71,79.81,700.0,44.0,12.0,18.9,177.0,,183.0,,0.71,,5.5,0.0,E,0.0,0.0,,1.67,9.14,220.0,,105.8,AA,0.0,0.0,,0.0328,0.0284,,0.256,0.273,,0.0,0.0,,65.24,61.75,,0.0,0.0,,0.0,0.0,0.0,,0.48,0.02,,0.0,0.0,,27.0,25.968,,0.0593,0.0036,,0.0,,0.0,0.0033,,0.0,0.0,,0.0,0.0,,0.029,0.017,,7.53,<2,<2,<2,<3,<3,<3
