Collect    ,Sampling,DO  ,TEMP,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,TDS,SS  ,VSS ,TURB,ALK,CL   ,F    ,F    ,TOC ,Phenol,CN   ,CN   ,CN-WAD,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,E COLI,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Hg LL,Benzene,Ethylbenzene,Toluene,Xylenes (total),m- and/or p-Xylenes,o-Xylene
 date      ,point,mg/L,Deg C,     ,mg/L, mg/L , mg/L,mg/L, mg/L ,mg/L,mg/L,mg/L,NTU,mg/L,mg/L, mg/L,Qual Code,mg/L,ug/L, mg/L,Qual Code,mg/L,Qual Code,mg/L,alpha,beta,cts/100mL,cts/100mL,yll-A   , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , ug/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ug/L,ug/L, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-07 00:00:00,WW_12,12.2,3.5,7.82,0.334,0.0,0.95,0.0,92.49,698.0,15.0,4.0,12.0,249.0,191.0,0.0,,6.3,0.0,0.0,AF,0.0,AF,0.0,<4.44,<4.64,30.0,,17.4,0.0,0.0,0.0432,0.0404,0.107,0.107,0.0,0.0,86.32,83.35,0.0,0.0,0.0,0.0,0.0,0.53,0.047,0.0,0.0,37.01,36.333,0.0622,0.0364,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,<2,<2,<2,<3,<3,<3
2009-12-07 00:00:00,WW_13,11.0,4.0,8.02,4.656,0.0,1.13,0.49,59.02,572.0,31.0,7.0,19.2,228.0,112.0,0.29,,6.4,0.0,0.0,,0.0,,,<3.28,<5.76,250.0,290.0,6.5,0.0,0.0,0.0364,0.0314,0.111,0.112,0.0,0.0,78.23,71.24,0.0,0.0,0.0,0.0,0.0,0.73,0.043,0.0,0.0,35.0,32.293,0.0506,0.0294,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.0,2.29,<2,<2,<2,<3,<3,<3
2009-12-07 00:00:00,WW_78,8.8,13.7,7.56,10.866,0.43,1.69,1.32,83.54,660.0,0.0,0.0,2.31,184.0,181.0,0.85,,5.3,0.0,0.0,,0.0,,,<5.20,9.51,1300.0,,1.6,0.0,0.0,0.0215,0.0207,0.259,0.259,0.0,0.0,77.75,73.32,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,28.92,27.875,0.0222,0.02,0.0,,0.0,0.0039,0.0,0.0,0.0,0.0,0.034,0.029,0.93,<2,<2,<2,<3,<3,<3
2009-12-07 00:00:00,WW_17,11.3,3.4,7.9,4.734,0.0,1.02,0.49,60.95,546.0,15.0,3.0,10.1,229.0,126.0,0.31,,6.1,0.0,0.0,,0.0,,,<2.40,<4.80,80.0,110.0,4.8,0.0,0.0,0.0378,0.0339,0.109,0.113,0.0,0.0,77.53,73.92,0.0,0.0,0.0,0.0,0.0,0.58,0.046,0.0,0.0,33.97,33.117,0.0419,0.0269,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96,<2,<2,<2,<3,<3,<3
2009-12-07 00:00:00,WW_19,11.3,3.3,7.88,5.274,0.16,1.17,0.59,62.52,572.0,14.0,4.0,13.7,235.0,136.0,0.36,,6.0,0.0,0.0,,0.0,,,<2.33,<4.76,160.0,260.0,7.2,0.0,0.0,0.0338,0.0303,0.121,0.125,0.0,0.0,77.12,72.74,0.0,0.0,0.0,0.0,0.0,0.62,0.047,0.0,0.0,33.09,32.092,0.0411,0.0235,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.01,2.42,<2,<2,<2,<3,<3,<3
2009-12-07 00:00:00,WW_20,11.5,3.2,7.92,5.722,0.13,1.27,0.62,63.59,582.0,11.0,0.0,12.1,222.0,130.0,0.36,,5.8,0.0,0.0,,0.0,,,<1.52,6.03,130.0,130.0,6.8,0.0,0.0,0.0336,0.0309,0.123,0.13,0.0,0.0,73.91,72.2,0.0,0.0,0.0,0.0,0.0,0.52,0.044,0.0,0.0,31.69,31.779,0.0441,0.0248,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.011,2.23,<2,<2,<2,<3,<3,<3
2009-12-07 00:00:00,WW_24,11.0,3.5,6.83,9.653,0.0,1.23,1.66,84.52,624.0,14.0,0.0,10.6,194.0,169.0,0.51,,5.0,0.0,0.0,,0.0,,,<4.12,8.99,760.0,,18.6,0.0,0.0,0.0307,0.0259,0.214,0.221,0.0,0.0,79.05,75.47,0.003,0.0,0.0,0.0,0.0,0.7,0.044,0.0,0.0,30.34,29.58,0.0704,0.043,0.0,,0.0,0.0052,0.0,0.0,0.0,0.0,0.069,0.029,8.01,<2,<2,<2,<3,<3,<3
2009-12-07 00:00:00,WW_109,10.1,2.8,7.7,9.983,0.0,1.17,1.7,83.53,670.0,17.0,5.0,9.14,192.0,166.0,0.54,X,4.8,0.0,0.0,AF,0.0,AF,,<4.19,5.99,400.0,,13.6,0.0,0.0,0.0304,0.0273,0.226,0.235,0.0,0.0,80.8,76.06,0.0,0.0,0.0,0.0,0.0,0.46,0.041,0.0,0.0,30.92,29.925,0.0734,0.0567,0.0,,0.0,0.0048,0.0,0.0,0.0,0.0,0.034,0.026,3.03,<2,<2,<2,<3,<3,<3
