Collect    ,Sampling,DO  ,TEMP,pH   ,pH   ,NO2+NO3,NH3_N ,TKN  ,Tot P,SO4   ,SO4   ,TDS,SS  ,VSS ,TURB,ALK,CL   ,F    ,TOC ,Phenol,CN   ,CN   ,CN-WAD,CN-WAD,FOG,RADIOCHEM,RADIOCHEM,FEC_COL,E COLI,Chloroph,As tot,As sol,Ba tot,Ba sol,B tot,B sol,Cd tot,Cd sol,Ca tot,Ca sol,Cr tot,Cr sol,Cr6   ,Cu tot,Cu sol,Fe tot,Fe sol,Pb tot,Pb sol,Pb sol,Mg tot,Mg sol,Mn tot,Mn sol,Mn sol,Hg tot,Hg sol,Ni tot,Ni sol,Se tot,Se sol,Ag tot,Ag sol,Zn tot,Zn sol,Hg LL,Benzene,Ethylbenzene,Toluene,Xylenes (total),m- and/or p-Xylenes,o-Xylene
 date      ,point,mg/L,Deg C,     ,Qual Code,mg/L, mg/L , mg/L,mg/L, mg/L ,Qual Code,mg/L,mg/L,mg/L,NTU,mg/L,mg/L, mg/L,mg/L,ug/L, mg/L,Qual Code,mg/L,Qual Code,mg/L,alpha,beta,cts/100mL,cts/100mL,yll-A   , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , ug/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,Qual Code, mg/L , mg/L , mg/L , mg/L ,Qual Code,ug/L,ug/L, mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L , mg/L ,ng/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-02-02 00:00:00,WW_13,11.1,1.2,7.9,,8.598,0.19,1.19,0.97,77.49,,710.0,13.0,6.0,8.83,247.0,219.0,0.47,4.9,0.0,0.0,,0.0,O,,<4.76,7.22,1100.0,,1.7,0.0,0.0,0.0341,0.0311,0.168,0.176,0.0,0.0,78.06,78.2,0.0,0.0,0.0,0.0,0.0,0.48,0.046,0.032,0.0,,32.76,34.403,0.089,0.0775,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.02,1.69,<2,<2,<2,<3,<3,<3
2009-02-02 00:00:00,WW_78,8.9,9.8,7.4,,8.308,0.18,1.32,1.4,96.72,,744.0,9.0,9.0,3.39,189.0,245.0,0.85,5.5,0.0,0.0,,0.0,O,,<5.10,6.93,480.0,,0.8,0.0,0.0,0.0177,0.0178,0.256,0.266,0.0,0.0,73.77,73.5,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.03,0.0,,26.3,26.915,0.0182,0.0134,,0.0,,0.0,0.0037,0.0,0.0,0.0,0.0,0.057,0.049,1.31,<2,<2,<2,<3,<3,<3
2009-02-02 00:00:00,WW_19,11.0,2.0,7.5,,7.363,0.22,1.18,1.02,84.6,,818.0,12.0,6.0,10.8,240.0,275.0,0.5,4.8,0.0,0.0,,0.0,O,,<4.91,6.4,990.0,,1.2,0.0,0.0,0.036,0.0335,0.167,0.171,0.0,0.0,83.36,83.14,0.0,0.0,0.0,0.0,0.0,0.4,0.042,0.033,0.0,,34.47,35.289,0.0796,0.0676,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.023,2.08,<2,<2,<2,<3,<3,<3
2009-02-02 00:00:00,WW_24,11.9,3.1,8.06,,8.691,0.17,1.0,1.62,84.76,,850.0,12.0,4.0,11.2,156.0,327.0,0.47,3.8,0.0,0.0,,0.0,O,,3.49,<6.62,600.0,330.0,1.4,0.0,0.0,0.03,0.0276,0.158,0.162,0.0,0.0,70.91,70.48,0.0,0.0,0.0,0.0,0.0,0.46,0.054,0.028,0.0,,26.24,26.51,0.0515,0.0412,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.034,2.15,<2,<2,<2,<3,<3,<3
2009-02-02 00:00:00,WW_91,12.0,0.8,NA,C,7.344,0.37,1.33,1.0,88.33,,884.0,8.0,6.0,10.4,223.0,310.0,0.47,4.3,0.0,0.0,,0.0,O,,<4.95,5.35,160.0,,0.2,0.0,0.0,0.0341,0.0319,0.175,0.178,0.0,0.0,82.22,81.15,0.0,0.0,0.0,0.0,0.0,0.27,0.037,0.032,0.0,,32.37,33.252,0.0633,0.0366,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.043,0.025,1.45,<2,<2,<2,<3,<3,<3
2009-02-02 00:00:00,WW_80,8.8,9.4,7.4,,13.873,0.11,1.24,2.86,74.92,,788.0,6.0,5.0,3.48,142.0,289.0,0.71,5.1,0.0,0.0,,0.0,O,,<4.86,<5.85,310.0,330.0,2.2,0.0,0.0,0.0202,0.0201,0.213,0.215,0.0,0.0,66.65,66.57,0.0,0.0,0.0,0.0,0.0,0.19,0.103,0.031,0.0,,24.29,24.924,0.0425,0.0367,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.044,0.04,2.18,<2,<2,<2,<3,<3,<3
2009-02-02 00:00:00,WW_89,9.3,10.8,7.7,,9.576,0.22,1.83,3.47,64.1,,632.0,8.0,5.0,3.07,164.0,190.0,0.75,7.6,0.0,0.0,,0.0,O,,<2.24,9.34,1400.0,,1.3,0.0,0.0,0.0269,0.0265,0.266,0.267,0.0,0.0,61.23,61.37,0.0,0.0,0.0,0.0,0.0,0.12,0.055,0.027,0.0,,22.91,23.179,0.0245,0.0181,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.055,3.61,<2,<2,<2,<3,<3,<3
2009-02-02 00:00:00,WW_64,12.2,5.6,7.8,,11.667,0.43,1.97,3.05,69.42,,754.0,28.0,8.0,22.4,166.0,260.0,0.7,6.4,0.0,0.0,,0.0,O,,2.86,11.1,3300.0,,8.7,0.0,0.0,0.0329,0.0281,0.22,0.212,0.0,0.0,69.86,69.03,0.0,0.0,0.0,0.0,0.0,0.84,0.043,0.03,0.0,,25.66,25.703,0.0787,0.0641,,0.0,,0.0,0.0023,0.0,0.0,0.0,0.0,0.072,0.037,3.13,<2,<2,<2,<3,<3,<3
